setting classpath for java classes ( jar file ) in XUL , to access via javascript	V N P ^ N , ^ N , P ^ , P V P ^
DWR is a great tool when your site has a lot of ajax calls . Each page that makes dwr rpc calls needs to include : a ) an interface file corresponding to the calls being made . and b ) a js file bundled with dwr that contains the dwr engine code that makes these calls possible . for e.g. script src= " / dwr / engine.js " / script one technique that is frequently used while optimizing web applications is to use the browser cache as much as possible when a resource ( like a js file ) has not changed on a server . engine.js is something that will never change unless you upgrade your dwr to a newer version . But , by default , engine.js is not a static file served by your webserver . its bundled as part of the dwr tool itsef and is served by the dwr controller / servlet.this doesnt aid client side caching . So , it is beneficial to save engine.js under the document root of your webserver and let the webserver serve it as a static file .	^ V D A N R D N V D N P ^ N , D N O V ^ ^ N V P V , G , D N N V P D N V V , & G , D ^ N V P ^ O V D ^ N N O V O V A , P G N C , , C , C , , N $ N O V R V P V N N V P V D N N P A P A R D N , P D ^ N , V R V P D N , ^ V N O V R V P O V D ^ P D A N , & , P N , ^ V R D A N V P D N , L V P N P D ^ N O & V V P D ^ N , ^ V N N N V , P , O V A P V ^ P D N N P D N & V D N V O P D A N ,
More about caching engine.js on DWR's site : http://directwebremoting.org/dwr/browser/engine/static.html	A P V ^ P Z N , U
One feature missing of current DWR 3.x that any user should take good care is that when an instance of a bean has properties of NULL value , those properties will be still injected to the JSON and these redundant data DO affect the performance . When a property has the value of NULL , usually it should not be sent to frontend . Details of problem : http://dwr.2114559.n2.nabble.com/Creating-Custom-bean-converter-td6178318.html	$ N V P A ^ $ P D N V V A N V O R D N P D N V N P ^ N , D N V V R V P D ^ & D A N V V D N , R D N V D N P ^ , R O V R V V P N , N P N , U
The biggest difference among other solutions to transfer objects ( marshaling ) is object references . For instance , if you use it to transfer a tree : A |-B |-C in a list { A , B , C} : B.parent = A C.parent = A then A is the same object in Javascrit ! On the bad side , if you have complex structures with circular dependencies and lot of objects : A -B , B -C , C -B , C . A ,... it could crash . Anyway , I use it in a real project used by many hundreds of companies in production to transfer thousands of objects to a single html page in order to draw a complex graph and it works nicely with a good performance .	D A N P A N P N N , V , V N N , P N , P O V O P V D N , G G G P D N , C , C , C , C = C C = C R G V D A N P ^ , P D A N , P O V A N P A N & N P N , G G , G G , G G , G , G , O V V , R , O V O P D A N V P A N P N P N P V N P N P D A ^ N P N P V D A N & O V R P D A N ,
Clientside Javascript --> Serverside Java --> user is served a . doc	N ^ , N ^ , N V V D , N
I am helping someone out with a javascript-based web app ( even though I know next to nothing about web development ) and we are unsure about the best way to implement a feature we'd like to have . Basically , the user will be using our tool to view all kinds of boring data in tables , columns , etc . via javascript . We want to implement a feature where the user can click a button or link that then allows the user to download the displayed data in a . doc file . Our basic idea so far is something like : call a Java function on the server with the desired data passed in as a String when the link is clicked generate the . doc file on the server automatically " open " a link to the file in the client's browser to initiate the download Is this possible ? If so , is it feasible ? Or , can you recommend a better solution ? edit : the data does not reside on the server ; rather , it is queried from a SQL database	O V V O T P D A N N , R P O V R P N P N N , & O V A P D A N P V D N L V P V , R , D N V V V D N P V D N P A N P N , N , G , P ^ , O V P V D N R D N V V D N & V P R V D N P V D A N P D , N N , D A N R R V N V , V D ^ N P D N P D A N V P P D ^ R D N V V V D , N N P D N R , V , D N P D N P D S N P V D N V D A , P R , V O A , & , V O V D A N , V , D N V R V P D N , R , O V V P D ^ N
What type of web server are you using ?	D N P N N V O V ,
a java enabled one , i presume	D ^ V $ , O V
Yep , its possible . Your saviour is the Apache POI library . Its HWPF library will help you generate Microsoft word files using java . The rest is just clever use of HTTP .	! , L A , D N V D ^ ^ N , L ^ N V V O V ^ N N V ^ , D N V R A N P ^ ,
Your basic idea sounds a bit Rube-Goldbergesque . Is the data you want in the document present on the server ? If so , then all you need to do is display a plain HTML link with GET parameters that describes the data ( i.e. data for customer X from date A to date B ) . The link will be handled on the server by a Servlet that gets the data and produces the . DOC file as its output to be downloaded by the browser - a very simple one-step process that doesn't even involve any JavaScript .	D A N V D N A , V D N O V P D N N P D N , P R , R R O V P V V V D A ^ N P V N O V D N , G N P N G P N G P N G , , D N V V V P D N P D N O V D N & V D , ^ N P D N P V V P D N , D R A N N O V R V D ^ ,
no , the data is being queried from a SQL database	! , D N V V V P D ^ N
Which means the server can simply run the same query again - it has done it before , it's not the javaScript that directly accesses the DB , is it ?	O V D N V R V D A N R , O V V O R , L R D ^ D R N D ^ , V O ,
Passing large amount data as GET / POST around might not be the best idea . You could just pass in the same parameters you used to generate the HTML page earlier . You don't even need to use 3rd party library to generate DOC . You could just generate a plain old HTML file with DOC extension and Word will be happy to open it .	V A N N P V , V P V R V D A N , O V R V P D A N O V P V D ^ N A , O V R V P V $ N N P V ^ , O V R V D A A ^ V P ^ N & ^ V V A P V O ,
thats a nice trick :) but the file format won't really be DOC now , will it :)	L D A N E & D N N V R V ^ R , V O E
that's a good idea , but it would be nice to keep the table formatting	L D A N , & O V V A P V D N N
True , but if the user sees the results opening in Word , nobody cares ( from experience ) . We did the same trick for export only excel spreadsheets - no problem with comma-semicolon separator unlike in csv .	A , & P D N V D N V P ^ , O V , P N , , O V D A N P V R ^ N , D N P N N P P ^ ,
Sounds like Docmosis Java library could help - check out theonline demo since shows it something similar to what you're asking - generating a real doc file from a web site based on selections in the web page . Docmosis can query from databases and run pretty much anywhere .	V P ^ ^ N V V , V T A N P V O N A P O L V , V D A N N P D N N V P N P D N N , ^ V N P N & V R R R ,
How can I get a signed Java Applet to perform privileged operations when called from unsigned Javascript ?	R V O V D V ^ N P V A N R V P A ^ ,
Use the java.security.AccessController class . There is a doPrivilegedAction and doPrivilegedExceptionAction that do exactly what you need . For example : AccessController.doPrivileged ( new PrivilegedAction() { public Object run() { .. do something that only works with signed applets .. } } );	V D ^ N , X V D ^ & ^ O V R O O V , P N , C , C C , C C C , , C C C C C C C C , , , ,
It's worth adding : make your privaction'd run() method as small and self-contained as possible . Obviously you could just have your signed applet's init() method call a privileged run() which in turn does the actual applet , but that's just begging to be abused , misused accidentally , or outright exploited . Also , the fact that signed applets lose their special permissions when called by JavaScript is not specific to a particular browser or platform . That's just how it is , everywhere , all the time .	L V V , V D L ^ N P A & A P A , R O V R V D V S ^ N V D A ^ D P V V D A N , & L R V P V V , V R , & R V , R , D N P A N V D A N R V P ^ V R A P D A N & N , L R R O V , R , X D N ,
Java date format to JavaScript date format	^ N N P ^ N N
" dd / mm / yy ( 07 / 06 / 2009 )" does not compute , but I won't edit it because I'm not sure on exactly what you intend .	, G , G , G , $ , $ , $ , V R V , & O V V O P L R A P R O O V ,
Could you give some information on how you are passing the Java date to the Javascript code ? e.g. are you writing it out using a JSP ? That will help a lot in answering your question .	V O V D N P R O V V D ^ N P D ^ N , G V O V O T V D ^ , O V V D N P V D N ,
Did you mean " dd / mm / yy ( 07 / 06 / 09 )" ? Otherwise I don't understand the difference between the two sample dates you gave .	V O V , G , G , G , $ , $ , $ , , R O V V D N P D $ N N O V ,
After reading this question about twenty times , I think Ed means How do I convert a string used to format dates in Java ( using SimpleDateFormat ) to an equivalent string used to format dates in JavaScript ( using Date.format ) ?	P V D N P $ N , O V G V R V O V D N V P N N P ^ , V ^ , P D A N V P N N P ^ , V ^ , ,
( However I am still down-voting this question because if you need to do this , you re doing it wrong ) .	, R O V R V D N P P O V P V D , O N V O A , ,
If you are using java , take a look at the Simple Date Format class .	P O V V ^ , V D V P D N N N N ,
The javascript code in this page implements some date functions and they " use the same format strings as the java.text.SimpleDateFormat class , with a few minor exceptions " . It is not the very same as you want but it can be a good start point .	D ^ N P D N V D N N & O , V D A N N P D ^ N , P D A A N , , O V R D R A P O V & O V V D A N N ,
A similar topic has been answered here : Converting dates in JavaScript I personally have found this to be a rather large pain and took the author's suggestion and used a library . As noted , jQuery datepicker has one that is a viable solution if you can afford the overhead of download for your application or already using it .	D A N V V V R , V N P ^ O R V V D P V D R A N & V D S N & V D N , R V , ^ ^ V $ O V D A N P O V V D A P N P D N & R V O ,
I really think a libary is the way to go on this one as well . FWIW , dojo has a good one as well . http://docs.dojocampus.org/dojo/date/locale	O R V D N V D N P V P D $ P R , G , ^ V D A $ P R , U
If you just need to pass a date from Java to JavaScript , the best way to do it , I think , would be to convert the Java date to milliseconds using date.getTime() , create a JavaScript date initialized with this milliseconds value with new Date ( milliseconds ) and then format the date with the means of the JavaScript Date object , like : date.toLocaleString() .	P O R V P V D N P ^ P ^ , D A N P V O , O V , V V P V D ^ N P N V ^ , V D ^ N V P D N N P A N , N , & R V D N P D N P D ^ N N , V , ^ ,
I have a similar problem with Java Date -> Javascript Date -> DatePicker . This helped get me a lot closer . Thanks !	O V D A N P ^ N , ^ N , ^ , D V V O D N R , N ,
Best solution . Solved the fact that SimpleDateFormat doesn't provide a zero based month .	A N , V D N P ^ V V D N V N ,
See this : http://www.javascripttoolbox.com/lib/date/examples.php	V D , U
If you just want to format dates my date extensions will do that well - it also parses data formats and does a lot of date math / compares as well : DP_DateExtensions Library Not sure if it'll help , but I've found it invaluable in several projects .	P O R V P N D D N N V V O R , O R V N N & V D N P N N , V P R , ^ N R A P L N , & L V O A P A N ,
You could use my plugin jquery-dateFormat .	O V V D N ^ ,
This JavaScript library should be able to help you . http://plugins.jquery.com/project/fIsForFormat ( I don't know why they have it as a jQuery Plugin , because it works standalone . ) You'd simply split the original formatted date into its individual elements and then create a new Date Object with those elements . Then , use this library's " Date.f() " method to output it into any format you could want . For example :	D ^ N V V A P V O , U , O V V R O V O P D ^ N , P O V R , , L R V D A A N P L A N & R V D A N N P D N , R , V D S , ^ , N P N O P D N O V V , P N ,
This works fine for me :	D V A P O ,
Check out moment.js ! It's " A lightweight javascript date library for parsing , manipulating , and formatting dates " . It is a really powerful little library . Here's an example ... Here's another example ... Also , its worth mentioning to checkout date.js . I think the two libraries complement each other .	V T ^ , L , D A ^ N N P V , V , & V N , , O V D R A A N , L D N , L D N , R , L V V P N ^ , O V D $ N V D A ,
Communication between Java and Javascript without Netscape or IE ?	N P ^ & ^ P ^ & ^ ,
In the lab I work in , we use Mozilla 1.7 for Sun Java Desktop System and Firefox 2.0 . 0.4 . My goal is to modify an existing Java application ( run via executable jar ) to communicate with our web-based login system . I am open to the idea of using both Java Applets and JavaScript to accomplish this task , but I have not found a way to integrate these two technologies in any browser but Netscape Navigator and Internet explorer . Is there a way to do this using either of the two aforementioned browsers ? A more concrete example : 1 . Launch application 2 . Click a " login " button 3 . Be prompted for a password 4 . In the background , have the application connect to the web-based login server , enter the username ( known by the app ) and the password , navigate to the time clock section and " click " the Punch In button 5 . Pull the timestamp of the login ( typically displayed on the browser ) and display it in the app	P D N O V T , O V ^ $ P ^ ^ N N & ^ $ , $ , D N V P V D V ^ N , V P A ^ , P V P D A N N , O V A P D N P V D ^ N & ^ P V D N , & O V R V D N P V D $ N P D N & ^ N & ^ N , V R D N P V D V R P D $ A N , ^ R A N , $ , V N $ , V D , N , N $ , V V P D N $ , P D N , V D N V P D A N N , V D N , V P D N , & D N , V P D N N N & , V , D N P N $ , V D N P D N , R V P D N , & V O P D N
From your question it is not clear why you need a browser to begin with . It is nearly trivial to perform a GET or POST from java with the login credentials and retrieve this time stamp . With out modification to the web service you can parse the out of the text returned from the GET or POST and then present the time stamp .	P D N O V R A R O V D N P V P , O V R A P V D N & N P ^ P D N N & V D N N , P P N P D N N O V P D N P D N V P D N & N & R V D N N ,
Look at HTTPURLConnection and perform POST of the same values login form contains to the same URL .	V P ^ & V N P D A N V N V P D A ^ ,
It looks like the GET and POST is the solution I've been looking for . I am able to find the credential fields and enter text , but how does one simulate a button click ? The line in the source code is : It seems I would either invoke the onclick property of the button or make a direct call to doLogin() , but I am unsure how to do either . Thanks for the help so far .	O V P D N & N V D N L V V P , O V A P V D A N & V N , & R V O V D N N , D N P D N N V , O V O V R V D N N P D N & V D A N P ^ , & O V A R P V R , N P D N R R ,
You need to look at what the JavaScript function doLogin is doing . It is most likely submitting the form .	O V P V P O D ^ N V V V , O V R R V D N ,
Open new browser window on click of a form button	V A N N P N P D N N
I want to open a new browser and load a page from the file system ( which will be created on clicking that button ) . My app is a java servlet . Basically I am allowing users to change some HTML on their website . On clicking the button the user get's to see a preview page , that shows what the page looks like with the changes made . What would be the easiest way to do this and what issues can you see , and possibly how we would we get around them . I see an issue , for example , if the browser window tries to open the file immediately , it won't even exist . So there needs to perhaps be some delay before trying to read the file .	O V P V D A N & N D N P D N N , O V V V P V D N , , D ^ V D ^ N , R O V V N P V D ^ P D N , P V D N D N L P V D N N , O V O D N V V P D N V , O V V D A N P V D & D N V O V , & R R O V O V P O , O V D N , P N , P D N N V P V D N R , O V R V , P X V P R V D N P V P V D N ,
This can be done using java script window.open('url','name ' ,.... ) you can pass parameters in this function . google for " javascript window.open function " Cheers	D V V V V ^ N G , ~ , O V V N P D N , ^ P , ^ ^ N , !
Maybe you can use jQuery / AJAX or a similar technique to post the data to the server first and then open it in a new window . see the jQuery documentation for an example : jQuery Post Example	R O V V ^ , ^ & D A N P N D N P D N R & R A O P D A N , V D ^ N P D N , ^ N N
if there is not much data to pass for preview page , you may pass it as url params instead of using jQuery . If data is large it is better to use jQuery . :) as http://www.xyz.com?name= " name " .....	P X V R A N P V P N N , O V V O P ^ G R P V ^ , P N V A O V R P V ^ , E P U , N , ,
I'm not familliar with java servlets , but can't you keep the uploaded html in a server-side session variable , display the contents in your preview page , then save the contents of the variable out to the file system once the user accepts the changes ?	L R A P ^ N , & V O V D A ^ P D N N N , V D N P D N N , R V D N P D A N P D N N P D N V D N ,
You could use JavaScript . On the button you add : and within the script part of the page you write a function like and in your Servlet you just wait for the file to appear before delivering it .	O V V ^ , P D N O V , & P D N N P D N O V D N V & P D N O R V P D N P V P V O ,
How to stop reloading Java applet when changing " overflow " style	R P V V ^ N O V , N , N
When I change the " overflow " style on document.body from " hidden " to " auto " , it forces a reload of a Java applet that is on the page . I have set overflow to hidden because most of the time I don't want scrollbars to be visible on the page , but I'd like to enable them without losing state in my applet . Is this possible , or is there another way I should be going about this problem ?	R O V D , N , N P ^ P , V , P , G , , O V D N P D ^ N O V P D N , O V V N P V P R P D N O V V N P V A P D N , & L V P V O P V N P D N , V D A , & V R D N O V V V P D N ,
It's not possible . Different browsers behave in different ways ; some reload the applet with the slightest DOM change while others keep it running even if you set display : none . In my experience the Java Plugin has very little control over this . You have to save the state of your applet either by : Reading the state into a JavaScript variable via LiveConnect and then writing it back to the applet afterwards Storing the state in static variables and checking their value when the Applet starts up	L R A , A N V P A N , D V D N P D A ^ V P N V O V R P O V N , N , P D N D ^ ^ V R A N P D , O V P V D N P D N & P , V D N P D ^ A P ^ & R V O R P D N R V D N P A N & V D N R D N V T
Split java strings in Rhino	A ^ N P ^
I'm trying to split a java string in a Rhino javascript program which give me the error js : Can't find method java.lang.String.split() . The Rhino docs mentioned that all the javascript String.prototype methods ( like match , split , etc . ) are available on java string if they're not already provided by java.lang.String . Any ideas on what's going on here ?	L V P V D ^ N P D ^ ^ N O V O D N ^ , V V N ^ , D ^ N V P X D ^ ^ N , V N , N , G , , V A P ^ N P L R R V P ^ , D N P L V P R ,
It may be that you're using it incorrectly . Doesn't split require a string parameter ?	O V V P L V O R , V V V D N N ,
Take a look at the Java docs : http://java.sun.com/j2se/1.5.0/docs/api/java/lang/String.html Doesn't seem to be a 0 parameter constructor for the split method . You gotta pass it a regular expression . Also , for further clarification , the split method returns a string array , it's not a void method like the way you've used it in your sample code .	V D V P D ^ N , U V V P V D $ N N P D N N , O V V O D A N , R , P A N , D N N V D N N , L R D A N P D N L V O P D N N ,
split takes an argument , which is the regular expression you want to use to split your tokens . http://java.sun.com/j2se/1.5.0/docs/api/java/lang/String.html	V V D N , O V D A N O V P V P V D N , U
Rhino provides only the methods that java.lang.String is missing and split obviously isn't one of them . In order to use JavaScript's implementation of split , you'll have to convert Java string to JavaScript one : var s = String ( new java.lang.String ( " 1 2 3 ")) ; // Also valid : var s = "" + new java.lang.String ( " 1 2 3 ") ; print ( s.split() ); // 1 2 3	^ V A D N P ^ V A & N R V $ P O , P N P V Z N P N , L V P V ^ N P ^ $ , C C = C , C ^ , , $ $ $ , , , R A , C C = , = C ^ , , $ $ $ , , V , ^ , , $ $ $
Not exactly the same context , but may help someone . I use the JavaScript function split() in Rhino . To get things working , I follow the pattern : I suppose that "" + forces Rhino to use a JavaScript type of String . When I forget to add "" + then I got the message	R R D A N , & V V N , O V D ^ N ^ P ^ , P V N A , O V D N , O V O , , V ^ P V D ^ N P N , R O V P V , , R O V D N
How to drag from browser area and deposit to the explorer area ?	R P V P N N & V P D N N ,
Sometime ago I was facing the problem the other way around : how to drag an item ( folder / file ) from an explorer window ( be it windows explorer , linux nautilus etc . ) to the browser window - that is , the drag starts in one application and ends in the browser . Since I had control over the browser , I was able to intercept the dragend event : the one which interested me . Now , I want to do this from the browser to the file explorer application : much like when you drag an image from firefox and drop it in a folder . My main problem is that while I can check when the drag event exited the browser window , I have no ideea how to get the location where the drag event finished . My ideea is to create a signed java applet and somehow track the mouse movement on the desktop - but this seems a little more than overkill . Any pointers on this ?	R R O V V D N D A N P , R P V D N , N , N , P D N N , V O ^ N , ^ ^ R , , P D N N , O V , D N V P $ N & V P D N , P O V N P D N , O V A P V D N N , D $ D V O , R , O V P V D P D N P D N N N , R R R O V D N P ^ & V O P D N , D A N V O P O V V R D N N V D N N , O V D N R P V D N R D N N V , D N V P V D V ^ ^ & R V D N N P D N , & D V D A A P N , D N P D ,
You won't be able to do this with JavaScript . JS is sandboxed in the browser and can't interact with anything outside .	O V V A P V D P ^ , ^ V V P D N & V V P N N ,
That I know . I am going to use JS only to detect the dragexit event from the html document , and pass control to the java signed applet . At least , that's the idea at this time .	P O V , O V V P V ^ A P V D N N P D ^ N , & V N P D ^ V N , P R , L D N P D N ,
According to your justification is is not simple , but it can be managed . There is class called DataFlavor . You had to use D D mechanism introduce in java using Transferable objects and provide correct mime-types and corresponding conversion . The problem is which mime-type will be accepted by explorer . I hope this help .	V P D N V V R A , & O V V V , X V N V ^ , O V P V ^ ^ N V P ^ V A N & V A N & A N , D N V D N V V V P N , O V D V ,
I guess it will accept most of the main mime-types . I believe now that when the dragexit happens , I need to pass control over to the java applet and from there construct the Transferable objects .	O V O V V R P D A N , O V R O R D N V , O V P V N N P D ^ N & P X V D A N ,
Need a Java and Javascript diff tool written in Java	V D ^ & ^ N N V P ^
We need an accurate diff utility for Java and Javascript files , written in Java . It should be invokable from within an Eclipse ( version 3.2 or 3.3 ) application . Preferably we need the Java source code for this utility also . The utility should be able to compare two files ( old and new , say ) and determine the following accurately : Number of LOC added to the new file Number of LOC deleted from the old file Number of LOC changed in the old file Number of change deltas , i.e. , contiguous blocks of code added / changed / deleted .	O V D A N N P ^ & ^ N , V P ^ , O V V A P P D ^ , N $ & $ , N , R O V D ^ N N P D N R , D N V V A P V $ N , A & A , V , & V D N R , N P ^ V P D A N N P ^ V P D A N N P ^ V P D A N N P N N , R , A N P N V , V , V ,
You might want to rephrase that to something like " does anyone know of a free Java diff tool that can do the following ... " . As it stands , it looks like a request for us to make one for you in which case you should probably head on over to RentACoder :-)	O V V P V D P N P , V O V P D A ^ N N D V V D N , , , P O V , O V A D N P O P V $ P O P D N O V R V P P P ^ E
Isn't there one already built in or use one of the many plug-ins that do it ? Google Search ?	V X $ R V P & V $ P D A N D V O , ^ N ,
See Diffj .	V N ,
Eclipse has a very good diff / compare plugin installed by default . Have you looked into using and / or extending that ( it's opensource ) ? I would not think that adding some statistics reporting to the existing plug-in would be all that difficult , though sometimes plug-in development ( even just simple extension ) can be deceiving . Good luck .	^ V D R A N , V V V P N , V O V P V & , & V D , L A , , O V R V D V D N V P D V N V V X R A , P R A N , R R A N , V V A , A N ,
I needed a Java diff implementation and found this : http://javacook.darwinsys.com/javasrc/textproc/Diff.java which I adapted .	O V D ^ N N & V D , U D O V ,
What are FTL files	O V ^ N
I am new to a project and have to learn it inside out . I see a lot of files with the extension . ftl in them . I'n not sure what they are . I know they can be modified and the user sees changes in the front end	O V A P D N & V P V O P T , O V D N P N P D N , N P O , G R A O O V , O V O V V V & D N V V P D A N
Freemarker template files I believe . http://freemarker.org /	^ N N O V , U ,
http://filext.com/file-extension/FTL points to http://freemarker.sourceforge.net , does that help ?	U V P U , V D N ,
Have a look here . Following files have FTL extension : Family Tree Legends Family File FreeMarker Template Future Tense Texture	V D V R , A N V ^ N , N N N N N ^ N N N N
freemarker combines java objects and view side ( HTML / JQuery ) contents in a single viewable template on a browser .	^ V ^ N & N N , ^ , ^ , N P D A N N P D N ,
FTL stands for FreeMarker Template . It is very useful when you want to follow the MVC ( Model View Controller ) pattern . The idea behind using the MVC pattern for dynamic Web pages is that you separate the designers ( HTML authors ) from the programmers .	^ N P ^ N , O V R A R O V P V D ^ , N N N , N , D N P V D ^ N P A N N V P O V D N , ^ N , P D N ,
An ftl file could just have a series of html tags just as a JSP page or it can have freemarker template coding for representing the objects passed on from a controller java file file . But , its actual ability is to combine the contents of a java class and view / client side stuff ( html JQuery javascript etc ) . It is quite similar to velocity . You could map a method or object of a class to a freemarker ( . ftl ) page and use it as if it is a variable or a functionality created in the very page . ping me for more details ..! cheers ..! :)	D ^ V V R V D N P ^ V R P D ^ N & O V V ^ N N P V D N V P P D N ^ N N , & , D A N V P V D N P D N N & N , N N N , ^ ^ ^ G , , O V R A P N , O V N D N & N P D N P D ^ , , N , N & V O R P O V D A & D N V P D A N , V O P A N , ! , E
. FLT is a file extension which is a mod for Faster than light , installed by Slipstream Mod Manager , which requires Java .	, ^ V D N N O V D N P A P N , V P ^ ^ N , D V ^ ,
Java frameworks vs. Javascript frameworks	^ N P ^ N
I am a big fan of the Dojo Toolkit but I see here often that there are Java frameworks that do the same thing but they are not as extensive or as user friendly as Dojo in my opinion . What are the main differences ? Can I use Dojo for the GUI and Java as the back-end ? Is there a list of Java frameworks for web development ?	O V D A N P D ^ N & O V R R O R V ^ N O V D A N & O V R R A & P N A P ^ P D N , O V D A N , V O V ^ P D ^ & ^ P D N , V R D N P ^ N P N N ,
http://tinyurl.com/l2apzg see the list of some java web frameworks	U V D N P D ^ N N
This is a fairly big misconception . The first chapter of every pretty much any javascript book describes how it's almost entirely unrelated to java .	D V D R A N , D A N P D R A D ^ N V R L R R A P ^ ,
Then I guess you don't understand my question . I saw multiple java gui frameworks that actually do the same thing as dojo and I am wondering what is better . I didn't say java is related to javascript . I am just searching for the framework I like the most .	R O V O V V D N , O V A ^ ^ N O R V D A N P ^ & O V V O V R , O V V ^ V V P ^ , O V R V P D N O V D A ,
Maybe if you haven't titled your question as Java vs Javascript ...	R P O V V D N P ^ P ^ ,
it's java vs. javascript frameworks . pharhaps the title should be java framekworks vs . javascript frameworks if it wasn't clear enough .	L ^ & ^ N , V D N V V ^ N P G ^ V P O V R A ,
isn't this equivalent to " Comparing Apples with Oranges "	V D N P , V N P ^ ,
I dont think unless using Applets , java can do the same as javascript because they have different purpose . Even applets dont exactly do the same thing . Read this	O V V P V N , N V V D A P ^ P O V A N , R N V R V D A N , V D
Well - there Google Web Toolkit . A lot of discussion about this here : http://code.google.com/intl/nb-NO/events/io/sessions.html	! , R ^ ^ N , D N P N P D R , U
GWT takes the Java code and translates it -literally- to Javascript code	^ V D ^ N & V O R P ^ N
Agree to all the comments , all i wanted to say is Java ! = JavaScript	V P X D N , X O V P V V ^ ? ? ^
Javascript is a completely different thing from Java Javascript is intended for browser behaviour , Java is a complete different thing . Some Java Web frameworks use Dojo ( like MyFaces ) when rendering rich components and Java is in charge of the backend . You can find many useful alternatives for Java Web Frameworks in stackoverflow What Web Application Framework for Java is recommended ? I personally prefer Spring MVC but there are many options	^ V D R A N P ^ ^ V V P N N , ^ V D A A N , D ^ ^ ^ V ^ , A ^ , O V A N & ^ V P V P D N , O V V A A N P ^ ^ ^ P ^ ^ ^ ^ ^ P ^ V V , O R V ^ ^ & R V A N
Where do you see MyFaces uses dojo ?	R V O V ^ V ^ ,
When MyFaces renders the HTML it includes some dojo libraries , it is mentioned in its documentation and even some components explicitly are named	R V V D ^ O V D ^ N , O V V P D N & R D N R V V
Is it really a " completely " different thing , or are we intended to overlook what they have in common ? However , I think that Java is rather a subset of Javascript than the other way round . ;)	V O R D , R , A N , & V O V P V O O V P N , R , O V D ^ V R D N P ^ P D A N P , E
I have found this library to fit my needs . I just need a server side back-end and it looks very lightweight .	O V V D N P V D V , O R V D N N N & O V R A ,
I don't think this is an answer for you own question , hehe . I didn't down-voted you though	O V V D V D N P O A N , ! , O V V O P
Why not ? Dojo handles REST channels . I can write my own framework around it .	R R , ^ V ^ N , O V V D A N P O ,
