setting classpath for java classes ( jar file ) in XUL , to access via javascript	V N P ^ N , ^ N , P ^ , P V P ^
See this : http://www.javascripttoolbox.com/lib/date/examples.php	V D , U
This works fine for me :	D V A P O ,
From your question it is not clear why you need a browser to begin with . It is nearly trivial to perform a GET or POST from java with the login credentials and retrieve this time stamp . With out modification to the web service you can parse the out of the text returned from the GET or POST and then present the time stamp .	P D N O V R A R O V D N P V P , O V R A P V D N & N P ^ P D N N & V D N N , P P N P D N N O V P D N P D N V P D N & N & R V D N N ,
Open new browser window on click of a form button	V A N N P N P D N N
if there is not much data to pass for preview page , you may pass it as url params instead of using jQuery . If data is large it is better to use jQuery . :) as http://www.xyz.com?name= " name " .....	P X V R A N P V P N N , O V V O P ^ G R P V ^ , P N V A O V R P V ^ , E P U , N , ,
When I change the " overflow " style on document.body from " hidden " to " auto " , it forces a reload of a Java applet that is on the page . I have set overflow to hidden because most of the time I don't want scrollbars to be visible on the page , but I'd like to enable them without losing state in my applet . Is this possible , or is there another way I should be going about this problem ?	R O V D , N , N P ^ P , V , P , G , , O V D N P D ^ N O V P D N , O V V N P V P R P D N O V V N P V A P D N , & L V P V O P V N P D N , V D A , & V R D N O V V V P D N ,
It may be that you're using it incorrectly . Doesn't split require a string parameter ?	O V V P L V O R , V V V D N N ,
Not exactly the same context , but may help someone . I use the JavaScript function split() in Rhino . To get things working , I follow the pattern : I suppose that "" + forces Rhino to use a JavaScript type of String . When I forget to add "" + then I got the message	R R D A N , & V V N , O V D ^ N ^ P ^ , P V N A , O V D N , O V O , , V ^ P V D ^ N P N , R O V P V , , R O V D N
That I know . I am going to use JS only to detect the dragexit event from the html document , and pass control to the java signed applet . At least , that's the idea at this time .	P O V , O V V P V ^ A P V D N N P D ^ N , & V N P D ^ V N , P R , L D N P D N ,
We need an accurate diff utility for Java and Javascript files , written in Java . It should be invokable from within an Eclipse ( version 3.2 or 3.3 ) application . Preferably we need the Java source code for this utility also . The utility should be able to compare two files ( old and new , say ) and determine the following accurately : Number of LOC added to the new file Number of LOC deleted from the old file Number of LOC changed in the old file Number of change deltas , i.e. , contiguous blocks of code added / changed / deleted .	O V D A N N P ^ & ^ N , V P ^ , O V V A P P D ^ , N $ & $ , N , R O V D ^ N N P D N R , D N V V A P V $ N , A & A , V , & V D N R , N P ^ V P D A N N P ^ V P D A N N P ^ V P D A N N P N N , R , A N P N V , V , V ,
Eclipse has a very good diff / compare plugin installed by default . Have you looked into using and / or extending that ( it's opensource ) ? I would not think that adding some statistics reporting to the existing plug-in would be all that difficult , though sometimes plug-in development ( even just simple extension ) can be deceiving . Good luck .	^ V D R A N , V V V P N , V O V P V & , & V D , L A , , O V R V D V D N V P D V N V V X R A , P R A N , R R A N , V V A , A N ,
Freemarker template files I believe . http://freemarker.org /	^ N N O V , U ,
FTL stands for FreeMarker Template . It is very useful when you want to follow the MVC ( Model View Controller ) pattern . The idea behind using the MVC pattern for dynamic Web pages is that you separate the designers ( HTML authors ) from the programmers .	^ N P ^ N , O V R A R O V P V D ^ , N N N , N , D N P V D ^ N P A N N V P O V D N , ^ N , P D N ,
I am a big fan of the Dojo Toolkit but I see here often that there are Java frameworks that do the same thing but they are not as extensive or as user friendly as Dojo in my opinion . What are the main differences ? Can I use Dojo for the GUI and Java as the back-end ? Is there a list of Java frameworks for web development ?	O V D A N P D ^ N & O V R R O R V ^ N O V D A N & O V R R A & P N A P ^ P D N , O V D A N , V O V ^ P D ^ & ^ P D N , V R D N P ^ N P N N ,
Maybe if you haven't titled your question as Java vs Javascript ...	R P O V V D N P ^ P ^ ,
Well - there Google Web Toolkit . A lot of discussion about this here : http://code.google.com/intl/nb-NO/events/io/sessions.html	! , R ^ ^ N , D N P N P D R , U
Where do you see MyFaces uses dojo ?	R V O V ^ V ^ ,
I don't think this is an answer for you own question , hehe . I didn't down-voted you though	O V V D V D N P O A N , ! , O V V O P
Where did you hear this ? Greg Hewgill posted it here : http://stackoverflow.com/questions/245062/whats-the-difference-between-javascript-and-java/245068#245068 , but he didn't remember where he got it from .	R V O V D , ^ ^ V O R , U , & O V V R O V O P ,
JavaScript Frameworks . Those listed here include : Prototype jQuery Ext Script.aculo.us MooTools Yahoo ! UI Library ( YUI ) Dojo Toolkit Backspace They are among the most popular ones . I use MooTools .	^ N , O V R V , ^ ^ ^ ^ ^ ^ , ^ N , ^ , ^ N N O V P D R A N , O V ^ ,
Don't you mean File [] ( not Files[] ) ? Other then that , it would help if you alert ( files ) . Also , if you have a javascript debugger ( DebugBar , for example ) that would help the most .	V O V ^ = , R C , , R R D , O V V P O V , N , , R , P O V D ^ N , ^ , P N , D V V D R ,
Already seen this link . Approach is not viable since getFiles returns an array of non-string objects .	R V D N , N V R A P ^ V D N P A N ,
Can I create a ' window ' object for javascript running in the Java6 Rhino Script Engine	V O V D , N , N P ^ V P D ^ ^ N N
That looks awesome ! I'll try that - cheers .	O V A , L V D , N ,
Got an error when was trying to use your method . But either way , thanks for trying to help	V D N R V V P V D N , & D N , ! P V P N
Exemplary work . +1	R N , $
OpenLaszlo is on open source XML -> Javascript ( technically DHTML , also can compile to Flash ) compiler . I've played with it a little bit and it seemed interesting , although have never used it seriously ( bad IDE support when I tried it ) . Objective-j is a similar project that resembles objective-c , although runs as javascript ( not sure if it compiles it or has a js interpreter ) . I don't know much about it , but do see posts about it on the Ajaxian from time to time .	^ V P A N ^ , ^ , R ^ , R V V P ^ , N , L V P O D A N & O V A , P V R V O R , A ^ V R O V O , , ^ V D A N P V ^ , P V P ^ , R A P O V O & V D ^ N , , O V V R P O , & V V N P O P D ^ P N P N ,
Script # JSC cappuccino ( sort of )	N , ^ N , V P ,
Pyjamas compiles Python to JavaScript . HotRuby runs Ruby source code under JavaScript and Flash . Orto is ( was ? ) a JVM implemented in JavaScript . ( Original site is down ; link is to a blog entry . ) The ZK framework , which likes to compare themselves favorably against GWT , uses Java and XML to generate JavaScript . ( They claim that it takes far less code than GWT to do the same stuff . ) And I have heard it well-argued that jQuery is a separate language that happens to be implemented in , and run under , JavaScript . :-)	^ V ^ P ^ , ^ V ^ N N P ^ & ^ , ^ V , V , , D ^ V P ^ , , A N V T , N V P D N N , , D ^ N , O V P V O R P ^ , V ^ & ^ P V ^ , , O V P O V R A N P ^ P V D A N , , & O V V O V D ^ V D A N P V P V V T , & V P , ^ , E
The inventors of Clojure ( a JVM based Lisp dialect ) launched ClojureScript in mid-2011 . ClojureScript compiles Clojure source code into JavaScript , making use of the Google Closure compiler and the Closure framework . ClojureScript code can run both in the browser client , or on node.js servers .	D N P ^ , D ^ V ^ N , V ^ P $ , ^ V ^ N N P ^ , V V P D ^ ^ ^ & D ^ N , ^ N V V $ P D N N , & P ^ N ,
Perfect ! This makes sense , but I wish it was documented better on the GWT site .	A , D V N , & O V O V V R P D ^ N ,
It might have something to do with the changes made in Java 6 Update 10 . After the release my applets started to fail with ClassNotFoundExceptions independent of the browser - strangely they worked with 6u7 before that . First I thought about a messed up installment or configuration but then others have experienced the same thing in their system . My trial-and-error came up with the very same result as your observation , namely if I specify even an empty codebase attribute , my applet fails . Googling around ( today ) does not come up with any meaningful results or bug reports issued . I would guess the rules for the codebase attribute usage changed between versions - maybe the old one wasn't restrictive enough or wasn't conformant to some specification .	O V V N P V P D N V P ^ $ N $ , P D N D N V P V P ^ A P D N , R O V P $ P O , A O V P D V T N & N & R N V V D A N P D N , D N V T P D R A N P D N , R P O V R D A N N , D N V , V P , N , V R V T P D A N & N N A , O V V D N P D N N N V P N , R D A N V A A & V V P D N ,
We followed Rhino docs to run JavaScript interpreter from Java 1.4 and 1.5 .	O V ^ N P V ^ N P ^ $ & $ ,
This is correct . __utm.js has dependancies on various browser objects . Thanks !	D V A , ^ V N P A N N , N ,
This link may be helpful . It seems that the best you can do is to rely on an implementation specific class .	D N V V A , O V P D A O V V V P V P D N A N ,
Does not work ? You may also want to look at the GWT ' Dictionary ' class . It's ideal for loading values , i.e. parameters from the host page .	V R V , O V R V P V P D ^ , N , N , L A P V N , G N P D N N ,
In my book , yes . I'm a strong believer in understanding the underlying technology beneath whatever toolkits you're using . Abstractions are leaky - you'll run into trouble down the line if you try to get away with only understanding a high-level toolkit , and not the underlying technology . Sooner or later you'll need to debug your project at the JavaScript ( or whatever ) level .	P D N , ! , L D A N P V D A N P D N L V , N V A , L V P N P D N P O V P V R P A N D A N , & R D A N , R & R L V P V D N P D ^ , & ! , N ,
Understanding the technology behind your framework reduces the time spending on debugging the things you do with your framework . so in my opinion it's always good to know whats going on behind the scene .	V D N P D N V D N V P V D N O V P D N , R P D N L R A P V L V P P D N ,
I think the reality of browser bugs will make being able to diagnose and understand the generated JavaScript necessary for a long time . I worked with a Spreadsheet company for OS / 2 , and they had to read the generated assembler from the C++ code because the IBM compiler would generate buggy machine code at times . So while they may not have known enough Assembler to write a whole project in it , they certainly had to know enough to track down problems . That being said , there are also many web frameworks that require you to code your own javascript , and a given toolkit won't necessarily do everything that you need to do without directly writing some javascript . You can choose frameworks that avoid it if you prefer , but it isn't at all obvious that , unlike say Assembler for application development , the Web development community has decided to abstract away any involvement with it . You may well end up on projects that need it .	O V D N P N N V V V A P V & V D V ^ A P D A N , O V P D N N P ^ , $ , & O V P V D V N P D ^ N P D ^ N V V N N N P N , P P O V R V V A N P V D A N P O , O R V P V A P N T N , O V V , X V R A N N O V O P N D A ^ , & D V N V R V N P O V P V P R V D ^ , O V V N O V O P O V , & O V P D A O , P V N P N N , D ^ N N V V P V R D N P O , O V R N T P N O V O ,
A web developer who does not know Javascript is like an auto mechanic who does not know how to change a tire .	D N N O V R V ^ V P D A N O V R V R P V D N ,
Apparently you are generating the table in the JSP so why don't you just output the data you are creating the Table from ? For the actual JavaScript implementation just take a look at Ajax functionality and Dom Manipulation with jQuery ( http://jquery.com )	R O V V D N P D ^ R R V O R P D N O V V D N P , P D A ^ N R V D V P ^ N & ^ N P ^ , U ,
Issue with IE security on page opened from javascript	N P ^ N P N V P ^
No they both have the same domain one is www.example.com/app1/page.jsp the other is www.example.com/app2/anotherpage.jsp	! O D V D A N N V U D N V U
Unfortunately I can't post the source A : Because of an NDA B : The Javaprojects are Huge The javascript that loads the page is just window.open ( " URL ") ; nothing special	R O V V D N G , P P D ^ G , D N V A D ^ D N D N V R ^ , , ^ , , N A
You need to uninstall " Explorer Enhanced Security " , which is on by default in Windows Servers , before IE will act like a normal browser . :) Workstations shouldn't get this problem .	O V P V , ^ N N , , O V P P N P ^ N , P ^ V V P D A N , E N V V D N ,
Wow . That's pretty slick . I'm definitely going to consider that .	! , L R A , L R V P V O ,
Here's the JavaScript ( on an aspx page ): pdfXML is got from pdfData which is a hidden field on the page containing the XML that contains base64 encoded pdf data which is passed to the java applet . All the other values being passed have within range sensible values . The XML is like this The contents of the element PDF is a lot bigger than displayed here The signature of the Java method is : It seems that when the size of the PDF data gets large the applet fails to be called and the error ' Unknown Error ' is thrown in the JS . The PDF doc the data of which is producing this error is about 4Mb in size . Many thanks in advance for any help .	L D ^ , P D ^ N , ^ V V P N O V D A N P D N V D ^ O V ^ V ^ N O V V P D ^ N , X D A N V V V P N A N , D ^ V P D D N P D N ^ V D N A P V R D N P D ^ N V , O V O R D N P D ^ N V A D N V P V V & D N , A N , V V P D ^ , D ^ N D N P O V V D N V P ? P N , A N P N P D N ,
Also you could try to get the form field value from within the applet and not pass it in as parameter ?	R O V V P V D N N N P P D N & R V O P P N ,
We are plannnig to upgrade the UI framework for our 6-8 year old application written using Struts / JSP / EJB to ExtJS . Just curious as to what is the most popular Java technology on the server people have been using . We were looking into several alternatives like DWR RestEasy Restlet Struts-Json We are diving more towards using DWR but just wanted to know if the programming community has some food for thought on this . For backward compatiblity reasons the migration will happen incrementally and during that period we will try to make ExtJS coexist with the old Web1.0 style pages . We are not changing anything on the business tier but just the web tier will change from JSP to ExtJs pages .	O V V P V D ^ N P D $ A A N V V ^ , ^ , ^ P ^ , R A P P O V D R A ^ N P D N N V V V , O V V P A N P ^ ^ ^ ^ O V V R P V ^ & R V P V P D N N V D N P N P D , P R A N D N V V R & P D N O V V P V ^ V P D A ^ N N , O V R V N P D N N & R D N N V V P ^ P ^ N ,
We've been using Restlet with good success , and it can be used on applications that aren't 100% RESTful ( we've got areas where we're a bit cavalier ) . It's not a full solution , but it comes with decent integrations to other technologies . For instance we generate our XHTML / CSS pages using Restlet's support for the Apache FreeMarker template generator . Our generated pages happen use jQuery , and ExtJS ought to work equally well . Restlet has a GWT module too .	L V V ^ P A N , & O V V V P N P V $ ^ , L V N R L D N A , , L R D A N , & O V P A N P A N , P N O V D ^ , ^ N V Z N P D ^ ^ N N , D V N V V ^ , & ^ V P V R R , ^ V D ^ N R ,
I've been using for similiar project jabsorb , which is very similiar to DWR , but conforms to JSON-RPC .	L V V P A N ^ , O V R A P ^ , & V P ^ ,
After much revision ( see edit history , viewers at home :) , I believe this is my final answer :	P A N , V V N , N P N E , O V D V D A N ,
Maybe further developments will help ...	R A N V N ,
How about this modification :	R P D N ,
The test case you mentioned does not apply to my situation . I'm guaranteed that ' keyword ' will appear just like that , in ASCII . Doing two tests ( first test for string literal , then test for presence of keyword ) will produce a lot of false-positives in my case because probability of a literal having a keyword is about 1% .	D N N O V V R V P D N , L A O , N , V V R P O , P ^ , V $ N , A N P V N , R N P N P N , V V D N P N P D N P N P D N V D N V P $ ,
You could use JSNI to reuse your JavaScript piece of code . Your javascript code would call a gwt method on an object that would throw it on behalf of the button in the iframe . As to why GWT code does not work -- I guess that is because they use some layer on top of regular browser events that probably cannot span more than 1 frame . That's just a guess though . You could file this as a feature / bug request agains GWT team . If I am right your code looks just fine .	O V V ^ P P D ^ N P N , D ^ N V V D ^ N P D N O V V O P N P D N P D ^ , R P R ^ N V R V , O V O V P O V D N P N P A N N O R V V R P $ N , L R D N P , O V V D P D N , N N G ^ N , P O V R D N V R A ,
I expect the problem is that the GWT method onAttach() is not called when you use the wrapping as in your first example . You can try to use the static wrap method on the Button widget . Although to use this the input must be of type button . Or have a look at the implementation of the wrap method . Here is the modified code when using the wrap method :	O V D N V P D ^ N ^ V R V R O V D V P P D A N , O V V P V D A N N P D N N , P P V D D N V V P N N , & V D V P D N P D N N , R V D A N R V D N N ,
You may find this helpful : You will then be able to make arbitrary containers into widget containers : And bind events to arbitrary elements : Specifically in your case , try this : It's always mystified me that GWT makes doing this so difficult and poorly documented .	O V V D A , O V R V A P V A N P N N , & N N P A N , R P D N , V D , L R V O D ^ V V D R A & R V ,
Almost all search provider has some APIs , but the free ones impose some constraints about how often can you search , how many times in a day and how many results you get .	R D N N V D ^ , & D A N V D N P R R V O N , R A N P D N & R A N O V ,
Install Firebug , study the requests that are made by the site's javascript and mimic them in your program . Chances are there is a single request that needs to be made and the resulds would come in some nice form like JSON	V ^ , V D N O V V P D S ^ & V O P D N , N V X V D A N O V P V V & D G V V P D A N P ^
what problems will I run into with DDE ?	D N V O V P P ^ ,
But that POST request I saw in Firebug , how can I dig deeper to see the equivalent http request ( preferably with a search query appended ) ? Yes this is a public site .	& D N V O V P ^ , R V O V R P V D N ^ N , R P D N N V , , ! O V D A N ,
Mozilla Rhino : Default JavaScript Compliance Level	^ ^ , N ^ N N
Having had a look through most of the Rhino code , it looks like most of the testing against language version is negative testing , e.g. if ( getLanguageVersion() ! = Context.VERSION_1_2 ) { return paramCount ; } VERSION_DEFAULT is defined as ' 0 ' , so the one place where it looks like it would need to be set as 1.7 is to support the " let " and " yield " keywords because of this code from TokenStream : if (( result == Token.LET || result == Token.YIELD ) & & parser.compilerEnv.getLanguageVersion() Context.VERSION_1_7 ) { // LET and YIELD are tokens only in 1.7 and later result = Token.NAME ; }	V V D V P R P D ^ N , O V R R P D N P N N V A N , G C , ^ = = ^ , , C C , , ^ V V P , $ , , P D $ N R O V P O V V P V V P $ V P V D , ^ , & , ^ , N P P D N P ^ , P , C = C , C = C , & & C ^ , , = ^ & ^ V N R P $ & R N = C , ,
Thanks for your reply . I am trying to execute your sample with my table id , but I cannot get it to work . I am getting an Authorization Required . I am authenticating with Google Analytics before requesting the URI . Let me know if you know what steps to take before executing the script . Thanks again .	N P D N , O V V P V D N P D N N , & O V V O P N , O V V D N V , O V V P ^ N P V D ^ , V O V P O V D N P V P V D N , N R ,
i do have a communication probleme here between my java servlet and an ajax request . more about it : Absolute path to the index.html ( including javascript / ajax request ): http://localhost:9080/chat/index.html In the same folder the servlet : MyChat.class And the Request is working like this : var url = " http://localhost:9080/chat " ; var name = document.getElementById ( " username ") . getAttribute ( " value ") ; var message = document.getElementById ( " message ") . getAttribute ( " value ") ; var tosend = name+ " , " +message ; request.open('GET ' , url , true ); request.send ( tosend ); request.onreadystatechange = interpretRequest ; I'm having a formular where a user just types in the name and the message and " username " and " message " are tags in my html file . The ajax request works , that's sure , but it doesn't communicate with the servlet . I also don't have an idea where the output from System.out.println() goes . No log file is filled ... And the servlet looks like this : public class MyChat extends HttpServlet { private static final long serialVersionUID = 1L ; }	O V V D N G R P D ^ N & D ^ N , R P O , A N P D ^ , V ^ , ^ N E U P D A N D N , C & D N V V P D , C C = , C , , C C = ^ , , C G , ^ , , C , , C C = ^ , , C , , ^ , , C , , C C = C , , , C , C , , C , C , ^ , C , ^ = C , L V D N R D N R N P D N & D N & , N , & , N , V V P D ^ N , D ^ N V , L A , & O V V P D N , O R V V D N R D N P ^ V , D N N V V , & D N V P D , C C C C ^ , C C C C C = C , ,
The URL you've specified isn't to your servlet . Just like the URL to the index page is http:// server : port / webapp name / resource the URL to your servlet needs a mapping in the web.xml file that corresponds to the resource part of the url . For example , if you had a controller servlet you'd expect something like the following in your web.xml : The URLs that would invoke the ' controller ' servlet would then follow the form http:// server : port / webapp name / anything . do .	D ^ L V V P D N , R P D ^ P D N N V ^ N , N , N N , N D ^ P D N V D N P D N V O V P D N N P D ^ , P N , P O V D N N L V N P D V P D N , D ^ O V V D , N , N V R V D N ^ N , N , N N , N , V ,
The classes go in WEB-INF / classes . If you use ANT the WAR task will do it all for you .	D N V P ^ , N , P O V ^ D ^ N V V O R P O ,
But I dont want to embed the applet in each of the jsps . That is the catch . The applet needs to be invoked from a jsp where it is NOT embedded .	& O V V P V D N P D P D ^ , O V D N , D N V P V V P D ^ R O V R V ,
so you're suggesting I do the geocoding on the server because it's limited enough ?	P L V O V D N P D N P L V A ,
signed applet gives AccessControlException : access denied , when calling from javascript	V N V ^ , V V , O V P ^
Thanks a lot , this solved my problem in a nice and clean way .	N D N , O V D N P D A & A N ,
Communcation between Java and applet	N P ^ & N
I'm not sure what you are trying to achieve - are there two classes , one in an applet and another , where ?	L R A O O V V P V , V R $ N , $ P D N & D , R ,
Open an HttpURLConnection in a browser	V D ^ P D N
I am currently working on a web app using Wicket and started using jQuery core ( UI also ) in it today . I ran into an issue I troubleshooted as a jQuery function ( show() , slideDown() ) colliding with some of the javascript Wicket auto-generated for an external form link . Before I get deeper into this project I am wondering if anyone has had similar experiences . Are there a lot of places where the jQuery effects / actions collide with Wicket generated javascript / HTML ? Are there clean ways to avoid this , or mitigate it ? I have seen Wicketext as possibly a cleaner " integrator " of the two , but mostly it seems to just be a way of doing more of the jQuery-ish code in the Java instead of JS .	O V R V P D N N V ^ & V V ^ N , ^ R , P O N , O V P D N O V P D ^ N , ^ , ^ , V P D P D ^ ^ V P D A N N , P O V R P D N O V V P O V V A N , V R D N P V R D ^ N , N V P ^ V ^ , ^ , V R A N P V D , & V O , O V V ^ R R D N , N , P D $ , & R O V P R V D N P V R P D A N P D ^ R P ^ ,
Upload image thumbnail to server , without uploading whole image	V N N P N , P V A N
" If this were possible with Flash , that would seem like the best option . " As I understand it , it is possible with Flash Player 10 . Here's an example : http://blog.kukiel.net/2009/02/file-manipulation-client-side-with.html Flash Player 10 currently has a general market penetration of about 85-90% , so if you hesitate to use Java because only 96.52 % of your user have it installed , I guess you wouldn't want to require Flash Player 10 either .	, P D V A P ^ , O V V P D A N , , P O V O , O V R P ^ N $ , L D N , U ^ N $ R V D A N N P P $ , R P O V P V ^ P A $ N P D N V O V , O V O V V P V ^ N $ & ,
How to evalute prototype js files through rhino script engine in Java	R P V N ^ N P ^ N N P ^
You could also get away with declaring some dummy objects for document , window , navigator and so on . This way you do not have to change prototype.js .	O V R V R P V D A N P N , N , N & R P , D N O V R V P V ^ ,
I'm using the same source code for a GWT 1.5 and GWT 1.7 application . I'm wondering is there a way to conditionally compile parts of the java code for one or the other version . I know there is a way to do it for widgets and browsers in the module XML file .	L V D A N N P D ^ $ & ^ $ N , L V V X D N P R V N P D ^ N P $ & D A N , O V X V D N P V O P N & N P D N ^ N ,
The solution is very simple .	D N V R A ,
I'm writing a program ( in Java ) that needs to extract links from webpages . I'm using htmlParser ( http://htmlparser.sourceforge.net/) but I'm only able to extract html links ( defined with a href= " ... " ) and I don't know how to handle javascript code to extract links from ... can you help me ??	L V D N , P ^ , O V P V N P N , L V ^ , U & L R A P V ^ N , V P D N , , , , & O V V R P V ^ N P V N P , V O V O ,
You can use Rhino with DOM environment , written in JavaScript . By the way it is written by John Resig .	O V V ^ P ^ N , V P ^ , P D N O V V P ^ ^ ,
Kill Java Applet via Javascript	V ^ N P ^
I would suggest that you create a class that monitors the applet to be killed . run the monitor as some sort of servlet and get javascript to post ' kill applet ' commands when it needs to be killed .	O V V P O V D N D N D N P V V , V D N P D N P N & V ^ P N , V N , N R O V P V V ,
If you kill the applet after the javascript call finishes it will probably avoid the error . You can do this with java.util.Timer.schedule() .	P O V D N P D ^ V V O V R V D N , O V V D P ^ ,
I use a timer that resets and keeps checking a number of times before it gives up . Note that this assumes that the applet will run in Safari . I've had some instances where an applet required Java 6 that simply hangs Safari even with code similar to the above . I chose to do browser detection on the server and redirect the user to an error page when the browser doesn't support the applet .	O V D N P V & V V D N P N P O V T , V P D V P D N V V P ^ , L V D N R D N V ^ $ D R V ^ R P N A P D N , O V P V N N P D N & V D N P D N N R D N V V D N ,
I don't see how this is relevant to waiting for the applet to load . Also , the example on the page doesn't work in Firefox 3.5 . 4 on Snow Leopard .	O V V R O V A P V P D N P N , R , D N P D N V V P ^ $ , $ P ^ ^ ,
But if you do that , document.getElementById ( applet_id ) will return null when it doesn't exist , and then it will throw a null reference exception of " . isActive " . I didn't want to have to test by exception , that is very , very slow in JS .	& P O V O , ^ , ^ , V V A R O V V , & R O V V D A N N P , , ^ , , O V V P V P N P N , O V R , R A P ^ ,
I'm about to develop a web mapping application with ESRI Products like ArcGIS Server and Image Server . I can't find a good comparison between the Java Web ADF and the Javascript Framework . They're of course different because one is a full environment and the other is only client side but it's much more concise and the step to start is minimal . Another problem is that the Java Web ADF is not compatible with our current application server ( JBoss 4.2 . 2 ) and require an old 4.0 . 2 version . Someone out there has experience that can help me ? Many thanks .	L P P V D N V N P ^ N P ^ N & N N , O V V D A N P D ^ N ^ & D ^ N , L P N A P O V D A N & D N V A N N & L R R A & D N P V V A , D N V P D ^ N ^ V R A P D A N N , ^ $ , $ , & V D A $ , $ N , O P X V N O V V O , A N ,
I accepted your answer because is the most complete , but thanks to everybody for yours time .	O V D N P V D R A , & N P N P D N ,
If you need to edit geospatial data then you have to use the Web ADF which is access to the ArcObjects . If you are just working with viewing data maybe some redlines that are not saved to your geodatabase then JavaScript API works nice . Geoprocessing can be done in the JSAPI . You can also publish models and use them in the JSAPI . I hear that the newer APIs - JavaScript API will have the ability to edit in the near future . As is mentioned the web ADF is broad and fairly complex . It has a good learning curve to it . I have just started getting my head around it and figuring out the logic . I am using the . NET ADF v9.3.1 I have not had many problems with it once I started figuring out the API . It is not for the casual user .	P O V P V A N R O V P V D ^ ^ O V V P D N , P O V R V P V N R D N O V R V P D N R ^ ^ V A , N V V V P D ^ , O V R A N & V O P D ^ , O V P D A N , ^ ^ V V D N P V P D A N , P V V D N ^ V A & R A , O V D A N N P O , O V R V V D N P O & V T D N , O V V D , ^ ^ $ O V R V A N P O R O V V T D ^ , O V R P D A N ,
Editing with the REST API and the client API's ( JS , Flex , Silverlight ) will be available at version 10 ( verison 9.4 renamed ) which will be released in Summer 2010 . This thread is a bit old now , but I concur with those who suggest not using the Java ADF . Use the JavaScript , Flex or Silver light API's as they scale much better . If you need to perform GIS actions on the server then use the SOAP API in a custom web service . Only look at ArcObjects when you definitely have to and then make sure you use a Server Object Utility or extension to give yourself the best chance of making a online application that runs quickly . http://edndoc.esri.com/arcobjects/9.2/net_server_doc/developer/samples/web_applications/arcgis_simple_server_object_extension/8e8b2bf6-1877-4c48-80fe-266f5fa70f57.htm	V P D ^ ^ & D N Z , ^ , ^ , ^ , V V A P N $ , N $ V , O V V V P N $ , D N V D N A R , & O V P O O V R V D ^ ^ , V D ^ , ^ & ^ ^ Z P O V R R , P O V P V ^ N P D N R V D ^ ^ P D A N N , R V P N R O R V P & R V R O V D N N N & N P V O D A N P V D A N P V R , U
" Java has as much in common with JavaScript as a car has with a carpet . " If you can do this in Firefox , it's leaking abstractions badly , not to mention allowing external webpage to run locally executed code on visitor's computer .	, ^ V R A P N P ^ P D N V P D N , , P O V V D P ^ , L V N R , R P V V A N P V R A N P S N ,
