Is it possible to use JSTL to display a date in the client's timezone ?	V O R P V ^ P V D N P D S N ,
Could you tell me how to embed HTML to a redirect without JSP ?	V O V O R P V ^ P D N P ^ ,
Why would a redirect be involved ? The servelet just needs to output a text / html response .	R V D N V A , D N R V P N D N , ^ N ,
A-Hah ! That just shows I'm really new to this AJAX thing . Was accustomed to redirecting to servlets and JSP . :) Thanks !	! , O R V L R A P D ^ N , V V P V P N & ^ , E ! ,
http://oreilly.com/pub/a/javascript/2002/02/08/iframe.html is the best idea to file-upload . i done file upload using hidden iframe . Please consult with attached link .	U V D A N P N , O V V N V A N , V V P A N ,
Ajax request parameters , what am I doing wrong ?	^ N N , O V O V A ,
just a quick thought : Tried setting the parameter name to something other than the variable name ? " stepNumber : stepNumber " looks like it could cause some issues ...	R D A N , V V D N N P N A P D A N , , C , C , V P O V P D N ,
trying that now I'll get back to you with an answer .	V O R L V R P O P D N ,
I've just noticed that the line " alert ( params.stepNumber ); " seems to show undefined . Am I not creating this array correctly ? I've also tried params[ " stepNumber " ] and thats undefined too .	L R V P D N , ^ , ^ ^ , V P V A , V O R V D N R , L R V G , C , , & L A R ,
I've changed the array to be step : stepNumber and it's not working . but at least params[ " step " ] is defined ...	L V D N P V C , C & L R V , & P R C , C , , V A ,
Just as an aside ; for somewhat easier way to do Ajax with Java , you might want to check out DWR , http://directwebremoting.org	R P D R , P R A N P V ^ P ^ , O V V P V T ^ , U
Thanks I'll have a look at DWR but at the moment I don't have the time to rip out my current code an replace it with other code .	! L V D V P ^ & P D N O V V D N P V T D A N , V O P A N ,
After briefly checking the prototype documentation , your request looks valid . I recommend inspecting the content of the AJAX request directly . Use Firebug or an external HTTP sniffer like Charles Proxy to verify that the POST request contains your data . EDIT I totally missed it - you're definitely defining the object wrong . You can't reuse an existing symbol as an object property without properly delimiting it . When you don't do this ( let's assume stepNumber == 4 ) then your params object looks like this	P N V D N N , D N V A , O V V D N P D ^ V R , V ^ & D A ^ N P ^ N P V P D ^ N V D N , N O R V O , L R V D N R , O V P D A N P D N N P R V O , R O V V D , L V C = $ , R D N N V P D
I've looked at it incharlies proxy and I don't see an entry for the parameters ....	L V P O V A & O V V D N P D N ,
I've fixed this by changing the key to step , still not getting any parameters ....	L V D P V D A P N , R R V D N ,
Use getParameterNames() not getAttributeNames() . Read : http://java.sun.com/j2ee/1.4/docs/api/javax/servlet/ServletRequest.html and look at the interface function descriptions for the differences between them .	V ^ R ^ , V , U & V P D N N N P D N P O ,
Thank you . Replaced the line in the java with : Integer pageNumber = ( Integer.parseInt ( request.getParameter ( " step "))) ; and it works like a charm .	V O , V D N P D N P , C C = , ^ , ^ , , C G , & O V P D N ,
Good Ajax framework for Java EE	A ^ N P ^ ^
I'm relatively new to Java EE and I'm in need of a framework that will simplify AJAX for me . At the moment I have code that uses the dojo toolkit to draw a graph , but I'd like to have the graph updatable via AJAX . is there a good framework that allows me to do Ajax call backs and insert and run javascript into a page ? If so is there a good tutorial on how to use this framework ? My only experience with Ajax is using Telerik under ASP.Net .	L R A P ^ ^ & L P V P D N P V V ^ P O , P D N O V N O V D ^ N P V D N , & L V P V D N N P ^ , V R D A N O V O P V ^ V V & V & V ^ P D N , P P V R D A N P R P V D N , D A N P ^ V V ^ P ^ ,
Dojo does AJAX too . Normally I'd recommend jQuery for this kind of thing but you're already using Dojo so you should probably use that . The two can be used together however , if desired .	^ V ^ R , R L V ^ P D N P N & L R V ^ P O V R V O , ^ D V V V R R , P A ,
There are some JSF component libraries that got more or less ajax support . ICEfaces for example , makes all the standard components ajax'ish and offers server push techniques . Check out the jsfmatrix to get an overview .	X V D ^ N N O V A & A N N , ^ P N , V X D A N Z & V N V N , V T D ^ P V D N ,
javascript : having trouble passing form values to javascript and processing it to httprequest	^ , V N V N V P ^ & V O P ^
Here are some things to try : In your JavaScript , encode your URL paraemters with encodeURIComponent : Next , you may have to set the encoding on the request using setCharacterEncoding Last , I think if you call request.getParameter , it does the URLDecoding for you .	R V D N P V , P D ^ , V D ^ N P ^ , R , O V V P V D N P D N V ^ R , O V P O V ^ , O V D N P O ,
looks like you should be url encoding your request parameter values in your javascript tempUrl += " ? partnumber= " +partnumber+ " " + " itemdescription= " +escape ( itemdescription ) + " " + " itemshortdescription= " +escape ( itemdescription.substring ( 0 , 37 ))	V P O V V ^ V D N N V P D ^ C = , , C , C , , = , C , C , C , = , , = , C , C , C , $ , $ ,
escape and unescape are deprecated - https://developer.mozilla.org/En/Core_JavaScript_1.5_Guide/Predefined_Functions/Escape_and_unescape_Functions	N & N V V , U
thanks for letting me know :)	N P V O V E
Launching a desktop application from a web site	V D N N P D N N
Is it feasible to launch an application via a browser / URL ? What are the options for doing this ? I know the way to do it with IE and Windows ( which usually doesn't work ) . Ideally , I would like this to be browser independent . Our application is RCP , so in theory Java Web Start could work , we would just have to do some significant changes to how we deliver our application to users , which I would like to avoid . Our web server code is currently all Java if that makes a difference . I pretty much gave up on this until I clicked a url on Apple's site , which in turn launched iTunes . How does Apple do that ?	V O A P V D N P D N , ^ , O V D N P V D , O V D N P V O P ^ & ^ , O R V V , , R , O V P D P V N A , D N V ^ , R P N ^ N N V V , O V R V P V D A N P R O V D N P N , D O V V P V , D N N N V R D ^ P O V D N , O R R V T P D P O V D ^ P Z N , D P V V ^ , R V ^ V O ,
If this is OS independent , then you can't rely on any specific program being available . What kind of program would you want to launch anyway ?	P D V ^ A , R O V V P D A N V A , D N P N V O V P N R ,
Tokenization/iTun Error/registe	G G
Silverlight 3 and Adobe Air will let you launch applications outside the browser .	^ $ & ^ N V V O V N P D N ,
Is ext js compatible with . jsp , java backend ?	V ^ ^ A P G ^ , ^ N ,
Is ext js compatible with . jsp , java backend ?	V ^ ^ A P G ^ , ^ N ,
In short , yes , but see the following article , in terms for ease of use integration ( tag library ) wise : http://raibledesigns.com/rd/entry/ext_js_tag_library and the referenced article : http://blog.james-carr.org/2008/01/22/making-extjs-more-accessible-to-java-developers /	P A , ! , & V D N N , P N P V P V N , N N , A , U & D A N , U G
so , its yes . k , thanks .	R , L N , G , ! ,
Ext JS is a javascript library . It exists at the client side of the browser . So it doesn't matter whether you use PHP , JSP or ASP.Net , as long as a browser supports javascript , ExtJS will work there .	^ ^ V D ^ N , O V P D N N P D N , P O V V P O V ^ , ^ & ^ , R R P D N V ^ , ^ V V R ,
Perhaps a better way of understanding your lack of knowledge is to ask why or what is so special about javascript they would mean a java backend would not work ... Google " json " ...	R D A N P V D N P N V P V R & O V R A P ^ O V V D ^ N V R V , ^ , ^ , ,
I strongly recommend taking a look at Grails . It lives in the java world , and plays extremely nice together with ExtJS . For example , you probably will have to generate and parse a lot of JSON between server and ExtJS client , and Grails does that as if it was a language built-in .	O R V V D V P ^ , O V P D N N , & V R A R P ^ , P N , O R V V P V & P D N P ^ P N & ^ N , & ^ V O R P O V D N N ,
Which mechanism may be used to access Java methods which conflict with JavaScript keywords ?	D N V V V P V ^ N D N P ^ N ,
I've a Javascript source that uses a Java class that defines a " delete " method ( using jdk6 scripting ) . Since delete is a keyword , I cannot invoke that method . In JavaFX script any sequence of characters enclosed in > is treated as a lexical identifier . So you can use " insert " , that is a keyword , as an identifier : Javascript provides a way to protect keywords ?	L D ^ N P V D ^ N O V D , ^ , N , V ^ N , , P ^ V D N , O V V D N , P ^ N D N P N V P = V V P D A N , P O V V , ^ , , O V D N , P D N , ^ V D N P V N ,
In javascript you would do :	P ^ O V V ,
How to check whether JavaScript is enabled in client browser using Java code	R P V P ^ V V P N N V ^ N
can anyone help me in trying to check whether JavaScript is enabled in client browser using Java code .	V O V O P V P V P ^ V V P N N V ^ N ,
A simple thing would be to do a call back from the page , such as an AJAX call . I don't think there's any other way to determine this , at least not universally .	D A N V V P V D N N P D N , A P D ^ V , O V V Y D A N P V D , O R R R ,
Are you trying to do this server-side or on the client in an applet ? If a browser does not support javascript ( or has it turned off ) , it's highly unlikely they will have support for Java applets .	V O V P V D A & P D N P D N , P D N V R V ^ , & V O V T , , L R R O V V V P ^ N ,
If a form submit is performed , you can put a hidden input in the form and fill out its value with javascript ( from OnSubmit ) and check that on the server side .	P D N V V V , O V V D A N P D N & V T D N P ^ , P ^ , & V O P D N N ,
Assuming you're writing a Java web application , one technique that I've used successfully is to have the first page that's accessed typically a login form write a session cookie when the page loads . Then have the Java code that the form submits to check for the existence of that cookie . On the client : On the server :	V L V D ^ N N , $ N P L V R V P V D A N L V R D N N V D N N R D N V , R V D ^ N P D N V P V P D N P D N , P D N , P D N ,
In yourform for you can put code like this : The parameter should only be submitted if the browser has scripts turned off . In your Java applications you can check it like so :	P G P O V V N P D , D N V R V V P D N V N V T , P D ^ N O V V O V R ,
I like this idea ... but is it a cross-browser solution ? It seems like something IE6 would love to mess up .	O V D N , & V O D A N , O V P N ^ V V P V T ,
Why do you say that ? Have you tried it ?	R V O V O , V O V O ,
If you have PHP support just copy and paste the code below . wish you a good luck and don't forget to make your code open	P O V ^ V R N & V D N P , V O D A N & V V P V D N V
JSP or JavaScript equivalent to PHP's $_SERVER[ " HTTP_HOST " ] ?	^ & ^ N P Z G , G , , ,
I've go an absolute URL in my JavaScript that I have hard coded for window.location . I don't want to have to change this every time I am testing my app . In PHP I would have handled this by testing the $_SERVER[ " HTTP_HOST " ] variable to find out what server I am on , and adjust accordingly . However , I'm not as familiar with Java and am wondering if it has a similar method ? Or if maybe even JavaScript had a similar method ? The code is as follows : What I would like to do is : In PHP I would have just done this : Any ideas ? I suppose I'm operating under the assumption that you have to do an absolute URL to change the location of the current window in JavaScript . If there is another way to change the window location in JavaScript without an absolute URL , please feel free to offer that as well . Thanks in advance ...	L V D A ^ P D ^ P O V R V P ^ , O V V P V P V D A N O V V D N , P ^ O V V V D P V D G , G , , A P V T D N O V P , & V R , R , L R R A P ^ & V V P O V D A N , & P R R ^ V D A N , D N V P V , O O V V P V V , P ^ O V V R V D , D N , O V L V P D N P O V P V D A ^ P V D N P D A N P ^ , P X V D N P V D N N P ^ P D A ^ , V V A P V O R R , N P N ,
You really should have search for this but in JSP it's :	O R V V N P D & P ^ L ,
Javascript :	^ ,
The location object has several properties , and the one you'd want is hostname . Or , you can optionally just use a root-relative URL and just set the pathname property and not mess with the host business at all !	D N N V A N , & D $ L V V N , ^ , O V R R V D A ^ & R V D N N & R N P D N N P X ,
What you need is : An example :	O O V V , D N ,
Maybe this could help . It will replace any words you want by anything or nothing . It will work for your request too .	R O V N , O V V D N O V P N & N , O V V P D N R ,
Difference between class ( java ) and closure ( javascript ) ?	N P ^ G ^ G & ^ G ^ G ,
I don't understand how closure is more powerful than class . It looks like I can achieve the same behavior of closure using class . Any help would be appreciated	O V V R ^ V R A P ^ , O V P O V V D A N P N V ^ , D N V V V
Can you provide a link for the statement that one or the other paradigm is more powerful ? Please also define what you mean by " powerful " .	V O V D N P D N P $ & D A N V R A , V R V O O V P , A , ,
A closure and a class are two very different things . It is not correct to say ' A class is more powerful that a closure . ' or vise a versa . They do totally different things . A closure is in a basic sense , a function call that retains the local variable information from the scope it was created . A class is a definition of an object . The class defines behavior and the contents of instances of the class .	D ^ & D ^ V $ R A N , O V R A P V , D ^ V R A P D ^ , , & N D R , O V R A N , D ^ V P D A N , D N V O V D A A N P D N O V V , D ^ V D N P D N , D ^ V N & D N P N P D ^ ,
Doesn't a closure retain the variables from the scope in which it's declared ? ( not called , necessarily )	V D ^ V D N P D N P D L V , , R V , R ,
oops . thanks .	! , ! ,
and it should be mentioned that javascript has a prototype system	& O V V V D ^ V D N N
I'm not sure what led you to this question , but something you've been told or something you read has severely misled you . Ignoring language altogether , a closure and a class are completely unrelated structures / conventions in programming .	L R A O V O P D N , & N L V V & N O V V R V O , V N R , D ^ & D ^ V R A N , N P N ,
