Java ScriptEngine : using value on Java side ?	^ ^ , V N P ^ N ,
I would suggest cross-referencing the two ; for the language features that Crockford leaves out of The Good Parts , I wouldn't spend too much time studying them while reading The Definitive Guide . You may eventually need to understand those features , but part of Crockford's point is that a bunch of things in the Javascript language were poorly designed and really shouldn't be there . I've found that , for the most part , I've agreed with him . ( I also learned a fair amount from him . )	O V V V D $ , P D N N D ^ V T P D A N , O V V R A N V O P V D N N , O V R V P V O N , & N P Z N V P D N P N P D ^ N V R A & R V V X , L V O , P D A N , L V P O , , O R V D A N P O , ,
Dreas : Thanks for the tip , I will get the book soon so I will see if I still miss some fundamentals . Note that I've learned already a lot of different languages , so I will probably understand more of it that a full beginner .	^ , N P D N , O V V D N R P O V V P O R V D N , V P L V R D N P A N , P O V R V R P O P D A N ,
I think the reality of browser bugs will make being able to diagnose and understand the generated JavaScript necessary for a long time . I worked with a Spreadsheet company for OS / 2 , and they had to read the generated assembler from the C++ code because the IBM compiler would generate buggy machine code at times . So while they may not have known enough Assembler to write a whole project in it , they certainly had to know enough to track down problems . That being said , there are also many web frameworks that require you to code your own javascript , and a given toolkit won't necessarily do everything that you need to do without directly writing some javascript . You can choose frameworks that avoid it if you prefer , but it isn't at all obvious that , unlike say Assembler for application development , the Web development community has decided to abstract away any involvement with it . You may well end up on projects that need it .	O V D N P N N V V V A P V & V D V ^ A P D A N , O V P D N N P ^ , $ , & O V P V D V N P D ^ N P D ^ N V V N N N P N , P P O V R V V A N P V D A N P O , O R V P V A P N T N , O V V , X V R A N N O V O P N D A ^ , & D V N V R V N P O V P V P R V D ^ , O V V N O V O P O V , & O V P D A O , P V N P N N , D ^ N N V V P V R D N P O , O V R N T P N O V O ,
ABSOLUTELY . In my opinion , abstraction is important , but knowing how that abstraction works is equally as important . I've seen developers who live and die by their frameworks ( javascript : jquery , yui , etc ... or php : zend , cake , etc ... ) , but have no clue how to do anything productive without them . Who would you rather be ( or hire ) ? The guy who knows how everything works , but improves his productivity by using frameworks and libraries ... or the guy who uses these resources with no idea how they actually work ?	R , P D N , N V A , & V R D N V V R R A , L V N R A & V P D N , ^ , ^ , ^ , G , & ^ , ^ , ^ , G , , , & V D N R P V V A P O , O V O R V , & V , , D N O V R N V , & V D N P V N & N , & D N O V D N P D N R O R V ,
Actually , drawing a parallel to assembly language is a bit missing the point . Assembly was platform specific and the move to C enabled a certain level of platform agnosticism , allowing the developer to be more productive on multiple platforms . Hence , there was a real productivity effect . Learning all your rich web chops on something like GWT is more limiting . It is , after all , based on Java , and the web is way larger in scope than just Java . You'd be seriously limiting yourself if all you know is GWT but not the inner workings of the generated Javascript ( Can't comment on Morfik as I don't know it ) . However , employing something like JQuery in order to be more productive when coding Javascript is much better . JQuery can be used on any browser running on any OS , so it doesn't limit you .	R , V D A P N N V D N V D N , N V N A & D V P ^ V D A N P N N , V D N P V R A P A N , R , X V D A N N , V X D A N N P N P ^ V R V , O V , P X , V P ^ , & D N V N R P N P R ^ , L V R V O P X O V V ^ & R D A N P D V ^ , V V P ^ P O V V O , , R , V N P ^ P N P V R A R V ^ V R R , ^ V V V P D N V P D ^ , P O V V O ,
I'd say yes . I've met people who claimed to know javascript , when all they could do is do a couple of jquery function calls . Javascript ( ECMAscript ) is a beatiful little ( ok , not so little ) language . Abstracting a bit from javascript - define " worth learning " . This kind of thinking was always a conundrum to me . Are you , per chance , afraid of learning something new ? I guess , this kind of thinking is what really separates a coder from a programmer .	L V ! , L V N O V P V ^ , R R O V V V V D N P ^ N V , ^ , ^ , V D G A , ! , R R A , N , V D N P ^ , V , A V , , D N P V V R D N P O , V O , P N , A P V R A , O V , D N P V V O R V D N P D N ,
A web developer who does not know Javascript is like an auto mechanic who does not know how to change a tire .	D N N O V R V ^ V P D A N O V R V R P V D N ,
JavaScript is the core of interactive client-side development . It is absolutely essential . After you know JavaScript you might decide to try out other things that compile to JavaScript if you find them easier . Also if you want to work professional in web development for some company then you are going to have to know JavaScript . Besides , JavaScript is getting more and more popular as the execution of the language in the browser gets faster and as it becomes more popular in Server-side development as well .	^ V D N P A N N , O V R A , P O V ^ O V V P V T A N P V P ^ P O V O A , R P O V P N N P N N P D N R O V V P V P V ^ , P , ^ V V A & R A P D N P D N P D N V R & P O V R A P N N P R ,
Accessing the JavaScript Table DOM in a Java Servlet	V D ^ N ^ P D ^ ^
HTML tables can be interpreted by Excel . That said , all you need is the markup and a content-type of " application / ms-excel "	^ N V V V P ^ , O V , X O V V D N & D N P , N , ^ ,
Apparently you are generating the table in the JSP so why don't you just output the data you are creating the Table from ? For the actual JavaScript implementation just take a look at Ajax functionality and Dom Manipulation with jQuery ( http://jquery.com )	R O V V D N P D ^ R R V O R P D N O V V D N P , P D A ^ N R V D V P ^ N & ^ N P ^ , U ,
I don't understand , is there a question in here ?	O V V , V R D N P R ,
POST the table to the server . If you want to access the DOM like you would in JavaScript , you are going to need Rhino . But I recommend just sticking with something easier to drop in like JDOM . Then echo back the table with the content-type modified in the header to be " application / ms-excel " .	V D N P D N , P O V P V D ^ P O V P ^ , O V V P V ^ , & O V R V P N A P V P V ^ , R V T D N P D N V P D N P V , N , ^ , ,
I'd serialize the data from the cells into a simple JSON object , then use one of the many JSON libraries available on the Java-side to convert it back into a usable object . Something like this : This uses the Public Domain JSON.stringify() routine , available directly here . You can now take this string , pass it to a server , and re-hydrate the object in Java-land . You'll get a multidimensional array of values corresponding directly to the contents of the table . NOTE : This retrieves the entire table . If you just want to get the table's body , you'll have to modify the above code to iterate over the tBodies , like this :	L V D N P D N P D A ^ N , R V $ P D A ^ N R P D N P V O R P D A N , N P D , D V D N N ^ A , R R R , O V R V D N , V O P D N , & V D N P ^ , L V D A N P V V R P D N P D N , N , D N D A N , P O R V P V D S N , L V P V D A N P V P D N , P D ,
Issue with IE security on page opened from javascript	N P ^ N P N V P ^
I have a Java web application running in JBOSS with Tomcat with two web applications ( contexts ) running on it . A button press on one of the applications opens runs a javascript command to open a new window with a page from the other . The problem I seem to be having is that this raises a security alert in IE . with the following message : I can't really ask my customer to add an exception to " http:// " what are the likely causes for it not picking up the site ? The browser is correctly pointed at the full url for the page ( Ie www.something.net:8080/blah/somepage.jsp ) the browser is IE7 with enhanced security running on windows 2003 .	O V D ^ N N V P ^ P ^ P $ N N , N , V P O , D N N P $ P D N V V D ^ N P V D A N P D N P D A , D N O V P V V V P D V D N V P ^ , P D N N , O V R V D N P V D N P , ^ , O V D A N P O R V T D N , D N V R V P D A ^ P D N , ^ U , D N V ^ P A N V P ^ $ ,
" I can't really ask my customer to add an exception to " http:// "" - you can ask , but they won't be able to do it . IE doesn't let you enter exceptions that are that wide-ranging .	, O V R V D N P V D N P , U , , O V V , & O V V A P V O , ^ V V O V N O V D A ,
Do the two applications have different domains ? IE is preventing the cross-site scripting . Can you not just have a link to the other site ? EDIT : If this is on Windows Server 2003 , then the only way that I've managed to get around it is to disable to enhanced browser security . If this is the case , then you shouldn't really be browsing from a server in the first place . Edit2:I'm guessing that it is the enhanced browser security that is doing this . Check out this link : http://support.microsoft.com/kb/815141 on info about it . Your choices are to either to disable it , add an exception for that site , or use another browser .	V D $ N V A N , ^ V V D N N , V O R R V D N P D A N , V , P D V P ^ N $ , R D A N P L V P V P O V P V P A N N , P D V D N , R O V R V V P D N P D A U , G V P O V D A N N P V V D , V T D N , U P N P O , D N V P D P V O , V D N P D N , & V D N ,
No they both have the same domain one is www.example.com/app1/page.jsp the other is www.example.com/app2/anotherpage.jsp	! O D V D A N N V U D N V U
see edit2 in answer	V G P N
My issue is that there is no " site " to add as an exception . It's complaining about " http:// " not another website .	D N V O R V D , N , P V P D N , L V P , ^ , R A N ,
Can you post the code ?	V O V D N ,
Unfortunately I can't post the source A : Because of an NDA B : The Javaprojects are Huge The javascript that loads the page is just window.open ( " URL ") ; nothing special	R O V V D N G , P P D ^ G , D N V A D ^ D N D N V R ^ , , ^ , , N A
Thats irritating I just noticed that SO had parsed " h-t-t-p " as a link ...	L A O R V O O V V , ! , P D N ,
IE Enhanced Security Configuration is deliberately designed to prevent general purpose browsing from servers . Folks who want to do workstation-style browsing and just happen to be on a server SKU should disable ESC . What's the exactly line of code ? window.open ( " http://fullURL " , etc ) , or something like var v= window.open ( " about :b lank ") ; v.location.href =etc ?	^ V N N V R V P V A N V P N , N O V P V A V & R V P V P D N ^ V V ^ , L D A N P N , ^ , , U , , G , , & N P C C C C C C C C C C C C ,
it's window.open ( " path ") ; If thats the case then I needn't worry about it though I was just testing that an install had worked by running it locally .	L ^ , , N , , P L D N R O V V P O P O V R V P D V V V P V O R ,
You need to uninstall " Explorer Enhanced Security " , which is on by default in Windows Servers , before IE will act like a normal browser . :) Workstations shouldn't get this problem .	O V P V , ^ N N , , O V P P N P ^ N , P ^ V V P D A N , E N V V D N ,
Gantt Chart - JavaScript / JSP / Java / Groovy / Grails	^ N , ^ , ^ , ^ , ^ , ^
I'm looking to add the ability to create a gantt chart to my web application . Currently my application is Grails based running on Tomcat . Research around SO seems to indicate that JFreeChart ( http://www.jfree.org/jfreechart ) and Google Charts both might provide me with the ability to create charts that I could mold into what I need . Before I went down that route , though , I wanted to see if there was something that is more specifically tailored to project management type charts . [ Edit : I am open to using JavaScript modules as well ]	L V P V D N P V D ^ N P D N N , R D N V ^ V V P ^ , N P P V P V D ^ , U , & ^ ^ X V V O P D N P V N P O V V P O O V , P O V T D N , P , O V P V P X V N O V R R A P N N N N , , V , O V A P V ^ N P R ,
If you are not averse to Javascript , you could take a look at http://code.google.com/p/jsgantt /	P O V R A P ^ , O V V D V P U ,
Wow . That's pretty slick . I'm definitely going to consider that .	! , L R A , L R V P V O ,
try : http://www.fusioncharts.com/free it is free ( and you can get commercial one ) it is flash based .. you can customized it from your gsp .	V , U O V A , & O V V A $ , O V V V , O V V O P D N ,
Have a look at http://www.bryntum.com/products/gantt . 100% JavaScript based on ExtJS , not free though . DISCLAIMER : I wrote it .	V D V P U , $ ^ V P ^ , R A P , N , O V O ,
Unkown error when calling Java applet from JavaScript	A N R V ^ N P ^
Here's the JavaScript ( on an aspx page ): pdfXML is got from pdfData which is a hidden field on the page containing the XML that contains base64 encoded pdf data which is passed to the java applet . All the other values being passed have within range sensible values . The XML is like this The contents of the element PDF is a lot bigger than displayed here The signature of the Java method is : It seems that when the size of the PDF data gets large the applet fails to be called and the error ' Unknown Error ' is thrown in the JS . The PDF doc the data of which is producing this error is about 4Mb in size . Many thanks in advance for any help .	L D ^ , P D ^ N , ^ V V P N O V D A N P D N V D ^ O V ^ V ^ N O V V P D ^ N , X D A N V V V P N A N , D ^ V P D D N P D N ^ V D N A P V R D N P D ^ N V , O V O R D N P D ^ N V A D N V P V V & D N , A N , V V P D ^ , D ^ N D N P O V V D N V P ? P N , A N P N P D N ,
Does the WriteDocument method exit successfully ? It might be worth adding a try / catch inside if it's not possible to tell .	V D ^ N V R , O V V V V D V , V P P L R A P V ,
Since QA saw this error I've stuck some logging in right at the beginning of the WriteDocument function ( it's a signed trusted app so I can write to a log file in the user's home directory ) and that doesn't happen . I'm beginning to suspect that the failure is happening at the method invocation . I just don't know why ? I've added some further clarification to the question .	P ^ V D N L V D N P R P D N P D ^ N , L D V A N P O V V P D N V P D S N N , & O V V , L V P V P D N V V P D N N , O R V V R , L V D A N P D N ,
Does your applet tag contain mayscript= " mayscript " ?	V D N N V C C C C ,
Also you could try to get the form field value from within the applet and not pass it in as parameter ?	R O V V P V D N N N P P D N & R V O P P N ,
No it doesn't . I wasn't aware of that attribute and it's usage . I wasn't aware the Java applet could access form elements directly . That might be something to try . I'm still a little concerned that I don't know why this is happening .	! O V , O V A P D N & L N , O V A D ^ N V N N N R , O V V N P V , L R D A A P O V V R O V V ,
Thanks for responding chaps but I've sorted the problem . How ? I took JRE 1.6 update 12 off and stuck update 7 ( which is the version we reccomend to those who use our website ) on my machine . Why update 12 stopped working I don't know . Why update 7 is stable I don't know . [ sigh ] It's things like this that make me glad I work mostly with a ' long time between releases ' framework like . net .	N P V N & L V D N , R , O V ^ $ N $ A & V V $ , O V D N O V P O O V D N , P D N , R V $ V V O V V , R V $ V A O V V , , N , L N P D O V O A O V R P D , A N P N , N V , N ,
Which serverside Java technology to use with ExtJS	D N ^ N P V P ^
We are plannnig to upgrade the UI framework for our 6-8 year old application written using Struts / JSP / EJB to ExtJS . Just curious as to what is the most popular Java technology on the server people have been using . We were looking into several alternatives like DWR RestEasy Restlet Struts-Json We are diving more towards using DWR but just wanted to know if the programming community has some food for thought on this . For backward compatiblity reasons the migration will happen incrementally and during that period we will try to make ExtJS coexist with the old Web1.0 style pages . We are not changing anything on the business tier but just the web tier will change from JSP to ExtJs pages .	O V V P V D ^ N P D $ A A N V V ^ , ^ , ^ P ^ , R A P P O V D R A ^ N P D N N V V V , O V V P A N P ^ ^ ^ ^ O V V R P V ^ & R V P V P D N N V D N P N P D , P R A N D N V V R & P D N O V V P V ^ V P D A ^ N N , O V R V N P D N N & R D N N V V P ^ P ^ N ,
If you're going to use ExtJS anyway , have you considered using ExtGWT instead ? That'll give you much better Java integration .	P L V P V ^ R , V O V V ^ R , L V O R A ^ N ,
but that would be at expense of loosing control over generated content . What if your website is not just EXT , but has twitter Bootstrap frontend as well ?	& O V V P N P V N R V N , O P D N V R R ^ , & V ^ ^ N P R ,
ExtGWT if you are willing to go with GWT , or I would recommend Metro ( or any Java RESTful implementation - JSR 311 ) + ExtJS , it works great .	^ P O V A P V P ^ , & O V V ^ , & D ^ ^ N , ^ $ , & ^ , O V A ,
We've been using Restlet with good success , and it can be used on applications that aren't 100% RESTful ( we've got areas where we're a bit cavalier ) . It's not a full solution , but it comes with decent integrations to other technologies . For instance we generate our XHTML / CSS pages using Restlet's support for the Apache FreeMarker template generator . Our generated pages happen use jQuery , and ExtJS ought to work equally well . Restlet has a GWT module too .	L V V ^ P A N , & O V V V P N P V $ ^ , L V N R L D N A , , L R D A N , & O V P A N P A N , P N O V D ^ , ^ N V Z N P D ^ ^ N N , D V N V V ^ , & ^ V P V R R , ^ V D ^ N R ,
Also have a look at Jersey . It's a very useful implementation of JAX-RS ( JSR 311 ) that is easy to integrate into an existing project like yours . If I were you I'd create a separate package ( or even EAR / WAR ) with classes that just talked to your existing EJBs and were exposed as REST services that ExtJS can communicate with .	R V D V P ^ , L D R A N P ^ , ^ $ , O V A P V P D A N P O , P O V O L V D A N , & R ^ , ^ , P N P R V P D A ^ & V V P ^ N P ^ V V P ,
I wonder , how would you serve non REST content through Jersey e.g. templated htmls and other stuff . I mean something similar to what @Jim ferrans did with RestLet .	O V , R V O V R ^ N P ^ G ^ ^ & A N , O V R A P O @ ^ V P ^ ,
You could use it with a templating library like Mustache ( http://mustache.github.com/)	O V V O P D N N P ^ , U
I've been using for similiar project jabsorb , which is very similiar to DWR , but conforms to JSON-RPC .	L V V P A N ^ , O V R A P ^ , & V P ^ ,
You might want to check out Myna ( http://mynajs.org ) . This is a Server-Side JavaScript application platform that is deployed as a J2EE war file . Being server-side JavaScript it integrates well with Ext . In fact , all the internal management UI is written in Ext . Myna has several features you may find useful : Web-based adminstrator application . No need to edit XML files Web-based Database adminstrator . Can run queries , create / edit / drop tables , and generate Myna and SQL code from GUI Centralized Datasource management and pooling DB connections A Web Service class that supports SOAP , XML-RPC , JSON-RPC , and MYNA-JSON with Ext.Direct coming soon ! Support for handling PUT , POST , GET , and DELETE HTTP requests Support for loading POJO's in your JavaScript code ( Via Rhino ) Runtime Object Relatinal Mapping . No need to edit XML files or recompile classes when the database tables change Javascript preprocessor supports multi-line SQL queries with implicit prepared statements and typed parameters Queries support paging and returning total rows , which works well with Ext's grids and PagingToolbar Full Disclosure : I'm the primary developer for Myna	O V V P V T ^ , U , , D V D N ^ N N O V V P D ^ N N , V N ^ O V R P ^ , P N , X D A N ^ V V P ^ , ^ V R N O V V A , N N N , D V P V ^ N N N N , V V N , V , V , V N , & V ^ & ^ N P ^ V N N & V ^ N D ^ N N O V ^ , ^ , ^ , & ^ P ^ V R , V P V N , N , N , & N ^ N V P V Z P D ^ N , P ^ , N N A V , D V P V ^ N & V N R D N N V ^ N V N ^ N P A V N & V N N V N & V A N , O V R P Z N & ^ A N , L D A N P ^
My team also was using using Struts in the past . We have moved forward and are using DWR , and we love it . Our experience with DWR and Ext has been great . So much boiler plate code , both with DWR on the Java end , and Ext on the JavaScript end , has been reduced . There is also a ExtJsWithDwr project to help with integrating the two : http://github.com/BigLep/ExtJsWithDwr .	D N R V V V ^ P D N , O V V R & V V ^ , & O V O , D N P ^ & ^ V V A , P A N N N , X P ^ P D ^ N , & ^ P D ^ N , V V V , X V R D ^ N P N P V D $ , U ,
Regexp to match Javascript string literals with a specific keyword using Java	^ P V ^ N N P D A N V ^
After much revision ( see edit history , viewers at home :) , I believe this is my final answer :	P A N , V V N , N P N E , O V D V D A N ,
It does when I test it ... test case 3 matches properly as 2 string literals . Here is where the original regex came from http://blog.stevenlevithan.com/archives/match-quoted-string	O V R O V O , N N $ V R P $ N N , R V R D A ^ V P U
Oops , I see . Yeah , it's relying on the non-greedy behavior for that , which you can't use the same way because you're anchoring to a keyword . Editing ...	! , O V , ! , L V P D A N P O , D O V V D A N P L V P D N , V ,
That should work but the problem in my case would be false-positives . The probability of a string literal having the special keyword is about 1% . And I have to process a lot of files with hundreds of lines every time . If no one can come up with a way to pre-screen the literals for the special keyword before processing them , I'll go with your solution .	O V N & D N P D N V V N , D N P D N N V D A N V P $ , & O V P N D N P N P N P N D N , P D N V V T P D N P V D N P D A N P V O , L V P D N ,
Maybe further developments will help ...	R A N V N ,
It seems to match a lot more than needed . In my test case chunk above , it matched : " test " ; var v2 = " testkeyword " ; var v3 = " test " ; var v4 = " testkeyword " ;	O V P V D N R P V , P D N N N P , O V , C C C C C C C C C C C C C C C C C C C C C C C C C
Tim's modification of your Regexp above works correctly .	Z N P D ^ P V R ,
Cool . Glad to have helped , anyhow .	A , A P V V , R ,
How about this modification :	R P D N ,
Perfect ! Works as needed !	A , V P V ,
You need to write two patterns for either single or double quoted strings , as there is no way to make the regex remember which opened the string . Then you can or them together with | .	O V P V $ N P & A & R V N , P X V D N P V D ^ V O V D N , R O V & O R P G ,
Consider using code from Rhino -- JS in Java -- to get the real String literals . Or , if you want to use regex , consider one find for the whole literal , then a nested test if the literal contains ' keyword ' . I think Tim's construction works , but I wouldn't bet on it in all situations , and the regex would have to get insanely unwieldy if it had to deal with literals that don't want to be found ( as if trying to sneak by your testing ) . For example : Separate from any solution , my secret weapon for interactively working out regexes is a tool I made called Regex Powertoy , which unlike many such utilities runs in any browser with Java applet support .	V V N P ^ , ^ P ^ , P V D A N N , & , P O V P V ^ , V O V P D A N , R D V N P D N N , N , , O V Z N V , & O V V P O P D N , & D ^ V V P V R A P O V P N P N O V V P V V , R P V P V P D N , , P N , V P D N , D A N P R V T ^ V D N O V V ^ ^ , O P A A N V P D N P ^ N N ,
The test case you mentioned does not apply to my situation . I'm guaranteed that ' keyword ' will appear just like that , in ASCII . Doing two tests ( first test for string literal , then test for presence of keyword ) will produce a lot of false-positives in my case because probability of a literal having a keyword is about 1% .	D N N O V V R V P D N , L A O , N , V V R P O , P ^ , V $ N , A N P V N , R N P N P N , V V D N P N P D N P N P D N V D N V P $ ,
Interesting observation . Do you happen to have a test case that will break Tim's solution ? It seems to be holding up to all of my test cases .	A N , V O V P V D N N O V V Z N , O V P V V T P X P D N N ,
Hooking a GWT event onto an element in an external iframe	V D ^ N P D N P D A ^
I am writing a GWT app that involves interacting with an external document in an iframe . As a proof of concept , I am trying to attach a click handler to a button . The following works in javascript Trying to do the equivalent in GWT , I did the following : The following is the ElementWrapper class : The code to find the button works fine but the actual click event handler is not getting invoked . Has anybody had a similar issue before , and how did you resolve it ? Thanks in advance , Tin	O V V D ^ N O V N P D A N P D ^ , P D N P N , O V V P V D N N P D N , D V V P ^ V P V D N P ^ , O V D N , D V V D ^ N , D N P V D N V A & D A N N N V R V V , V N V D A N P , & R V O V O , N P N , ^
You could use JSNI to reuse your JavaScript piece of code . Your javascript code would call a gwt method on an object that would throw it on behalf of the button in the iframe . As to why GWT code does not work -- I guess that is because they use some layer on top of regular browser events that probably cannot span more than 1 frame . That's just a guess though . You could file this as a feature / bug request agains GWT team . If I am right your code looks just fine .	O V V ^ P P D ^ N P N , D ^ N V V D ^ N P D N O V V O P N P D N P D ^ , R P R ^ N V R V , O V O V P O V D N P N P A N N O R V V R P $ N , L R D N P , O V V D P D N , N N G ^ N , P O V R D N V R A ,
Cool , thanks for the reply . I guess I'll explore the JSNI path , though I want to stay away from writing custom javascript as much as possible .	A , N P D N , O V L V D ^ N , P O V P V R P V A ^ P A P A ,
After researching this further , I found that the iframe is irrelevant . The same behaviour doesn't work on a normal button on the host page . I basically fixed it by using JSNI to replicate part of GWT's event handling mechanism . The following works : Where CustomElementWrapper is : Finally , the ClickEventManager , where the actual work happens is : Personally , I hate this solution because I appear to be duplicating GWT's event handling and quite possibly introducing nasty javascript memory leaks . Any ideas on why my first post doesn't work ( remembering that the iframe aspect is a red herring ) , would be appreciated . Thanks , Tin	P V D A , O V P D ^ V A , D A N V V P D A N P D N N , O R V O P V ^ P V N P Z N V N , D V V , R ^ V , R , D ^ , R D A N V V , R , O V D N P O V P V V Z N N & R R V A ^ N N , D N P R D A N V N , V P D ^ N V D A N , , V V V , N , ^
Thank you , thank you ! This was exactly what I needed to get it to work in IE7 !	V O , V O , D V R O O V P V O P V P ^ ,
I expect the problem is that the GWT method onAttach() is not called when you use the wrapping as in your first example . You can try to use the static wrap method on the Button widget . Although to use this the input must be of type button . Or have a look at the implementation of the wrap method . Here is the modified code when using the wrap method :	O V D N V P D ^ N ^ V R V R O V D V P P D A N , O V V P V D A N N P D N N , P P V D D N V V P N N , & V D V P D N P D N N , R V D A N R V D N N ,
Hilbrand is right about the problem being that the GWT method onAttach() was not called . I implemented your original solution , adding the following method to ElementWrapper : And called added wrapper.onAttach() after the ElementWrapper is created . Works like a charm !	^ V R P D N V P D ^ N ^ V R V , O V D A N , V D N N P ^ , & V V ^ P D ^ V V , V P D N ,
Thank you ! I knew there had to be a cleaner way :)	V O , O V R V P V D A N E
Please see my previous answer . A slight modification to your original solution will make it work .	V V D A N , D A N P D A N V V O V ,
You may find this helpful : You will then be able to make arbitrary containers into widget containers : And bind events to arbitrary elements : Specifically in your case , try this : It's always mystified me that GWT makes doing this so difficult and poorly documented .	O V V D A , O V R V A P V A N P N N , & N N P A N , R P D N , V D , L R V O D ^ V V D R A & R V ,
Instead of using iframes i suggest you simply make a http request from GWT via com.google.gwt.http.client.RequestBuilder . Like so :	R P V ^ O V O R V D ^ V P ^ P ^ , D & ,
Best way to grab website content externally	A N P V N N R
