Upload image thumbnail to server , without uploading whole image	V N N P N , P V A N
I'm writing a program ( in Java ) that needs to extract links from webpages . I'm using htmlParser ( http://htmlparser.sourceforge.net/) but I'm only able to extract html links ( defined with a href= " ... " ) and I don't know how to handle javascript code to extract links from ... can you help me ??	L V D N , P ^ , O V P V N P N , L V ^ , U & L R A P V ^ N , V P D N , , , , & O V V R P V ^ N P V N P , V O V O ,
There are some missing parts in your question . Is it formatting issue ?	X V D V N P D N , V O A N ,
Please edit your question : it's hard to understand what you mean .	V V D N , L R P V O O V ,
I can't understand why it's hard to understand what I mean , is it because of my poor english ? Please tell me more .	O V V R L V P V O O V , V O P P D A N , V V O R ,
You can use Rhino with DOM environment , written in JavaScript . By the way it is written by John Resig .	O V V ^ P ^ N , V P ^ , P D N O V V P ^ ^ ,
I've never played with DOM , but I'll take a look at your link , thanks .	L R V P ^ , & L V D V P D N , ! ,
HTML Parser from sourceforge is useful . I have used it to parse a whole bunch of HTML already . However , parsing JS is different . Cheers .	^ N P ^ V A , O V V O P V D A N P ^ R , R , V ^ V A , ! ,
This is probally the most comprehensive tool out there . Rhino . Everything you want to do can be done with Rhino .	D V R D R A N T R , ^ , N O V P V V V V P ^ ,
Kill Java Applet via Javascript	V ^ N P ^
I am working for a developing firm and am doing a major redesign on a Web Application , which reloaded everything after each click , to make extensive use of Javascript , so it actually feels like a real Web application . One of the Features is to use a web-based Painter ( think of MSPaint on the Web ) , which I embed on the Page on Demand . After the image is painted and uploaded , the Web-app then unloads the applet and proceeds to show the directory where the file was uploaded to . This is where Trouble starts . It all works on IE and Safari , but not on Firefox 3.5 ( 3.0 works perfectly though ) . Firebug tells me that the expando property is missing . The Web-app Tiparlo which I was working on before had a similar Problem ( in fact , any manipulation done on an applet via jQuery is faulty ) but solved that Problem by wrapping a div around and controlling ( hide and show ) the div instead of the applet . This , unfortunately isn't applicable on this Web-app , because the Applet has to be destroyed and not just hidden and shown , as it takes up too much resources to be run the entire time where it is not needed . To make it short : Is it possible to make an Applet destroy itself via Javascript ? Alternatively : Is there a workaround on the jQuery / expando / applet problem ? I know that applet is deprecated in HTML 4.01 strict but changing it to object is not an option right now . EDIT : I have added a Picture of Firefox + Firebug to show you the actual Error Message . Posting Code does no god , since it works flawless on every other Browser and is a Firefox 3.5 specific Problem . Here be pictures Note : You can ignore the JS Bug coming from button.js .	O V V P D A N & V V D A N P D N N , D V N P D N , P V A N P ^ , P O R V P D A N N , $ P D N V P V D A N , V P ^ P D ^ , , D O G P D N P N , P D N V V & V , D N R V D N & V P V D N R D N V V P , D V R N V , O X V P ^ & ^ , & R P ^ $ , $ V R P , , ^ V O P D N N V V , ^ N ^ D O V V P & V D A N , P N , D N V P D N P ^ V A , & V D N P V D ^ P & V , V & V , D ^ R P D N , D , R V A P D N , P D N V P V V & R R A & V , P O V T R A N P V V D A N R O V R V , P V O A , V O R P V D N V O P ^ , R , V R D N P D ^ , N , N N , O V D N V V P ^ $ A & V O P N V R D N R R , V , O V V D N P ^ & ^ P V O D A N N , V N V D G , P O V A P D A N & V D ^ $ A N , R V N N , O V V D ^ N V P ^ ,
What happens if you destroy the DIV that surrounds the applet ? ( not hide it , destroy it with removeElement and delete	O V P O V D ^ P V D N , , R V O , V O P ^ & V
I tried that , but to no avail . My Theory : I imagine that by hiding the parent div , the Browser itself takes care of hiding the children too and not Javascript . But , when deleting the parent div , it is also Javascript's Job to delete the child applet hence causing the expando Bug to arise . I have been looking at the jQuery Bug Tracker and that particular Bug is listed on the Roadmap for the 1.3 . 3 release . Since I cannot wait for it to fix itself ( be fixed by jQuery dev Team ) , I have to find a workaround .	O V O , & P D G , D N , O V O P V D N ^ , D N O V V P V D N R & R ^ , & , & V D N ^ , O V R Z N P V D N N R V D N N P V , O V V V P D ^ N N & D A N V V P D N P D $ , $ N , P O V V P O P V O , V V P ^ ^ N , , O V P V D N ,
I would suggest that you create a class that monitors the applet to be killed . run the monitor as some sort of servlet and get javascript to post ' kill applet ' commands when it needs to be killed .	O V V P O V D N D N D N P V V , V D N P D N P N & V ^ P N , V N , N R O V P V V ,
You could always load the applet in a an iframe and just navigate away from the page where the applet is loaded . This will kill it . Your other option if you want to call the destroy from javascript would be to put something like this in . This is not a nice way to kill an applet but on newer browsers it does not throw a JS error , on older ones like IE6 it will throw a js error .	O V R V D N P D D N & R V R P D N R D N V V , D V V O , D A N P O V P V D V P ^ V V P V N P D T , D V R D A N P V D N & P A N O V R V D ^ N , P A N P ^ O V V D ^ N ,
Yep , this one solves the problem ( generates a new one but I can handle that one ) .	! , D N V D N , V D A $ & O V V D $ , ,
What was the new problem it created , just curious .	O V D A N O V , R A ,
If you kill the applet after the javascript call finishes it will probably avoid the error . You can do this with java.util.Timer.schedule() .	P O V D N P D ^ V V O V R V D N , O V V D P ^ ,
why not use the nuilt in Applet's stop() method ?	R R V D N P S ^ N ,
How to wait for a Java applet to finish loading on Safari ?	R P V P D ^ N P V V P ^ ,
This doesn't work in Safari : myMethod is a public method declared in MyAppletClass . When I first load the page in Safari , it shows the alert before the applet has finished loading ( so the message box displays undefined ) . If I refresh the page , the applet has already been loaded and the alert displays function myMethod() { [ native code ] } , as you'd expect . Of course , this means that the applet methods are not available until it has loaded , but Safari isn't blocking the JavaScript from running . The same problem happens with body onLoad . What I need is something like body onAppletLoad= " doSomething() " . How do I work around this issue ? Thanks PS : I'm not sure if it's relevant , but the JAR is signed .	D V V P ^ , ^ V D A N V P ^ , R O A N D N P ^ , O V D N P D N V V V , P D N N N A , , P O V D N , D N V R V A & D A N N ^ , , A N , , , P L V , P N , O V P D N N V R A P O V V , & ^ V V D ^ P V , D A N V P N ^ , O O V V N P N ^ , ^ , , R V O V P D N , N ^ , L R A P L A , & D ^ V V ,
I use a timer that resets and keeps checking a number of times before it gives up . Note that this assumes that the applet will run in Safari . I've had some instances where an applet required Java 6 that simply hangs Safari even with code similar to the above . I chose to do browser detection on the server and redirect the user to an error page when the browser doesn't support the applet .	O V D N P V & V V D N P N P O V T , V P D V P D N V V P ^ , L V D N R D N V ^ $ D R V ^ R P N A P D N , O V P V N N P D N & V D N P D N N R D N V V D N ,
Thank you . It's a shame there isn't a cleaner way of doing this !	V O , L D N R V D A N P V D ,
You can also simply check for applet . At least , you can in Firefox . I haven't checked in Chrome & IE . That way , you don't have to modify the applet to have a particular method .	O V R R V P N , P R , O V P ^ , O V V P ^ & ^ , D N , O V V P V D N P V D A N ,
I had a similar problem some time ago and adding MAYSCRIPT to the applet tag solved my problem . Take a peek at this page : http://www.htmlcodetutorial.com/applets/%5FAPPLET%5FMAYSCRIPT.html Hope it helps !	O V D A N D N R & V ^ P D N N V D N , V D N P D N , U V O V ,
I don't see how this is relevant to waiting for the applet to load . Also , the example on the page doesn't work in Firefox 3.5 . 4 on Snow Leopard .	O V V R O V A P V P D N P N , R , D N P D N V V P ^ $ , $ P ^ ^ ,
AFAIU that only applies to IE . In other words , not OS X & not Safari .	? D A N P ^ , P A N , R ^ ^ & R ^ ,
Here is a generic function I wrote to do just this : Call it like this :	R V D A N O V P V R D , V O V D ,
You could also try document.getElementById ( applet_id ) . isActive to test if the applet is loaded in the above example , it worked for me . :)	O V R V ^ , ^ , , ^ P N P D N V V P D A N , O V P O , E
But if you do that , document.getElementById ( applet_id ) will return null when it doesn't exist , and then it will throw a null reference exception of " . isActive " . I didn't want to have to test by exception , that is very , very slow in JS .	& P O V O , ^ , ^ , V V A R O V V , & R O V V D A N N P , , ^ , , O V V P V P N P N , O V R , R A P ^ ,
As far as my tests go , ` typeof ( document.getElementById ( applet_id ))` always return ` object ` . Did you mean ` typeof ( document.getElementById ( applet_id ) . someFunction )` ?	R R P D N V , , ^ , ^ , ^ , R A , N , , V O V , ^ , ^ , ^ , , ^ , ,
I think that depends on what your applet is and how it's configured . You may have to test both the element and the function . You can't just test typeof ( document.getElementById ( applet_id ) . someFunction ) by it's self , as document.getElementById ( applet_id ) may return null early in the life cycle , throwing an invalid object exception when trying to access . someFunction .	O V O V P O D N V & R L V , O V V P N $ D N & D N , O V R N ^ , ^ , ^ , , ^ , P L N , P ^ , ^ , V V A A P D N N , V D A N N R V P N , ^ ,
ESRI frameworks : java vs javascript	^ ^ , ^ P ^
I'm about to develop a web mapping application with ESRI Products like ArcGIS Server and Image Server . I can't find a good comparison between the Java Web ADF and the Javascript Framework . They're of course different because one is a full environment and the other is only client side but it's much more concise and the step to start is minimal . Another problem is that the Java Web ADF is not compatible with our current application server ( JBoss 4.2 . 2 ) and require an old 4.0 . 2 version . Someone out there has experience that can help me ? Many thanks .	L P P V D N V N P ^ N P ^ N & N N , O V V D A N P D ^ N ^ & D ^ N , L P N A P O V D A N & D N V A N N & L R R A & D N P V V A , D N V P D ^ N ^ V R A P D A N N , ^ $ , $ , & V D A $ , $ N , O P X V N O V V O , A N ,
Seems that everybody hate the Java Web ADF , http://www.spatiallyadjusted.com/2008/01/30/esris-web-adf-is-one-horrific-development-platform /	V D N V D ^ N ^ , U ,
I don't have direct experience with the Java Web ADF , but I have worked with the . Net version and am now working with the Flex API . The main problem with the Web ADFs that I have seen and heard from other developers is that they're very cumbersome to use . The newer frameworks ( Javascript , Silverlight , and Flex ) are much lighter-weight , easier to use , and you can up to speed much quicker with them . For example , a test application I wrote withg the . Net ADF took me almost three weeks before I gave up on it . At that time I gave up using the ADF and just did WebService calls against ArcGIS Server since that was easier to do than to try to figure out the ADF . Contrast that to using the Flex API on a similar project , which I just started last week , and I have an almost complete app as of this morning . I would avoid the ADFs and go with the Javascript API .	O V V A N P D ^ N ^ , & O V V P D , ^ N & V R V P D ^ ^ , D A N P D N ^ P O V V & V P A N V P L R A P V , ^ A N , ^ , ^ , & ^ , V A N , A P V , & O V T P N R A P O , P N , D N N O V G D , ^ ^ V O R $ N P O V T P O , P D N O V T V D ^ & R V ^ V P ^ N P O V A P V P P V P V T D ^ , V O P V D ^ ^ P D A N , D O R V A N , & O V D R A N P P D N , O V V D ^ & V P D ^ ^ ,
What you need depends on what you want . If you want to create just a viewer ( as opposed to an application in which users can add ( e.g. draw ) geographical data ) , by all means , use the javascript api ! I've been working with the web adf ( v9.3 ) for some time now and am still frustrated at every turn . Primarily for its lack of proper documentation , but also for various other reasons , such as these : It requires you to use the jsf reference implementation , but it does not allow you to use some of its basic functionality , such as ( f :) subviews . This makes it impossible to use any templating systems , such as facelets . Lots of stuff you want to be able to configure is hardcoded in esri's jar files . For example , the map MUST be directly under form > which must be the first element of the DOM tree . If not , map-movement listeners such as the ContinueousPanListener are unable to find the map and hence fail at updating the map position . It's impossible to code your jsp pages in xml style , since the web adf inlines pieces of at a lot of places in your code , with xslt . Its learning curve is very steep and without the proper docs , you'll be looking for days or even weeks on how to do the most trivial things . Some of these end up to be downright impossible or impractical , because you're not adopting esri's mindset . The default interface is not very intuitive . You may still end up doing lots of work in javascript to get the way the application draws to your liking . The undo functionality requires a versioned database , which is impractical / impossible for application that serves more than 10 or so users at the same time , plus , the round trip to the server for every undo action is a waste . In short : You can make some interesting apps and if you know your stuff , there's work a plenty to be found in the sector , but if its just for ' some project ' , I'd switch to some .. any ! other framework , such as openGeo ..	O O V V P O O V , P O V P V R D N , P V P D N P D N V V , G V , A N , , P X V , V D ^ ^ , L V V P D N ^ , ? , P D N R & V R A P O V , R P D N P A N , & R P A A N , A P O , O V O P V D ^ N N , & O V R V O P V D P L A N , R P ? ? ? N , D V O A P V D N N , A P N , N P N O V P V A P V V V P Z ^ N , P N , D N V V R P N = O V V D A N P D ^ N , P R , N N R P D ^ V A P V D N & R V P V D N N , L A P N D ^ N P ^ N , P D N ^ N N P P D N P N P D N , P ^ , L A N V R A & P D A N , L V V P N & R N P R P V D R A N , O P D N T P V R A & A , P L R V Z N , D N N V R R A , O V R V T V N P N P ^ P V D N D N V P D N , D V N V D A N , O V A , A P N P V R P $ & P N P D A N , & , D N N P D N P D V N V D N , P A , O V V D A N & P O V D N , L V D N P V V P D N , & P L R P , D N , , L V P D , D , A N , A P ^ ,
I accepted your answer because is the most complete , but thanks to everybody for yours time .	O V D N P V D R A , & N P N P D N ,
Web ADF was ESRI's first attempt to create an ArcGIS Server simplified API . However , as time progressed , the Web ADF ended up with its own abstractions that were as complicated as the " standard " ArcGIS Server ArcObjects API and not as powerful . Therefore , I would recommend the later incarnations ... javascript , flex , etc	^ ^ V Z A V P V D ^ N A ^ , R , P N V , D ^ ^ V T P L A N P V P V P D , A , ^ N ^ ^ & R R A , R , O V V D R N , ^ , ^ , G
Its depends on the requirements . I java web adf you could have more flexiblity to use arcobjects compared to java script api . i am using . net adf i was wanted to move to jsapi . but due to limitation of arcobject usage in jsapi i am still with web adf . I think still jsapi is not grown as compared to web adf . for just viwer small task js api is fine . but if you are creating complex tasks geoprocessing then its worth to stick with web adf .	L V P D N , O ^ N ^ O V V A N P V N V P ^ ^ ^ , O V V , ^ ^ O V V P V P ^ , & A P N P N N P ^ O V R P N ^ , O V R ^ V R V P V P N ^ , P R N A N ^ ^ V A , & P O V V A N V R L V P V P N ^ ,
there is good blog post on ESRI Developer Blog today . have a look .	X V A N N P ^ N N N , V D V ,
If you need to edit geospatial data then you have to use the Web ADF which is access to the ArcObjects . If you are just working with viewing data maybe some redlines that are not saved to your geodatabase then JavaScript API works nice . Geoprocessing can be done in the JSAPI . You can also publish models and use them in the JSAPI . I hear that the newer APIs - JavaScript API will have the ability to edit in the near future . As is mentioned the web ADF is broad and fairly complex . It has a good learning curve to it . I have just started getting my head around it and figuring out the logic . I am using the . NET ADF v9.3.1 I have not had many problems with it once I started figuring out the API . It is not for the casual user .	P O V P V A N R O V P V D ^ ^ O V V P D N , P O V R V P V N R D N O V R V P D N R ^ ^ V A , N V V V P D ^ , O V R A N & V O P D ^ , O V P D A N , ^ ^ V V D N P V P D A N , P V V D N ^ V A & R A , O V D A N N P O , O V R V V D N P O & V T D N , O V V D , ^ ^ $ O V R V A N P O R O V V T D ^ , O V R P D A N ,
You can do editing via the JSAPI using a geoprocessing service too . Version 2.0 ( due out with ArcGIS Server 9.4 ) will have editing capabilities built in . That said , if a plan involves exposing editing of geospatial data via a public facing webpage , that plan needs to be rethought . If you are working internally , ArcGIS Engine is probably a better option .	O V V V P D ^ V D N N R , N $ , A N P ^ N $ , V V V N V T , O V , P D N V V V P A N P D A A N , O V V P V V , P O V V R , ^ N V R D A N ,
Stay far , far away from the Java Web ADF . I would rather stick hot irons in my eyes than develop with the ADF . It doesn't work well with other JSF frameworks , any custom functionality results in you trying to develop javascript - but only by first embedding the javascript within XSL page fragments . It is cumbersome , confusing , but - at least it is slow . ESRI is not recommending the Java Web ADF for any new applications .	V R , R R P D ^ ^ ^ , O V R V A N P D N P V P D ^ , O V V R P A ^ N , D A N N P O V P V ^ , & R P R V D N P ^ N N , O V A , A , & , O R O V R , ^ V R V D ^ ^ ^ P D A N ,
We've just gone through the same thing and it would appear the ESRI REST APIs are the way to go if you want a lightweight services based application with a ' rich ' front end , rather than the ADF bloat . There's a good summary of all the ESRI frameworks on their UK site here .	L R A P D A N & O V V D ^ ^ ^ V D N P V P O V D A N V N P D , A , A N , R P D ^ N , L D A N P X D ^ N P D ^ N R ,
Editing with the REST API and the client API's ( JS , Flex , Silverlight ) will be available at version 10 ( verison 9.4 renamed ) which will be released in Summer 2010 . This thread is a bit old now , but I concur with those who suggest not using the Java ADF . Use the JavaScript , Flex or Silver light API's as they scale much better . If you need to perform GIS actions on the server then use the SOAP API in a custom web service . Only look at ArcObjects when you definitely have to and then make sure you use a Server Object Utility or extension to give yourself the best chance of making a online application that runs quickly . http://edndoc.esri.com/arcobjects/9.2/net_server_doc/developer/samples/web_applications/arcgis_simple_server_object_extension/8e8b2bf6-1877-4c48-80fe-266f5fa70f57.htm	V P D ^ ^ & D N Z , ^ , ^ , ^ , V V A P N $ , N $ V , O V V V P N $ , D N V D N A R , & O V P O O V R V D ^ ^ , V D ^ , ^ & ^ ^ Z P O V R R , P O V P V ^ N P D N R V D ^ ^ P D A N N , R V P N R O R V P & R V R O V D N N N & N P V O D A N P V D A N P V R , U
Is it possible to create arbitrary Java objects from JavaScript in ie ?	V O A P V A ^ N P ^ P ^ ,
LiveConnect is a Mozilla technology that bridges Java and JavaScript . Amazingly , they've started maintaining it again for recent versions of Firefox . In Firefox I can write e.g. or use the Packages . namespace if it's not a java.something or I could go crazy and call a factory method in swing easily instantiating any Java object . Is there an equivalent that works in ie ?	^ V D ^ N P V ^ & ^ , R , L V V O R P A N P ^ , P ^ O V V G & V D N , N P L R D ^ & O V V A & V D N N P V R V D ^ N , V R D N O V P ^ ,
Why don't you try it ?	R V O V O ,
" Java has as much in common with JavaScript as a car has with a carpet . " If you can do this in Firefox , it's leaking abstractions badly , not to mention allowing external webpage to run locally executed code on visitor's computer .	, ^ V R A P N P ^ P D N V P D N , , P O V V D P ^ , L V N R , R P V V A N P V R A N P S N ,
Of course I tried it , and of course it doesn't work this way in ie . It should be obvious that the question means ' what is the syntax for doing the same thing in ie ' .	P N O V O , & P N O V V D N P ^ , O V V A P D N V , O V D N P V D A N P ^ , ,
@Esko : If it is a leaky abstraction , then Firefox is leaking all over computers everywhere . The security model protects you from doing silly things like being able to access the local file system : ` var f = new java.io.File ( " test.txt ") ; document.write ( f.exists() ); ` results in : ` Error : uncaught exception : Error calling method on NPObject ! [ plugin exception : java.security.AccessControlException : access denied ( java.io.FilePermission test.txt read ) ] . ` However , ` var s = new java.lang.StringBuilder ( " Hello ") ; s.append ( " , World ! ") ; document.write ( s ); ` works just fine : ` Hello , World ! `	@ , P O V D A N , R ^ V V D T N R , D N N V O P V A N P V A P V D A N N , , C C = C ^ , , C , , ^ C C , , V P , C N C A N , N V N P ^ , , N N , ^ , N V , ^ G N , , , , ! , , C C = A ^ , , ! , , C , , , N , , , ^ , C , , V R A , , ! , N , ,
@joeforker : I really wished this worked everywhere . Imagine having the entire Java class library ( minus anything forbidden by access control ) at your disposal in client-side JavaScript !	@ ~ O R V D V R , V V D A ^ N N , P N V P N N , P D N P N ^ ,
@Grant As of JDK 6 update 10 , applets * have * that . Packages object exposing the entire Java class library , even in ie . Who knew ?	@ R P ^ $ N $ , N , V , O , N N V D A ^ N N , R P ^ , O V ,
As far as I know , I don't think this is possible - Java and Javascript are completely different . It just so happens that the JS API contains a Date object , as does the Java API . Edit : The Java Scripting API ( http://java.sun.com/javase/6/docs/technotes/guides/scripting/programmer%5Fguide/index.html#jsengine ) seems to be the closest you can get to what you're trying to do .	R R P O V , O V V D V A , ^ & ^ V R A , O R P V P D ^ ^ V D N N , P V D ^ ^ , V , D ^ ^ ^ , U , V P V D A O V V P O L V P V ,
@Tom : His code is actually creating a Java ` Date ` and referencing it from client-side JavaScript . Consider : ` var r = new java.util.Random() ; document.write ( r.nextBoolean() + ' ; ' + r.nextDouble() + ' ; ' + r.nextFloat() + ' ; ' + r.nextGaussian() + ' ; ' + r.nextInt() + ' ; ' + r.nextLong() ); ` Client-side JavaScript doesn't have a ` Random() ` object , and it certainly doesn't have any ` next* ( )` methods available .	@ ~ D N V R V D ^ , N , & V O P N ^ , V , , C C = C ^ , ^ , C = , , , = C = , , , = C = , , , = C = , , , = C = , , , = C , , N ^ V V D , ^ , N , & O R V V D , ? , , N A ,
You are using LiveConnect which is a Mozilla-specific JavaScript / Java bridge . It is not supported in other browsers .	O V V ^ O V D A ^ , ^ N , O V R V P A N ,
