What happened to Rhino ? Is it still under active development ?	O V P ^ , V O R P A N ,
Or do you mean in place of the outermost while ? Data being available to read without blocking is independent of whether the server has closed the socket - there could be pauses in transmission , and the OS could have buffered input data . So we must test both separately .	& V O V P N P D A ^ , N V A P V P V V A P & D N V V D N , X V V N P N , & D ^ V V V N N , P O V V D R ,
No , I meant the inner while , but your first comment is right : I'm wrong .	N , O V D A ^ , & D A N V A , L A ,
Ok . What's the value of eof when the code reaches this comment ? // at this point response does contain the expected HTTP response What's the symptom ? I assume it's an infinite loop ?	N , L D N P ^ R D N V D N , = P D N N V V D V ^ N L D N , O V L D A N ,
eof is still 0 at that point ( otherwise we'd exit the outermost while() correctly and I'd not be posting this ) . Question edited - hopefully the problem is clearer now ?	^ V R $ P D N , R L V D A ^ R & L R V V D , , N V , R D N V A R ,
OK , further research suggests there is no non-blocking way to discover whether the remote side has closed a socket . However , it is possible to achieve this using NIO channels :	N , A N V R V D A N P V & D A N V V D N , R , O V A P V D V ^ N ,
When the end of the stream is reached , available() returns 0 , so in your code , you never read the -1	R D N P D N V V , ^ V $ , R P D N , O R V D $
Right . But read() will block until either EOF is reached or there is more data , and Javascript is single-threaded so we don't want to issue a read without knowing for certain we have data to read . And available() can return 0 during transmission , so we can't use that to test for EOF .	! , & ^ V N P & ^ V V & X V A N , & ^ V A P O V V P V N N P V P A O V N P V , & ^ V V $ P N , P O V V O P V P ^ ,
Process the file before uploading it	V D N P V O
I got a form with SWFUpload . Files uploaded to the server are converted server-side ( video being compressed , images being resized etc ) Question is - can i delegate some of the functionality to client-side ( like image resizing ) , to save some bandwidth for user .	O V D N P ^ , N V P D N V V N , N V V , N V V G , N V , V O V D P D N P N , P N V , , P V D N P N ,
Video compression via Javascript would probably slow the browser so much that it wouldn't be bandwidth savings and if anything would probably annoy the end user .	N N P ^ V R V D N R A P O V V N N & P N V R V D N N ,
Thanks , very valid point . Though it doesn't have to be javascript compression . Maybe some process , just initiated by javascript ?	N , R A N , P O V V P V ^ N , R D N , R V P ^ ,
Process the file before uploading it	V D N P V O
I got a form with SWFUpload . Files uploaded to the server are converted server-side ( video being compressed , images being resized etc ) Question is - can i delegate some of the functionality to client-side ( like image resizing ) , to save some bandwidth for user .	O V D N P ^ , N V P D N V V N , N V V , N V V G , N V , V O V D P D N P N , P N V , , P V D N P N ,
Video compression via Javascript would probably slow the browser so much that it wouldn't be bandwidth savings and if anything would probably annoy the end user .	N N P ^ V R V D N R R P O V V N N & P N V R V D N N ,
Thanks , very valid point . Though it doesn't have to be javascript compression . Maybe some process , just initiated by javascript ?	N , R A N , P O V V P V ^ N , R D N , R V P ^ ,
Playing a sound notification using Google Web Toolkit	V D N N V ^ ^ N
Is it possible to play a sound notification using Google Web Toolkit which will be translated to Javascript ? Thanks .	V O R P V D N N V ^ ^ N O V V V P ^ , N ,
Yes it's possible , scriptaculous ( a js library ) has a sound.js which is an example of how to do it . The source is under 50 lines of code .	! L A , A , D ^ N , V D ^ O V D N P R P V O , D N V P $ N P N ,
Try using this library : http://code.google.com/p/gwt-voices /	V V D N , U ,
Since GWT 2.2 you can play audio with : com.google.gwt.media.client.Audio class . API : http://google-web-toolkit.googlecode.com/svn/javadoc/2.2/com/google/gwt/media/client/Audio.html Sample :	P ^ $ O V V N P , ^ N , ^ , U N ,
where is the ` style ` folder ? Is it in the same directory as the . java file , or is it in the web directory ?	R V D , N , N , V O P D A N P D , ^ N , & V O P D N N ,
@MarioStoilov its the URL , check http://www.gwtproject.org/javadoc/latest/com/google/gwt/media/client/MediaBase.html#setSrc(java.lang.String )	@ L D ^ , V U ,
Tools for coding conventions and analyzing HTML , CSS , Javascript client side code	N P N N & N ^ , ^ , ^ N N N
I use various code checkers for Java development but I haven't used one for HTML ,. CSS , Javascript . Do any exist . That flag bad practices or similar tool .	O V A N N P ^ N & O V V $ P ^ G ^ , ^ , V D V , O V A N & A N ,
Please accept an answer .	V V D N ,
Firebug with the YSlow addon from Yahoo is pretty effective at pointing out your inefficiencies . Also try the web developer addon and hitting ctrl+shift+a - it'll load your local code straight into the w3c validator . Read up on 508C compliance - you can't test for it but it's good to know .	^ P D ^ N P ^ V R A P V T D N , R V D ^ N N & V ^ , L V D A N R P D ^ N , V T P ^ N , O V N P O & L A P V ,
W3C has a Markup Validation Service for validating ( X ) HTML . Also , W3C has tools : For CSS For Atom RSS feeds And JSLint is a tool for checking your JavaScript .	^ V D ^ ^ N P V G G G ^ , R , ^ V N , P ^ P ^ ^ N & ^ V D N P V D ^ ,
+1 for JSLint . It is developed and maintained by Douglas Crockford , a renowned Javascript guru .	$ P ^ , O V V & V P ^ ^ , D A N N ,
js2-mode for Emacs will catch and highlight some common Javascript errors while you're editing your code . It's not as thorough as the external lint tools , but it's a lot more immediate in its feedback .	$ P ^ V V & N D N N N P L V D N , L R R A P D A N N , & L D N R A P D N ,
Firebug with CodeBurner gives you reference material for your HTML and CSS . You can lookup HTML elements , attributes , and CSS properties quickly without leaving the page .	N P ^ V O N N P D ^ & N , O V ^ ^ ^ , N , & N N R P V D N ,
Tools for coding conventions and analyzing HTML , CSS , Javascript client side code	N P N N & V ^ , ^ , ^ N N N
I use various code checkers for Java development but I haven't used one for HTML ,. CSS , Javascript . Do any exist . That flag bad practices or similar tool .	O V A N N P ^ N & O V V $ P ^ , ^ , ^ , V D N , O V A N & A N ,
Please accept an answer .	V V D N ,
Firebug with the YSlow addon from Yahoo is pretty effective at pointing out your inefficiencies . Also try the web developer addon and hitting ctrl+shift+a - it'll load your local code straight into the w3c validator . Read up on 508C compliance - you can't test for it but it's good to know .	^ P D ^ N P ^ V R A P V T D N , R V D N N N & V ^ , L V D A N R P D ^ N , V T P ^ N , O V N P O & L A P V ,
W3C has a Markup Validation Service for validating ( X ) HTML . Also , W3C has tools : For CSS For Atom RSS feeds And JSLint is a tool for checking your JavaScript .	^ V D ^ N N P V G G G ^ , R , ^ V N , P ^ P ^ ^ N ^ ^ V D N P V D N ,
+1 for JSLint . It is developed and maintained by Douglas Crockford , a renowned Javascript guru .	$ P ^ , O V V & V P ^ ^ , D A ^ N ,
js2-mode for Emacs will catch and highlight some common Javascript errors while you're editing your code . It's not as thorough as the external lint tools , but it's a lot more immediate in its feedback .	^ P ^ V V & N D N N N P L V D N , L R R A P D A N N , & L D N R A P D N ,
Firebug with CodeBurner gives you reference material for your HTML and CSS . You can lookup HTML elements , attributes , and CSS properties quickly without leaving the page .	^ P ^ V O N N P D ^ & N , O V V ^ N , N , & ^ N R P V D N ,
How would I write a Java regex that gets the contents of a	R V O V D ^ ^ O V D N P D
I'm trying to integrate analytics into my GWT application . To do this , I'm calling a service that returns a String of HTML that needs to be parsed and eval'ed . I need a regex that looks for and grabs either 1 ) the body of the tag or 2 ) the contents of the " src " attribute . I want to eval both of these with JavaScript . I'm happy with assuming that if a " src " attribute exists , the body can be ignored . Thanks , Matt	L V P V N P D ^ N , P V D , L V D N P V D N P ^ O V P V A & G , O V D ^ O V P & N & $ , D N P D N & $ , D N P D , ^ , V , O V P ^ X P O P ^ , L A P V O P D , ^ , N V , D N V V V , N , ^
This question is really confusing , Java ! = JavaScript	D N V R A , ^ = = ^
I need to do the parsing of HTML with Java . After getting the JavaScript , I'll eval it . Oh , and I'm using GWT , so Java / is JavaScript . ;-)	O V P V D N P ^ P ^ , P V D ^ , L V O , ! , & L V ^ , P ^ , V ^ , E
It seems like there's got to be a better way to do what you're trying to do . What you propose is a very unnatural pairing ( regex to find js tag & then eval while using GWT )	O V P L V P V D A N P V O L V P V , D O V V D R A N , ^ P V ^ N & R ^ P V ^ ,
Someone needs to tag this with ' GWT ' or ' Google Web Toolkit ' . Also , please make it more clear in the question that you are using GWT . Otherwise , this question doesn't make much sense ( better ways to do the same thing in a js context ) .	N V P V D P , ^ , & , ^ N N , , R , V V O R A P D N P O V V ^ , R , D N V V A N , A N P V D A N P D ^ N , ,
To match the body of the tag , you can try something like which you want to match case-insensitively . Works assuming there is no "" appearing in the actual script body and no " > " in the attributes for the tag . You can add whitespace globbers to the regexp to make it more robust . Note the use of . * ? to make sure the scanning stops at the first closing tag . To add the src attribute , you can try and use the second submatch to get ' src ' , and third to get the body . Again , you might want to add whitespace globbers . But would be best off by running the thing through a proper HTML / XML / SGML parser , because regexps can blow up in special cases .	P V D N P D N , O V V N P D O V P V R , V V R V D = V P D A N N & R = = = P D N P D N , O V V N N P D ^ P V O R A , V D V P = = = P V R D V V P D R A N , P V D ^ N , O V V & V D A N P V = ^ = , & A P V D N , R , O V V P V N N , & V V A R P V D N P D A ^ , ^ , ^ N , P ^ V V T P A N ,
You could use something like this : The regex uses the lazy star quantifier and should work in most cases but it could certainly be improved upon . It will match in $1 the attributes of the script tag , and in $2 the body . You can then check for the src attribute in $1 ( if it's not empty ) .	O V V N P D , D ^ V D A N ^ & V V P A N & O V R V V T , O V V P $ D N P D N N , & P $ D N , O V R V P D ^ V P $ , P L R A , ,
How about to start with . You may need to customize it a bit to accept the src attribute with single quotes or without quotes . ignore white between the ' script ' and ' ' You also must use the DOTALL mode to ensure the . captures newlines .	R P P V P , O V V P V O D N P V D ^ V P A N & P N , V N P D = N = & = = O R V V D ^ N P V D = V N ,
Your answer won't handle	D N V V
Agreed . There are many cases it won't handle ( like the type attribute of the script tag ) . I suggested this as a start to build from .	! , X V A N O V V , P D N V P D N N , , O V D P D N P V P ,
and it will match everything between first and last which wouldn't work nicely when there are multiple scripts on the page	& O V V N P A & R O V V R R R V A N P D N
Must it be a regex ? You can use the DOM to obtain such information , here is a trivial example of getting the contents of the BODY tag , you could apply it to whatever you like :	V O V D ^ , O V V D ^ P V A N , R V D A N P V D N P D ^ N , O V V O P D O V ,
+1 Yes ! Parsing non-regular strings with regular expressions is WRONG !	$ ! , V A N P A N V A ,
+1 . I love regex , but use the right tool for the job . regex is the wrong tool for this job .	$ , O V ^ , & V D A N P D N , ^ V D A N P D N ,
While I agree in principle , he's trying to do this via the GWT which uses java to create javascript .	P O V P N , L V P V D P D ^ O V ^ P V ^ ,
This seems to do what you want : That being said , you would probably be better off using something like Tag Soup if it is at all possible .	D V P V D O V , O V V , O V R V R O V N P ^ ^ P O V P D A ,
I'm marking this as the correct answer since it does what I originally wanted . Also , laz provided me with the secondary answer ( below ) that I needed for the final solution .	L V D P D A N P O V O O R V , R , N V O P D A N , R , P O V P D A N ,
Is that correct ? I would think the last peren should be inside the tag like this : ]* src =[ '  " ] ( [^ '  " ]* ) [ '  " ][^ > ]* > |[^ > ]* > ( [^ < ]* )) because I believe script tags not specified always with a closing node , not shorthand , so , never / >	V D A , O V V D A N V V P D N P D , C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C P O V N V R A R P D A N , R N , R , R = =
You are technically correct , which is the best kind of correct of course , except that HTML in the wild can certainly be malformed and if a browser can render it ( or ever did ) , be assured someone once wrote it that way ! Since Matt seems to have controlled the HTML being parsed though , he might not have needed to handle that scenario .	O V R A , O V D A N P A P N , V D ^ P D A V R V A & P D N V V O , & R V , , V A N R V O D N , P ^ V P V V D ^ V V P , O V R V V P V D N ,
Thanks for all the great suggestions everyone . I quickly discovered it's not possible to use Java's Regex API in GWT and was able to do what I wanted with JSNI . Unfortunately , I ran into additional issues as documented in the following thread : http://groups.google.com/group/Google-Web-Toolkit/browse_thread/thread/ac2589369ddec8a3	N P X D A N N , O R V L R A P V Z ^ ^ P ^ & V A P V O O V P ^ , R , O V P A N P V P D N N , U
I guessing that the call to eval ( scripts[i] . getAttribute ( " src ")) doesn't not load the URL that src= "" points to . It is simply trying to execute the actual URL string as JavaScript . You need to figure out how to load the contents of that URL and eval it .	O V P D N P ^ G C G ^ G G G G V R V D ^ D G = N P , O V R V P V D A ^ N P ^ , O V P V T R P N D N P D ^ & ^ O ,
Ugh , I = I'm and doesn't not = does not	! , O , L & V R , V R
Thanks for the suggestion . It allowed me to solve my problem . Here's the solution I came up with : http://groups.google.com/group/Google-Web-Toolkit/msg/0d076f647a4472bc	N P D N , O V O P V D N , L D N O V T P , U
Are Java Applets unable to communicate with javascript within Firefox on Mac OS ?	V ^ N A P V P ^ P ^ P ^ ^ ,
Would it work via accessing one of the global objects on the screen ? Ergo , In JavaScript : In Applet : That would be my experiment . But I've been calling " window.close() " on FF on Mac OS X , and that still works .	V O V P V $ P D A N P D N , ^ , P ^ , P N , O V V D N , & L V V , ^ , P ^ P ^ ^ $ , & O R V ,
Calling the function is not the problem , getting the result back is . With debug statements I can see clearly that the function is executed , but somehow the return value gets lost and I only get " null " .	V D N V R D N , V D N N V , P N N O V V R P D N V V , & R D N N V A & O R V , C , ,
I haven't used the applet api in a while but if i recall correctly in order to allow an Applet to cann JS code you should enable the attribute mayscript in your applet tag or a param mayscript in the object tag notation . For communication in the other way JS to Applet you should also use the scriptable attribute or parameter , for example : This allows your applet to use script functions .	O V V D N ^ P D N & P O V R P N P V D N P G ^ N O V V D N ^ P D N N & D ^ ^ P D N N N , P N P D A N ^ P N O V R V D A N & N , P N , D V D N P V N N ,
The mayscript and scriptable attributes are necessary indeed . But I already include them in my applet tag , otherwise it wouldn't work at all with other browsers .	D ^ & A V V A R , & O R V O P D N N , R O V V P X P A N ,
If you remove all calls to properties of the applet you're cool . This may happen in other situations as well . I found this page after Googling a similar problem , so I thought I'd add a datapoint . The only difference is that I was using win.call() rather than win.eval() . I had an alert() call in the JavaScript to make sure the call was getting through , and saw what appears to be exactly the same lockup on Firefox 3.0 . 9 , OS X 10.5 . 6 , Java 1.5 . 0_16 . 100% repeatable with Firefox , no problem on Safari ( I don't have Windows installed on this box ) . When I got rid of the alert() and simply returned a value , the problem went away . Sooooo ... maybe calls into JavaScript time out after a while and simply toss null ?	P O V X V P N P D N L A , D V V P A N P R , O V D N P V D A N , P O V L V D N , D A N V P O V V ^ R P ^ , O V D ^ V P D ^ P V R D N V V P , & V O V P V R D A N P ^ $ , $ , ^ $ $ , $ , ^ $ , $ , $ N P ^ , D N P ^ , O V V ^ V P D N , , R O V A P D ^ & R V D N , D N V R , ! , R V P ^ N P P D N & R V ^ ,
How to keep the bottom of an SWT Browser widget visible when appending to the HTML content ?	R P V D A P D ^ N N P O V P D ^ N ,
Rewriting the whole HTML content every time seems unnecessarily busy-work , and there may not be a way to prevent some browsers from scrolling to the top each time you redraw the entire page . Especially if you allow the logs you show to get very long , this will get slower and slower as the log gets longer . A better solution might be to use JavaScript to append to the page . You're already using How about something like this ( assuming " itemID " is the ID of the DIV containing the content ): You have to do the replaceAll() and you may need a couple more transformations , depending on your log content . I've noticed that browser.execute() doesn't like it if the script contains newlines , for example , and single quotes in your string needed to be quoted as I show above .	V D A ^ V D N V R N , & R V R V D N P V D N P V P D N D N O V D A N , R P O V D V O V P V R R , O V V A & R P D N V A , D A N V V P V ^ P V P D N , L R V R P N P D , V , ^ , V D ^ P D ^ V D N E O V P V D ^ & O V V D N A N , V P D N N , L V D ^ V P O P D N V N , P N , & A N P D N V P V V P O V P ,
Thank you , this is much better , even if I set the entire text each time .	V O , O V R R , R P O V D A N D N ,
Just wanted add that a downside of this is that it does not seem to work on the Mac with a default Browser widget . A workaround is to force Mozilla usage in the Browser widget with the SWT.MOZILLA option , which requires an installed XulRunner ( see http://www.eclipse.org/swt/faq.php#howusemozilla) .	R V V P D N P D V P O V R V P N P D ^ P D N N N , D N V P ^ ^ N P D N N P D ^ N , O V D V ^ , V U ,
@Fabian Steeg : You may want to log an SWT bug report about this .	@ G , O V V P V D ^ N N P D ,
I would have just added this as a comment , but it wouldn't let me ( not enough reputation ) . You can ship XUL in a nonstandard location on the mac , by setting a system property . System.setProperty ( " org.eclipse.swt.browser.XULRunnerPath " , " / fubar / xul / Versions / 1.9 . 0.7 / ") ;	O V V R V D P D N , & O V V O , R A N , , O V ^ ^ P D N N P D ^ , P V D N N , ^ G G G G G G G G G G G G G G G G G G G
Thanks , this is good to know for the future . In this particular case I ended up not using the browser widget but a tree viewer ( for other reasons ) .	N , O V A P V P D N , P D A N O V T R V D N N & D N N , P A N , ,
. NET , Java to JavaScript compiler	G ^ , ^ P ^ N
I am interested to create a drag-and-drop layout designer using only JavaScript , HTML and CSS . The designer will allow the user to drag the page elements from one place to another ( something like Blogger ' s layout designer ) to create a site layout . But I don't want to hand code everything in JavaScript , I would prefer to write my application in . NET ( preferably ) or Java and rely on a compiler to compile it to JavaScript and HTML . What are the . NET or Java to JavaScript compilers that you have used and can recommend ? For Java to JavaScript I know GWT is available . What about . NET to JavaScript ? Microsoft did come out with Volta , but the project seems to be no longer available .	O V V P V D N N N V A ^ , ^ & ^ , D N V V D N P V D N N P $ N P D , N P ^ G G N N , P V D N N , & O V V P N N N P ^ , O V V P V D N P G ^ , R , & ^ & V P D N P V O P ^ & ^ , O V D G ^ & ^ P ^ ^ P O V V & V V , P ^ P ^ O V ^ V A , O P G ^ P ^ , ^ V V T P ^ , & D N V P V D A A ,
suggest it as a Google Summer of Code project ?	V O P D ^ ^ P N N ,
