jQuery and Java applets	^ & ^ N
The problem with having a servlet implement MessageListener is that servlets are synchronous and MessageListeners are asynchronous . Instead you should create some other object to act as the MessageListener and update some state somewhere ( possibly a database or a JMX MBean or a Stateful Session EJB ) when messages come in . Then the servlet can query that state to see if there's data to report back to the client , and your web page can periodically ping the servlet to ask for fresh data .	D N P V D N V ^ V D N V A & ^ V A , R O V V D A N P V P D ^ & V D N R , R D N & D ^ ^ & D A N ^ , O N V T , R D N V N D N P V P Y N P V R P D N , & D N N V R V D N P V P A N ,
Thanks jodonnell .. I have never wrote a JMX MBean or Stateful Session EJB but after a quick google search I think this is the right path to look down . Thanks for the help .	N ^ , O V R V D ^ ^ & A N ^ & P D A ^ V O V D V D A N P V T , N P D N ,
Have you tried reading the answers for this question which links to the ActiveMQ Ajax support . Basically ActiveMQ has native support for Ajax so you can use its JavaScript library to directly subscribe from an ActiveMQ topic . Also see the ActiveMQ web samples which show how to do things like real time chat or real time stock portfolio screens using Ajax with ActiveMQ	V O V V D N P D N D N P D ^ ^ N , R ^ V A N P ^ P O V V L ^ N P R V P D N N , R V D ^ N N D N R P V N R A N N & A N N N N V ^ P ^
As James Strachan says - http://activemq.apache.org/ajax.html is an ideal out-of-the-box solution for your problem . If you still want to create such solution manually you can just create JMS connection in your Ajax servlet ( connection per request ) . Consider using Spring JMS template for that reason ( http://static.springsource.org/spring/docs/2.5.x/reference/jms.html ) . Then just receive the message in the Servlet doGet / doPost method . Consider low timeout value for receiving in that case . Such solution will work for the Queues and durable Topics . For non-durable Topics consider external message listener . Spring MessageListenerContainer is an excellent tool for that purpose : Bean lastTenUpdatesCache will be a singleton bean implementing MesssageListener . This bean would be responsible for caching last ten messages ( just putting it into a java.util list ) . It will be injected into your Ajax servlet so in your doGet / doPost method you can ask it about last 10 messages sent to the topic .	P ^ ^ V G U V D A N N P D N , P O R V P V A N R O V R V ^ N P D ^ N , N P N , , V V N ^ N P D N , U , , R R V D N P D ^ N , N N , V A N N P V P D N , A N V V P D N & A N , P A N V A N N , N ^ V D A N P D N , ^ ^ V V D ^ N V ^ , D N V V A P V A $ N , R V O P D ^ N , , O V V V P D ^ N R P D N , N N O V V O R A $ N V P D N ,
Passing JS function to applet for as event listener	V ^ N P N P P N N
Is it possible to pass a function / callback from javascript to a java applet ? For example i have an applet with a button that when pressed it will call the passed js callback	V O R P V D N , N P ^ P D ^ N , P N O V D N P D N P O V O V V D V ^ N
You can use JSObject to call back into javascript from Java . From that page :	O V V ^ P V R P ^ P ^ , P D N ,
is it also possible to pass js function which is an object as the first argument of win.call instead the name of the js function ?	V O R A P V ^ N O V D N P D A N P ^ R D N P D ^ N ,
No , but instead of passing in the bare callback function you could create a new object containing it , pass that in then use the object.call ( name ) form .	N , & R P V P D A N N O V V D A N V O , V O P R V D ^ , N , N ,
I tend to use something I derived from the reflection example at the bottom of this page , as then you don't need to meddle with your classpath to get it to compile Then I just pass JSON strings around between the applet and javascript	O V P V A O V P D N N P D A P D N , R R O V V P V P D N P V O P V R O R V ^ N P P D N & ^
thx for the link , it just contains all the possible methods	! P D N , O R V X D A N
ps . to use JSObject you may need to include " MAYSCRIPT " tag to applet html tag .	! , P V ^ O V V P V , ^ , N P D ^ N ,
JavaScript or Java String Subtraction	^ & ^ N N
If you are using Java or JavaScript , is there a good way to do something like a String subtraction so that given two strings : you just get I know that I could just write code to walk the string comparing characters , but I was hoping there was a way to do it in really compact way . EDIT TO A DD: As I was analyzing the data I get when I use this I realized that I missed the statement of the case a bit . It should be : So , I actually only want to remove the sections that are identical . That said , the answer that I accepted is closest to my goal .	P O V V ^ & ^ , V X D A N P V N P D N N P O V $ N , O R V O V P O V R V N P V D N V N , & O V V R V D N P V O P R A N , V P D ^ P O V V D N O V R O V D O V P O V D N P D N D N , O V V , P , O R A V P V D N P V A , O V , D N P O V V A P D N ,
I don't see how JavaScript is relevant here ...	O V V R ^ V A R ,
How isn't it ? You never need to remove a string from another string in javascript ? Granted , all solutions have been posted in java , but that doesn't invalidate the question .	R V O , O R V P V D N P D N P ^ , R , X N V V V P ^ , & O V V D N ,
LOL - okay then , let's tag this as Java / JavaScript / C# / VB.NET / Python / Ruby / erlang / Smalltalk / Lisp / etc ... My point is , JavaScript and Java have nothing in common other than syntax shared with C# , C , C++ , etc . and this is not really a JavaScript solution .	! , A R , L V D P ^ , ^ , ^ , ^ , ^ , ^ , ^ , ^ , ^ , G , D N V , ^ & ^ V R P N A P N V P ^ , ^ , ^ , G , & D V R R D ^ N ,
Should work ... EDIT : Apache commons libraries are also great to use As noted below , the StringUtils class does in fact have a method for this : StringUtils.remove()	V V , N , ^ N N V R A P V P V P , D ^ N V P N V D N P D , ^
Can't you just replace the occurrences of the first string in the second with an empty string ?	V O R V D N P D A N P D A P D A N ,
Depends on precisely what you want . If you're looking for a way to compare strings in the general case -- meaning finding common sub-strings between arbitrary inputs -- then you're looking at something closer to the Levenshtein distance and similar algorithms . However , if all you need is prefix / suffix comparison , this should work : ... or something roughly to that effect .	V P R O O V , P L V P D N P V N P D A N , V V N N P A N , R L V P N R P D ^ N & A N , R , P X O V V N , N N , O V V , , & N R P D N ,
Thanks Chris and Daniel ( and all the rest of you ) . That was amazingly fast .	N ^ & ^ , & X D N P O , , O V R R ,
This seems like way too much code for what's requested - Erickson's approach ( replace string B in string A with empty string ) is much simpler and readable .	D V P N R A N P L V , ^ N , V N G P V G P A N , V R A & A ,
@Herb Agreed , I do like Erickson's ( and Chris's ) approach much better for readability . However , his doesn't enforce strict prefix / suffix . The problem I have is the question is a bit ill-defined : what does String difference really mean ?	@ A , O V P Z , & Z , V R R P N , R , D V V A N , N , D N O V V D N V D N A , O V N N R V ,
If you're just trying to get whatever's after the last dot , I find this method easy in Javascript : subString will contain the value you're looking for .	P L R V P V L P D A N , O V D N A P ^ , N V V D N L V P ,
At first glance , I thought of RegExp , but adding to the question , you removed that possibility by adding to the start-string ... So you'll have to make a procedure , that takes every character that are equal out of the resulting string , something like this : By the way it doesn't have a meaning to set Java and javascript as equals in any context , a popular way of putting it could be : Java and javascript has four things in common : j - a - v - a ! - )	P A N , O V P ^ , & V P D N , O V D N P V P D N , P L V P V D N , O V D N P V A N P D A N , N P D , P D N O V V D N P V ^ & V P V P D N , D A N P V O V V , ^ & ^ V $ N P N , G G G G G G D G G ,
Though this relies on that the character with code 1 does not appear in any of those strings .	& D V P O D N P N $ V R V P D P D N ,
Java : Scripting language ( macro ) to embed into a Java desktop application	^ , N N , N , P V P D ^ N N
I am writing a graphics application in Java . Eventually I would like to build in a scripting language so things are programmable . Which language library do you recommend ? Likely suspects are : Rhino ( JavaScript ) JRuby ( Ruby ) Jython ( Python ) Less likely candidates are : Whip up my own language using JavaCC LuaJava ( Lua ) Groovy JavaFX Script-Fu The target audience are probably not hardcore programmers , so less arcane language is preferred . My guess is that JavaScript is more acceptable by them even with its quirks just because they've seen it more . Lua seems to be popular in C / C++ , but at least LuaJava requires additional . dll / . so , which makes deployment complicated . EDIT : PhiLho wrote that there's a Java implementation of Lua called kahlua . Related questions : Which scripting language to support in an existing codebase ? ( in C / C++ ) Adding Scripting functionality to . net Apps What is the best scripting language to embed in a C# desktop application .	O V V D N N P ^ , R O V V P V P D N N P N V A , D N N V O V , A N V , ^ , ^ , ^ , ^ , ^ , N , R A N V , V P D O N V ^ ^ , ^ , ^ ^ ^ D V N V R R A N , R A A N V V , D N V D ^ V R A P O R P D N R P L V O R , ^ V P V A P ^ , ^ , & P R ^ V A , ^ , , R , D V N A , N , ^ V D Y D ^ N P ^ V ^ , V N , D N N P V P D A N , , P ^ , ^ , V N N P , N N O V D A N N P V P D ^ N N ,
if the target audience is " no programming skills .... " choose jython ( python ) it is easy to learn . ( my 7 year old daugther learned it very quick ) Bruce Eckel made a chapter with jython in " thinking in java " . at the danger getting a " down-vote " python is easier as BASIC :-)	P D V N V , D N N , , V ^ , ^ , O V A P V , , D $ A A N V O R A , ^ ^ V D N P ^ P , V P ^ , , P D N V D , N , ^ V A P ^ E
+1 for -BASIC ;o )	$ P ^ E ,
Lua is appreciated , among other things , by the simplicity of the language , making it easy to learn . LuaJava uses the original Lua implementation , making it complete , but as you point it , maybe delicate to install . I know at least a pure Java implementation of Lua : Kahlua . It is not complete ( lacking coroutine support among other things , but one can do much without them ) but perhaps already usable for your goal . Unlike , say , Groovy , it shouldn't add much overhead to your application ...	^ V V , P A N , P D N P D N , V O A P V , ^ V D A ^ N , V O A , & P O V O , R A P V , O V P R D A ^ N P ^ , ^ , O V R A , V N V P A N , & O V V R P O , & R R A P D N , P , V , ^ , O V V R A P D N ,
There's also BeanShell , which has the advantage of being a fully-approved JSR , and so perhaps more likely to stick around . http://www.beanshell.org /	L R ^ , O V D N P V D A ^ , & R R R A P V P , U ,
Plus side : it's basically dynamic Java , so it's really easy to attach it to a Java program . Minus side : it's basically dynamic Java , so it might not be the easiest language to learn .	A N , L R A ^ , P L R A P V O P D ^ N , A N , L R A ^ , P O V R V D A N P V ,
If I like Java , and I use Java , but I don't want my users to know that they are running Java app , is that sort of like being ashamed of ugly girl friend ? No , right ?	P O V ^ , & O V ^ , & O V V D N P V P O V V ^ N , V D N P V V A P A N N , N , R ,
You might consider Jacl . It is based on Tcl which was originally designed to be an embeddable scripting language . So , one could argue it is much more suited for that purpose than other scripting languages that had the ability to be embedded tacked-on . Particularly if the target audience is " not hardcore programmers " , Jacl makes a fine choice . Intelligent people ( and especially those without hard-wired programming prejudices ) can easily pick up the Tcl syntax in a morning .	O V V ^ , O V V P ^ O V R V P V D N N N , P , O V V O V R R V P D N P A N N O V D N P V V V , R P D V N V , R A N , , ^ V D A N , A N , & R O P A N N , V R V T D ^ N P D N ,
If you wanted to go all out you could utilize scripting for the Java Platform as defined by JSR 223 . Taking that approach would allow the application to utilize any language that has a conforming script engine .	P O V P V X P O V V V P D ^ N P V P ^ $ , V D N V V D N P V D N P V D V N N ,
" The Mozilla Rhino engine for the JavaScript programming language , however , is currently included as a feature in the JDK 6 and JRE 6 libraries . " Does this put Rhino slightly ahead of everyone else ?	, D ^ ^ N P D ^ N N , R , V R V P D N P D ^ $ & ^ $ N , , V D V ^ R R P N R ,
In theory it does . I'm not really sure that is what has happened in reality yet .	P N O V , L R R A O V O V V P N R ,
Java 6 already has javascript available as a JSR 223 scripting language , out of the box .	^ $ R V ^ A P D ^ $ N N , R P D N ,
It ships with Rhino , which I commented on laz's answer too . In theory , this is the official endorsement .	D N P ^ , D O V P Z N R , P N , O V D N N ,
You can use RelProxy - Java , it provides real and pure Java as a scripting language , including shell scripts made with Java , thanks to its compilation on the fly . Because the Java " script " is executed sharing the launcher ClassLoader , integration is straightforward .	O V V ^ , ^ , O V A & A ^ P D N N , V N N V P ^ , N P D N P D N , P D ^ , N , V V V D N ^ , N V A ,
Dynamicaly populating a combobox with values from a Map based on what's selected in another combobox	R V D N P V P D N V P L V P D N
Thanks for your answer , Phill . Actually , I'm using Spring . While your answer is a nice one , I'd still like to hear some other opinions :-)	N P D N , ^ , R , L V ^ , P D N V D A O , L R R P V D A N E
How about something like this , using prototype ? First , your select box of categories : Then , you output N different select boxes , one for each of the sub-categories : Your changeCategory javascript function disables all selects with class categorySelect , and then enables just the one for your current categoryID . When you hide / disable like this in prototype , it not only hides it on the page , but it will keep that FORM variable from posting . So even though you have N selects with the same FORM variable name ( myFormVar ) , only the active one posts .	R P N P D , V N , R , D A N P N , R , O N $ A A N , $ P D P D N , D ^ ^ N V X V P N ^ , & R V R D $ P D A ^ , R O V , V P D P N , O R A N O P D N , & O V V D N A P V , P R P O V $ V P D A N N N , C , , R D A $ N ,
If I understand this correctly , every time a car manufacturer is added or removed from the Map , I'd have to add or remove the appropriate select tag in the JSP . Since I get this Map from a vendor's web service , I have no way of knowing how many elements the Map might have .	P O V D R , D N D N N V V & V P D N , L V P V & V D A N N P D ^ , P O V D N P D S N N , O V D N P V R A N D N V V ,
And , I still don't know of a way to retrieve the names of the cars . The name of the car being a String in a Car object , that's stored in a List that's stored as a value in a Map . Whew ... talk about complicated ...	& , O R V V P D N P V D N P D N , D N P D N V D N P D N N , L V P D N L V P D N P D N , ! , V P V ,
Not that long ago I thought about something similar . Using jQuery and the TexoTela add-on it wasn't all that difficult . First , you have a data structure like the map mentioned above : Your HTML should look comparable to : Then , you fill the first combo with jQuery code like : where manufacturerSelected is the callback registered on the onChange event This should do the trick . Please note that there may be syntax errors in there ; I have edited my code to reflect your use case and had to strip quite a lot out . If this helps I would appreciate a comment .	R O R R O V P N A , V ^ & D ^ N O V X D A , A , O V D N N P D N V P , D ^ V V A P , R , O V D A N P ^ N V , R V V D N V P D ^ N D V V D N , V V O R V V N N P R , O V V D N P V D N N & V P N R D N P , P D V O V V D N ,
First of all , thanks for your answer , extraneon . I'll use it if I don't find any other way . However , there are two issues here . The first one is that I'm not doing this for my own personal project , but as a part of a larger enterprise app for the company I'm currently employed at . Because of that ,	N P X , N P D N , ^ , L V O P O V V D A N , R , X V $ N R , D A O V P L R V D P D A N N , & P D N P D A N N P D N L R V P , P P O G
I might not be allowed to use JQuery . They're a bit touchy when it comes to introducing new frameworks in the app . But , if I can't get it to work any other way , I'll just have to get my boss to convince the business guys that that's the only way to do it . However , the larger issue is getting the map	O V R V V P V ^ , L D N R R O V P V A N P D N , & , P O V V O P V D A N , L R V P V D N P V D N N P L D A N P V O , R , D A N V V D N
to work in JavaScript . I already mentioned that I'm getting it from a webservice , and my controller passes it to JSP , so I can't just hardcode it in JavaScript , I have to be able to map my map to a JavaScript object , so that I can manipulate it there . I'm still working on my own solution , though , so	P V P ^ , O R V P L V O P D N , & D N V O P ^ , P O V R A O P ^ , O V P V A P N D N P D ^ N , P P O V V O R , L R V P D A N , P , G
if I get anywhere , I'll post the solution here . Once again , everybody , thanks for all the answers , and excuse me for the long comment .	P O V R , L V D N R , R R , N , N P X D N , & V O P D A N ,
As an add-on on my previous post ; You can put a script tag in your JSP where you iterate over your map . An example about iterating over maps can be found in Maps in Struts . What you would like to achieve ( if you don't care about form submission ) is I think something like : You still have some superfuous " , " which you might wish to prevent , but I think this should do the trick .	P D N P D A N , O V V D N N P D ^ R O V P D N , D N P V T N V V V P N P ^ , O O V V P V , P O V V P N N , V O V N V , O R V D N , , , D O V V P V , & O V D V V D N ,
I just love a challenge . No jQuery , just plain javascript , tested on Safari . I'd like to add the following remarks in advance : It's faily long due to the error checking . Two parts are generated ; the first script node with the Map and the contents of the manufacterer SELECT Works on My Machine ( TM ) ( Safari / OS X ) There is no ( css ) styling applied . I have bad taste so it's no use anyway . .	O R V D N , D ^ , R A ^ , V P ^ , L V P V D N V P N , L R R A P D N N , $ N V V , D A N N P D N & D N P D N ^ V P D N , ^ , , ^ , ^ ^ , X V R , ^ , V V , O V A N P L D , R , ,
Very nice , extraneon ! However , the map is still hardcoded , so the challenge is still on ... :-) To be honest , i managed to solve the problem , although the solution isn't pretty . The populating part is done pretty much the way you did it . I haven't posted it yet ' cause i have a lot to do but I'll post	R A , N , R , D N V R A , P D N V R P ~ E P V A , O V P V D N , P D N V A , ^ V N V V R A D N O V O , O V V O R , R O V D N P V & L N
it as soon as I can , probably the day after tomorrow . Although your solution isn't complete , I'm giving you a vote up , just for the effort you put into it :-) Hint : my solution involves using a scriptlet .	O R R P O V , R D N P N , P D N V A , L V O D V T , R P D N O V P O E N , D N V V D N ,
OK . I should have written a JSP and dynamically generate modelsPerManufacturer and the manufacturer SELECT . using nothing but the input Map . I'll update the answer tonight ( it's now 7am here ) .	A , O V V V D ^ & R V N & D N ^ , V N & D N N , L V D N N , L R $ R , ,
Here is a working , cut-and-paste answer in jsp without any tag libraries or external dependencies whatsoever . The map with models is hardcoded but shouldn't pose any problems . I separated this answer from my previous answer as the added JSP does not improve readability . And in ' real life ' I would not burden my JSP with all the embedded logic but put it in a class somewhere . Or use tags . All that " first " stuff is to prevent superfluos " , " in the generated code . Using a foreach dosn't give you any knowledge about the amount of elements , so you check for last . You can also skip the first-element handling and strip the last " , " afterwards by decreasing the builder length by 1 .	R V D V , A N P ^ P D N N & A N R , D N P N V A & V V D N , O V D N P D A N P D V ^ V R V N , & P , A N , O V R V D ^ P X D V N & V O P D N R , & V N , X D , A , N V P V G , , , P D V N , V D ^ V V O D N P D N P N , P O V P A , O V R V D A N & N D A , , , R P V D N N P $ ,
Well anyway , as i said , i finally managed to do it by myself , so here's my answer ... I receive the map from my controller like this ( I'm using Spring , don't know how this works with other frameworks ): These are my combos : I imported the following classes ( some names have , of course , been changed ): And here's the code that does all the hard work :	! R , P O V , O R V P V O P O , P L D N , O V D N P D N P D , L V ^ , V V R O V P A N , O V D N , O V D N N , D N V , P N , V V , & L D N P V X D A N ,
How do you restrict the size of a file being uploaded with JavaScript ( or Java ) without transferring the entire file ?	R V O V D N P D N V V P ^ , & ^ , P V D A N ,
Is there a way to validate on the client side browser whether the size of a file being uploaded from a JSP page is over a set size limit without forcing the user to upload the entire file only to find out it was too large ? I would like to stay away from any proprietary controls or techniques like Flash or ActiveX if possible . Thanks !	V R D N P V P D N N N P D N P D N V V P D ^ N V P D N N N P V D N P V D A N R P V T O V R A , O V V P V R P D A N & N P ^ & ^ P A , N ,
This isn't a perfect solution , but if you check the Content-Length HTTP header with request.getHeader ( " Content-Length ") then you can choose to not transfer the entire file . By way of explanation , an extremely large file will not be transferred all at once . You'd have to actually open a stream representing that chunk of POST data and read from it for the entire thing to be transfered . On the other hand , if you're worried about denial-of-service attacks , then you can't really trust the Content-Length header , because it can easily be forged . In this case , you should set a limit and stream a transfer of this file , stopping as soon as you've exceeded that limit .	D V D A N , & P O V D ^ ^ N P ^ , , ^ ^ R O V V P R V D A N , P N P N , D R A N V R V V R P R , L V P R A D N V D N P ^ ^ & V P O P D A N P V V , P D A N , P L A P ^ N , R O V R V D ^ N , P O V R V V , P D N , O V V D N & V D N P D N , V R R P L V D N ,
Suggest you reconsider the Flash decision and take a look at the YUI Uploader , here : http://developer.yahoo.com/yui/uploader Among other things , the fileSelect event will tell you the size of the selected file in bytes immediately after it is selected but before it's uploaded , so you'll be able to restrict accordingly .	V O V D ^ N & V D V P D ^ N , R , U P A N , D ^ N V V O D N P D V V P V R P O V V & P L V , P L V A P V R ,
With JSP or PHP you won't be able to restrict the file size because your page won't get the request until the upload has already happened . At that point you can decide not to save the file but that might be too late . There are some Java solutions out there , e.g. MyUploader or Hermes . Some even support multiple file uploads and resuming partial uploads , and some also give you the source code . You can also write your own , but it will need to be a signed applet in order to function because it needs to access the local filesystem . If you're using Apache as your webserver you'll need enough RAM in your machine to fit the whole file size in memory of all files being uploaded at a given time .	P ^ & ^ O V V A P V D N N P D N V V D N P D N V R V , P D N O V V R P V D N & O V V R A , X V D ^ N P R , G ^ & ^ , O R V A N N & V A N , & D R V O D N N , O V R V D N , & O V V P V D A N P N P N P O V P V D A M , P L V ^ P D N L V A ^ P D N P V D A N N P N P D N V V P D V N ,
How do I call Java code from JavaScript code in Wicket ?	R V O V ^ N P ^ N P ^ ,
If I can do this , how do I call Java code ( methods for instance ) from within JavaScript code , in Wicket .	P O V V D , R V O V ^ N , N P N , P P ^ N , P ^ ,
Assuming you mean JavaScript running on the client - you cause an HTTP redirect to be made to the server , and have your servlet react to the request for the given URL . This is known as Ajax , and there are a number of libraries that help you do it ..	V O V ^ V P D N , O V D ^ V P V V P D N , & V D N V P D N P D V ^ , D V V P ^ , & R V D N P N O V O V O ,
http://www.wicket-library.com/wicket-examples-6.0.x/index.html has plenty of examples to get you going . Or have a Have a look at DWR http://directwebremoting.org DWR allows Javascript in a browser to interact with Java on a server and helps you manipulate web pages with the results . As Dorward mentioned this is done via AJAX	U V R P N P V O V , & V D G G N P ^ U ^ V ^ P D N P V P ^ P D N & V O V N N P D N , P ^ V D V V P ^
Broken link http://wicketstuff.org/wicket13/ajax /	A N U G
