Java ScriptEngine : using value on Java side ?	^ ^ , V N P ^ N ,
IE Enhanced Security Configuration is deliberately designed to prevent general purpose browsing from servers . Folks who want to do workstation-style browsing and just happen to be on a server SKU should disable ESC . What's the exactly line of code ? window.open ( " http://fullURL " , etc ) , or something like var v= window.open ( " about :b lank ") ; v.location.href =etc ?	^ V N N V R V P V A N V P N , N O V P V A V & R V P V P D N ^ V V ^ , L D A N P N , ^ , , U , , G , , & N P C C C C C C C C C C C C ,
You need to uninstall " Explorer Enhanced Security " , which is on by default in Windows Servers , before IE will act like a normal browser . :) Workstations shouldn't get this problem .	O V P V , ^ N N , , O V P P N P ^ N , P ^ V V P D A N , E N V V D N ,
I'm looking to add the ability to create a gantt chart to my web application . Currently my application is Grails based running on Tomcat . Research around SO seems to indicate that JFreeChart ( http://www.jfree.org/jfreechart ) and Google Charts both might provide me with the ability to create charts that I could mold into what I need . Before I went down that route , though , I wanted to see if there was something that is more specifically tailored to project management type charts . [ Edit : I am open to using JavaScript modules as well ]	L V P V D N P V D ^ N P D N N , R D N V ^ V V P ^ , N P P V P V D ^ , U , & ^ ^ X V V O P D N P V N P O V V P O O V , P O V T D N , P , O V P V P X V N O V R R A P N N N N , , V , O V A P V ^ N P R ,
Wow . That's pretty slick . I'm definitely going to consider that .	! , L R A , L R V P V O ,
Have a look at http://www.bryntum.com/products/gantt . 100% JavaScript based on ExtJS , not free though . DISCLAIMER : I wrote it .	V D V P U , $ ^ V P ^ , R A P , N , O V O ,
Here's the JavaScript ( on an aspx page ): pdfXML is got from pdfData which is a hidden field on the page containing the XML that contains base64 encoded pdf data which is passed to the java applet . All the other values being passed have within range sensible values . The XML is like this The contents of the element PDF is a lot bigger than displayed here The signature of the Java method is : It seems that when the size of the PDF data gets large the applet fails to be called and the error ' Unknown Error ' is thrown in the JS . The PDF doc the data of which is producing this error is about 4Mb in size . Many thanks in advance for any help .	L D ^ , P D ^ N , ^ V V P N O V D A N P D N V D ^ O V ^ V ^ N O V V P D ^ N , X D A N V V V P N A N , D ^ V P D D N P D N ^ V D N A P V R D N P D ^ N V , O V O R D N P D ^ N V A D N V P V V & D N , A N , V V P D ^ , D ^ N D N P O V V D N V P ? P N , A N P N P D N ,
Since QA saw this error I've stuck some logging in right at the beginning of the WriteDocument function ( it's a signed trusted app so I can write to a log file in the user's home directory ) and that doesn't happen . I'm beginning to suspect that the failure is happening at the method invocation . I just don't know why ? I've added some further clarification to the question .	P ^ V D N L V D N P R P D N P D ^ N , L D V A N P O V V P D N V P D S N N , & O V V , L V P V P D N V V P D N N , O R V V R , L V D A N P D N ,
Also you could try to get the form field value from within the applet and not pass it in as parameter ?	R O V V P V D N N N P P D N & R V O P P N ,
Thanks for responding chaps but I've sorted the problem . How ? I took JRE 1.6 update 12 off and stuck update 7 ( which is the version we reccomend to those who use our website ) on my machine . Why update 12 stopped working I don't know . Why update 7 is stable I don't know . [ sigh ] It's things like this that make me glad I work mostly with a ' long time between releases ' framework like . net .	N P V N & L V D N , R , O V ^ $ N $ A & V V $ , O V D N O V P O O V D N , P D N , R V $ V V O V V , R V $ V A O V V , , N , L N P D O V O A O V R P D , A N P N , N V , N ,
We are plannnig to upgrade the UI framework for our 6-8 year old application written using Struts / JSP / EJB to ExtJS . Just curious as to what is the most popular Java technology on the server people have been using . We were looking into several alternatives like DWR RestEasy Restlet Struts-Json We are diving more towards using DWR but just wanted to know if the programming community has some food for thought on this . For backward compatiblity reasons the migration will happen incrementally and during that period we will try to make ExtJS coexist with the old Web1.0 style pages . We are not changing anything on the business tier but just the web tier will change from JSP to ExtJs pages .	O V V P V D ^ N P D $ A A N V V ^ , ^ , ^ P ^ , R A P P O V D R A ^ N P D N N V V V , O V V P A N P ^ ^ ^ ^ O V V R P V ^ & R V P V P D N N V D N P N P D , P R A N D N V V R & P D N O V V P V ^ V P D A ^ N N , O V R V N P D N N & R D N N V V P ^ P ^ N ,
but that would be at expense of loosing control over generated content . What if your website is not just EXT , but has twitter Bootstrap frontend as well ?	& O V V P N P V N R V N , O P D N V R R ^ , & V ^ ^ N P R ,
We've been using Restlet with good success , and it can be used on applications that aren't 100% RESTful ( we've got areas where we're a bit cavalier ) . It's not a full solution , but it comes with decent integrations to other technologies . For instance we generate our XHTML / CSS pages using Restlet's support for the Apache FreeMarker template generator . Our generated pages happen use jQuery , and ExtJS ought to work equally well . Restlet has a GWT module too .	L V V ^ P A N , & O V V V P N P V $ ^ , L V N R L D N A , , L R D A N , & O V P A N P A N , P N O V D ^ , ^ N V Z N P D ^ ^ N N , D V N V V ^ , & ^ V P V R R , ^ V D ^ N R ,
I wonder , how would you serve non REST content through Jersey e.g. templated htmls and other stuff . I mean something similar to what @Jim ferrans did with RestLet .	O V , R V O V R ^ N P ^ G ^ ^ & A N , O V R A P O @ ^ V P ^ ,
I've been using for similiar project jabsorb , which is very similiar to DWR , but conforms to JSON-RPC .	L V V P A N ^ , O V R A P ^ , & V P ^ ,
My team also was using using Struts in the past . We have moved forward and are using DWR , and we love it . Our experience with DWR and Ext has been great . So much boiler plate code , both with DWR on the Java end , and Ext on the JavaScript end , has been reduced . There is also a ExtJsWithDwr project to help with integrating the two : http://github.com/BigLep/ExtJsWithDwr .	D N R V V V ^ P D N , O V V R & V V ^ , & O V O , D N P ^ & ^ V V A , P A N N N , X P ^ P D ^ N , & ^ P D ^ N , V V V , X V R D ^ N P N P V D $ , U ,
After much revision ( see edit history , viewers at home :) , I believe this is my final answer :	P A N , V V N , N P N E , O V D V D A N ,
Oops , I see . Yeah , it's relying on the non-greedy behavior for that , which you can't use the same way because you're anchoring to a keyword . Editing ...	! , O V , ! , L V P D A N P O , D O V V D A N P L V P D N , V ,
Maybe further developments will help ...	R A N V N ,
Tim's modification of your Regexp above works correctly .	Z N P D ^ P V R ,
How about this modification :	R P D N ,
You need to write two patterns for either single or double quoted strings , as there is no way to make the regex remember which opened the string . Then you can or them together with | .	O V P V $ N P & A & R V N , P X V D N P V D ^ V O V D N , R O V & O R P G ,
The test case you mentioned does not apply to my situation . I'm guaranteed that ' keyword ' will appear just like that , in ASCII . Doing two tests ( first test for string literal , then test for presence of keyword ) will produce a lot of false-positives in my case because probability of a literal having a keyword is about 1% .	D N N O V V R V P D N , L A O , N , V V R P O , P ^ , V $ N , A N P V N , R N P N P N , V V D N P N P D N P N P D N V D N V P $ ,
Hooking a GWT event onto an element in an external iframe	V D ^ N P D N P D A ^
You could use JSNI to reuse your JavaScript piece of code . Your javascript code would call a gwt method on an object that would throw it on behalf of the button in the iframe . As to why GWT code does not work -- I guess that is because they use some layer on top of regular browser events that probably cannot span more than 1 frame . That's just a guess though . You could file this as a feature / bug request agains GWT team . If I am right your code looks just fine .	O V V ^ P P D ^ N P N , D ^ N V V D ^ N P D N O V V O P N P D N P D ^ , R P R ^ N V R V , O V O V P O V D N P N P A N N O R V V R P $ N , L R D N P , O V V D P D N , N N G ^ N , P O V R D N V R A ,
After researching this further , I found that the iframe is irrelevant . The same behaviour doesn't work on a normal button on the host page . I basically fixed it by using JSNI to replicate part of GWT's event handling mechanism . The following works : Where CustomElementWrapper is : Finally , the ClickEventManager , where the actual work happens is : Personally , I hate this solution because I appear to be duplicating GWT's event handling and quite possibly introducing nasty javascript memory leaks . Any ideas on why my first post doesn't work ( remembering that the iframe aspect is a red herring ) , would be appreciated . Thanks , Tin	P V D A , O V P D ^ V A , D A N V V P D A N P D N N , O R V O P V ^ P V N P Z N V N , D V V , R ^ V , R , D ^ , R D A N V V , R , O V D N P O V P V V Z N N & R R V A ^ N N , D N P R D A N V N , V P D ^ N V D A N , , V V V , N , ^
I expect the problem is that the GWT method onAttach() is not called when you use the wrapping as in your first example . You can try to use the static wrap method on the Button widget . Although to use this the input must be of type button . Or have a look at the implementation of the wrap method . Here is the modified code when using the wrap method :	O V D N V P D ^ N ^ V R V R O V D V P P D A N , O V V P V D A N N P D N N , P P V D D N V V P N N , & V D V P D N P D N N , R V D A N R V D N N ,
Thank you ! I knew there had to be a cleaner way :)	V O , O V R V P V D A N E
You may find this helpful : You will then be able to make arbitrary containers into widget containers : And bind events to arbitrary elements : Specifically in your case , try this : It's always mystified me that GWT makes doing this so difficult and poorly documented .	O V V D A , O V R V A P V A N P N N , & N N P A N , R P D N , V D , L R V O D ^ V V D R A & R V ,
Best way to grab website content externally	A N P V N N R
Almost all search provider has some APIs , but the free ones impose some constraints about how often can you search , how many times in a day and how many results you get .	R D N N V D ^ , & D A N V D N P R R V O N , R A N P D N & R A N O V ,
Can you give some hints about which site you want to use for searching ? If the search is a local search , you could ask a publicly API-ed search provider to search only within this site .	V O V D N P D N O V P V P V , P D N V D A N , O V V D R A N N P V R P D N ,
Install Firebug , study the requests that are made by the site's javascript and mimic them in your program . Chances are there is a single request that needs to be made and the resulds would come in some nice form like JSON	V ^ , V D N O V V P D S ^ & V O P D N , N V X V D A N O V P V V & D G V V P D A N P ^
What about Dyanmic Data Exchange ? Can't you use that to grab any content from any window in windows ? So I can just grab the content from my browser , and parse it in my program ?	O P G N N , V O V O P V D N P D N P ^ , P O V R V D N P D N , & V O P D N ,
what problems will I run into with DDE ?	D N V O V P P ^ ,
Ok I used the Net panel monitoring of Firebug . And whenever I submit a query on that website , the request is a POST , but the URL has search.dwr appended to it , not the actual query I submitted .	! O V D N N V P ^ , & R O V D N P D N , D N V D N , & D ^ V ^ V P O , R D A N O V ,
But that POST request I saw in Firebug , how can I dig deeper to see the equivalent http request ( preferably with a search query appended ) ? Yes this is a public site .	& D N V O V P ^ , R V O V R P V D N ^ N , R P D N N V , , ! O V D A N ,
Saw your sample search above . So it looks like this is not easily doable ? You managed to figure out the exact request to send . But that's not enough ....	V D N N P , P O V P D V R R A , O V P V T D A N P V , & L R A ,
Mozilla Rhino : Default JavaScript Compliance Level	^ ^ , N ^ N N
it's open source ...	L A N ,
Having had a look through most of the Rhino code , it looks like most of the testing against language version is negative testing , e.g. if ( getLanguageVersion() ! = Context.VERSION_1_2 ) { return paramCount ; } VERSION_DEFAULT is defined as ' 0 ' , so the one place where it looks like it would need to be set as 1.7 is to support the " let " and " yield " keywords because of this code from TokenStream : if (( result == Token.LET || result == Token.YIELD ) & & parser.compilerEnv.getLanguageVersion() Context.VERSION_1_7 ) { // LET and YIELD are tokens only in 1.7 and later result = Token.NAME ; }	V V D V P R P D ^ N , O V R R P D N P N N V A N , G C , ^ = = ^ , , C C , , ^ V V P , $ , , P D $ N R O V P O V V P V V P $ V P V D , ^ , & , ^ , N P P D N P ^ , P , C = C , C = C , & & C ^ , , = ^ & ^ V N R P $ & R N = C , ,
Using custom reports you are able to drill down on a specific campaign and then choose the Landing Page or content page that the individual visitor choose . When I try to retrieve the same information through the Google Analytics Export API , I get an error if I try to relate those two dimensions in my feed . Is there any success story about getting this information together . I know is possible , we just don't know what is the correct combination . Since I had no progress on this issue during the last week I thought about giving a little more information . I am presenting below a screen shot of an actual report of the Google Analytics UI givin the information that I am trying to pull and I am getting no info . Basically the campaing information group by the pagePage landed . So I am able to know who clicked on my emails and where that person landed . I just found other people with the same questions on the Google Analytic Help Forum .	V A N O V A P V R P D A N & R V D N N & N N P D A N V , R O V P V D A N P D ^ N N ^ , O V D N P O V P V D $ N P D N , V X D N N P V D N R , O V V R , O R V V D V D A N , P O V D N P D N P D A N O V P V D A A N , O V V P D N N P D A N P D ^ N ^ G D N P O V V P V & O V V D N , R D N N N P D G V , P O V A P V O V P D N & R D N V , O R V A N P D A N P D ^ ^ N N ,
Thanks for your reply . I am trying to execute your sample with my table id , but I cannot get it to work . I am getting an Authorization Required . I am authenticating with Google Analytics before requesting the URI . Let me know if you know what steps to take before executing the script . Thanks again .	N P D N , O V V P V D N P D N N , & O V V O P N , O V V D N V , O V V P ^ N P V D ^ , V O V P O V D N P V P V D N , N R ,
If you are using java or servlet , you can use authentication method in analytics api to authenticate first , and then you can retrieve data from the profile of that user .	P O V V ^ & N , O V V N N P N ^ P V R , & R O V V N P D N P D N ,
i do have a communication probleme here between my java servlet and an ajax request . more about it : Absolute path to the index.html ( including javascript / ajax request ): http://localhost:9080/chat/index.html In the same folder the servlet : MyChat.class And the Request is working like this : var url = " http://localhost:9080/chat " ; var name = document.getElementById ( " username ") . getAttribute ( " value ") ; var message = document.getElementById ( " message ") . getAttribute ( " value ") ; var tosend = name+ " , " +message ; request.open('GET ' , url , true ); request.send ( tosend ); request.onreadystatechange = interpretRequest ; I'm having a formular where a user just types in the name and the message and " username " and " message " are tags in my html file . The ajax request works , that's sure , but it doesn't communicate with the servlet . I also don't have an idea where the output from System.out.println() goes . No log file is filled ... And the servlet looks like this : public class MyChat extends HttpServlet { private static final long serialVersionUID = 1L ; }	O V V D N G R P D ^ N & D ^ N , R P O , A N P D ^ , V ^ , ^ N E U P D A N D N , C & D N V V P D , C C = , C , , C C = ^ , , C G , ^ , , C , , C C = ^ , , C , , ^ , , C , , C C = C , , , C , C , , C , C , ^ , C , ^ = C , L V D N R D N R N P D N & D N & , N , & , N , V V P D ^ N , D ^ N V , L A , & O V V P D N , O R V V D N R D N P ^ V , D N N V V , & D N V P D , C C C C ^ , C C C C C = C , ,
won't work because i'm getting the username from an input tag . looks like :	V V P L V D N P D N N , V R ,
The URL you've specified isn't to your servlet . Just like the URL to the index page is http:// server : port / webapp name / resource the URL to your servlet needs a mapping in the web.xml file that corresponds to the resource part of the url . For example , if you had a controller servlet you'd expect something like the following in your web.xml : The URLs that would invoke the ' controller ' servlet would then follow the form http:// server : port / webapp name / anything . do .	D ^ L V V P D N , R P D ^ P D N N V ^ N , N , N N , N D ^ P D N V D N P D N V O V P D N N P D ^ , P N , P O V D N N L V N P D V P D N , D ^ O V V D , N , N V R V D N ^ N , N , N N , N , V ,
The web.xml file need to be in a WEB-INF directory in the root of the web app . Take a look at this tutorial for the details on packaging a web app - http://java.sun.com/j2ee/tutorial/1_3-fcs/doc/WebComponents.html	D N N V P V P D ^ N P D N P D N N , V D V P D N P D N P V D N N , U
The classes go in WEB-INF / classes . If you use ANT the WAR task will do it all for you .	D N V P ^ , N , P O V ^ D ^ N V V O R P O ,
In my web application , a series of jsp pages are navigated . These jsp pages appear on the Right Hand side ( frame ) of the screen . On the left frame , I have an applet . This applet is common to all jsps . From all of the jsps , I want to invoke a method on the applet . The javascript code is inside of each jsp . Is there a way to do this ? Any approaches , suggestion , Code snippets most welcome . The applet basically displays an image . Based on the user interaction in the jsp pages , the image needs to change / rotate and so on . But the applet is common to all and should not be loaded on each of the jsps load . Thats why I am looking for a way for all jsps to communicate to the single applet ( via javascripts of course ) .	P D N N , D N P ^ N V V , O ^ N V P D N N N , N , P D N , P D N N , O V D N , D N V N P D ^ , P X P D ^ , O V P V D N P D N , D ^ N V P P D ^ , V R D N P V D , O N , N , N N R A , D N R V D N , V P D N N P D ^ N , D N V P V , V & R P , & D N V N P X & V R V V P D P D ^ N , L R O V V P D N P D ^ P V P D A N , P ^ P N , ,
But I dont want to embed the applet in each of the jsps . That is the catch . The applet needs to be invoked from a jsp where it is NOT embedded .	& O V V P V D N P D P D ^ , O V D N , D N V P V V P D ^ R O V R V ,
Using Bing as local search	V ^ P A N
so you're suggesting I do the geocoding on the server because it's limited enough ?	P L V O V D N P D N P L V A ,
That is actually how we interface with Bing now , but it doesn't do geocoding . We could do the geocoding with google , but it has request limits that our server would surpass .	O V R R A N P ^ R , & O V V N , O V V D N P ^ , & O V N N P D N V V ,
signed applet gives AccessControlException : access denied , when calling from javascript	V N V ^ , V V , O V P ^
The Java 2 security model requires ( roughly ) that every frame on the stack must be granted a permission for the access control context ( acc ) to have that permission . JavaScript is on the stack and does not have file access permissions .	D ^ $ N N V , R , P D N P D N V V V D N P D N N N , N , P V D N , ^ V P D N & V R V N V N ,
Thanks a lot , this solved my problem in a nice and clean way .	N D N , O V D N P D A & A N ,
I agree : it is prohibited to manipulate a signed applet from javascript , and the workaround is to rewrite the applet tag in javascript in the page document . I found this source with a bit of theory proving we are right http://docs.oracle.com/javase/tutorial/deployment/applet/security.html#jsNote	O V , O V V P V D A N P ^ , & D N V P V D N N P ^ P D N N , O V D N P D N P N V O V R U
Communcation between Java and applet	N P ^ & N
Do you mean server side Java , or JavaScript as your tag indicate ?	V O V N N ^ , & ^ P D N V ,
I'm not sure what you are trying to achieve - are there two classes , one in an applet and another , where ?	L R A O O V V P V , V R $ N , $ P D N & D , R ,
See Java-to-Javascript Communication , Java - Javascript interaction , and Interaction without LiveConnect for JavaScript interaction .	V ^ N , ^ , ^ N , & N P ^ P ^ N ,
Open an HttpURLConnection in a browser	V D ^ P D N
The only way to display the contents of a stream from another web page in a jsp is if you do not get the output stream yourself . If I remember right , the output stream for a jsp is automatically retrieved when an output character outside the scriptlet tags is envountered by the parser . This would be better done in a servlet proper rather than a jsp . Just get the url connection , get the output stream and pipe it to the servlet's output stream using a loop .	D A N P V D N P D N P D N N P D ^ V P O V R V D N N O , P O V R , D N N P D ^ V R V R D N N P D ^ N V V P D N , D V V R A P D N R R P D ^ , R V D ^ N , V D N N & V O P D S N N V D N ,
I am currently working on a web app using Wicket and started using jQuery core ( UI also ) in it today . I ran into an issue I troubleshooted as a jQuery function ( show() , slideDown() ) colliding with some of the javascript Wicket auto-generated for an external form link . Before I get deeper into this project I am wondering if anyone has had similar experiences . Are there a lot of places where the jQuery effects / actions collide with Wicket generated javascript / HTML ? Are there clean ways to avoid this , or mitigate it ? I have seen Wicketext as possibly a cleaner " integrator " of the two , but mostly it seems to just be a way of doing more of the jQuery-ish code in the Java instead of JS .	O V R V P D N N V ^ & V V ^ N , ^ R , P O N , O V P D N O V P D ^ N , ^ , ^ , V P D P D ^ ^ V P D A N N , P O V R P D N O V V P O V V A N , V R D N P V R D ^ N , N V P ^ V ^ , ^ , V R A N P V D , & V O , O V V ^ R R D N , N , P D $ , & R O V P R V D N P V R P D A N P D ^ R P ^ ,
Thanks codeincarnate ! I'll give it a try on monday and see what happens .	N N , L V O D V P N & V O V ,
jQuery and Java applets	^ & ^ N
For the first issue , how about trying For the second issue here is a thread with a possible workaround . Quoting the workaround change that code to :	P D R N , R P V P D R N R V D N P D A N , V D N V D N P ,
I'm trying to write a web-app that records WAV files ( eg : from the user's microphone ) . I know Javascript alone can not do this , but I'm interested in the least proprietary method to augment my Javascript with . My targeted browsers are Firefox for PC and Mac ( so no ActiveX ) . Please share your experiences with this . I gather it can be done with Flash ( but not as a WAV formated file ) . I gather it can be done with Java ( but not without code-signing ) . Are these the only options ? @dominic -mazzoni I'd like to record the file as a WAV because because the purpose of the webapp will be to assemble a library of good quality short soundbites . I estimate upload will be 50 MB , which is well worth it for the quality . The app will only be used on our intranet . UPDATE : There's now an alternate solution thanks to JetPack's upcoming Audio API : See https://wiki.mozilla.org/Labs/Jetpack/JEP/18	L V P V D N D V ^ N , G , P D S N , , O V ^ R V R V D , & L A P D R A N P V D ^ P , D V N V ^ P ^ & ^ , P D ^ , , R V D N P D , O V O V V V P ^ , & R P D ^ V N , , O V O V V V P ^ , & R P V , , V O D A N , @ ^ L V P V D N P D ^ P P D N P D N V V P V D N P A N A N , O V V V V $ N , O V R N O P D N , D N V R V V P D N , N , Y R D A N N P Z A N ^ , V U
Flash is going to be your best solution . Hopefully this will help : http://www.kirupa.com/forum/showthread.php?t=17331	^ V V P V D A N , R O V N , U
Your only options are Flash , Java , ActiveX , or writing a custom Firefox extension . Flash is probably your best option - you could write or use an existing Flash app to do the recording and keep almost everything else in pure Javascript . Why do you want a WAV file ? If you're planning to process the actual bits of the waveform on the client , then that's probably a bad idea ; the client might be really slow and you wouldn't be able to really manipulate the file . If you want to send the sound back to the server , then it's much better to send a compressed file , and then uncompress it on the server .	D A N V ^ , ^ , ^ , & V D A ^ N , ^ V R D A N , O V V & V D A ^ N P V D N & V R N R P A ^ , R V O V D ^ N , P L V P V D A N P D N P D N , R L R D A N , D N V V R A & O V V A P R V D N , P O V P V D N N P D N , R L R R P V D V N , & R V O P D N ,
As of Flash 10 you do not need a media server . You can capture the raw samples and send them to an arbitrary back-end with an HTTP post . https://code.google.com/p/wami-recorder /	R P ^ $ O V R V D N N , O V V D A N & V O P D A A P D ^ N , U ,
This is a paid solution but it will do what you are looking for . http://www.javasonics.com /	D V D A N & O V V O O V V P , U ,
This is an old thread , but the issue remains relevant . It should be noted that there is a way to record audio to the server in Flash without a proprietary back-end . Here's an example project to get you started : https://code.google.com/p/wami-recorder /	D V D A N , & D N V A , O V V V O X V D N P A N P D N P ^ P D A A , L D N N P V O V , U ,
Write a Servlet that Talks to JMS ( ActiveMQ ) and OnMessage Update the Site	V D ^ P V P ^ , ^ , & ^ N D N
You probably need to get a JMS connection from JNDI , like this :	O R V P V D ^ N P ^ , P D ,
The problem with having a servlet implement MessageListener is that servlets are synchronous and MessageListeners are asynchronous . Instead you should create some other object to act as the MessageListener and update some state somewhere ( possibly a database or a JMX MBean or a Stateful Session EJB ) when messages come in . Then the servlet can query that state to see if there's data to report back to the client , and your web page can periodically ping the servlet to ask for fresh data .	D N P V D N V ^ V D N V A & ^ V A , R O V V D A N P V P D ^ & V D N R , R D N & D ^ ^ & D A N ^ , O N V T , R D N V N D N P V P Y N P V R P D N , & D N N V R V D N P V P A N ,
Have you tried reading the answers for this question which links to the ActiveMQ Ajax support . Basically ActiveMQ has native support for Ajax so you can use its JavaScript library to directly subscribe from an ActiveMQ topic . Also see the ActiveMQ web samples which show how to do things like real time chat or real time stock portfolio screens using Ajax with ActiveMQ	V O V V D N P D N D N P D ^ ^ N , R ^ V A N P ^ P O V V L ^ N P R V P D N N , R V D ^ N N D N R P V N R A N N & A N N N N V ^ P ^
Passing JS function to applet for as event listener	V ^ N P N P P N N
You can use JSObject to call back into javascript from Java . From that page :	O V V ^ P V R P ^ P ^ , P D N ,
No , but instead of passing in the bare callback function you could create a new object containing it , pass that in then use the object.call ( name ) form .	N , & R P V P D A N N O V V D A N V O , V O P R V D ^ , N , N ,
thx for the link , it just contains all the possible methods	! P D N , O R V X D A N
JavaScript or Java String Subtraction	^ & ^ N N
I don't see how JavaScript is relevant here ...	O V V R ^ V A R ,
LOL - okay then , let's tag this as Java / JavaScript / C# / VB.NET / Python / Ruby / erlang / Smalltalk / Lisp / etc ... My point is , JavaScript and Java have nothing in common other than syntax shared with C# , C , C++ , etc . and this is not really a JavaScript solution .	! , A R , L V D P ^ , ^ , ^ , ^ , ^ , ^ , ^ , ^ , ^ , G , D N V , ^ & ^ V R P N A P N V P ^ , ^ , ^ , G , & D V R R D ^ N ,
Can't you just replace the occurrences of the first string in the second with an empty string ?	V O R V D N P D A N P D A P D A N ,
Thanks Chris and Daniel ( and all the rest of you ) . That was amazingly fast .	N ^ & ^ , & X D N P O , , O V R R ,
