How to Cross-Compile Java Source Code to JavaScript ?	R P V ^ N N P ^ ,
Looks like the deployment toolkit is the " proper " way forward , so I've accepted this answer as it included a link to the appropriate page ( sorry , tackline - I know you suggested the toolkit first , but them's the breaks ) . Meanwhile , we'll be using our tried-and-tested launch an applet approach !	V P D N N V D , A , N R , P L V D N P O V D N P D A N , A , G , O V O V D N R , & G D N , , R , L V V D A N D N N ,
Good choice for a lightweight checksum algorithm ?	A N P D A N N ,
So the whole TCP / IP checksum thing isn't working ... I'm thinking that anything corrupted in transit is going to get rejected at a much lower layer than the application level .	P D A ^ , ^ N N V V , L V D O V P N V V P V V P D R A N P D N N ,
Yeah , this sounds like something usually left to the transport layer . Can you explain your scenario a little more ? Where is your data being sent and what specific causes of data corruption are you trying to guard against ?	! , O V P N R V P D N N , V O V D N D A A , R V D N V V & D A N P N N V O V P V P ,
@dtsazza - you mentioned in a comment below that this is for security ( malicious users ) . Can you elaborate ? Especially since this will probably run in a browser .	@ , O V P D N P D D V P N , A N , , V O V , R P D V R V P D N ,
Use SHA-1 JS implementation . It's not as slow as you think ( Firefox 3.0 on Core 2 Duo 2.4 Ghz hashes over 100KB per second ) .	V ^ ^ N , L R R A P O V , ^ $ P ^ $ ^ $ G V P $ P N , ,
[ UPDATE 30 / 5 / 2013 : The link to the old JS CRC32 implementation died , so I've now linked to a different one . ] Google CRC32 : fast , and much lighter weight than MD5 et al . There is a Javascript implementation here .	G G G G G G G G D N P D A ^ ^ N V , P L R V P D A O , , ^ ^ , A , & R A N P ^ & N , X V D ^ N R ,
Link now broken unfortunately .	V R V R ,
@JamesWestgate : Thanks James , I've found a new one and linked to that . Incidentally the first JS version I found ( at http://noteslog.com/post/crc32-for-javascript/) actually reparses part of the string containing the table for each character processed , which will make it * much * slower than necessary .	@ , N ^ , L V D A O & V P D , R D A ^ N O V , P U R A N P D N V D N P D N V , O V V O , A , A P A ,
Awesome ! Thanks :) Looking for something to checksum javascript functions for a browser based animation code generation tool .	A , N E V P N P N ^ N P D N V N N N N ,
CRC32 is not too hard to implement in any language , it is good enough to detect simple data corruption and when implemted in a good fashion , it is very fast . However you can also try Adler32 , which is almost equally good as CRC32 , but it's even easier to implement ( and about equally fast ) . Adler32 in the Wikipedia CRC32 JavaScript implementation sample Either of these two ( or maybe even both ) are available in Java right out of the box .	^ V R R R P V P D N , O V A A P V A N N & R V P D A N , O V R R , R O V R V ^ , O V R R A P ^ , & L R A P V , & P R R , , ^ P D ^ ^ ^ N N X P D $ , & R R X , V A P ^ R R P D N ,
CRC32 , definitely was designed to be exactly what you describe .	^ , R V V P V R O O V ,
A word of caution : the JavaScript in the link implements the algorithm with a table[256 ] of literal values . If you should modify even a single digit of that table , you will have a nasty bug that is very , very , hard to find ! I prefer implementations that generate the table on the 1st call .	D N P N , D ^ P D N V D N P D G G P A N , P O V V R D A N P D N , O V V D A N P V R , R , R P V , O V N O V D N P D $ N ,
I'll second @D .i.S's comment . Testability is a minus .	L A G G N , N V D P ,
Javascript implementation of MD4 , MD5 and SHA1 . BSD license .	^ N P ^ , ^ & ^ , ^ N ,
Are aware that both TCP and UDP ( and IP , and Ethernet , and ... ) already provide checksum protection to data in transit ? Unless you're doing something really weird , if you're seeing corruption , something is very wrong . I suggest starting with a memory tester . Also , you receive strong data integrity protection if you use SSL / TLS .	V A P X ^ & ^ , & ^ , & N , & ~ , R V N N P N P N , P L V O R A , P L V N , O V R A , O V V P D N N , R , O V A N N N P O V ^ , ^ ,
Yes , I am was aware of that , though you were right to point it out . Unfortunately it's in input coming from the world at large , so we need to be able to cope with this anyway ( malicious / mischevious users could mangle this for example ) .	! , O V V A P O , P O V R P N O T , R L P N V P D N P A , P O V P V A P V P D R , A , A N V P D P N , ,
It might be worth pointing out that for any change-detection algorithm , there is always a chance that it won't detect an error . They all can have collisions or false-negatives , though usually the more expensive algorithms reduce this chance to near-astronomically small probabilities .	O V V V V T O P D N N , X V R D N P O V V D N , O X V V N & N , P R D R A N V D N P R A N ,
@dtsazza : I wonder about the malicious / mischievous users who can mangle packets going across the network , but can't defeat Javascript . Or Adler32 .	@ , O V P D A , A N O V A N V P D N , & V V ^ , & ^ ,
Other people have mentioned CRC32 already , but here's a link to the W3C implementation of CRC-32 for PNG , as one of the few well-known , reputable sites with a reference CRC implementation . ( A few years back I tried to find a well-known site with a CRC algorithm or at least one that cited the source for its algorithm , was almost tearing my hair out until I found the PNG page . )	A N V V ^ R , & L D N P D ^ N P ^ P ^ , P O P D A N , A N P D N ^ N , , D A N R O V P V D A N P D ^ N & P R $ O V D N P D N , V R V D N P P O V D ^ N , E
Here's a relatively simple one I've ' invented ' - there's no mathematical research behind it but it's extremely fast and works in practice . I've also included the Java equivalent that tests the algorithm and shows that there's less than 1 in 10,000,000 chance of failure ( it takes a minute or two to run ) . JavaScript Java	L D R A N ^ , V , , Y D A N P O & L R R & V P N , L R V D ^ N O V D N & V D Z A P $ P $ N P N , O V D N & $ P V , , ^ ^
Why ? Would you like to share an example ?	R , V O V P V D N ,
This is a rather old thread but I suspect it is still viewed quite often so - if all you need is a short but reliable piece of code to generate a checksum the Adler32 bit algorithm has to be your choice . Here is the JavaScript code The corresponding fiddle demonsrating the algorithm in action is here .	D V D R A N & O V O V R V R R R , P X O V V D A & A N P N P V D N D ^ N N V P V D N , R V D ^ N D A N V D N P N V R ,
Detect version of Java using JavaScript	A N P ^ V ^
Is there a reliable way of detecting what version of Java is installed on the client's machine using JavaScript ?	V R D A N P V D N P ^ V V P D S N V ^ ,
Check out the solution [ here] ( http://www.spiration.co.uk/post/1186/Java%20detect%20brower,%20JVM%20vendor,%20Java%20version%20etc) . Works like a charm ( at least on the local machine , yet I didn't test it on different environments ) .	V T D N G G , U , N P D N , O R P D A N , R O V V O P A N , ,
Check out the code in the Java Deployment Toolkit .	V T D N P D ^ ^ ^ ,
In case someone comes across this again , note the toolkit has a major flaw : it returns the highest version of Java that is installed on the machine , not the highest version that is actually runnable ( in IE , at any rate ) . Specifically , if you have both a Sun JRE and MSJVM installed , the toolkit will report the Sun JRE version even if it's disabled and the browser will actually run MSJVM . Adam Bellaire's link below seems more reliable , albeit less " clean " because it requires running an actual applet .	P N N V P D R , V D N V D A N , O V D A N P ^ O V V P D N , R D A N P V R A , P ^ , P D N , , R , P O V $ D ^ ^ & ^ V , D N V V D ^ ^ N R P L A & D N V R V ^ , ^ Z N P V R A , P A , A , P O V V D A N ,
Update : This link is now broken . It looks like Adam Bellaire's link is going to be the one to use .	N , D N V R A , O V P ^ Z N V V P V D O P V ,
Moreover , this method makes the MSIE gold security warning bar to be popped up under MSIE7 with Sun JDK before 1.6 . 0_2 ( with Middle-High security settings ) . See http://www.pinlady.net/PluginDetect for a version which does not raise security warnings ( and is maintained ) .	R , D N V D ^ A N N N P V V T P ^ P ^ ^ P $ , $ , P A N N , , V U P D N O V R V N N , & V V , ,
Googling for detect " java version " using javascript yields a couple of results , this one looks like it might be useful . In essence , it tries to load a Java applet and then JavaScript asks the applet .	V P V , ^ N , V ^ V D N P N , D N V P O V V A , P N , O V P N D ^ N & R ^ V D N ,
Ironically , this page is now the first search result on Google for ` detect " java version " using javascript `	R , D N V R D A N N P ^ P , V , ^ N , V ^ ,
You can use the PluginDetect library from here : http://www.pinlady.net/PluginDetect /	O V V D ^ N P R , U ,
If you use Google Analytics , this post might be helpful ( see the forum thread for more details ) .	P O V ^ ^ , D N V V A , V D N N P A N , ,
According to the fact that we're finding this page with google , just to help the next guys finding this . Is Java installed ? http://www.w3schools.com/jsref/met_nav_javaenabled.asp Which version of Java is installed ? http://java.sun.com/javase/6/docs/technotes/guides/jweb/deployment_advice.html#deplToolkit It's the best way I found to find the version of Java with JavaScript , but use it carefully because its version detection is really os / browser dependent , and on old browser version or on recent browser with old Java installed , it'll not work as expected . Take the time to do real tests before to use it in production .	V P D N P L V D N P ^ , R P V D A N V D , V ^ V , U D N P ^ V V , U L D A N O V P V D N P ^ P ^ , & V O R P D N N V R N , N A , & P A N N & P A N P A ^ V , L R V P V , V D N P V A N P P V O P N ,
That does not give any information about the version ( which the question is about ) .	O V R V D N P D N , O D N V P E ,
You're right , I didn't answer where I thought I was . Fixed my answer .	L R , O V V R O V O V , V D N ,
This is just a duplicate of [ Rich Apodaca's previous answer] ( http://stackoverflow.com/a/440227/157247) , and Dan's comment on it applies .	D V R D A P , N Z A N , U , & Z N P O V ,
Yeah ... just make it more explicite for thoses who doesn't understand everything on the page he gave , or if ever the link dies ... or just to save some time to the next guys who find this page via Google . I didn't mean to steal one's good answer .	! , R V O A A P V O V V N P D N O V , & P R D N V , & R P V D N P D A N O V D N P ^ , O V V P V L A N ,
@T . J.Crowder Top 0.02 % user gets schooled by a first time answerer in Stack Overflow's philosophy of making the internet better . That's something you don't see every day .	@ , ^ A $ G N V V P D A N N P ^ Z N P V D ^ R , L O O V V D N ,
@PatrickMcElhaney : The correct way to improve someone else's answer is to improve someone else's answer . ( And the answer as it was at the time of that comment was not the answer it is now . )	@ , D A N P V O S N V P V O S N , , & D N P O V P D N P O N V R D N O V R , E
@T . J.Crowder I'm not sure sarlak had any options at his disposal at the time other than posting a new answer . He couldn't post a comment and probably couldn't suggest an edit either .	G G G L R A ^ V D N P D N P D N A P V D A N , O V N D N & R V V D V R ,
@PatrickMcElhaney : Right . And there's a reason for those restrictions on new users . But I'm not going to prolong the discussion . :-) Best ,	@ , ! , & Y D N P D N P A N , & L R V P V D N , E A ,
This doesn't work unless the j in deployJava is capitalized , just FYI .	D V V P D N P ^ V V , R G ,
