Java < -> Javascript for non-Applets ?	^ G G ^ P ^ ,
Session management in GWT without using Java on the server ?	N N P ^ P V ^ P D N ,
I am using GWT for my client side application . I am not using GWT / Java for the server . However , I am not sure how I can handle session management . The GWT application resides on one page , all server calls are done via AJAX . If a session expires on the server ... let's assume the user didn't close the browser , but left the application open , how could my server notify the application that the session has expired and that the client side portion should show the login screen again ? What is meant by client side session management ? That seems inherently insecure . I'm not looking for code . I'm looking for ideas , techniques , potential solutions etc . I've considered Comet http://en.wikipedia.org/wiki/Comet_(programming ) , but that doesn't seem like that will work very well without using Java on the server side . Maybe , I'm wrong ? I don't want to poll the server either . Any thoughts or insight ?	O V V ^ P D N N N , O V R V ^ D ^ P D N , R , O V R R R O V V N N , D ^ N V P $ N , D N V V V P ^ , P D N V P D N , L V D N V V D N , & V D N V , R V D N V D N P D N V V & P D N N N V V D N N R , O V V P N N N N , O V R A , L R V P N , L V P N , N , A N G , L A ^ U , , & O V V P O V V R R P V ^ P D N N , R , L A , O V V P N D N & , D N & N ,
What should happen if the session expired on the server-side , then the next time the client sends a request to the server , it will either create a new session , or , more likely , send back a message to the client that it is trying to access a page without a session , and send them to the login screen . However , you will still need to wait until the client sends a message to the server .	O V V P D N V P D N , R D A N D N V D N P D N , O V D V D A N , & , R A , V T D N P D N P O V V P V D N P D N , & V O P D N N , R , O V R V P V P D N V D N P D N ,
Without knowing how you're doing your RPC is working , its hard to give good advice . If your AJAX service requires a user to be authenticated ( IE have a valid session ) , it is ok to just send a 401 error saying that the user is invalid . Client-side can interpret the 401 error as a message that it should set the user up for re-authentication .	P V R L V D ^ V V , L R P V A N , P D ^ N V D N P V V , ^ V D A N , , O V ! P R V D $ N V P D N V A , ^ V V D $ N P D N P O V V D N P P N ,
I'm not using RPC , the GWT request object is just a wrapper around XMLHttpRequest . Great idea ! I've never thought about changing the http status code . I may end up using this .	L R V ^ , D ^ N N V R D N P ^ , A N , L R V P V D U N N , O V N T V D ,
We handled this in our application , by detecting when the server sent back a redirect to the login screen ( it would come through the response to the Ajax call ) , and popped up a dialog asking the user for their password again , but pre-filled their username . We then posted that to the same place the login page does , as if it was the login page , and so the user was logged into this new session automatically . Finally we just re-submitted the ajax call again , so it was a seamless process to the user ( eg : they didn't have to click the action again ) . Since we stored all the state on the client , and not in session variables we didn't have any problems trying to persist data across sessions .	O V D P D N , P V R D N V T D N P D N N , O V V P D N P D ^ V , , & V T D N V D N P D N R , & V D N , O R V O P D A N D N N V , R P O V D N N , & P D N V V P D A N R , R O R V D ^ V R , P O V D A N P D N , N , O V V P P D N R , , P O V X D N P D N , & R P N N O V V D N V P V N P N ,
different WAR files , shared resources	A ^ N , A N
Suppose you have several applications which share the same code and most of the other resources , but have a somewhat different look and feel , some labels change , etc . ( think branding ) . If each web app is to go in its own WAR file , where do you put the shared resources ? I already use the classpath to share classes and property files . But what about javascript and css files ? Is the best way to create and deploy one extra WAR file that will serve these shared files to whatever other application requires them ? I also thought of a build script that does some magic and from a common source spews out the ( slightly ) different WARs , but I don't like it because it just complicates stuff unnecessarily when you need to build / test / run a single application . Any other tips and tricks would be appreciated .	V O V A N O V D A N & R P D A N , & V D R A V & V , D N V , G , , V V , , P D N N V P V P L A ^ N , R V O V D A N , O R V D N P V N & N N , & O P ^ & ^ N , V D A N P V & V $ A ^ V O V V O V N P D A N V O , O R V P D V N O V D A & P D N N V T D , R , A ^ , & O V P O P O R V V R R O V P V , V , V D A N , D A N & N V V V ,
You can deploy both WARs in the same EAR and put common resources in the EAR . Then put the appropriate dependencies in the manifest of the web apps to link to the jar files in the ear .	O V P D ^ P D A ^ & V N N P D ^ , R V D A N P D N P D N N P N P D ^ N P D ^ ,
If you don't want to go the EAR route , using tomcat , etc ; there are a few other ways to achieve the consistency you want . If you want to share just js and css , look into pack : tag . You could host the . js and css from an apache server , set up your httpd.conf so your webapps can call it , then use pack : tag from your application wars - DRY and compression in one step .	P O V V P V D ^ N , V ^ , G , X V D A A N P V D N O V , P O V P V R ^ & ^ , V P N , N , O V V D , ^ & ^ P D ^ N , V T D ^ P D N V V O , R V N , N P D N ^ , ^ & N P $ N ,
Thanks for the replies so far , but I'm afraid I forgot to mention that the WARs will be deployed in different environments that are completely isolated from each other . So maybe having a common WAR deployed next to the actual application is the only option . I think I'll go with the following : WAR1 , WAR2 containing app-specific stuff CommonWAR containg common stuff ( no kidding ) EAR1 : WAR1 + CommonWAR , to be deployed in env1 EAR2 : WAR2 + CommonWAR , to be deployed in env2	N P D N R R , & L A O V P V P D ^ V V V P A N O V R V P D A , P R V D N ^ V R P D A N V D A N , O V L V P D N , ^ , ^ V A N N V N N , D V , ^ , ^ & ^ , P V V P ^ ^ , ^ & ^ , P V V P $
The CommonWar serves no purpose in this case . Just put your common resources in each WAR in it's lib directory , or in the EAR itself . A war is not meant to just package resources , the EAR serves that purpose . Although less configuration is required if you simple put it in each WAR .	D ^ V D N P D N , R V D N N P D ^ P L A N , & P D ^ O , D ^ V R V P R N N , D ^ V D N , P A N V A P O A V O P D ^ ,
Yes , but if I put the common resources in each WAR file then I duplicate those resources : won't do that . If I put the common resources in the EAR file then it must contain all the WAR files that depend upon those resources : can't do either , one WAR must be deployed per environment .	! , & P O V D N N P D ^ V R O V D N , V V O , P O V D N N P D ^ V R O V V X D ^ V O V P D N , V V R , $ ^ V V V P N ,
Since you are deploying the CommonWAR in each EAR anyway , the same duplication exists , and you have wrapped the code in a WAR for no reason .	P O V V D ^ P D ^ R , D A N V , & O V V D N P D ^ P D N ,
The CommonWAR is deployed in two EARs , but it is the * same * CommonWAR , so it is NOT duplicated " for development " . To be honest , I have reverted to 2 EAR files and one WAR file , see my updated post :)	D ^ V V P $ ^ , & O V D , A , ^ , P O V O A , P N , , P V A , O V V P $ ^ N & $ ^ N , V D V N E
Update Yes , me again . I have actually changed my mind ( again :) ) . I am currently trying ( being more prudent here ): ( Common ) WAR : containing the application , common ( most part ) + some specific stuff EAR1 : CommonWAR + specific configuration file for env1 EAR2 : CommonWAR + specific configuration file for env2 The configuration file is picked up by the WAR . It is on the the EAR classpath and only contains one property ' application ' with a value . The single WAR will then use this information where appropriate to distinguish between the two apps ( config , style sheets , ... ) . With my solution of EAR1 = CommonWAR + WAR1 , EAR2 = CommonWAR + WAR2 , it was too difficult or impossible to lookup static resources in the CommonWAR without using a web url ( e.g. images in PDF documents generated with iText ) .	N ! , O R , O V R V D N , R E , , O V R V , V R A R , , N , ^ , V D N , N , A N , & D A N ^ , ^ & A N V P ^ ^ , ^ & A N V P $ D N V V V T P D ^ , O V P D D ^ ^ & A N $ N , N , P D N , D A ^ V R V D N R A P V P D $ N , ^ , N N , G G , P D N P C = C , C , C = C , C , O V R A & A P ^ A N P D ^ P V D N ^ , N N P ^ N V P ^ , ,
A strategy that I have seen used for such product-line like configurations is using WAR overlays when building with maven . You define a common WAR that contains the common stuff and overlay it with those other WARs that contain the specific stuff to generate different WARs for every application . This method is probably most useful if you deploy the WAR-variants on different machines . But I'm not sure whether I can actually recommend this . Remember to specify the overlays configuration if you actually override stuff , since otherwise the overriding order is not deterministic . It might even change with a maven-war-plugin upgrade . ( It did in our case . )	D N P O V V V P A N P N V V ^ V O V P ^ , O V D N ^ O V D N N & V O P D A ^ O V D A N P V A ^ P D N , D N V R R A P O V D ^ P A N , & L R A P O V R V D , V P V D N N P O R A N , P R D A N V R A , O V R V P D ^ V , , O V P D N , E
How about putting your css and js in the classpath and serve them with a servlet ? Then you can build the common resources as a jar and that jar can even contain the servlet ( resource dispatcher if you like ) and the war files can contain the jar file in the WEB-INF / lib folder .	R P V D ^ & ^ P D ^ & V O P D N , R O V V D N N P D ^ & D ^ V R V D N , N N P O V , & D ^ N V V D N V P D ^ , A N ,
You can also dispatch images this way	O V R N N D N
Which JavaScript library you recommend to use with Java EE + Struts + iBatis ?	O ^ N O V P V P ^ ^ & ^ & ^ ,
Which JavaScript library you recommend to use with Java EE + Struts + iBatis ? Something like Ext JS , Dojo , frameworks that can be easily integrated with Struts .	O ^ N O V P V P ^ ^ & ^ & ^ , N P ^ ^ , ^ , V O V V R V P ^ ,
What are you using the JS library for ? Do you need widgets and advanced UI components ? What are your licensing restrictions ?	O V O V D ^ N P , V O V N & V ^ N , O V D N N ,
I need JS for display enhancements , and I need free libraries	O V ^ P N N , & O V A N
There exists a framework that is supposed to tie in nicely with Java Server / Middleware called JSON-RPC However I have never used it and cannot vouch for it .. Aside from that my favourite framework is cough jQuery edit after reading more closely , the JSON-RPC is not quite what you are looking for .. but it still might be useful for ya to look into ;)	X V D N P V A P V T R P ^ ^ , ^ V ^ R O V R V O & V V P O , R P D D N N V N ^ V P V R R , D ^ V R R O O V V P , & O R V V A P O P V P E
Here's a good article on Dojo for Java Developers .	L D A N P ^ P ^ N ,
Some more recent : http://www.sitepen.com/blog/2008/05/06/dojo-json-rpc-java AND http://www.sitepen.com/blog/2011/01/03/many-comet-solutions-for-your-real-time-apps /	L R A , U & U ,
You must choose the Javascript library based on what you expect from the library , not based on the server libraries . The tipical JS libraries ( Ext JS , JQuery , Prototype , Dojo , YUI , etc ) work on the browser and don't have any dependence on server tecnology . If you are looking for a way to use your server POJO's from javascript take a look at DWR . This library is now part of the dojo foundation , but I've used it with jQuery and Prototype with ease .	O V V D ^ N V P O O V P D N , R V P D N N , D A ^ N , ^ ^ , ^ , ^ , ! , ^ , G , V P D N & V V D N P N N , P O V V P D N P V D N ^ P ^ V D V P ^ , D N V R N P D ^ N , & L V O P ^ & N P V ,
would suggest you go for Struts 2 . It has built in dojo and also has options to plugin other libraries like prototype , jquery , gwt , yui , etc . Should be really handy , since you're using Struts as your web layer ..	V V O V P ^ $ , O V V P ^ & R V N P V A N P N , ^ , ^ , ^ , G , V V R A , P L V ^ P D N N ,
Sorting domain names	V N N
Has anyone implemented sorting a list of domain names ? I have seen some applications sort them as flat strings , but the problem is that you end up scattering all the related hosts in a domain : a.me.com a.you.com b.me.com b.you.com So , the basic logic I came up with reverse the order of the labels , then sort . FQDNs of one label should be treated as hostnames , and probably sorted separately , maybe at the top . Ideally I am looking for javascript and java versions . I also don't know if this design works well for the newer internationalized domain names .	V O V V D N P N N , O V V D N N O R A N , & D N V P O V T V X D A N P D N , U U U U P , D A N O V T P V D N P D N , R N , ^ P $ N V V V P N , & R V R , R P D N , R O V V P ^ & ^ N , O R V V P D N V R P D A V N N ,
Err , what's wrong with doing exactly what you suggest , reversing the strings and sorting alphabetically ?	! , L A P V R O O V , V D N & V R ,
You could split the domain names into individual fields and do successive sorts . You can create a domain name object to have three fields and create a list of domain names to sort . For each of the three fields , do a sort . At the end , you have a sort list of domain names with related hosts together .	O V V D N N P A N & V A N , O V V D N N N P V $ N & V D N P N N P V , P D P D $ N , V D N , P D N , O V D N N P N N P A N R ,
split by " . " then piece together " . com.au " and " . co.uk " vs " . com "	V P , , , R N R , , U , & , , U , V , , ^ ,
@Bala : Three fields ?	@ , $ N ,
From the few examples given , I assumed there were three fields ( foo.bar.com) . If there were only two fields ( foo.com) , then the third field would be null .	P D A N V , O V R V $ N , U , P X V A $ N , U , R D A N V V A ,
I don't know about Java and Javascript in particular , but many languages provide some sort of array data structure that can be lexicographically sorted . So , like you said , convert " a.example.com " into { " com " , " example " , " a " } , and just let the default sorting rules run . A lexicographical sort will then do exactly what you want . If you have a list of local domains as well as FQDNs , I agree you'd want to separate those out . Anything that doesn't have a period in it could be filtered out first . Or , you could resolve those all to FQDNs and then just sort the whole list . Some Python code that does this ( should map to Javascript fairly closely ): This prints :	O V V P ^ & ^ P A , & A N V D N P N N N O V V R V , P , V O V , V , U , P D D N D , , N , , , D , , , & R V D N V N V , D A N V R V R O O V , P O V D N P A N P R P ^ , O V L V P V O T , N O V V D N P O V V V T R , D , O V V O R P ^ & R R V D A N , D ^ N O V D , V N P ^ R R , D N ,
Based on Tom's answer ... The print statements work ( when uncommented ) in the SquareFree JavaScript Development Environment , a handy place to test out javascript fragments ...	V P Z N , D N N N , R V , P D ^ ^ N N , D A N P N P ^ N ,
Thank you for the translation , Stobor !	V O P D N , ^ ,
This is how it's done in Perl :	D V R L V P ^ ,
Best source code formatter for Javascript ?	A N N N P ^ ,
I've been digging through Stack Overflow as well as a number of Google searches , and I cannot find a satisfactory code formatter for Javascript . I have found several related tools , such as syntax highlighters and pretty-printers , but I am looking for a tool that I can ideally create a wrapper for in Eclipse and simply run from the menu bar . Hence , if any Java-based ones are available , that is a big plus . Free and / or open-source is preferred as well . I am looking for something that my development group can use to maintain a consistent code style . Thanks . [ EDIT ] Thank you for the incredibly fast responses ! I would upvote you both if I had any karma . But especially kRON for linking to the format customizations page . [ EDIT ] Related question on Stack Overflow .	L V V P ^ ^ P R P D N P ^ N , & O V V D A N N P ^ , O V V R A N , A P N N & ^ , & O V V P D N P O V R V D N P P ^ & R V P D N N , R , P D ^ N V A , O V D A N , A & , & N V V P R , O V V P N P D N N V V P V D A N N , N , , V , V O P D R A N , O V V O $ P O V D ^ , & R ^ P V P D N N N , , V , V N P ^ ^ ,
In one breath : Aptana Studio ! Yes , it's Java based and free ( Eclipse , as standalone or plugin ) . You can also customize the formatting .	P $ N , ^ ^ , ! , L ^ V & A , ^ , P N & N , , O V R P D N ,
If you already use Eclipse , I recommend you to try Aptana , you can install it as an Eclipse Plugin .	P O R V ^ , O V O P V ^ , O V V O P D ^ N ,
If you also need Java programming i can recommend ' IntelliJ IDEA ' It offers excellent JavaScript formatting and refactoring out of the box .	P O R V ^ V O V V , ^ ^ , O V A ^ N & N T P D N ,
This is by far the best I've come across : http://jsbeautifier.org Its an online tool , but source is available .	D V P R D A L V P , U L D A N , & N V A ,
Have you tried jsfiddler . It's great for trying things out with Javascript . Built in JSLint something called Tidy . Not sure whether that infers jstidy Piotr Zalewa is the guy who wrote it . May be worth giving him a Tweet @zalun to confirm .	V O V ^ , L A P V N P P ^ , V P ^ N V ^ , R A P D V ^ ^ ^ V D N O V O , ^ V V V O D N @ P V ,
If you need source code , you might check out the code I present in the article A JavaScript Formatter .	P O V N N , O V V T D N O A P D N D ^ ^ ,
If you are using notepad++ , you can try jsminnpp plugin	P O V V ^ , O V V ^ N
For Eclipse IDE you can use JavaScript Code Formatter based on Goolge's Style Guide For IntelliJ IDEA you can use the same js code formatter xml file , but previously you have to install a special plugin Eclipse Code Formatter Plugin , which solves the problem of maintaining a common code style in team environments where both IDEA and Eclipse are used	P ^ ^ O V V ^ N N V P ^ N N P ^ ^ O V V D A ^ N N ^ N , & R O V P V D N V ^ ^ ^ ^ , O V D N P V D N N N P N N R D ^ & ^ V V
Java method never called while using JSON RPC in Struts2	^ N R V P V ^ ^ P ^
I'm trying to get some code working that a previous developer has written . Yep , he now left the company . :-( I have a JSON RPC call being made from the JS code . The JS all runs fine and the callback method gets an object back ( not an error object ) . But the method on the Java class never gets hit . The smd method does get hit though . I'm stumped as to why , or what I'm missing . I've read JSON plugin page over and over . I think I just need another set of eyes . Note : no errors in the Tomcat console , no JS errors . Anyone got any clues ? Cheers Jeff Porter	L V P V D N V P D A N V V , ! , O R V D N , E O V D ^ ^ V V V P D ^ N , D ^ X V A & D N N V D N N , R D N N , , & D N P D ^ N R V V , D ^ N V V V P , L V R P R , & D L V , L V ^ V N N & R , O V O R V D V P N , N , D N P D ^ N , D ^ N , N V D N , ^ ^ ^
I'm guessing that you need to update the smd() method to actually call updateRowValueForField() rather than simply return immediately . Looks like the previous developer never actually hooked up the methods .	L V P O V P V D ^ N P R V ^ R P R V R , V P D A N R R V T D N ,
You forgot to include the javascript code . From the example : Are you sure you call service.updateRowValueForField ( key , value , fieldname ) and not something different ? Further , your method returns a void ( e.g. doesn't return anything ) . What did you expect to get ?	O V P V D N N , P D N , V O R O V ^ , A , N , N , & R R A , R , D N V D ^ , N V V N , , O V O V P V ,
New version fixes my problems . Google JSON plugin	A N V D N , ^ ^ V
I know its old post ... but i am not able to get this work either ... i am on 2.2 . 3 and in javascript when i say service.doSomething ... it says doSomething not defined ... sounds logical as there is no method saying doSomething in Json service . That example is not correct .. something is missing there ...	O V L A N , & O V R A P V D N & , O V P $ , $ & P ^ R O V ^ , O V ^ R A , V A P X V D N V G P ^ N , D N V R A , N V V R ,
How can I set globals to JSLint to ignore for a whole set of files ?	R V O V N P ^ P V P D A N P N ,
