Tue Aug 25 2015 10:38:24 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Tue Aug 25 2015 10:41:10 GMT+0800 (Malay Peninsula Standard Time),,s2w177,focus,
Tue Aug 25 2015 10:41:10 GMT+0800 (Malay Peninsula Standard Time),,s2w177,label,"G"
Tue Aug 25 2015 10:41:10 GMT+0800 (Malay Peninsula Standard Time),,s2w178,focus,
Tue Aug 25 2015 10:41:10 GMT+0800 (Malay Peninsula Standard Time),,s2w178,focus,
Tue Aug 25 2015 10:41:11 GMT+0800 (Malay Peninsula Standard Time),,s2w178,label,"G"
Tue Aug 25 2015 10:41:16 GMT+0800 (Malay Peninsula Standard Time),,s2w196,focus,
Tue Aug 25 2015 10:41:16 GMT+0800 (Malay Peninsula Standard Time),,s2w196,focus,
Tue Aug 25 2015 10:41:16 GMT+0800 (Malay Peninsula Standard Time),,s2w196,label,"G"
Tue Aug 25 2015 10:41:17 GMT+0800 (Malay Peninsula Standard Time),,s2w197,focus,
Tue Aug 25 2015 10:41:17 GMT+0800 (Malay Peninsula Standard Time),,s2w197,focus,
Tue Aug 25 2015 10:41:17 GMT+0800 (Malay Peninsula Standard Time),,s2w197,label,"G"
Tue Aug 25 2015 10:41:23 GMT+0800 (Malay Peninsula Standard Time),,s3w10,focus,
Tue Aug 25 2015 10:41:23 GMT+0800 (Malay Peninsula Standard Time),,s3w10,focus,
Tue Aug 25 2015 10:41:24 GMT+0800 (Malay Peninsula Standard Time),,s3w10,label,"G"
Tue Aug 25 2015 10:41:45 GMT+0800 (Malay Peninsula Standard Time),,s3w10,label,"^"
Tue Aug 25 2015 10:41:54 GMT+0800 (Malay Peninsula Standard Time),,s3w26,focus,
Tue Aug 25 2015 10:41:54 GMT+0800 (Malay Peninsula Standard Time),,s3w26,focus,
Tue Aug 25 2015 10:41:55 GMT+0800 (Malay Peninsula Standard Time),,s3w26,label,"N"
Tue Aug 25 2015 10:42:05 GMT+0800 (Malay Peninsula Standard Time),,s4w5,focus,
Tue Aug 25 2015 10:42:05 GMT+0800 (Malay Peninsula Standard Time),,s4w5,focus,
Tue Aug 25 2015 10:42:06 GMT+0800 (Malay Peninsula Standard Time),,s4w5,label,"^"
Tue Aug 25 2015 10:42:12 GMT+0800 (Malay Peninsula Standard Time),,s4w12,focus,
Tue Aug 25 2015 10:42:12 GMT+0800 (Malay Peninsula Standard Time),,s4w12,focus,
Tue Aug 25 2015 10:42:13 GMT+0800 (Malay Peninsula Standard Time),,s4w12,label,"^"
Tue Aug 25 2015 10:42:17 GMT+0800 (Malay Peninsula Standard Time),,s4w17,focus,
Tue Aug 25 2015 10:42:17 GMT+0800 (Malay Peninsula Standard Time),,s4w17,focus,
Tue Aug 25 2015 10:42:18 GMT+0800 (Malay Peninsula Standard Time),,s4w17,label,"^"
Tue Aug 25 2015 10:42:25 GMT+0800 (Malay Peninsula Standard Time),,s4w48,focus,
Tue Aug 25 2015 10:42:25 GMT+0800 (Malay Peninsula Standard Time),,s4w48,focus,
Tue Aug 25 2015 10:42:25 GMT+0800 (Malay Peninsula Standard Time),,s4w48,label,"^"
Tue Aug 25 2015 10:42:27 GMT+0800 (Malay Peninsula Standard Time),,s4w54,focus,
Tue Aug 25 2015 10:42:27 GMT+0800 (Malay Peninsula Standard Time),,s4w54,focus,
Tue Aug 25 2015 10:42:28 GMT+0800 (Malay Peninsula Standard Time),,s4w54,label,"^"
Tue Aug 25 2015 10:42:39 GMT+0800 (Malay Peninsula Standard Time),,s5w17,focus,
Tue Aug 25 2015 10:42:39 GMT+0800 (Malay Peninsula Standard Time),,s5w17,focus,
Tue Aug 25 2015 10:42:40 GMT+0800 (Malay Peninsula Standard Time),,s5w17,label,"^"
Tue Aug 25 2015 10:42:50 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
