Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Tue Aug 25 2015 10:48:07 GMT+0800 (Malay Peninsula Standard Time),,s18w1,label,"V"
Tue Aug 25 2015 10:48:17 GMT+0800 (Malay Peninsula Standard Time),,s18w41,focus,
Tue Aug 25 2015 10:48:17 GMT+0800 (Malay Peninsula Standard Time),,s18w41,focus,
Tue Aug 25 2015 10:48:18 GMT+0800 (Malay Peninsula Standard Time),,s18w35,focus,
Tue Aug 25 2015 10:48:18 GMT+0800 (Malay Peninsula Standard Time),,s18w35,focus,
Tue Aug 25 2015 10:48:19 GMT+0800 (Malay Peninsula Standard Time),,s18w35,label,"N"
Tue Aug 25 2015 10:48:31 GMT+0800 (Malay Peninsula Standard Time),,s18w78,focus,
Tue Aug 25 2015 10:48:32 GMT+0800 (Malay Peninsula Standard Time),,s18w78,focus,
Tue Aug 25 2015 10:48:32 GMT+0800 (Malay Peninsula Standard Time),,s18w78,label,"N"
Tue Aug 25 2015 10:48:39 GMT+0800 (Malay Peninsula Standard Time),,s18w96,focus,
Tue Aug 25 2015 10:48:39 GMT+0800 (Malay Peninsula Standard Time),,s18w96,focus,
Tue Aug 25 2015 10:48:40 GMT+0800 (Malay Peninsula Standard Time),,s18w96,label,"A"
Tue Aug 25 2015 10:49:16 GMT+0800 (Malay Peninsula Standard Time),,s21w33,focus,
Tue Aug 25 2015 10:49:16 GMT+0800 (Malay Peninsula Standard Time),,s21w33,focus,
Tue Aug 25 2015 10:49:17 GMT+0800 (Malay Peninsula Standard Time),,s21w33,label,"^"
Tue Aug 25 2015 10:49:34 GMT+0800 (Malay Peninsula Standard Time),,s22w26,focus,
Tue Aug 25 2015 10:49:34 GMT+0800 (Malay Peninsula Standard Time),,s22w26,focus,
Tue Aug 25 2015 10:49:34 GMT+0800 (Malay Peninsula Standard Time),,s22w26,label,"D"
Tue Aug 25 2015 10:49:46 GMT+0800 (Malay Peninsula Standard Time),,s22w42,focus,
Tue Aug 25 2015 10:49:46 GMT+0800 (Malay Peninsula Standard Time),,s22w42,focus,
Tue Aug 25 2015 10:49:54 GMT+0800 (Malay Peninsula Standard Time),,s22w42,label,"A"
Tue Aug 25 2015 10:49:57 GMT+0800 (Malay Peninsula Standard Time),,s22w53,focus,
Tue Aug 25 2015 10:49:57 GMT+0800 (Malay Peninsula Standard Time),,s22w53,focus,
Tue Aug 25 2015 10:49:58 GMT+0800 (Malay Peninsula Standard Time),,s22w53,label,"A"
Tue Aug 25 2015 10:50:24 GMT+0800 (Malay Peninsula Standard Time),,s23w79,focus,
Tue Aug 25 2015 10:50:24 GMT+0800 (Malay Peninsula Standard Time),,s23w79,focus,
Tue Aug 25 2015 10:50:25 GMT+0800 (Malay Peninsula Standard Time),,s23w79,label,"^"
Tue Aug 25 2015 10:50:32 GMT+0800 (Malay Peninsula Standard Time),,s23w105,focus,
Tue Aug 25 2015 10:50:32 GMT+0800 (Malay Peninsula Standard Time),,s23w105,focus,
Tue Aug 25 2015 10:50:32 GMT+0800 (Malay Peninsula Standard Time),,s23w105,label,"^"
Tue Aug 25 2015 10:50:51 GMT+0800 (Malay Peninsula Standard Time),,s24w50,focus,
Tue Aug 25 2015 10:50:51 GMT+0800 (Malay Peninsula Standard Time),,s24w50,focus,
Tue Aug 25 2015 10:51:01 GMT+0800 (Malay Peninsula Standard Time),,s24w50,label,"&"
Tue Aug 25 2015 10:51:12 GMT+0800 (Malay Peninsula Standard Time),,s24w99,focus,
Tue Aug 25 2015 10:51:12 GMT+0800 (Malay Peninsula Standard Time),,s24w99,focus,
Tue Aug 25 2015 10:51:13 GMT+0800 (Malay Peninsula Standard Time),,s24w91,focus,
Tue Aug 25 2015 10:51:13 GMT+0800 (Malay Peninsula Standard Time),,s24w91,focus,
Tue Aug 25 2015 10:51:14 GMT+0800 (Malay Peninsula Standard Time),,s24w91,label,"A"
Tue Aug 25 2015 10:51:35 GMT+0800 (Malay Peninsula Standard Time),,s24w171,focus,
Tue Aug 25 2015 10:51:35 GMT+0800 (Malay Peninsula Standard Time),,s24w171,focus,
Tue Aug 25 2015 10:51:35 GMT+0800 (Malay Peninsula Standard Time),,s24w171,label,"N"
Tue Aug 25 2015 10:51:36 GMT+0800 (Malay Peninsula Standard Time),,s24w172,focus,
Tue Aug 25 2015 10:51:37 GMT+0800 (Malay Peninsula Standard Time),,s24w172,focus,
Tue Aug 25 2015 10:51:37 GMT+0800 (Malay Peninsula Standard Time),,s24w172,label,"^"
Tue Aug 25 2015 10:51:38 GMT+0800 (Malay Peninsula Standard Time),,s24w172,label,"N"
Tue Aug 25 2015 10:51:42 GMT+0800 (Malay Peninsula Standard Time),,s24w184,focus,
Tue Aug 25 2015 10:51:42 GMT+0800 (Malay Peninsula Standard Time),,s24w184,focus,
Tue Aug 25 2015 10:51:43 GMT+0800 (Malay Peninsula Standard Time),,s24w184,label,"^"
Tue Aug 25 2015 10:51:46 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
