Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Tue Aug 25 2015 10:33:24 GMT+0800 (Malay Peninsula Standard Time),,s4w44,label,"G"
Tue Aug 25 2015 10:33:25 GMT+0800 (Malay Peninsula Standard Time),,s4w45,focus,
Tue Aug 25 2015 10:33:25 GMT+0800 (Malay Peninsula Standard Time),,s4w45,focus,
Tue Aug 25 2015 10:33:26 GMT+0800 (Malay Peninsula Standard Time),,s4w45,label,"G"
Tue Aug 25 2015 10:33:30 GMT+0800 (Malay Peninsula Standard Time),,s4w48,focus,
Tue Aug 25 2015 10:33:31 GMT+0800 (Malay Peninsula Standard Time),,s4w48,focus,
Tue Aug 25 2015 10:33:33 GMT+0800 (Malay Peninsula Standard Time),,s4w48,label,","
Tue Aug 25 2015 10:33:40 GMT+0800 (Malay Peninsula Standard Time),,s4w48,focus,
Tue Aug 25 2015 10:33:41 GMT+0800 (Malay Peninsula Standard Time),,s4w48,label,"="
Tue Aug 25 2015 10:33:42 GMT+0800 (Malay Peninsula Standard Time),,s4w49,focus,
Tue Aug 25 2015 10:33:43 GMT+0800 (Malay Peninsula Standard Time),,s4w49,focus,
Tue Aug 25 2015 10:33:44 GMT+0800 (Malay Peninsula Standard Time),,s4w49,label,"N"
Tue Aug 25 2015 10:33:49 GMT+0800 (Malay Peninsula Standard Time),,s4w61,focus,
Tue Aug 25 2015 10:33:49 GMT+0800 (Malay Peninsula Standard Time),,s4w61,focus,
Tue Aug 25 2015 10:33:50 GMT+0800 (Malay Peninsula Standard Time),,s4w61,label,"N"
Tue Aug 25 2015 10:33:53 GMT+0800 (Malay Peninsula Standard Time),,s5w8,focus,
Tue Aug 25 2015 10:33:53 GMT+0800 (Malay Peninsula Standard Time),,s5w8,focus,
Tue Aug 25 2015 10:33:53 GMT+0800 (Malay Peninsula Standard Time),,s5w8,label,"N"
Tue Aug 25 2015 10:33:55 GMT+0800 (Malay Peninsula Standard Time),,s5w9,focus,
Tue Aug 25 2015 10:33:55 GMT+0800 (Malay Peninsula Standard Time),,s5w9,focus,
Tue Aug 25 2015 10:33:59 GMT+0800 (Malay Peninsula Standard Time),,s5w12,focus,
Tue Aug 25 2015 10:33:59 GMT+0800 (Malay Peninsula Standard Time),,s5w12,focus,
Tue Aug 25 2015 10:34:00 GMT+0800 (Malay Peninsula Standard Time),,s5w12,label,"^"
Tue Aug 25 2015 10:34:06 GMT+0800 (Malay Peninsula Standard Time),,s5w29,focus,
Tue Aug 25 2015 10:34:06 GMT+0800 (Malay Peninsula Standard Time),,s5w29,focus,
Tue Aug 25 2015 10:34:09 GMT+0800 (Malay Peninsula Standard Time),,s5w32,focus,
Tue Aug 25 2015 10:34:09 GMT+0800 (Malay Peninsula Standard Time),,s5w32,focus,
Tue Aug 25 2015 10:34:10 GMT+0800 (Malay Peninsula Standard Time),,s5w32,label,"^"
Tue Aug 25 2015 10:34:12 GMT+0800 (Malay Peninsula Standard Time),,s5w34,focus,
Tue Aug 25 2015 10:34:13 GMT+0800 (Malay Peninsula Standard Time),,s5w34,focus,
Tue Aug 25 2015 10:34:13 GMT+0800 (Malay Peninsula Standard Time),,s5w34,label,"^"
Tue Aug 25 2015 10:34:15 GMT+0800 (Malay Peninsula Standard Time),,s5w35,focus,
Tue Aug 25 2015 10:34:15 GMT+0800 (Malay Peninsula Standard Time),,s5w35,focus,
Tue Aug 25 2015 10:34:15 GMT+0800 (Malay Peninsula Standard Time),,s5w35,label,"="
Tue Aug 25 2015 10:34:18 GMT+0800 (Malay Peninsula Standard Time),,s5w36,focus,
Tue Aug 25 2015 10:34:18 GMT+0800 (Malay Peninsula Standard Time),,s5w36,focus,
Tue Aug 25 2015 10:34:18 GMT+0800 (Malay Peninsula Standard Time),,s5w36,label,","
Tue Aug 25 2015 10:34:28 GMT+0800 (Malay Peninsula Standard Time),,s6w8,focus,
Tue Aug 25 2015 10:34:28 GMT+0800 (Malay Peninsula Standard Time),,s6w8,focus,
Tue Aug 25 2015 10:34:29 GMT+0800 (Malay Peninsula Standard Time),,s6w8,label,"G"
Tue Aug 25 2015 10:34:36 GMT+0800 (Malay Peninsula Standard Time),,s8w3,focus,
Tue Aug 25 2015 10:34:36 GMT+0800 (Malay Peninsula Standard Time),,s8w3,focus,
Tue Aug 25 2015 10:34:37 GMT+0800 (Malay Peninsula Standard Time),,s8w3,label,"G"
Tue Aug 25 2015 10:34:39 GMT+0800 (Malay Peninsula Standard Time),,s8w1,focus,
Tue Aug 25 2015 10:34:39 GMT+0800 (Malay Peninsula Standard Time),,s8w1,focus,
Tue Aug 25 2015 10:34:39 GMT+0800 (Malay Peninsula Standard Time),,s8w1,label,"G"
Tue Aug 25 2015 10:34:42 GMT+0800 (Malay Peninsula Standard Time),,s9w5,focus,
Tue Aug 25 2015 10:34:42 GMT+0800 (Malay Peninsula Standard Time),,s9w5,focus,
Tue Aug 25 2015 10:34:42 GMT+0800 (Malay Peninsula Standard Time),,s9w5,label,"^"
Tue Aug 25 2015 10:34:53 GMT+0800 (Malay Peninsula Standard Time),,s10w11,focus,
Tue Aug 25 2015 10:34:54 GMT+0800 (Malay Peninsula Standard Time),,s10w11,focus,
Tue Aug 25 2015 10:34:54 GMT+0800 (Malay Peninsula Standard Time),,s10w11,label,"U"
Tue Aug 25 2015 10:35:02 GMT+0800 (Malay Peninsula Standard Time),,s11w8,focus,
Tue Aug 25 2015 10:35:02 GMT+0800 (Malay Peninsula Standard Time),,s11w8,focus,
Tue Aug 25 2015 10:35:03 GMT+0800 (Malay Peninsula Standard Time),,s11w8,label,"U"
Tue Aug 25 2015 10:35:04 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
