Mon Aug 24 2015 16:44:15 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Mon Aug 24 2015 16:48:46 GMT+0800 (Malay Peninsula Standard Time),,s1w115,label,"^"
Mon Aug 24 2015 16:50:10 GMT+0800 (Malay Peninsula Standard Time),,s3,changeSentenceFlag,"Tokenization Error"
Mon Aug 24 2015 16:50:19 GMT+0800 (Malay Peninsula Standard Time),,s3w23,focus,
Mon Aug 24 2015 16:50:19 GMT+0800 (Malay Peninsula Standard Time),,s3w23,focus,
Mon Aug 24 2015 16:50:21 GMT+0800 (Malay Peninsula Standard Time),,s3w23,label,"^"
Mon Aug 24 2015 16:51:32 GMT+0800 (Malay Peninsula Standard Time),,s3w10,focus,
Mon Aug 24 2015 16:51:32 GMT+0800 (Malay Peninsula Standard Time),,s3w10,focus,
Mon Aug 24 2015 16:51:33 GMT+0800 (Malay Peninsula Standard Time),,s3w10,label,"G"
Mon Aug 24 2015 16:51:33 GMT+0800 (Malay Peninsula Standard Time),,s3w11,focus,
Mon Aug 24 2015 16:51:33 GMT+0800 (Malay Peninsula Standard Time),,s3w11,focus,
Mon Aug 24 2015 16:51:33 GMT+0800 (Malay Peninsula Standard Time),,s3w11,label,"G"
Mon Aug 24 2015 16:51:34 GMT+0800 (Malay Peninsula Standard Time),,s3w12,focus,
Mon Aug 24 2015 16:51:34 GMT+0800 (Malay Peninsula Standard Time),,s3w12,focus,
Mon Aug 24 2015 16:51:34 GMT+0800 (Malay Peninsula Standard Time),,s3w12,label,"G"
Mon Aug 24 2015 16:51:35 GMT+0800 (Malay Peninsula Standard Time),,s3w14,focus,
Mon Aug 24 2015 16:51:35 GMT+0800 (Malay Peninsula Standard Time),,s3w14,focus,
Mon Aug 24 2015 16:51:35 GMT+0800 (Malay Peninsula Standard Time),,s3w14,label,"G"
Mon Aug 24 2015 16:51:36 GMT+0800 (Malay Peninsula Standard Time),,s3w15,focus,
Mon Aug 24 2015 16:51:36 GMT+0800 (Malay Peninsula Standard Time),,s3w15,focus,
Mon Aug 24 2015 16:51:36 GMT+0800 (Malay Peninsula Standard Time),,s3w15,label,"G"
Mon Aug 24 2015 16:51:37 GMT+0800 (Malay Peninsula Standard Time),,s3w16,focus,
Mon Aug 24 2015 16:51:37 GMT+0800 (Malay Peninsula Standard Time),,s3w16,focus,
Mon Aug 24 2015 16:51:38 GMT+0800 (Malay Peninsula Standard Time),,s3w16,label,"G"
Mon Aug 24 2015 16:52:11 GMT+0800 (Malay Peninsula Standard Time),,s3w55,focus,
Mon Aug 24 2015 16:52:11 GMT+0800 (Malay Peninsula Standard Time),,s3w55,focus,
Mon Aug 24 2015 16:52:14 GMT+0800 (Malay Peninsula Standard Time),,s3w55,label,"^"
Mon Aug 24 2015 16:52:24 GMT+0800 (Malay Peninsula Standard Time),,s3w64,focus,
Mon Aug 24 2015 16:52:25 GMT+0800 (Malay Peninsula Standard Time),,s3w64,focus,
Mon Aug 24 2015 16:52:47 GMT+0800 (Malay Peninsula Standard Time),,s3w71,focus,
Mon Aug 24 2015 16:52:47 GMT+0800 (Malay Peninsula Standard Time),,s3w71,focus,
Mon Aug 24 2015 16:52:53 GMT+0800 (Malay Peninsula Standard Time),,s3w71,label,"^"
Mon Aug 24 2015 16:53:24 GMT+0800 (Malay Peninsula Standard Time),,s3w74,focus,
Mon Aug 24 2015 16:53:24 GMT+0800 (Malay Peninsula Standard Time),,s3w74,focus,
Mon Aug 24 2015 16:53:25 GMT+0800 (Malay Peninsula Standard Time),,s3w74,label,"G"
Mon Aug 24 2015 16:53:25 GMT+0800 (Malay Peninsula Standard Time),,s3w75,focus,
Mon Aug 24 2015 16:53:25 GMT+0800 (Malay Peninsula Standard Time),,s3w75,focus,
Mon Aug 24 2015 16:53:26 GMT+0800 (Malay Peninsula Standard Time),,s3w75,label,"G"
Mon Aug 24 2015 16:53:31 GMT+0800 (Malay Peninsula Standard Time),,s3w75,focus,
Mon Aug 24 2015 16:53:59 GMT+0800 (Malay Peninsula Standard Time),,s4w1,focus,
Mon Aug 24 2015 16:53:59 GMT+0800 (Malay Peninsula Standard Time),,s4w1,focus,
Mon Aug 24 2015 16:54:00 GMT+0800 (Malay Peninsula Standard Time),,s4w1,label,"^"
Mon Aug 24 2015 16:54:07 GMT+0800 (Malay Peninsula Standard Time),,s4w5,focus,
Mon Aug 24 2015 16:54:07 GMT+0800 (Malay Peninsula Standard Time),,s4w5,focus,
Mon Aug 24 2015 16:54:08 GMT+0800 (Malay Peninsula Standard Time),,s4w5,label,"N"
Mon Aug 24 2015 16:54:17 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
