Mon Aug 24 2015 16:54:23 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Mon Aug 24 2015 16:55:05 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Mon Aug 24 2015 16:55:05 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Mon Aug 24 2015 16:55:05 GMT+0800 (Malay Peninsula Standard Time),,s1w3,label,"^"
Mon Aug 24 2015 16:55:09 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Mon Aug 24 2015 16:55:09 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Mon Aug 24 2015 16:55:10 GMT+0800 (Malay Peninsula Standard Time),,s1w9,label,"^"
Mon Aug 24 2015 16:55:27 GMT+0800 (Malay Peninsula Standard Time),,s2w15,focus,
Mon Aug 24 2015 16:55:28 GMT+0800 (Malay Peninsula Standard Time),,s2w15,focus,
Mon Aug 24 2015 16:55:30 GMT+0800 (Malay Peninsula Standard Time),,s2w15,label,"N"
Mon Aug 24 2015 16:55:33 GMT+0800 (Malay Peninsula Standard Time),,s2w15,label,"V"
Mon Aug 24 2015 16:55:53 GMT+0800 (Malay Peninsula Standard Time),,s3w6,focus,
Mon Aug 24 2015 16:55:53 GMT+0800 (Malay Peninsula Standard Time),,s3w6,focus,
Mon Aug 24 2015 16:56:03 GMT+0800 (Malay Peninsula Standard Time),,s3w6,label,"G"
Mon Aug 24 2015 16:56:07 GMT+0800 (Malay Peninsula Standard Time),,s4w5,focus,
Mon Aug 24 2015 16:56:07 GMT+0800 (Malay Peninsula Standard Time),,s4w5,focus,
Mon Aug 24 2015 16:56:08 GMT+0800 (Malay Peninsula Standard Time),,s4w5,label,"^"
Mon Aug 24 2015 16:56:21 GMT+0800 (Malay Peninsula Standard Time),,s4w29,focus,
Mon Aug 24 2015 16:56:21 GMT+0800 (Malay Peninsula Standard Time),,s4w29,focus,
Mon Aug 24 2015 16:56:22 GMT+0800 (Malay Peninsula Standard Time),,s4w29,label,"^"
Mon Aug 24 2015 16:56:25 GMT+0800 (Malay Peninsula Standard Time),,s4w37,focus,
Mon Aug 24 2015 16:56:25 GMT+0800 (Malay Peninsula Standard Time),,s4w37,focus,
Mon Aug 24 2015 16:56:26 GMT+0800 (Malay Peninsula Standard Time),,s4w37,label,"^"
Mon Aug 24 2015 16:56:53 GMT+0800 (Malay Peninsula Standard Time),,s5w21,focus,
Mon Aug 24 2015 16:56:53 GMT+0800 (Malay Peninsula Standard Time),,s5w21,focus,
Mon Aug 24 2015 16:56:54 GMT+0800 (Malay Peninsula Standard Time),,s5w21,label,"^"
Mon Aug 24 2015 16:56:56 GMT+0800 (Malay Peninsula Standard Time),,s5w26,focus,
Mon Aug 24 2015 16:56:56 GMT+0800 (Malay Peninsula Standard Time),,s5w26,focus,
Mon Aug 24 2015 16:56:57 GMT+0800 (Malay Peninsula Standard Time),,s5w26,label,"^"
Mon Aug 24 2015 16:57:24 GMT+0800 (Malay Peninsula Standard Time),,s6w43,focus,
Mon Aug 24 2015 16:57:24 GMT+0800 (Malay Peninsula Standard Time),,s6w43,focus,
Mon Aug 24 2015 16:57:25 GMT+0800 (Malay Peninsula Standard Time),,s6w43,label,"^"
Mon Aug 24 2015 16:57:31 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
