Fri Aug 21 2015 15:10:58 GMT+0800 (中国标准时间),,,pageReady,0:100:100
Fri Aug 21 2015 15:18:03 GMT+0800 (中国标准时间),,s1w62,focus,
Fri Aug 21 2015 15:18:04 GMT+0800 (中国标准时间),,s1w63,focus,
Fri Aug 21 2015 15:18:04 GMT+0800 (中国标准时间),,s1w64,focus,
Fri Aug 21 2015 15:18:05 GMT+0800 (中国标准时间),,s1w65,focus,
Fri Aug 21 2015 15:18:07 GMT+0800 (中国标准时间),,s1w66,focus,
Fri Aug 21 2015 15:18:10 GMT+0800 (中国标准时间),,s1w67,focus,
Fri Aug 21 2015 15:18:11 GMT+0800 (中国标准时间),,s1w68,focus,
Fri Aug 21 2015 15:18:26 GMT+0800 (中国标准时间),,s1w68,label,"D"
Fri Aug 21 2015 15:18:27 GMT+0800 (中国标准时间),,s1w69,focus,
Fri Aug 21 2015 15:18:28 GMT+0800 (中国标准时间),,s1w70,focus,
Fri Aug 21 2015 15:18:29 GMT+0800 (中国标准时间),,s1w71,focus,
Fri Aug 21 2015 15:18:30 GMT+0800 (中国标准时间),,s1w72,focus,
Fri Aug 21 2015 15:18:32 GMT+0800 (中国标准时间),,s1w73,focus,
Fri Aug 21 2015 15:18:32 GMT+0800 (中国标准时间),,s1w74,focus,
Fri Aug 21 2015 15:18:33 GMT+0800 (中国标准时间),,s1w75,focus,
Fri Aug 21 2015 15:18:34 GMT+0800 (中国标准时间),,s1w76,focus,
Fri Aug 21 2015 15:18:34 GMT+0800 (中国标准时间),,s1w77,focus,
Fri Aug 21 2015 15:18:54 GMT+0800 (中国标准时间),,s1w78,focus,
Fri Aug 21 2015 15:19:04 GMT+0800 (中国标准时间),,s1w79,focus,
Fri Aug 21 2015 15:19:05 GMT+0800 (中国标准时间),,s1w80,focus,
Fri Aug 21 2015 15:19:06 GMT+0800 (中国标准时间),,s1w81,focus,
Fri Aug 21 2015 15:19:06 GMT+0800 (中国标准时间),,s1w82,focus,
Fri Aug 21 2015 15:19:09 GMT+0800 (中国标准时间),,s1w83,focus,
Fri Aug 21 2015 15:19:09 GMT+0800 (中国标准时间),,s1w84,focus,
Fri Aug 21 2015 15:19:10 GMT+0800 (中国标准时间),,s1w85,focus,
Fri Aug 21 2015 15:19:27 GMT+0800 (中国标准时间),,s1w86,focus,
Fri Aug 21 2015 15:19:28 GMT+0800 (中国标准时间),,s1w87,focus,
Fri Aug 21 2015 15:19:29 GMT+0800 (中国标准时间),,s1w88,focus,
Fri Aug 21 2015 15:19:30 GMT+0800 (中国标准时间),,s1w89,focus,
Fri Aug 21 2015 15:19:31 GMT+0800 (中国标准时间),,s1w90,focus,
Fri Aug 21 2015 15:19:32 GMT+0800 (中国标准时间),,s1w91,focus,
Fri Aug 21 2015 15:19:32 GMT+0800 (中国标准时间),,s1w92,focus,
Fri Aug 21 2015 15:19:33 GMT+0800 (中国标准时间),,s1w93,focus,
Fri Aug 21 2015 15:19:34 GMT+0800 (中国标准时间),,s1w94,focus,
Fri Aug 21 2015 15:19:34 GMT+0800 (中国标准时间),,s1w95,focus,
Fri Aug 21 2015 15:19:35 GMT+0800 (中国标准时间),,s1w96,focus,
Fri Aug 21 2015 15:19:35 GMT+0800 (中国标准时间),,s1w97,focus,
Fri Aug 21 2015 15:19:35 GMT+0800 (中国标准时间),,s1w98,focus,
Fri Aug 21 2015 15:19:35 GMT+0800 (中国标准时间),,s1w99,focus,
Fri Aug 21 2015 15:19:36 GMT+0800 (中国标准时间),,s1w100,focus,
Fri Aug 21 2015 15:19:39 GMT+0800 (中国标准时间),,s1w101,focus,
Fri Aug 21 2015 15:19:39 GMT+0800 (中国标准时间),,s1w102,focus,
Fri Aug 21 2015 15:19:40 GMT+0800 (中国标准时间),,s1w103,focus,
Fri Aug 21 2015 15:19:40 GMT+0800 (中国标准时间),,s1w104,focus,
Fri Aug 21 2015 15:19:40 GMT+0800 (中国标准时间),,s1w105,focus,
Fri Aug 21 2015 15:19:41 GMT+0800 (中国标准时间),,s1w106,focus,
Fri Aug 21 2015 15:19:42 GMT+0800 (中国标准时间),,s1w107,focus,
Fri Aug 21 2015 15:19:42 GMT+0800 (中国标准时间),,s1w108,focus,
Fri Aug 21 2015 15:19:43 GMT+0800 (中国标准时间),,s1w109,focus,
Fri Aug 21 2015 15:19:43 GMT+0800 (中国标准时间),,s1w110,focus,
Fri Aug 21 2015 15:19:43 GMT+0800 (中国标准时间),,s1w111,focus,
Fri Aug 21 2015 15:19:46 GMT+0800 (中国标准时间),,s1w112,focus,
Fri Aug 21 2015 15:19:48 GMT+0800 (中国标准时间),,s1w113,focus,
Fri Aug 21 2015 15:20:16 GMT+0800 (中国标准时间),,s1w113,label,"N"
Fri Aug 21 2015 15:20:19 GMT+0800 (中国标准时间),,s1w114,focus,
Fri Aug 21 2015 15:20:20 GMT+0800 (中国标准时间),,s1w115,focus,
Fri Aug 21 2015 15:20:20 GMT+0800 (中国标准时间),,s1w116,focus,
Fri Aug 21 2015 15:20:21 GMT+0800 (中国标准时间),,s1w117,focus,
Fri Aug 21 2015 15:20:21 GMT+0800 (中国标准时间),,s1w118,focus,
Fri Aug 21 2015 15:20:22 GMT+0800 (中国标准时间),,s1w119,focus,
Fri Aug 21 2015 15:20:22 GMT+0800 (中国标准时间),,s1w120,focus,
Fri Aug 21 2015 15:20:23 GMT+0800 (中国标准时间),,s1w121,focus,
Fri Aug 21 2015 15:20:24 GMT+0800 (中国标准时间),,s1w122,focus,
Fri Aug 21 2015 15:20:46 GMT+0800 (中国标准时间),,s1w123,focus,
Fri Aug 21 2015 15:20:47 GMT+0800 (中国标准时间),,s1w124,focus,
Fri Aug 21 2015 15:20:47 GMT+0800 (中国标准时间),,s1w125,focus,
Fri Aug 21 2015 15:20:47 GMT+0800 (中国标准时间),,s1w126,focus,
Fri Aug 21 2015 15:20:47 GMT+0800 (中国标准时间),,s2w1,focus,
Fri Aug 21 2015 15:20:48 GMT+0800 (中国标准时间),,s2w2,focus,
Fri Aug 21 2015 15:20:48 GMT+0800 (中国标准时间),,s2w3,focus,
Fri Aug 21 2015 15:20:49 GMT+0800 (中国标准时间),,s2w4,focus,
Fri Aug 21 2015 15:20:49 GMT+0800 (中国标准时间),,s2w5,focus,
Fri Aug 21 2015 15:20:50 GMT+0800 (中国标准时间),,s2w6,focus,
Fri Aug 21 2015 15:20:50 GMT+0800 (中国标准时间),,s2w7,focus,
Fri Aug 21 2015 15:23:02 GMT+0800 (中国标准时间),,s2w14,focus,
Fri Aug 21 2015 15:23:02 GMT+0800 (中国标准时间),,s2w14,focus,
Fri Aug 21 2015 15:23:03 GMT+0800 (中国标准时间),,s2w14,label,"^"
Fri Aug 21 2015 15:26:13 GMT+0800 (中国标准时间),,s3w37,focus,
Fri Aug 21 2015 15:26:13 GMT+0800 (中国标准时间),,s3w37,focus,
Fri Aug 21 2015 15:26:17 GMT+0800 (中国标准时间),,s3w37,label,"^"
Fri Aug 21 2015 15:26:38 GMT+0800 (中国标准时间),,s4w3,focus,
Fri Aug 21 2015 15:26:38 GMT+0800 (中国标准时间),,s4w3,focus,
Fri Aug 21 2015 15:26:38 GMT+0800 (中国标准时间),,s4w3,label,"V"
Fri Aug 21 2015 15:28:25 GMT+0800 (中国标准时间),,s5w26,focus,
Fri Aug 21 2015 15:28:26 GMT+0800 (中国标准时间),,s5w26,focus,
Fri Aug 21 2015 15:28:28 GMT+0800 (中国标准时间),,s5w26,label,"^"
Fri Aug 21 2015 15:28:43 GMT+0800 (中国标准时间),,s5w30,focus,
Fri Aug 21 2015 15:28:43 GMT+0800 (中国标准时间),,s5w30,focus,
Fri Aug 21 2015 15:28:46 GMT+0800 (中国标准时间),,s5w30,label,"^"
Fri Aug 21 2015 15:29:16 GMT+0800 (中国标准时间),,s5w34,focus,
Fri Aug 21 2015 15:29:16 GMT+0800 (中国标准时间),,s5w34,focus,
Fri Aug 21 2015 15:29:20 GMT+0800 (中国标准时间),,s5w34,label,"^"
Fri Aug 21 2015 15:29:29 GMT+0800 (中国标准时间),,s5w46,focus,
Fri Aug 21 2015 15:29:29 GMT+0800 (中国标准时间),,s5w46,focus,
Fri Aug 21 2015 15:29:30 GMT+0800 (中国标准时间),,s5w46,label,"^"
Fri Aug 21 2015 15:29:45 GMT+0800 (中国标准时间),,s5w46,focus,
Fri Aug 21 2015 15:31:57 GMT+0800 (中国标准时间),,,submitPage,
