Fri Aug 21 2015 16:18:42 GMT+0800 (中国标准时间),,,pageReady,0:100:100
Fri Aug 21 2015 16:20:23 GMT+0800 (中国标准时间),,s1w73,label,"N"
Fri Aug 21 2015 16:20:30 GMT+0800 (中国标准时间),,s1w83,focus,
Fri Aug 21 2015 16:20:30 GMT+0800 (中国标准时间),,s1w83,focus,
Fri Aug 21 2015 16:20:31 GMT+0800 (中国标准时间),,s1w83,label,"^"
Fri Aug 21 2015 16:20:34 GMT+0800 (中国标准时间),,s1w88,focus,
Fri Aug 21 2015 16:20:34 GMT+0800 (中国标准时间),,s1w88,focus,
Fri Aug 21 2015 16:20:35 GMT+0800 (中国标准时间),,s1w88,label,"^"
Fri Aug 21 2015 16:20:37 GMT+0800 (中国标准时间),,s1w103,focus,
Fri Aug 21 2015 16:20:37 GMT+0800 (中国标准时间),,s1w103,focus,
Fri Aug 21 2015 16:20:39 GMT+0800 (中国标准时间),,s1w103,label,"^"
Fri Aug 21 2015 16:20:42 GMT+0800 (中国标准时间),,s1w92,focus,
Fri Aug 21 2015 16:20:42 GMT+0800 (中国标准时间),,s1w92,focus,
Fri Aug 21 2015 16:20:43 GMT+0800 (中国标准时间),,s1w92,label,"^"
Fri Aug 21 2015 16:20:43 GMT+0800 (中国标准时间),,s1w103,focus,
Fri Aug 21 2015 16:20:43 GMT+0800 (中国标准时间),,s1w103,focus,
Fri Aug 21 2015 16:20:45 GMT+0800 (中国标准时间),,s1w103,label,"N"
Fri Aug 21 2015 16:20:48 GMT+0800 (中国标准时间),,s1w96,focus,
Fri Aug 21 2015 16:20:48 GMT+0800 (中国标准时间),,s1w96,focus,
Fri Aug 21 2015 16:20:50 GMT+0800 (中国标准时间),,s1w96,label,"V"
Fri Aug 21 2015 16:21:14 GMT+0800 (中国标准时间),,s1w105,focus,
Fri Aug 21 2015 16:21:14 GMT+0800 (中国标准时间),,s1w105,focus,
Fri Aug 21 2015 16:21:33 GMT+0800 (中国标准时间),,s1w110,focus,
Fri Aug 21 2015 16:21:33 GMT+0800 (中国标准时间),,s1w110,focus,
Fri Aug 21 2015 16:21:34 GMT+0800 (中国标准时间),,s1w110,label,"^"
Fri Aug 21 2015 16:21:35 GMT+0800 (中国标准时间),,s1w113,focus,
Fri Aug 21 2015 16:21:35 GMT+0800 (中国标准时间),,s1w113,focus,
Fri Aug 21 2015 16:21:36 GMT+0800 (中国标准时间),,s1w113,label,"^"
Fri Aug 21 2015 16:24:02 GMT+0800 (中国标准时间),,s1w113,focus,
Fri Aug 21 2015 16:24:15 GMT+0800 (中国标准时间),,s2w25,focus,
Fri Aug 21 2015 16:24:15 GMT+0800 (中国标准时间),,s2w25,focus,
Fri Aug 21 2015 16:24:17 GMT+0800 (中国标准时间),,s2w25,label,"^"
Fri Aug 21 2015 16:25:02 GMT+0800 (中国标准时间),,s2w60,focus,
Fri Aug 21 2015 16:25:02 GMT+0800 (中国标准时间),,s2w60,focus,
Fri Aug 21 2015 16:25:03 GMT+0800 (中国标准时间),,s2w60,label,"^"
Fri Aug 21 2015 16:25:09 GMT+0800 (中国标准时间),,s3w3,focus,
Fri Aug 21 2015 16:25:09 GMT+0800 (中国标准时间),,s3w3,focus,
Fri Aug 21 2015 16:25:10 GMT+0800 (中国标准时间),,s2w65,focus,
Fri Aug 21 2015 16:25:10 GMT+0800 (中国标准时间),,s2w65,focus,
Fri Aug 21 2015 16:25:12 GMT+0800 (中国标准时间),,s2w65,label,"^"
Fri Aug 21 2015 16:25:13 GMT+0800 (中国标准时间),,s3w14,focus,
Fri Aug 21 2015 16:25:13 GMT+0800 (中国标准时间),,s3w14,focus,
Fri Aug 21 2015 16:25:14 GMT+0800 (中国标准时间),,s3w3,focus,
Fri Aug 21 2015 16:25:14 GMT+0800 (中国标准时间),,s3w3,focus,
Fri Aug 21 2015 16:25:16 GMT+0800 (中国标准时间),,s3w3,label,"^"
Fri Aug 21 2015 16:25:26 GMT+0800 (中国标准时间),,s3w18,focus,
Fri Aug 21 2015 16:25:26 GMT+0800 (中国标准时间),,s3w18,focus,
Fri Aug 21 2015 16:25:27 GMT+0800 (中国标准时间),,s3w18,label,"^"
Fri Aug 21 2015 16:25:30 GMT+0800 (中国标准时间),,s3w22,focus,
Fri Aug 21 2015 16:25:30 GMT+0800 (中国标准时间),,s3w22,focus,
Fri Aug 21 2015 16:27:06 GMT+0800 (中国标准时间),,s4w10,focus,
Fri Aug 21 2015 16:27:06 GMT+0800 (中国标准时间),,s4w10,focus,
Fri Aug 21 2015 16:27:07 GMT+0800 (中国标准时间),,s4w10,label,"N"
Fri Aug 21 2015 16:27:50 GMT+0800 (中国标准时间),,s4w10,focus,
Fri Aug 21 2015 16:31:05 GMT+0800 (中国标准时间),,s4w10,focus,
Fri Aug 21 2015 16:31:19 GMT+0800 (中国标准时间),,s7w10,focus,
Fri Aug 21 2015 16:31:19 GMT+0800 (中国标准时间),,s7w10,focus,
Fri Aug 21 2015 16:31:20 GMT+0800 (中国标准时间),,s7w10,label,"^"
Fri Aug 21 2015 16:31:26 GMT+0800 (中国标准时间),,s8w1,focus,
Fri Aug 21 2015 16:31:26 GMT+0800 (中国标准时间),,s8w1,focus,
Fri Aug 21 2015 16:31:27 GMT+0800 (中国标准时间),,s8w1,label,"D"
Fri Aug 21 2015 16:31:34 GMT+0800 (中国标准时间),,s8w11,focus,
Fri Aug 21 2015 16:31:34 GMT+0800 (中国标准时间),,s8w11,focus,
Fri Aug 21 2015 16:31:36 GMT+0800 (中国标准时间),,s8w11,label,"^"
Fri Aug 21 2015 16:31:40 GMT+0800 (中国标准时间),,s8w15,focus,
Fri Aug 21 2015 16:31:40 GMT+0800 (中国标准时间),,s8w15,focus,
Fri Aug 21 2015 16:31:46 GMT+0800 (中国标准时间),,,submitPage,
