Fri Aug 21 2015 16:38:46 GMT+0800 (中国标准时间),,,pageReady,0:100:100
Fri Aug 21 2015 16:47:52 GMT+0800 (中国标准时间),,s3w82,focus,
Fri Aug 21 2015 16:47:52 GMT+0800 (中国标准时间),,s3w82,label,"G"
Fri Aug 21 2015 16:47:53 GMT+0800 (中国标准时间),,s3w83,focus,
Fri Aug 21 2015 16:47:53 GMT+0800 (中国标准时间),,s3w83,label,"G"
Fri Aug 21 2015 16:47:53 GMT+0800 (中国标准时间),,s3w84,focus,
Fri Aug 21 2015 16:47:53 GMT+0800 (中国标准时间),,s3w84,label,"G"
Fri Aug 21 2015 16:47:53 GMT+0800 (中国标准时间),,s3w85,focus,
Fri Aug 21 2015 16:47:54 GMT+0800 (中国标准时间),,s3w85,label,"G"
Fri Aug 21 2015 16:47:54 GMT+0800 (中国标准时间),,s3w86,focus,
Fri Aug 21 2015 16:47:54 GMT+0800 (中国标准时间),,s3w86,label,"G"
Fri Aug 21 2015 16:48:11 GMT+0800 (中国标准时间),,s4w5,focus,
Fri Aug 21 2015 16:48:11 GMT+0800 (中国标准时间),,s4w5,focus,
Fri Aug 21 2015 16:48:12 GMT+0800 (中国标准时间),,s4w5,label,"N"
Fri Aug 21 2015 16:49:58 GMT+0800 (中国标准时间),,s4w64,focus,
Fri Aug 21 2015 16:49:58 GMT+0800 (中国标准时间),,s4w64,focus,
Fri Aug 21 2015 16:50:00 GMT+0800 (中国标准时间),,s4w64,label,"^"
Fri Aug 21 2015 16:50:12 GMT+0800 (中国标准时间),,s4w78,focus,
Fri Aug 21 2015 16:50:12 GMT+0800 (中国标准时间),,s4w78,focus,
Fri Aug 21 2015 16:50:14 GMT+0800 (中国标准时间),,s4w78,label,"^"
Fri Aug 21 2015 16:50:15 GMT+0800 (中国标准时间),,s4w79,focus,
Fri Aug 21 2015 16:50:15 GMT+0800 (中国标准时间),,s4w79,focus,
Fri Aug 21 2015 16:50:16 GMT+0800 (中国标准时间),,s4w79,label,"N"
Fri Aug 21 2015 16:50:18 GMT+0800 (中国标准时间),,s4w80,focus,
Fri Aug 21 2015 16:50:18 GMT+0800 (中国标准时间),,s4w80,focus,
Fri Aug 21 2015 16:50:21 GMT+0800 (中国标准时间),,s4w80,label,","
Fri Aug 21 2015 16:50:29 GMT+0800 (中国标准时间),,s5w18,focus,
Fri Aug 21 2015 16:50:29 GMT+0800 (中国标准时间),,s5w18,focus,
Fri Aug 21 2015 16:50:30 GMT+0800 (中国标准时间),,s5w18,label,"^"
Fri Aug 21 2015 16:50:32 GMT+0800 (中国标准时间),,s5w6,focus,
Fri Aug 21 2015 16:50:32 GMT+0800 (中国标准时间),,s5w6,focus,
Fri Aug 21 2015 16:50:33 GMT+0800 (中国标准时间),,s5w6,label,"^"
Fri Aug 21 2015 16:51:35 GMT+0800 (中国标准时间),,s5w38,focus,
Fri Aug 21 2015 16:51:35 GMT+0800 (中国标准时间),,s5w38,focus,
Fri Aug 21 2015 16:51:36 GMT+0800 (中国标准时间),,s5w38,label,"^"
Fri Aug 21 2015 16:51:57 GMT+0800 (中国标准时间),,s5w60,focus,
Fri Aug 21 2015 16:51:57 GMT+0800 (中国标准时间),,s5w60,focus,
Fri Aug 21 2015 16:51:58 GMT+0800 (中国标准时间),,s5w60,label,"^"
Fri Aug 21 2015 16:52:00 GMT+0800 (中国标准时间),,s5w109,focus,
Fri Aug 21 2015 16:52:00 GMT+0800 (中国标准时间),,s5w109,focus,
Fri Aug 21 2015 16:52:56 GMT+0800 (中国标准时间),,s5w109,focus,
Fri Aug 21 2015 16:53:31 GMT+0800 (中国标准时间),,s7w9,focus,
Fri Aug 21 2015 16:53:31 GMT+0800 (中国标准时间),,s7w9,focus,
Fri Aug 21 2015 16:53:35 GMT+0800 (中国标准时间),,s7w11,focus,
Fri Aug 21 2015 16:53:35 GMT+0800 (中国标准时间),,s7w11,focus,
Fri Aug 21 2015 16:55:04 GMT+0800 (中国标准时间),,s7w11,focus,
Fri Aug 21 2015 16:55:07 GMT+0800 (中国标准时间),,,submitPage,
