Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Thu Aug 27 2015 13:45:31 GMT+0800 (China Standard Time),,s0w11,focus,
Thu Aug 27 2015 13:45:31 GMT+0800 (China Standard Time),,s0w12,focus,
Thu Aug 27 2015 13:45:31 GMT+0800 (China Standard Time),,s1w1,focus,
Thu Aug 27 2015 13:45:33 GMT+0800 (China Standard Time),,s0w12,focus,
Thu Aug 27 2015 13:45:33 GMT+0800 (China Standard Time),,s0w12,focus,
Thu Aug 27 2015 13:45:34 GMT+0800 (China Standard Time),,s0w12,label,"N"
Thu Aug 27 2015 13:45:34 GMT+0800 (China Standard Time),,s1w1,focus,
Thu Aug 27 2015 13:45:35 GMT+0800 (China Standard Time),,s1w2,focus,
Thu Aug 27 2015 13:45:36 GMT+0800 (China Standard Time),,s1w3,focus,
Thu Aug 27 2015 13:45:38 GMT+0800 (China Standard Time),,s1w4,focus,
Thu Aug 27 2015 13:45:38 GMT+0800 (China Standard Time),,s1w5,focus,
Thu Aug 27 2015 13:45:39 GMT+0800 (China Standard Time),,s1w6,focus,
Thu Aug 27 2015 13:45:39 GMT+0800 (China Standard Time),,s1w7,focus,
Thu Aug 27 2015 13:45:40 GMT+0800 (China Standard Time),,s1w8,focus,
Thu Aug 27 2015 13:45:40 GMT+0800 (China Standard Time),,s1w9,focus,
Thu Aug 27 2015 13:45:40 GMT+0800 (China Standard Time),,s1w10,focus,
Thu Aug 27 2015 13:45:42 GMT+0800 (China Standard Time),,s1w11,focus,
Thu Aug 27 2015 13:45:43 GMT+0800 (China Standard Time),,s1w11,label,"^"
Thu Aug 27 2015 13:45:44 GMT+0800 (China Standard Time),,s1w12,focus,
Thu Aug 27 2015 13:45:44 GMT+0800 (China Standard Time),,s1w13,focus,
Thu Aug 27 2015 13:45:44 GMT+0800 (China Standard Time),,s1w14,focus,
Thu Aug 27 2015 13:45:45 GMT+0800 (China Standard Time),,s1w15,focus,
Thu Aug 27 2015 13:45:45 GMT+0800 (China Standard Time),,s1w16,focus,
Thu Aug 27 2015 13:45:45 GMT+0800 (China Standard Time),,s1w17,focus,
Thu Aug 27 2015 13:45:46 GMT+0800 (China Standard Time),,s1w18,focus,
Thu Aug 27 2015 13:45:46 GMT+0800 (China Standard Time),,s1w19,focus,
Thu Aug 27 2015 13:45:46 GMT+0800 (China Standard Time),,s1w20,focus,
Thu Aug 27 2015 13:45:46 GMT+0800 (China Standard Time),,s1w21,focus,
Thu Aug 27 2015 13:45:47 GMT+0800 (China Standard Time),,s1w22,focus,
Thu Aug 27 2015 13:45:47 GMT+0800 (China Standard Time),,s1w23,focus,
Thu Aug 27 2015 13:45:47 GMT+0800 (China Standard Time),,s1w24,focus,
Thu Aug 27 2015 13:45:47 GMT+0800 (China Standard Time),,s1w25,focus,
Thu Aug 27 2015 13:45:48 GMT+0800 (China Standard Time),,s1w26,focus,
Thu Aug 27 2015 13:45:48 GMT+0800 (China Standard Time),,s1w27,focus,
Thu Aug 27 2015 13:45:48 GMT+0800 (China Standard Time),,s1w28,focus,
Thu Aug 27 2015 13:45:49 GMT+0800 (China Standard Time),,s1w29,focus,
Thu Aug 27 2015 13:45:49 GMT+0800 (China Standard Time),,s1w30,focus,
Thu Aug 27 2015 13:45:49 GMT+0800 (China Standard Time),,s1w31,focus,
Thu Aug 27 2015 13:45:49 GMT+0800 (China Standard Time),,s1w32,focus,
Thu Aug 27 2015 13:45:50 GMT+0800 (China Standard Time),,s1w33,focus,
Thu Aug 27 2015 13:45:50 GMT+0800 (China Standard Time),,s1w34,focus,
Thu Aug 27 2015 13:45:50 GMT+0800 (China Standard Time),,s1w35,focus,
Thu Aug 27 2015 13:45:50 GMT+0800 (China Standard Time),,s1w36,focus,
Thu Aug 27 2015 13:45:51 GMT+0800 (China Standard Time),,s1w37,focus,
Thu Aug 27 2015 13:45:51 GMT+0800 (China Standard Time),,s1w38,focus,
Thu Aug 27 2015 13:45:51 GMT+0800 (China Standard Time),,s1w39,focus,
Thu Aug 27 2015 13:45:52 GMT+0800 (China Standard Time),,s1w40,focus,
Thu Aug 27 2015 13:45:52 GMT+0800 (China Standard Time),,s1w41,focus,
Thu Aug 27 2015 13:45:53 GMT+0800 (China Standard Time),,s1w41,label,"^"
Thu Aug 27 2015 13:45:53 GMT+0800 (China Standard Time),,s1w42,focus,
Thu Aug 27 2015 13:45:54 GMT+0800 (China Standard Time),,s1w43,focus,
Thu Aug 27 2015 13:45:54 GMT+0800 (China Standard Time),,s1w44,focus,
Thu Aug 27 2015 13:45:54 GMT+0800 (China Standard Time),,s1w45,focus,
Thu Aug 27 2015 13:45:54 GMT+0800 (China Standard Time),,s1w46,focus,
Thu Aug 27 2015 13:45:55 GMT+0800 (China Standard Time),,s1w46,label,"^"
Thu Aug 27 2015 13:45:56 GMT+0800 (China Standard Time),,s1w47,focus,
Thu Aug 27 2015 13:45:56 GMT+0800 (China Standard Time),,s1w48,focus,
Thu Aug 27 2015 13:45:56 GMT+0800 (China Standard Time),,s1w49,focus,
Thu Aug 27 2015 13:45:58 GMT+0800 (China Standard Time),,s1w50,focus,
Thu Aug 27 2015 13:45:58 GMT+0800 (China Standard Time),,s1w51,focus,
Thu Aug 27 2015 13:45:59 GMT+0800 (China Standard Time),,s1w52,focus,
Thu Aug 27 2015 13:45:59 GMT+0800 (China Standard Time),,s1w53,focus,
Thu Aug 27 2015 13:45:59 GMT+0800 (China Standard Time),,s1w54,focus,
Thu Aug 27 2015 13:46:00 GMT+0800 (China Standard Time),,s1w55,focus,
Thu Aug 27 2015 13:46:00 GMT+0800 (China Standard Time),,s1w56,focus,
Thu Aug 27 2015 13:46:01 GMT+0800 (China Standard Time),,s1w57,focus,
Thu Aug 27 2015 13:46:01 GMT+0800 (China Standard Time),,s1w58,focus,
Thu Aug 27 2015 13:46:01 GMT+0800 (China Standard Time),,s1w59,focus,
Thu Aug 27 2015 13:46:02 GMT+0800 (China Standard Time),,s1w60,focus,
Thu Aug 27 2015 13:46:03 GMT+0800 (China Standard Time),,s2w1,focus,
Thu Aug 27 2015 13:46:03 GMT+0800 (China Standard Time),,s2w2,focus,
Thu Aug 27 2015 13:46:03 GMT+0800 (China Standard Time),,s2w3,focus,
Thu Aug 27 2015 13:46:03 GMT+0800 (China Standard Time),,s2w4,focus,
Thu Aug 27 2015 13:46:04 GMT+0800 (China Standard Time),,s2w5,focus,
Thu Aug 27 2015 13:46:04 GMT+0800 (China Standard Time),,s2w6,focus,
Thu Aug 27 2015 13:46:04 GMT+0800 (China Standard Time),,s2w7,focus,
Thu Aug 27 2015 13:46:04 GMT+0800 (China Standard Time),,s2w8,focus,
Thu Aug 27 2015 13:46:05 GMT+0800 (China Standard Time),,s2w9,focus,
Thu Aug 27 2015 13:46:05 GMT+0800 (China Standard Time),,s2w10,focus,
Thu Aug 27 2015 13:46:06 GMT+0800 (China Standard Time),,s2w11,focus,
Thu Aug 27 2015 13:46:07 GMT+0800 (China Standard Time),,s2w12,focus,
Thu Aug 27 2015 13:46:07 GMT+0800 (China Standard Time),,s2w13,focus,
Thu Aug 27 2015 13:46:07 GMT+0800 (China Standard Time),,s2w14,focus,
Thu Aug 27 2015 13:46:08 GMT+0800 (China Standard Time),,s2w15,focus,
Thu Aug 27 2015 13:46:08 GMT+0800 (China Standard Time),,s2w16,focus,
Thu Aug 27 2015 13:46:08 GMT+0800 (China Standard Time),,s2w17,focus,
Thu Aug 27 2015 13:46:09 GMT+0800 (China Standard Time),,s3w1,focus,
Thu Aug 27 2015 13:46:09 GMT+0800 (China Standard Time),,s3w2,focus,
Thu Aug 27 2015 13:46:10 GMT+0800 (China Standard Time),,s3w3,focus,
Thu Aug 27 2015 13:46:10 GMT+0800 (China Standard Time),,s3w4,focus,
Thu Aug 27 2015 13:46:10 GMT+0800 (China Standard Time),,s3w5,focus,
Thu Aug 27 2015 13:46:10 GMT+0800 (China Standard Time),,s3w6,focus,
Thu Aug 27 2015 13:46:11 GMT+0800 (China Standard Time),,s3w7,focus,
Thu Aug 27 2015 13:46:11 GMT+0800 (China Standard Time),,s3w8,focus,
Thu Aug 27 2015 13:46:12 GMT+0800 (China Standard Time),,s3w9,focus,
Thu Aug 27 2015 13:46:12 GMT+0800 (China Standard Time),,s3w10,focus,
Thu Aug 27 2015 13:46:13 GMT+0800 (China Standard Time),,s3w11,focus,
Thu Aug 27 2015 13:46:13 GMT+0800 (China Standard Time),,s3w12,focus,
Thu Aug 27 2015 13:46:13 GMT+0800 (China Standard Time),,s3w13,focus,
Thu Aug 27 2015 13:46:14 GMT+0800 (China Standard Time),,s3w14,focus,
Thu Aug 27 2015 13:46:14 GMT+0800 (China Standard Time),,s3w15,focus,
Thu Aug 27 2015 13:46:14 GMT+0800 (China Standard Time),,s3w16,focus,
Thu Aug 27 2015 13:46:15 GMT+0800 (China Standard Time),,s4w1,focus,
Thu Aug 27 2015 13:46:15 GMT+0800 (China Standard Time),,s4w2,focus,
Thu Aug 27 2015 13:46:15 GMT+0800 (China Standard Time),,s4w3,focus,
Thu Aug 27 2015 13:46:16 GMT+0800 (China Standard Time),,s4w4,focus,
Thu Aug 27 2015 13:46:16 GMT+0800 (China Standard Time),,s4w5,focus,
Thu Aug 27 2015 13:46:16 GMT+0800 (China Standard Time),,s4w6,focus,
Thu Aug 27 2015 13:46:16 GMT+0800 (China Standard Time),,s4w7,focus,
Thu Aug 27 2015 13:46:17 GMT+0800 (China Standard Time),,s4w8,focus,
Thu Aug 27 2015 13:46:18 GMT+0800 (China Standard Time),,s4w9,focus,
Thu Aug 27 2015 13:46:18 GMT+0800 (China Standard Time),,s4w10,focus,
Thu Aug 27 2015 13:46:18 GMT+0800 (China Standard Time),,s4w11,focus,
Thu Aug 27 2015 13:46:19 GMT+0800 (China Standard Time),,s4w12,focus,
Thu Aug 27 2015 13:46:19 GMT+0800 (China Standard Time),,s5w1,focus,
Thu Aug 27 2015 13:46:22 GMT+0800 (China Standard Time),,s4w9,focus,
Thu Aug 27 2015 13:46:22 GMT+0800 (China Standard Time),,s4w9,focus,
Thu Aug 27 2015 13:46:23 GMT+0800 (China Standard Time),,s4w9,label,"^"
Thu Aug 27 2015 13:46:23 GMT+0800 (China Standard Time),,s4w10,focus,
Thu Aug 27 2015 13:46:23 GMT+0800 (China Standard Time),,s4w11,focus,
Thu Aug 27 2015 13:46:24 GMT+0800 (China Standard Time),,s4w12,focus,
Thu Aug 27 2015 13:46:24 GMT+0800 (China Standard Time),,s5w1,focus,
Thu Aug 27 2015 13:46:25 GMT+0800 (China Standard Time),,s5w2,focus,
Thu Aug 27 2015 13:46:25 GMT+0800 (China Standard Time),,s5w3,focus,
Thu Aug 27 2015 13:46:27 GMT+0800 (China Standard Time),,s5w4,focus,
Thu Aug 27 2015 13:46:27 GMT+0800 (China Standard Time),,s5w5,focus,
Thu Aug 27 2015 13:46:27 GMT+0800 (China Standard Time),,s5w6,focus,
Thu Aug 27 2015 13:46:28 GMT+0800 (China Standard Time),,s5w7,focus,
Thu Aug 27 2015 13:46:28 GMT+0800 (China Standard Time),,s5w8,focus,
Thu Aug 27 2015 13:46:28 GMT+0800 (China Standard Time),,s5w9,focus,
Thu Aug 27 2015 13:46:28 GMT+0800 (China Standard Time),,s5w10,focus,
Thu Aug 27 2015 13:46:29 GMT+0800 (China Standard Time),,s5w11,focus,
Thu Aug 27 2015 13:46:31 GMT+0800 (China Standard Time),,s5w11,label,"A"
Thu Aug 27 2015 13:46:31 GMT+0800 (China Standard Time),,s5w12,focus,
Thu Aug 27 2015 13:46:32 GMT+0800 (China Standard Time),,s5w13,focus,
Thu Aug 27 2015 13:46:34 GMT+0800 (China Standard Time),,s5w13,label,"N"
Thu Aug 27 2015 13:46:34 GMT+0800 (China Standard Time),,s5w14,focus,
Thu Aug 27 2015 13:46:35 GMT+0800 (China Standard Time),,s5w15,focus,
Thu Aug 27 2015 13:46:40 GMT+0800 (China Standard Time),,s5w13,focus,
Thu Aug 27 2015 13:46:40 GMT+0800 (China Standard Time),,s5w13,focus,
Thu Aug 27 2015 13:46:40 GMT+0800 (China Standard Time),,s5w13,label,"^"
Thu Aug 27 2015 13:46:42 GMT+0800 (China Standard Time),,s5w14,focus,
Thu Aug 27 2015 13:46:43 GMT+0800 (China Standard Time),,s5w15,focus,
Thu Aug 27 2015 13:46:43 GMT+0800 (China Standard Time),,s5w16,focus,
Thu Aug 27 2015 13:46:44 GMT+0800 (China Standard Time),,s5w17,focus,
Thu Aug 27 2015 13:46:44 GMT+0800 (China Standard Time),,s5w18,focus,
Thu Aug 27 2015 13:46:44 GMT+0800 (China Standard Time),,s5w19,focus,
Thu Aug 27 2015 13:46:45 GMT+0800 (China Standard Time),,s5w20,focus,
Thu Aug 27 2015 13:46:45 GMT+0800 (China Standard Time),,s5w21,focus,
Thu Aug 27 2015 13:46:46 GMT+0800 (China Standard Time),,s5w22,focus,
Thu Aug 27 2015 13:46:46 GMT+0800 (China Standard Time),,s5w23,focus,
Thu Aug 27 2015 13:46:47 GMT+0800 (China Standard Time),,s5w24,focus,
Thu Aug 27 2015 13:46:48 GMT+0800 (China Standard Time),,s5w25,focus,
Thu Aug 27 2015 13:46:48 GMT+0800 (China Standard Time),,s5w26,focus,
Thu Aug 27 2015 13:46:49 GMT+0800 (China Standard Time),,s5w27,focus,
Thu Aug 27 2015 13:46:49 GMT+0800 (China Standard Time),,s5w28,focus,
Thu Aug 27 2015 13:46:49 GMT+0800 (China Standard Time),,s5w29,focus,
Thu Aug 27 2015 13:46:49 GMT+0800 (China Standard Time),,s5w30,focus,
Thu Aug 27 2015 13:46:50 GMT+0800 (China Standard Time),,s5w31,focus,
Thu Aug 27 2015 13:46:50 GMT+0800 (China Standard Time),,s5w32,focus,
Thu Aug 27 2015 13:46:50 GMT+0800 (China Standard Time),,s5w33,focus,
Thu Aug 27 2015 13:46:51 GMT+0800 (China Standard Time),,s6w1,focus,
Thu Aug 27 2015 13:46:51 GMT+0800 (China Standard Time),,s6w2,focus,
Thu Aug 27 2015 13:46:52 GMT+0800 (China Standard Time),,s6w3,focus,
Thu Aug 27 2015 13:46:52 GMT+0800 (China Standard Time),,s6w4,focus,
Thu Aug 27 2015 13:46:52 GMT+0800 (China Standard Time),,s6w5,focus,
Thu Aug 27 2015 13:46:53 GMT+0800 (China Standard Time),,s6w6,focus,
Thu Aug 27 2015 13:46:57 GMT+0800 (China Standard Time),,s6w6,label,"^"
Thu Aug 27 2015 13:46:57 GMT+0800 (China Standard Time),,s6w7,focus,
Thu Aug 27 2015 13:46:59 GMT+0800 (China Standard Time),,s6w7,label,"="
Thu Aug 27 2015 13:46:59 GMT+0800 (China Standard Time),,s6w8,focus,
Thu Aug 27 2015 13:47:01 GMT+0800 (China Standard Time),,s6w8,label,"^"
Thu Aug 27 2015 13:47:02 GMT+0800 (China Standard Time),,s6w9,focus,
Thu Aug 27 2015 13:47:03 GMT+0800 (China Standard Time),,s6w9,label,","
Thu Aug 27 2015 13:47:03 GMT+0800 (China Standard Time),,s6w10,focus,
Thu Aug 27 2015 13:47:04 GMT+0800 (China Standard Time),,s6w10,label,","
Thu Aug 27 2015 13:47:05 GMT+0800 (China Standard Time),,s6w11,focus,
Thu Aug 27 2015 13:47:09 GMT+0800 (China Standard Time),,s6w11,label,"^"
Thu Aug 27 2015 13:47:09 GMT+0800 (China Standard Time),,s6w12,focus,
Thu Aug 27 2015 13:47:10 GMT+0800 (China Standard Time),,s6w12,label,","
Thu Aug 27 2015 13:47:11 GMT+0800 (China Standard Time),,s6w13,focus,
Thu Aug 27 2015 13:47:11 GMT+0800 (China Standard Time),,s6w13,label,","
Thu Aug 27 2015 13:47:11 GMT+0800 (China Standard Time),,s6w14,focus,
Thu Aug 27 2015 13:47:12 GMT+0800 (China Standard Time),,s6w14,label,","
Thu Aug 27 2015 13:47:12 GMT+0800 (China Standard Time),,s6w15,focus,
Thu Aug 27 2015 13:47:13 GMT+0800 (China Standard Time),,s6w16,focus,
Thu Aug 27 2015 13:47:13 GMT+0800 (China Standard Time),,s6w17,focus,
Thu Aug 27 2015 13:47:14 GMT+0800 (China Standard Time),,s6w18,focus,
Thu Aug 27 2015 13:47:14 GMT+0800 (China Standard Time),,s6w19,focus,
Thu Aug 27 2015 13:47:14 GMT+0800 (China Standard Time),,s6w20,focus,
Thu Aug 27 2015 13:47:14 GMT+0800 (China Standard Time),,s6w21,focus,
Thu Aug 27 2015 13:47:15 GMT+0800 (China Standard Time),,s6w22,focus,
Thu Aug 27 2015 13:47:15 GMT+0800 (China Standard Time),,s6w23,focus,
Thu Aug 27 2015 13:47:15 GMT+0800 (China Standard Time),,s6w24,focus,
Thu Aug 27 2015 13:47:15 GMT+0800 (China Standard Time),,s6w25,focus,
Thu Aug 27 2015 13:47:16 GMT+0800 (China Standard Time),,s6w26,focus,
Thu Aug 27 2015 13:47:16 GMT+0800 (China Standard Time),,s6w27,focus,
Thu Aug 27 2015 13:47:16 GMT+0800 (China Standard Time),,s6w28,focus,
Thu Aug 27 2015 13:47:16 GMT+0800 (China Standard Time),,s6w29,focus,
Thu Aug 27 2015 13:47:17 GMT+0800 (China Standard Time),,s6w30,focus,
Thu Aug 27 2015 13:47:17 GMT+0800 (China Standard Time),,s6w31,focus,
Thu Aug 27 2015 13:47:17 GMT+0800 (China Standard Time),,s6w32,focus,
Thu Aug 27 2015 13:47:18 GMT+0800 (China Standard Time),,s6w33,focus,
Thu Aug 27 2015 13:47:18 GMT+0800 (China Standard Time),,s6w33,label,"^"
Thu Aug 27 2015 13:47:19 GMT+0800 (China Standard Time),,s6w34,focus,
Thu Aug 27 2015 13:47:20 GMT+0800 (China Standard Time),,s6w34,label,","
Thu Aug 27 2015 13:47:20 GMT+0800 (China Standard Time),,s6w35,focus,
Thu Aug 27 2015 13:47:20 GMT+0800 (China Standard Time),,s6w35,label,","
Thu Aug 27 2015 13:47:21 GMT+0800 (China Standard Time),,s6w36,focus,
Thu Aug 27 2015 13:47:22 GMT+0800 (China Standard Time),,s6w36,label,"^"
Thu Aug 27 2015 13:47:22 GMT+0800 (China Standard Time),,s6w37,focus,
Thu Aug 27 2015 13:47:23 GMT+0800 (China Standard Time),,s6w37,label,","
Thu Aug 27 2015 13:47:23 GMT+0800 (China Standard Time),,s6w38,focus,
Thu Aug 27 2015 13:47:24 GMT+0800 (China Standard Time),,s6w39,focus,
Thu Aug 27 2015 13:47:24 GMT+0800 (China Standard Time),,s6w40,focus,
Thu Aug 27 2015 13:47:25 GMT+0800 (China Standard Time),,s6w41,focus,
Thu Aug 27 2015 13:47:25 GMT+0800 (China Standard Time),,s6w42,focus,
Thu Aug 27 2015 13:47:25 GMT+0800 (China Standard Time),,s6w43,focus,
Thu Aug 27 2015 13:47:26 GMT+0800 (China Standard Time),,s6w44,focus,
Thu Aug 27 2015 13:47:26 GMT+0800 (China Standard Time),,s6w45,focus,
Thu Aug 27 2015 13:47:27 GMT+0800 (China Standard Time),,s6w46,focus,
Thu Aug 27 2015 13:47:28 GMT+0800 (China Standard Time),,s6w46,label,"^"
Thu Aug 27 2015 13:47:28 GMT+0800 (China Standard Time),,s6w47,focus,
Thu Aug 27 2015 13:47:28 GMT+0800 (China Standard Time),,s6w48,focus,
Thu Aug 27 2015 13:47:29 GMT+0800 (China Standard Time),,s6w49,focus,
Thu Aug 27 2015 13:47:29 GMT+0800 (China Standard Time),,s6w50,focus,
Thu Aug 27 2015 13:47:29 GMT+0800 (China Standard Time),,s6w51,focus,
Thu Aug 27 2015 13:47:30 GMT+0800 (China Standard Time),,s6w52,focus,
Thu Aug 27 2015 13:47:30 GMT+0800 (China Standard Time),,s6w53,focus,
Thu Aug 27 2015 13:47:31 GMT+0800 (China Standard Time),,s6w54,focus,
Thu Aug 27 2015 13:47:31 GMT+0800 (China Standard Time),,s6w55,focus,
Thu Aug 27 2015 13:47:31 GMT+0800 (China Standard Time),,s6w56,focus,
Thu Aug 27 2015 13:47:32 GMT+0800 (China Standard Time),,s6w57,focus,
Thu Aug 27 2015 13:47:32 GMT+0800 (China Standard Time),,s6w58,focus,
Thu Aug 27 2015 13:47:32 GMT+0800 (China Standard Time),,s6w59,focus,
Thu Aug 27 2015 13:47:32 GMT+0800 (China Standard Time),,s6w60,focus,
Thu Aug 27 2015 13:47:33 GMT+0800 (China Standard Time),,s6w61,focus,
Thu Aug 27 2015 13:47:33 GMT+0800 (China Standard Time),,s6w62,focus,
Thu Aug 27 2015 13:47:33 GMT+0800 (China Standard Time),,s6w63,focus,
Thu Aug 27 2015 13:47:33 GMT+0800 (China Standard Time),,s6w64,focus,
Thu Aug 27 2015 13:47:33 GMT+0800 (China Standard Time),,s6w65,focus,
Thu Aug 27 2015 13:47:34 GMT+0800 (China Standard Time),,s6w66,focus,
Thu Aug 27 2015 13:47:34 GMT+0800 (China Standard Time),,s6w67,focus,
Thu Aug 27 2015 13:47:34 GMT+0800 (China Standard Time),,s6w68,focus,
Thu Aug 27 2015 13:47:34 GMT+0800 (China Standard Time),,s6w69,focus,
Thu Aug 27 2015 13:47:35 GMT+0800 (China Standard Time),,s6w70,focus,
Thu Aug 27 2015 13:47:35 GMT+0800 (China Standard Time),,s6w71,focus,
Thu Aug 27 2015 13:47:35 GMT+0800 (China Standard Time),,s6w72,focus,
Thu Aug 27 2015 13:47:35 GMT+0800 (China Standard Time),,s6w73,focus,
Thu Aug 27 2015 13:47:36 GMT+0800 (China Standard Time),,s6w74,focus,
Thu Aug 27 2015 13:47:36 GMT+0800 (China Standard Time),,s6w75,focus,
Thu Aug 27 2015 13:47:36 GMT+0800 (China Standard Time),,s6w76,focus,
Thu Aug 27 2015 13:47:36 GMT+0800 (China Standard Time),,s6w77,focus,
Thu Aug 27 2015 13:47:37 GMT+0800 (China Standard Time),,s6w78,focus,
Thu Aug 27 2015 13:47:37 GMT+0800 (China Standard Time),,s6w79,focus,
Thu Aug 27 2015 13:47:37 GMT+0800 (China Standard Time),,s6w80,focus,
Thu Aug 27 2015 13:47:38 GMT+0800 (China Standard Time),,s6w80,label,"^"
Thu Aug 27 2015 13:47:38 GMT+0800 (China Standard Time),,s6w81,focus,
Thu Aug 27 2015 13:47:39 GMT+0800 (China Standard Time),,s6w82,focus,
Thu Aug 27 2015 13:47:39 GMT+0800 (China Standard Time),,s6w83,focus,
Thu Aug 27 2015 13:47:40 GMT+0800 (China Standard Time),,s6w84,focus,
Thu Aug 27 2015 13:47:40 GMT+0800 (China Standard Time),,s6w85,focus,
Thu Aug 27 2015 13:47:40 GMT+0800 (China Standard Time),,s6w86,focus,
Thu Aug 27 2015 13:47:41 GMT+0800 (China Standard Time),,s6w87,focus,
Thu Aug 27 2015 13:47:41 GMT+0800 (China Standard Time),,s6w88,focus,
Thu Aug 27 2015 13:47:42 GMT+0800 (China Standard Time),,s6w89,focus,
Thu Aug 27 2015 13:47:42 GMT+0800 (China Standard Time),,s6w90,focus,
Thu Aug 27 2015 13:47:42 GMT+0800 (China Standard Time),,s6w91,focus,
Thu Aug 27 2015 13:47:43 GMT+0800 (China Standard Time),,s6w92,focus,
Thu Aug 27 2015 13:47:43 GMT+0800 (China Standard Time),,s6w93,focus,
Thu Aug 27 2015 13:47:43 GMT+0800 (China Standard Time),,s7w1,focus,
Thu Aug 27 2015 13:47:45 GMT+0800 (China Standard Time),,s7w2,focus,
Thu Aug 27 2015 13:47:45 GMT+0800 (China Standard Time),,s7w3,focus,
Thu Aug 27 2015 13:47:45 GMT+0800 (China Standard Time),,s7w4,focus,
Thu Aug 27 2015 13:47:46 GMT+0800 (China Standard Time),,s7w5,focus,
Thu Aug 27 2015 13:47:46 GMT+0800 (China Standard Time),,s7w6,focus,
Thu Aug 27 2015 13:47:46 GMT+0800 (China Standard Time),,s7w7,focus,
Thu Aug 27 2015 13:47:47 GMT+0800 (China Standard Time),,s7w8,focus,
Thu Aug 27 2015 13:47:47 GMT+0800 (China Standard Time),,s7w9,focus,
Thu Aug 27 2015 13:47:47 GMT+0800 (China Standard Time),,s7w10,focus,
Thu Aug 27 2015 13:47:48 GMT+0800 (China Standard Time),,s7w11,focus,
Thu Aug 27 2015 13:47:48 GMT+0800 (China Standard Time),,s7w12,focus,
Thu Aug 27 2015 13:47:49 GMT+0800 (China Standard Time),,s7w13,focus,
Thu Aug 27 2015 13:47:49 GMT+0800 (China Standard Time),,s7w14,focus,
Thu Aug 27 2015 13:47:49 GMT+0800 (China Standard Time),,s7w15,focus,
Thu Aug 27 2015 13:47:49 GMT+0800 (China Standard Time),,s7w16,focus,
Thu Aug 27 2015 13:47:50 GMT+0800 (China Standard Time),,s7w17,focus,
Thu Aug 27 2015 13:47:50 GMT+0800 (China Standard Time),,s7w18,focus,
Thu Aug 27 2015 13:47:53 GMT+0800 (China Standard Time),,s7w18,label,"U"
Thu Aug 27 2015 13:47:54 GMT+0800 (China Standard Time),,s8w1,focus,
Thu Aug 27 2015 13:47:54 GMT+0800 (China Standard Time),,s8w2,focus,
Thu Aug 27 2015 13:47:55 GMT+0800 (China Standard Time),,s8w3,focus,
Thu Aug 27 2015 13:47:55 GMT+0800 (China Standard Time),,s8w4,focus,
