Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s34,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s35,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s36,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s37,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s38,twitterId,527703
Fri Aug 28 2015 20:59:26 GMT+0800 (China Standard Time),,s0w1,focus,
Fri Aug 28 2015 20:59:26 GMT+0800 (China Standard Time),,s0w1,focus,
Fri Aug 28 2015 20:59:29 GMT+0800 (China Standard Time),,s0w2,focus,
Fri Aug 28 2015 20:59:30 GMT+0800 (China Standard Time),,s0w3,focus,
Fri Aug 28 2015 20:59:30 GMT+0800 (China Standard Time),,s0w4,focus,
Fri Aug 28 2015 20:59:30 GMT+0800 (China Standard Time),,s0w5,focus,
Fri Aug 28 2015 20:59:30 GMT+0800 (China Standard Time),,s0w6,focus,
Fri Aug 28 2015 20:59:31 GMT+0800 (China Standard Time),,s0w7,focus,
Fri Aug 28 2015 20:59:31 GMT+0800 (China Standard Time),,s0w8,focus,
Fri Aug 28 2015 20:59:31 GMT+0800 (China Standard Time),,s0w9,focus,
Fri Aug 28 2015 20:59:32 GMT+0800 (China Standard Time),,s0w10,focus,
Fri Aug 28 2015 20:59:32 GMT+0800 (China Standard Time),,s0w11,focus,
Fri Aug 28 2015 20:59:33 GMT+0800 (China Standard Time),,s1w1,focus,
Fri Aug 28 2015 20:59:33 GMT+0800 (China Standard Time),,s1w2,focus,
Fri Aug 28 2015 20:59:33 GMT+0800 (China Standard Time),,s1w3,focus,
Fri Aug 28 2015 20:59:34 GMT+0800 (China Standard Time),,s1w4,focus,
Fri Aug 28 2015 20:59:34 GMT+0800 (China Standard Time),,s1w5,focus,
Fri Aug 28 2015 20:59:35 GMT+0800 (China Standard Time),,s1w6,focus,
Fri Aug 28 2015 20:59:35 GMT+0800 (China Standard Time),,s1w7,focus,
Fri Aug 28 2015 20:59:35 GMT+0800 (China Standard Time),,s1w8,focus,
Fri Aug 28 2015 20:59:35 GMT+0800 (China Standard Time),,s1w9,focus,
Fri Aug 28 2015 20:59:36 GMT+0800 (China Standard Time),,s1w10,focus,
Fri Aug 28 2015 20:59:36 GMT+0800 (China Standard Time),,s1w11,focus,
Fri Aug 28 2015 20:59:37 GMT+0800 (China Standard Time),,s1w12,focus,
Fri Aug 28 2015 20:59:38 GMT+0800 (China Standard Time),,s1w13,focus,
Fri Aug 28 2015 20:59:38 GMT+0800 (China Standard Time),,s1w14,focus,
Fri Aug 28 2015 20:59:38 GMT+0800 (China Standard Time),,s1w15,focus,
Fri Aug 28 2015 20:59:39 GMT+0800 (China Standard Time),,s1w15,label,"^"
Fri Aug 28 2015 20:59:40 GMT+0800 (China Standard Time),,s1w16,focus,
Fri Aug 28 2015 20:59:40 GMT+0800 (China Standard Time),,s1w17,focus,
Fri Aug 28 2015 20:59:40 GMT+0800 (China Standard Time),,s1w18,focus,
Fri Aug 28 2015 20:59:41 GMT+0800 (China Standard Time),,s1w19,focus,
Fri Aug 28 2015 20:59:41 GMT+0800 (China Standard Time),,s1w20,focus,
Fri Aug 28 2015 20:59:41 GMT+0800 (China Standard Time),,s1w21,focus,
Fri Aug 28 2015 20:59:42 GMT+0800 (China Standard Time),,s1w22,focus,
Fri Aug 28 2015 20:59:42 GMT+0800 (China Standard Time),,s1w23,focus,
Fri Aug 28 2015 20:59:42 GMT+0800 (China Standard Time),,s1w24,focus,
Fri Aug 28 2015 20:59:42 GMT+0800 (China Standard Time),,s1w25,focus,
Fri Aug 28 2015 20:59:43 GMT+0800 (China Standard Time),,s1w26,focus,
Fri Aug 28 2015 20:59:43 GMT+0800 (China Standard Time),,s1w27,focus,
Fri Aug 28 2015 20:59:43 GMT+0800 (China Standard Time),,s1w28,focus,
Fri Aug 28 2015 20:59:43 GMT+0800 (China Standard Time),,s1w29,focus,
Fri Aug 28 2015 20:59:44 GMT+0800 (China Standard Time),,s1w30,focus,
Fri Aug 28 2015 20:59:44 GMT+0800 (China Standard Time),,s1w31,focus,
Fri Aug 28 2015 20:59:44 GMT+0800 (China Standard Time),,s1w32,focus,
Fri Aug 28 2015 20:59:44 GMT+0800 (China Standard Time),,s1w33,focus,
Fri Aug 28 2015 20:59:45 GMT+0800 (China Standard Time),,s1w34,focus,
Fri Aug 28 2015 20:59:45 GMT+0800 (China Standard Time),,s1w35,focus,
Fri Aug 28 2015 20:59:45 GMT+0800 (China Standard Time),,s1w36,focus,
Fri Aug 28 2015 20:59:46 GMT+0800 (China Standard Time),,s1w37,focus,
Fri Aug 28 2015 20:59:46 GMT+0800 (China Standard Time),,s1w37,label,"^"
Fri Aug 28 2015 20:59:47 GMT+0800 (China Standard Time),,s1w38,focus,
Fri Aug 28 2015 20:59:47 GMT+0800 (China Standard Time),,s1w39,focus,
Fri Aug 28 2015 20:59:48 GMT+0800 (China Standard Time),,s1w40,focus,
Fri Aug 28 2015 20:59:48 GMT+0800 (China Standard Time),,s1w41,focus,
Fri Aug 28 2015 20:59:48 GMT+0800 (China Standard Time),,s1w42,focus,
Fri Aug 28 2015 20:59:48 GMT+0800 (China Standard Time),,s1w43,focus,
Fri Aug 28 2015 20:59:49 GMT+0800 (China Standard Time),,s1w44,focus,
Fri Aug 28 2015 20:59:49 GMT+0800 (China Standard Time),,s1w45,focus,
Fri Aug 28 2015 20:59:49 GMT+0800 (China Standard Time),,s1w46,focus,
Fri Aug 28 2015 20:59:49 GMT+0800 (China Standard Time),,s1w47,focus,
Fri Aug 28 2015 20:59:50 GMT+0800 (China Standard Time),,s1w48,focus,
Fri Aug 28 2015 20:59:50 GMT+0800 (China Standard Time),,s1w49,focus,
Fri Aug 28 2015 20:59:50 GMT+0800 (China Standard Time),,s1w50,focus,
Fri Aug 28 2015 20:59:50 GMT+0800 (China Standard Time),,s1w51,focus,
Fri Aug 28 2015 20:59:51 GMT+0800 (China Standard Time),,s1w52,focus,
Fri Aug 28 2015 20:59:51 GMT+0800 (China Standard Time),,s2w1,focus,
Fri Aug 28 2015 20:59:51 GMT+0800 (China Standard Time),,s2w2,focus,
Fri Aug 28 2015 20:59:51 GMT+0800 (China Standard Time),,s2w3,focus,
Fri Aug 28 2015 20:59:52 GMT+0800 (China Standard Time),,s2w4,focus,
Fri Aug 28 2015 20:59:52 GMT+0800 (China Standard Time),,s2w5,focus,
Fri Aug 28 2015 20:59:52 GMT+0800 (China Standard Time),,s2w6,focus,
Fri Aug 28 2015 20:59:53 GMT+0800 (China Standard Time),,s2w6,label,"^"
Fri Aug 28 2015 20:59:53 GMT+0800 (China Standard Time),,s2w7,focus,
Fri Aug 28 2015 20:59:54 GMT+0800 (China Standard Time),,s3w1,focus,
Fri Aug 28 2015 20:59:54 GMT+0800 (China Standard Time),,s3w2,focus,
Fri Aug 28 2015 20:59:55 GMT+0800 (China Standard Time),,s3w3,focus,
Fri Aug 28 2015 20:59:56 GMT+0800 (China Standard Time),,s3w4,focus,
Fri Aug 28 2015 20:59:56 GMT+0800 (China Standard Time),,s3w5,focus,
Fri Aug 28 2015 20:59:57 GMT+0800 (China Standard Time),,s3w6,focus,
Fri Aug 28 2015 20:59:57 GMT+0800 (China Standard Time),,s3w7,focus,
Fri Aug 28 2015 20:59:58 GMT+0800 (China Standard Time),,s3w8,focus,
Fri Aug 28 2015 20:59:58 GMT+0800 (China Standard Time),,s3w9,focus,
Fri Aug 28 2015 20:59:59 GMT+0800 (China Standard Time),,s3w10,focus,
Fri Aug 28 2015 20:59:59 GMT+0800 (China Standard Time),,s3w11,focus,
Fri Aug 28 2015 20:59:59 GMT+0800 (China Standard Time),,s3w12,focus,
Fri Aug 28 2015 21:00:00 GMT+0800 (China Standard Time),,s3w13,focus,
Fri Aug 28 2015 21:00:00 GMT+0800 (China Standard Time),,s3w14,focus,
Fri Aug 28 2015 21:00:01 GMT+0800 (China Standard Time),,s3w14,label,"^"
Fri Aug 28 2015 21:00:02 GMT+0800 (China Standard Time),,s3w15,focus,
Fri Aug 28 2015 21:00:02 GMT+0800 (China Standard Time),,s3w16,focus,
Fri Aug 28 2015 21:00:02 GMT+0800 (China Standard Time),,s3w17,focus,
Fri Aug 28 2015 21:00:03 GMT+0800 (China Standard Time),,s3w18,focus,
Fri Aug 28 2015 21:00:03 GMT+0800 (China Standard Time),,s3w19,focus,
Fri Aug 28 2015 21:00:04 GMT+0800 (China Standard Time),,s3w20,focus,
Fri Aug 28 2015 21:00:04 GMT+0800 (China Standard Time),,s3w21,focus,
Fri Aug 28 2015 21:00:04 GMT+0800 (China Standard Time),,s3w22,focus,
Fri Aug 28 2015 21:00:09 GMT+0800 (China Standard Time),,s3w23,focus,
Fri Aug 28 2015 21:00:10 GMT+0800 (China Standard Time),,s3w24,focus,
Fri Aug 28 2015 21:00:10 GMT+0800 (China Standard Time),,s3w25,focus,
Fri Aug 28 2015 21:00:12 GMT+0800 (China Standard Time),,s3w25,label,","
Fri Aug 28 2015 21:00:12 GMT+0800 (China Standard Time),,s4w1,focus,
Fri Aug 28 2015 21:00:12 GMT+0800 (China Standard Time),,s4w2,focus,
Fri Aug 28 2015 21:00:13 GMT+0800 (China Standard Time),,s4w3,focus,
Fri Aug 28 2015 21:00:13 GMT+0800 (China Standard Time),,s4w4,focus,
Fri Aug 28 2015 21:00:13 GMT+0800 (China Standard Time),,s4w5,focus,
Fri Aug 28 2015 21:00:13 GMT+0800 (China Standard Time),,s4w6,focus,
Fri Aug 28 2015 21:00:13 GMT+0800 (China Standard Time),,s4w7,focus,
Fri Aug 28 2015 21:00:14 GMT+0800 (China Standard Time),,s4w8,focus,
Fri Aug 28 2015 21:00:14 GMT+0800 (China Standard Time),,s4w9,focus,
Fri Aug 28 2015 21:00:14 GMT+0800 (China Standard Time),,s4w10,focus,
Fri Aug 28 2015 21:00:14 GMT+0800 (China Standard Time),,s4w11,focus,
Fri Aug 28 2015 21:00:15 GMT+0800 (China Standard Time),,s4w12,focus,
Fri Aug 28 2015 21:00:15 GMT+0800 (China Standard Time),,s4w13,focus,
Fri Aug 28 2015 21:00:15 GMT+0800 (China Standard Time),,s4w14,focus,
Fri Aug 28 2015 21:00:15 GMT+0800 (China Standard Time),,s4w15,focus,
Fri Aug 28 2015 21:00:16 GMT+0800 (China Standard Time),,s4w16,focus,
Fri Aug 28 2015 21:00:16 GMT+0800 (China Standard Time),,s5w1,focus,
Fri Aug 28 2015 21:00:18 GMT+0800 (China Standard Time),,s5w2,focus,
Fri Aug 28 2015 21:00:20 GMT+0800 (China Standard Time),,s5w2,label,","
Fri Aug 28 2015 21:00:20 GMT+0800 (China Standard Time),,s5w3,focus,
Fri Aug 28 2015 21:00:22 GMT+0800 (China Standard Time),,s5w3,label,"D"
Fri Aug 28 2015 21:00:23 GMT+0800 (China Standard Time),,s5w4,focus,
Fri Aug 28 2015 21:00:24 GMT+0800 (China Standard Time),,s5w4,label,","
Fri Aug 28 2015 21:00:24 GMT+0800 (China Standard Time),,s5w5,focus,
Fri Aug 28 2015 21:00:25 GMT+0800 (China Standard Time),,s5w5,label,"G"
Fri Aug 28 2015 21:00:28 GMT+0800 (China Standard Time),,s5w6,focus,
Fri Aug 28 2015 21:00:29 GMT+0800 (China Standard Time),,s5w6,label,","
Fri Aug 28 2015 21:00:29 GMT+0800 (China Standard Time),,s5w7,focus,
Fri Aug 28 2015 21:00:30 GMT+0800 (China Standard Time),,s5w8,focus,
Fri Aug 28 2015 21:00:30 GMT+0800 (China Standard Time),,s5w9,focus,
Fri Aug 28 2015 21:00:31 GMT+0800 (China Standard Time),,s5w10,focus,
Fri Aug 28 2015 21:00:31 GMT+0800 (China Standard Time),,s5w11,focus,
Fri Aug 28 2015 21:00:31 GMT+0800 (China Standard Time),,s5w12,focus,
Fri Aug 28 2015 21:00:32 GMT+0800 (China Standard Time),,s5w13,focus,
Fri Aug 28 2015 21:00:32 GMT+0800 (China Standard Time),,s5w14,focus,
Fri Aug 28 2015 21:00:33 GMT+0800 (China Standard Time),,s5w14,label,","
Fri Aug 28 2015 21:00:33 GMT+0800 (China Standard Time),,s5w15,focus,
Fri Aug 28 2015 21:00:33 GMT+0800 (China Standard Time),,s5w16,focus,
Fri Aug 28 2015 21:00:34 GMT+0800 (China Standard Time),,s5w17,focus,
Fri Aug 28 2015 21:00:34 GMT+0800 (China Standard Time),,s5w18,focus,
Fri Aug 28 2015 21:00:34 GMT+0800 (China Standard Time),,s5w19,focus,
Fri Aug 28 2015 21:00:35 GMT+0800 (China Standard Time),,s5w19,label,"^"
Fri Aug 28 2015 21:00:36 GMT+0800 (China Standard Time),,s5w20,focus,
Fri Aug 28 2015 21:00:37 GMT+0800 (China Standard Time),,s5w21,focus,
Fri Aug 28 2015 21:00:37 GMT+0800 (China Standard Time),,s5w22,focus,
Fri Aug 28 2015 21:00:37 GMT+0800 (China Standard Time),,s5w23,focus,
Fri Aug 28 2015 21:00:38 GMT+0800 (China Standard Time),,s5w24,focus,
Fri Aug 28 2015 21:00:38 GMT+0800 (China Standard Time),,s5w25,focus,
Fri Aug 28 2015 21:00:38 GMT+0800 (China Standard Time),,s5w26,focus,
Fri Aug 28 2015 21:00:38 GMT+0800 (China Standard Time),,s6w1,focus,
Fri Aug 28 2015 21:00:39 GMT+0800 (China Standard Time),,s6w2,focus,
Fri Aug 28 2015 21:00:39 GMT+0800 (China Standard Time),,s6w3,focus,
Fri Aug 28 2015 21:00:39 GMT+0800 (China Standard Time),,s6w4,focus,
Fri Aug 28 2015 21:00:39 GMT+0800 (China Standard Time),,s6w5,focus,
Fri Aug 28 2015 21:00:40 GMT+0800 (China Standard Time),,s6w6,focus,
Fri Aug 28 2015 21:00:40 GMT+0800 (China Standard Time),,s6w7,focus,
Fri Aug 28 2015 21:00:41 GMT+0800 (China Standard Time),,s6w7,label,","
Fri Aug 28 2015 21:00:42 GMT+0800 (China Standard Time),,s6w8,focus,
Fri Aug 28 2015 21:00:42 GMT+0800 (China Standard Time),,s6w9,focus,
Fri Aug 28 2015 21:00:42 GMT+0800 (China Standard Time),,s6w10,focus,
Fri Aug 28 2015 21:00:43 GMT+0800 (China Standard Time),,s6w11,focus,
Fri Aug 28 2015 21:00:43 GMT+0800 (China Standard Time),,s6w12,focus,
Fri Aug 28 2015 21:00:43 GMT+0800 (China Standard Time),,s6w13,focus,
Fri Aug 28 2015 21:00:43 GMT+0800 (China Standard Time),,s6w14,focus,
Fri Aug 28 2015 21:00:44 GMT+0800 (China Standard Time),,s6w15,focus,
Fri Aug 28 2015 21:00:44 GMT+0800 (China Standard Time),,s6w16,focus,
Fri Aug 28 2015 21:00:44 GMT+0800 (China Standard Time),,s6w17,focus,
Fri Aug 28 2015 21:00:44 GMT+0800 (China Standard Time),,s6w18,focus,
Fri Aug 28 2015 21:00:45 GMT+0800 (China Standard Time),,s6w19,focus,
Fri Aug 28 2015 21:00:45 GMT+0800 (China Standard Time),,s6w20,focus,
Fri Aug 28 2015 21:00:45 GMT+0800 (China Standard Time),,s6w21,focus,
Fri Aug 28 2015 21:00:45 GMT+0800 (China Standard Time),,s6w22,focus,
Fri Aug 28 2015 21:00:47 GMT+0800 (China Standard Time),,s6w23,focus,
Fri Aug 28 2015 21:00:47 GMT+0800 (China Standard Time),,s6w23,label,","
Fri Aug 28 2015 21:00:48 GMT+0800 (China Standard Time),,s6w24,focus,
Fri Aug 28 2015 21:00:49 GMT+0800 (China Standard Time),,s6w24,label,"U"
Fri Aug 28 2015 21:00:49 GMT+0800 (China Standard Time),,s6w25,focus,
Fri Aug 28 2015 21:00:51 GMT+0800 (China Standard Time),,s6w25,label,","
Fri Aug 28 2015 21:00:51 GMT+0800 (China Standard Time),,s6w26,focus,
Fri Aug 28 2015 21:00:52 GMT+0800 (China Standard Time),,s6w27,focus,
Fri Aug 28 2015 21:00:53 GMT+0800 (China Standard Time),,s6w27,label,","
Fri Aug 28 2015 21:00:53 GMT+0800 (China Standard Time),,s6w28,focus,
Fri Aug 28 2015 21:00:54 GMT+0800 (China Standard Time),,s6w29,focus,
Fri Aug 28 2015 21:00:54 GMT+0800 (China Standard Time),,s6w29,label,","
Fri Aug 28 2015 21:00:55 GMT+0800 (China Standard Time),,s6w30,focus,
Fri Aug 28 2015 21:00:55 GMT+0800 (China Standard Time),,s6w30,label,","
Fri Aug 28 2015 21:00:55 GMT+0800 (China Standard Time),,s6w31,focus,
Fri Aug 28 2015 21:00:56 GMT+0800 (China Standard Time),,s6w32,focus,
Fri Aug 28 2015 21:00:56 GMT+0800 (China Standard Time),,s6w33,focus,
Fri Aug 28 2015 21:00:57 GMT+0800 (China Standard Time),,s6w34,focus,
Fri Aug 28 2015 21:00:57 GMT+0800 (China Standard Time),,s6w35,focus,
Fri Aug 28 2015 21:00:59 GMT+0800 (China Standard Time),,s6w36,focus,
Fri Aug 28 2015 21:00:59 GMT+0800 (China Standard Time),,s6w37,focus,
Fri Aug 28 2015 21:01:02 GMT+0800 (China Standard Time),,s7w1,focus,
Fri Aug 28 2015 21:01:02 GMT+0800 (China Standard Time),,s7w2,focus,
Fri Aug 28 2015 21:01:03 GMT+0800 (China Standard Time),,s7w3,focus,
Fri Aug 28 2015 21:01:03 GMT+0800 (China Standard Time),,s7w4,focus,
Fri Aug 28 2015 21:01:03 GMT+0800 (China Standard Time),,s7w5,focus,
Fri Aug 28 2015 21:01:03 GMT+0800 (China Standard Time),,s7w6,focus,
Fri Aug 28 2015 21:01:04 GMT+0800 (China Standard Time),,s7w7,focus,
Fri Aug 28 2015 21:01:04 GMT+0800 (China Standard Time),,s7w8,focus,
Fri Aug 28 2015 21:01:05 GMT+0800 (China Standard Time),,s7w9,focus,
Fri Aug 28 2015 21:01:06 GMT+0800 (China Standard Time),,s7w10,focus,
Fri Aug 28 2015 21:01:06 GMT+0800 (China Standard Time),,s7w11,focus,
Fri Aug 28 2015 21:01:07 GMT+0800 (China Standard Time),,s7w12,focus,
Fri Aug 28 2015 21:01:07 GMT+0800 (China Standard Time),,s7w13,focus,
Fri Aug 28 2015 21:01:07 GMT+0800 (China Standard Time),,s7w14,focus,
Fri Aug 28 2015 21:01:07 GMT+0800 (China Standard Time),,s7w15,focus,
Fri Aug 28 2015 21:01:08 GMT+0800 (China Standard Time),,s7w16,focus,
Fri Aug 28 2015 21:01:08 GMT+0800 (China Standard Time),,s7w17,focus,
Fri Aug 28 2015 21:01:08 GMT+0800 (China Standard Time),,s7w18,focus,
Fri Aug 28 2015 21:01:08 GMT+0800 (China Standard Time),,s7w19,focus,
Fri Aug 28 2015 21:01:08 GMT+0800 (China Standard Time),,s7w20,focus,
Fri Aug 28 2015 21:01:09 GMT+0800 (China Standard Time),,s7w21,focus,
Fri Aug 28 2015 21:01:09 GMT+0800 (China Standard Time),,s7w22,focus,
Fri Aug 28 2015 21:01:09 GMT+0800 (China Standard Time),,s7w23,focus,
Fri Aug 28 2015 21:01:09 GMT+0800 (China Standard Time),,s7w24,focus,
Fri Aug 28 2015 21:01:10 GMT+0800 (China Standard Time),,s7w25,focus,
Fri Aug 28 2015 21:01:10 GMT+0800 (China Standard Time),,s7w26,focus,
Fri Aug 28 2015 21:01:10 GMT+0800 (China Standard Time),,s7w27,focus,
Fri Aug 28 2015 21:01:10 GMT+0800 (China Standard Time),,s7w28,focus,
Fri Aug 28 2015 21:01:11 GMT+0800 (China Standard Time),,s7w29,focus,
Fri Aug 28 2015 21:01:11 GMT+0800 (China Standard Time),,s7w30,focus,
Fri Aug 28 2015 21:01:11 GMT+0800 (China Standard Time),,s7w31,focus,
Fri Aug 28 2015 21:01:11 GMT+0800 (China Standard Time),,s7w32,focus,
Fri Aug 28 2015 21:01:12 GMT+0800 (China Standard Time),,s7w33,focus,
Fri Aug 28 2015 21:01:12 GMT+0800 (China Standard Time),,s7w34,focus,
Fri Aug 28 2015 21:01:12 GMT+0800 (China Standard Time),,s7w35,focus,
Fri Aug 28 2015 21:01:12 GMT+0800 (China Standard Time),,s7w36,focus,
Fri Aug 28 2015 21:01:13 GMT+0800 (China Standard Time),,s7w37,focus,
Fri Aug 28 2015 21:01:13 GMT+0800 (China Standard Time),,s7w38,focus,
Fri Aug 28 2015 21:01:13 GMT+0800 (China Standard Time),,s7w39,focus,
Fri Aug 28 2015 21:01:13 GMT+0800 (China Standard Time),,s7w40,focus,
Fri Aug 28 2015 21:01:14 GMT+0800 (China Standard Time),,s7w41,focus,
Fri Aug 28 2015 21:01:14 GMT+0800 (China Standard Time),,s7w42,focus,
Fri Aug 28 2015 21:01:14 GMT+0800 (China Standard Time),,s7w43,focus,
Fri Aug 28 2015 21:01:15 GMT+0800 (China Standard Time),,s7w44,focus,
Fri Aug 28 2015 21:01:15 GMT+0800 (China Standard Time),,s7w45,focus,
Fri Aug 28 2015 21:01:16 GMT+0800 (China Standard Time),,s7w46,focus,
Fri Aug 28 2015 21:01:16 GMT+0800 (China Standard Time),,s7w47,focus,
Fri Aug 28 2015 21:01:16 GMT+0800 (China Standard Time),,s7w48,focus,
Fri Aug 28 2015 21:01:17 GMT+0800 (China Standard Time),,s7w49,focus,
Fri Aug 28 2015 21:01:17 GMT+0800 (China Standard Time),,s7w50,focus,
Fri Aug 28 2015 21:01:17 GMT+0800 (China Standard Time),,s7w51,focus,
Fri Aug 28 2015 21:01:18 GMT+0800 (China Standard Time),,s7w52,focus,
Fri Aug 28 2015 21:01:19 GMT+0800 (China Standard Time),,s7w53,focus,
Fri Aug 28 2015 21:01:19 GMT+0800 (China Standard Time),,s7w54,focus,
Fri Aug 28 2015 21:01:19 GMT+0800 (China Standard Time),,s7w55,focus,
Fri Aug 28 2015 21:01:20 GMT+0800 (China Standard Time),,s7w56,focus,
Fri Aug 28 2015 21:01:20 GMT+0800 (China Standard Time),,s7w57,focus,
Fri Aug 28 2015 21:01:20 GMT+0800 (China Standard Time),,s7w58,focus,
Fri Aug 28 2015 21:01:21 GMT+0800 (China Standard Time),,s7w59,focus,
Fri Aug 28 2015 21:01:21 GMT+0800 (China Standard Time),,s7w60,focus,
Fri Aug 28 2015 21:01:21 GMT+0800 (China Standard Time),,s7w61,focus,
Fri Aug 28 2015 21:01:22 GMT+0800 (China Standard Time),,s7w62,focus,
Fri Aug 28 2015 21:01:22 GMT+0800 (China Standard Time),,s7w63,focus,
Fri Aug 28 2015 21:01:22 GMT+0800 (China Standard Time),,s7w64,focus,
Fri Aug 28 2015 21:01:22 GMT+0800 (China Standard Time),,s7w65,focus,
Fri Aug 28 2015 21:01:23 GMT+0800 (China Standard Time),,s7w66,focus,
Fri Aug 28 2015 21:01:24 GMT+0800 (China Standard Time),,s7w66,label,"D"
Fri Aug 28 2015 21:01:24 GMT+0800 (China Standard Time),,s7w67,focus,
Fri Aug 28 2015 21:01:25 GMT+0800 (China Standard Time),,s7w68,focus,
Fri Aug 28 2015 21:01:25 GMT+0800 (China Standard Time),,s7w69,focus,
Fri Aug 28 2015 21:01:27 GMT+0800 (China Standard Time),,s7w70,focus,
Fri Aug 28 2015 21:01:27 GMT+0800 (China Standard Time),,s7w71,focus,
Fri Aug 28 2015 21:01:28 GMT+0800 (China Standard Time),,s7w72,focus,
Fri Aug 28 2015 21:01:28 GMT+0800 (China Standard Time),,s7w73,focus,
Fri Aug 28 2015 21:01:28 GMT+0800 (China Standard Time),,s7w74,focus,
Fri Aug 28 2015 21:01:29 GMT+0800 (China Standard Time),,s7w75,focus,
Fri Aug 28 2015 21:01:29 GMT+0800 (China Standard Time),,s7w76,focus,
Fri Aug 28 2015 21:01:29 GMT+0800 (China Standard Time),,s7w77,focus,
Fri Aug 28 2015 21:01:30 GMT+0800 (China Standard Time),,s7w78,focus,
Fri Aug 28 2015 21:01:30 GMT+0800 (China Standard Time),,s7w79,focus,
Fri Aug 28 2015 21:01:30 GMT+0800 (China Standard Time),,s7w80,focus,
Fri Aug 28 2015 21:01:31 GMT+0800 (China Standard Time),,s7w81,focus,
Fri Aug 28 2015 21:01:31 GMT+0800 (China Standard Time),,s7w82,focus,
Fri Aug 28 2015 21:01:31 GMT+0800 (China Standard Time),,s7w83,focus,
Fri Aug 28 2015 21:01:32 GMT+0800 (China Standard Time),,s7w84,focus,
Fri Aug 28 2015 21:01:32 GMT+0800 (China Standard Time),,s7w85,focus,
Fri Aug 28 2015 21:01:32 GMT+0800 (China Standard Time),,s7w86,focus,
Fri Aug 28 2015 21:01:32 GMT+0800 (China Standard Time),,s7w87,focus,
