Thu Aug 27 2015 13:38:31 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Thu Aug 27 2015 13:39:04 GMT+0800 (China Standard Time),,s1w17,focus,
Thu Aug 27 2015 13:39:04 GMT+0800 (China Standard Time),,s1w18,focus,
Thu Aug 27 2015 13:39:04 GMT+0800 (China Standard Time),,s1w19,focus,
Thu Aug 27 2015 13:39:05 GMT+0800 (China Standard Time),,s1w20,focus,
Thu Aug 27 2015 13:39:07 GMT+0800 (China Standard Time),,s1w19,focus,
Thu Aug 27 2015 13:39:07 GMT+0800 (China Standard Time),,s1w19,focus,
Thu Aug 27 2015 13:39:08 GMT+0800 (China Standard Time),,s1w19,label,"N"
Thu Aug 27 2015 13:39:08 GMT+0800 (China Standard Time),,s1w20,focus,
Thu Aug 27 2015 13:39:08 GMT+0800 (China Standard Time),,s1w21,focus,
Thu Aug 27 2015 13:39:09 GMT+0800 (China Standard Time),,s1w22,focus,
Thu Aug 27 2015 13:39:09 GMT+0800 (China Standard Time),,s1w23,focus,
Thu Aug 27 2015 13:39:10 GMT+0800 (China Standard Time),,s1w24,focus,
Thu Aug 27 2015 13:39:10 GMT+0800 (China Standard Time),,s1w25,focus,
Thu Aug 27 2015 13:39:11 GMT+0800 (China Standard Time),,s1w26,focus,
Thu Aug 27 2015 13:39:11 GMT+0800 (China Standard Time),,s1w27,focus,
Thu Aug 27 2015 13:39:11 GMT+0800 (China Standard Time),,s1w28,focus,
Thu Aug 27 2015 13:39:12 GMT+0800 (China Standard Time),,s1w29,focus,
Thu Aug 27 2015 13:39:12 GMT+0800 (China Standard Time),,s1w30,focus,
Thu Aug 27 2015 13:39:12 GMT+0800 (China Standard Time),,s1w31,focus,
Thu Aug 27 2015 13:39:13 GMT+0800 (China Standard Time),,s1w31,label,"^"
Thu Aug 27 2015 13:39:14 GMT+0800 (China Standard Time),,s1w32,focus,
Thu Aug 27 2015 13:39:14 GMT+0800 (China Standard Time),,s1w33,focus,
Thu Aug 27 2015 13:39:14 GMT+0800 (China Standard Time),,s1w34,focus,
Thu Aug 27 2015 13:39:15 GMT+0800 (China Standard Time),,s1w35,focus,
Thu Aug 27 2015 13:39:15 GMT+0800 (China Standard Time),,s1w36,focus,
Thu Aug 27 2015 13:39:15 GMT+0800 (China Standard Time),,s1w37,focus,
Thu Aug 27 2015 13:39:15 GMT+0800 (China Standard Time),,s1w38,focus,
Thu Aug 27 2015 13:39:16 GMT+0800 (China Standard Time),,s1w39,focus,
Thu Aug 27 2015 13:39:16 GMT+0800 (China Standard Time),,s1w40,focus,
Thu Aug 27 2015 13:39:16 GMT+0800 (China Standard Time),,s1w41,focus,
Thu Aug 27 2015 13:39:17 GMT+0800 (China Standard Time),,s1w42,focus,
Thu Aug 27 2015 13:39:17 GMT+0800 (China Standard Time),,s1w43,focus,
Thu Aug 27 2015 13:39:17 GMT+0800 (China Standard Time),,s1w44,focus,
Thu Aug 27 2015 13:39:17 GMT+0800 (China Standard Time),,s1w45,focus,
Thu Aug 27 2015 13:39:18 GMT+0800 (China Standard Time),,s1w46,focus,
Thu Aug 27 2015 13:39:18 GMT+0800 (China Standard Time),,s1w47,focus,
Thu Aug 27 2015 13:39:18 GMT+0800 (China Standard Time),,s1w48,focus,
Thu Aug 27 2015 13:39:18 GMT+0800 (China Standard Time),,s1w49,focus,
Thu Aug 27 2015 13:39:19 GMT+0800 (China Standard Time),,s1w50,focus,
Thu Aug 27 2015 13:39:19 GMT+0800 (China Standard Time),,s1w51,focus,
Thu Aug 27 2015 13:39:20 GMT+0800 (China Standard Time),,s1w52,focus,
Thu Aug 27 2015 13:39:20 GMT+0800 (China Standard Time),,s1w52,label,"^"
Thu Aug 27 2015 13:39:21 GMT+0800 (China Standard Time),,s1w53,focus,
Thu Aug 27 2015 13:39:21 GMT+0800 (China Standard Time),,s1w54,focus,
Thu Aug 27 2015 13:39:21 GMT+0800 (China Standard Time),,s1w55,focus,
Thu Aug 27 2015 13:39:22 GMT+0800 (China Standard Time),,s1w56,focus,
Thu Aug 27 2015 13:39:22 GMT+0800 (China Standard Time),,s1w57,focus,
Thu Aug 27 2015 13:39:22 GMT+0800 (China Standard Time),,s1w58,focus,
Thu Aug 27 2015 13:39:22 GMT+0800 (China Standard Time),,s1w59,focus,
Thu Aug 27 2015 13:39:23 GMT+0800 (China Standard Time),,s1w60,focus,
Thu Aug 27 2015 13:39:24 GMT+0800 (China Standard Time),,s1w60,label,"^"
Thu Aug 27 2015 13:39:24 GMT+0800 (China Standard Time),,s1w61,focus,
Thu Aug 27 2015 13:39:24 GMT+0800 (China Standard Time),,s1w62,focus,
Thu Aug 27 2015 13:39:25 GMT+0800 (China Standard Time),,s1w63,focus,
Thu Aug 27 2015 13:39:25 GMT+0800 (China Standard Time),,s1w64,focus,
Thu Aug 27 2015 13:39:27 GMT+0800 (China Standard Time),,s1w63,focus,
Thu Aug 27 2015 13:39:27 GMT+0800 (China Standard Time),,s1w63,focus,
Thu Aug 27 2015 13:39:28 GMT+0800 (China Standard Time),,s1w63,label,"^"
Thu Aug 27 2015 13:39:28 GMT+0800 (China Standard Time),,s1w64,focus,
Thu Aug 27 2015 13:39:29 GMT+0800 (China Standard Time),,s1w65,focus,
Thu Aug 27 2015 13:39:29 GMT+0800 (China Standard Time),,s1w66,focus,
Thu Aug 27 2015 13:39:30 GMT+0800 (China Standard Time),,s1w67,focus,
Thu Aug 27 2015 13:39:31 GMT+0800 (China Standard Time),,s1w67,label,"^"
Thu Aug 27 2015 13:39:31 GMT+0800 (China Standard Time),,s1w68,focus,
Thu Aug 27 2015 13:39:31 GMT+0800 (China Standard Time),,s1w69,focus,
Thu Aug 27 2015 13:39:32 GMT+0800 (China Standard Time),,s1w70,focus,
Thu Aug 27 2015 13:39:32 GMT+0800 (China Standard Time),,s1w71,focus,
Thu Aug 27 2015 13:39:33 GMT+0800 (China Standard Time),,s1w72,focus,
Thu Aug 27 2015 13:39:33 GMT+0800 (China Standard Time),,s1w73,focus,
Thu Aug 27 2015 13:39:33 GMT+0800 (China Standard Time),,s1w74,focus,
Thu Aug 27 2015 13:39:34 GMT+0800 (China Standard Time),,s1w75,focus,
Thu Aug 27 2015 13:39:34 GMT+0800 (China Standard Time),,s1w76,focus,
Thu Aug 27 2015 13:39:35 GMT+0800 (China Standard Time),,s1w77,focus,
Thu Aug 27 2015 13:39:35 GMT+0800 (China Standard Time),,s1w78,focus,
Thu Aug 27 2015 13:39:35 GMT+0800 (China Standard Time),,s1w79,focus,
Thu Aug 27 2015 13:39:36 GMT+0800 (China Standard Time),,s1w80,focus,
Thu Aug 27 2015 13:39:36 GMT+0800 (China Standard Time),,s1w81,focus,
Thu Aug 27 2015 13:39:36 GMT+0800 (China Standard Time),,s1w82,focus,
Thu Aug 27 2015 13:39:36 GMT+0800 (China Standard Time),,s1w83,focus,
Thu Aug 27 2015 13:39:37 GMT+0800 (China Standard Time),,s1w84,focus,
Thu Aug 27 2015 13:39:37 GMT+0800 (China Standard Time),,s1w85,focus,
Thu Aug 27 2015 13:39:38 GMT+0800 (China Standard Time),,s1w85,label,"^"
Thu Aug 27 2015 13:39:40 GMT+0800 (China Standard Time),,s1w86,focus,
Thu Aug 27 2015 13:39:40 GMT+0800 (China Standard Time),,s1w87,focus,
Thu Aug 27 2015 13:39:40 GMT+0800 (China Standard Time),,s1w88,focus,
Thu Aug 27 2015 13:39:41 GMT+0800 (China Standard Time),,s1w89,focus,
Thu Aug 27 2015 13:39:41 GMT+0800 (China Standard Time),,s1w90,focus,
Thu Aug 27 2015 13:39:42 GMT+0800 (China Standard Time),,s1w90,label,"^"
Thu Aug 27 2015 13:39:42 GMT+0800 (China Standard Time),,s1w91,focus,
Thu Aug 27 2015 13:39:43 GMT+0800 (China Standard Time),,s1w92,focus,
Thu Aug 27 2015 13:39:43 GMT+0800 (China Standard Time),,s1w93,focus,
Thu Aug 27 2015 13:39:44 GMT+0800 (China Standard Time),,s1w94,focus,
Thu Aug 27 2015 13:39:45 GMT+0800 (China Standard Time),,s1w94,label,"^"
Thu Aug 27 2015 13:39:45 GMT+0800 (China Standard Time),,s1w95,focus,
Thu Aug 27 2015 13:39:46 GMT+0800 (China Standard Time),,s1w96,focus,
Thu Aug 27 2015 13:39:47 GMT+0800 (China Standard Time),,s1w97,focus,
Thu Aug 27 2015 13:39:48 GMT+0800 (China Standard Time),,s1w97,label,"^"
Thu Aug 27 2015 13:39:48 GMT+0800 (China Standard Time),,s1w98,focus,
Thu Aug 27 2015 13:39:49 GMT+0800 (China Standard Time),,s1w99,focus,
Thu Aug 27 2015 13:39:50 GMT+0800 (China Standard Time),,s1w98,focus,
Thu Aug 27 2015 13:39:51 GMT+0800 (China Standard Time),,s1w98,focus,
Thu Aug 27 2015 13:39:51 GMT+0800 (China Standard Time),,s1w98,label,"N"
Thu Aug 27 2015 13:39:52 GMT+0800 (China Standard Time),,s1w99,focus,
Thu Aug 27 2015 13:39:52 GMT+0800 (China Standard Time),,s1w100,focus,
Thu Aug 27 2015 13:39:52 GMT+0800 (China Standard Time),,s1w101,focus,
Thu Aug 27 2015 13:39:53 GMT+0800 (China Standard Time),,s1w102,focus,
Thu Aug 27 2015 13:39:53 GMT+0800 (China Standard Time),,s1w103,focus,
Thu Aug 27 2015 13:39:53 GMT+0800 (China Standard Time),,s1w104,focus,
Thu Aug 27 2015 13:39:54 GMT+0800 (China Standard Time),,s1w105,focus,
Thu Aug 27 2015 13:39:54 GMT+0800 (China Standard Time),,s1w106,focus,
Thu Aug 27 2015 13:39:54 GMT+0800 (China Standard Time),,s1w107,focus,
Thu Aug 27 2015 13:39:55 GMT+0800 (China Standard Time),,s1w107,label,"^"
Thu Aug 27 2015 13:39:55 GMT+0800 (China Standard Time),,s1w108,focus,
Thu Aug 27 2015 13:39:56 GMT+0800 (China Standard Time),,s1w109,focus,
Thu Aug 27 2015 13:39:56 GMT+0800 (China Standard Time),,s1w110,focus,
Thu Aug 27 2015 13:39:56 GMT+0800 (China Standard Time),,s1w111,focus,
Thu Aug 27 2015 13:39:57 GMT+0800 (China Standard Time),,s1w112,focus,
Thu Aug 27 2015 13:39:57 GMT+0800 (China Standard Time),,s1w113,focus,
Thu Aug 27 2015 13:39:57 GMT+0800 (China Standard Time),,s1w114,focus,
Thu Aug 27 2015 13:39:57 GMT+0800 (China Standard Time),,s1w115,focus,
Thu Aug 27 2015 13:39:58 GMT+0800 (China Standard Time),,s1w116,focus,
Thu Aug 27 2015 13:39:58 GMT+0800 (China Standard Time),,s1w117,focus,
Thu Aug 27 2015 13:39:58 GMT+0800 (China Standard Time),,s1w118,focus,
Thu Aug 27 2015 13:39:58 GMT+0800 (China Standard Time),,s1w119,focus,
Thu Aug 27 2015 13:39:59 GMT+0800 (China Standard Time),,s1w120,focus,
Thu Aug 27 2015 13:39:59 GMT+0800 (China Standard Time),,s1w121,focus,
Thu Aug 27 2015 13:39:59 GMT+0800 (China Standard Time),,s1w122,focus,
Thu Aug 27 2015 13:39:59 GMT+0800 (China Standard Time),,s1w123,focus,
Thu Aug 27 2015 13:40:00 GMT+0800 (China Standard Time),,s1w124,focus,
Thu Aug 27 2015 13:40:00 GMT+0800 (China Standard Time),,s1w125,focus,
Thu Aug 27 2015 13:40:00 GMT+0800 (China Standard Time),,s1w126,focus,
Thu Aug 27 2015 13:40:01 GMT+0800 (China Standard Time),,s1w127,focus,
Thu Aug 27 2015 13:40:02 GMT+0800 (China Standard Time),,s1w128,focus,
Thu Aug 27 2015 13:40:02 GMT+0800 (China Standard Time),,s1w129,focus,
Thu Aug 27 2015 13:40:02 GMT+0800 (China Standard Time),,s1w130,focus,
Thu Aug 27 2015 13:40:02 GMT+0800 (China Standard Time),,s1w131,focus,
Thu Aug 27 2015 13:40:03 GMT+0800 (China Standard Time),,s1w132,focus,
Thu Aug 27 2015 13:40:03 GMT+0800 (China Standard Time),,s1w133,focus,
Thu Aug 27 2015 13:40:03 GMT+0800 (China Standard Time),,s1w134,focus,
Thu Aug 27 2015 13:40:05 GMT+0800 (China Standard Time),,s2w1,focus,
Thu Aug 27 2015 13:40:06 GMT+0800 (China Standard Time),,s2w2,focus,
Thu Aug 27 2015 13:40:06 GMT+0800 (China Standard Time),,s2w3,focus,
Thu Aug 27 2015 13:40:06 GMT+0800 (China Standard Time),,s2w4,focus,
Thu Aug 27 2015 13:40:07 GMT+0800 (China Standard Time),,s2w5,focus,
Thu Aug 27 2015 13:40:07 GMT+0800 (China Standard Time),,s2w6,focus,
Thu Aug 27 2015 13:40:07 GMT+0800 (China Standard Time),,s2w7,focus,
Thu Aug 27 2015 13:40:07 GMT+0800 (China Standard Time),,s2w8,focus,
Thu Aug 27 2015 13:40:08 GMT+0800 (China Standard Time),,s2w9,focus,
Thu Aug 27 2015 13:40:08 GMT+0800 (China Standard Time),,s2w10,focus,
Thu Aug 27 2015 13:40:08 GMT+0800 (China Standard Time),,s2w11,focus,
Thu Aug 27 2015 13:40:08 GMT+0800 (China Standard Time),,s2w12,focus,
Thu Aug 27 2015 13:40:09 GMT+0800 (China Standard Time),,s2w13,focus,
Thu Aug 27 2015 13:40:09 GMT+0800 (China Standard Time),,s2w14,focus,
Thu Aug 27 2015 13:40:09 GMT+0800 (China Standard Time),,s2w15,focus,
Thu Aug 27 2015 13:40:09 GMT+0800 (China Standard Time),,s2w16,focus,
Thu Aug 27 2015 13:40:09 GMT+0800 (China Standard Time),,s2w17,focus,
Thu Aug 27 2015 13:40:10 GMT+0800 (China Standard Time),,s2w18,focus,
Thu Aug 27 2015 13:40:10 GMT+0800 (China Standard Time),,s2w19,focus,
Thu Aug 27 2015 13:40:10 GMT+0800 (China Standard Time),,s2w20,focus,
Thu Aug 27 2015 13:40:10 GMT+0800 (China Standard Time),,s2w21,focus,
Thu Aug 27 2015 13:40:10 GMT+0800 (China Standard Time),,s2w22,focus,
Thu Aug 27 2015 13:40:11 GMT+0800 (China Standard Time),,s2w23,focus,
Thu Aug 27 2015 13:40:11 GMT+0800 (China Standard Time),,s2w24,focus,
Thu Aug 27 2015 13:40:11 GMT+0800 (China Standard Time),,s2w25,focus,
Thu Aug 27 2015 13:40:11 GMT+0800 (China Standard Time),,s2w26,focus,
Thu Aug 27 2015 13:40:11 GMT+0800 (China Standard Time),,s2w27,focus,
Thu Aug 27 2015 13:40:12 GMT+0800 (China Standard Time),,s2w27,label,"^"
Thu Aug 27 2015 13:40:12 GMT+0800 (China Standard Time),,s2w28,focus,
Thu Aug 27 2015 13:40:13 GMT+0800 (China Standard Time),,s2w29,focus,
Thu Aug 27 2015 13:40:13 GMT+0800 (China Standard Time),,s2w30,focus,
Thu Aug 27 2015 13:40:14 GMT+0800 (China Standard Time),,s2w31,focus,
Thu Aug 27 2015 13:40:14 GMT+0800 (China Standard Time),,s2w32,focus,
Thu Aug 27 2015 13:40:14 GMT+0800 (China Standard Time),,s2w33,focus,
Thu Aug 27 2015 13:40:14 GMT+0800 (China Standard Time),,s2w34,focus,
Thu Aug 27 2015 13:40:15 GMT+0800 (China Standard Time),,s2w35,focus,
Thu Aug 27 2015 13:40:15 GMT+0800 (China Standard Time),,s2w36,focus,
Thu Aug 27 2015 13:40:15 GMT+0800 (China Standard Time),,s2w37,focus,
Thu Aug 27 2015 13:40:16 GMT+0800 (China Standard Time),,s2w38,focus,
Thu Aug 27 2015 13:40:16 GMT+0800 (China Standard Time),,s2w39,focus,
Thu Aug 27 2015 13:40:17 GMT+0800 (China Standard Time),,s2w40,focus,
Thu Aug 27 2015 13:40:18 GMT+0800 (China Standard Time),,s2w41,focus,
Thu Aug 27 2015 13:40:18 GMT+0800 (China Standard Time),,s2w42,focus,
Thu Aug 27 2015 13:40:18 GMT+0800 (China Standard Time),,s2w43,focus,
Thu Aug 27 2015 13:40:19 GMT+0800 (China Standard Time),,s2w44,focus,
Thu Aug 27 2015 13:40:19 GMT+0800 (China Standard Time),,s2w45,focus,
Thu Aug 27 2015 13:40:19 GMT+0800 (China Standard Time),,s2w46,focus,
Thu Aug 27 2015 13:40:20 GMT+0800 (China Standard Time),,s2w47,focus,
Thu Aug 27 2015 13:40:20 GMT+0800 (China Standard Time),,s2w48,focus,
Thu Aug 27 2015 13:40:24 GMT+0800 (China Standard Time),,s2w49,focus,
Thu Aug 27 2015 13:40:25 GMT+0800 (China Standard Time),,s2w49,label,","
Thu Aug 27 2015 13:40:25 GMT+0800 (China Standard Time),,s2w50,focus,
Thu Aug 27 2015 13:40:28 GMT+0800 (China Standard Time),,s2w50,label,"G"
Thu Aug 27 2015 13:40:28 GMT+0800 (China Standard Time),,s2w51,focus,
Thu Aug 27 2015 13:40:29 GMT+0800 (China Standard Time),,s2w51,label,","
Thu Aug 27 2015 13:40:29 GMT+0800 (China Standard Time),,s2w52,focus,
Thu Aug 27 2015 13:40:31 GMT+0800 (China Standard Time),,s2w53,focus,
Thu Aug 27 2015 13:40:31 GMT+0800 (China Standard Time),,s2w54,focus,
Thu Aug 27 2015 13:40:32 GMT+0800 (China Standard Time),,s2w54,label,"^"
Thu Aug 27 2015 13:40:32 GMT+0800 (China Standard Time),,s2w55,focus,
Thu Aug 27 2015 13:40:33 GMT+0800 (China Standard Time),,s2w56,focus,
Thu Aug 27 2015 13:40:34 GMT+0800 (China Standard Time),,s2w57,focus,
Thu Aug 27 2015 13:40:34 GMT+0800 (China Standard Time),,s2w58,focus,
Thu Aug 27 2015 13:40:35 GMT+0800 (China Standard Time),,s2w59,focus,
Thu Aug 27 2015 13:40:35 GMT+0800 (China Standard Time),,s2w60,focus,
Thu Aug 27 2015 13:40:35 GMT+0800 (China Standard Time),,s2w61,focus,
Thu Aug 27 2015 13:40:36 GMT+0800 (China Standard Time),,s2w62,focus,
Thu Aug 27 2015 13:40:36 GMT+0800 (China Standard Time),,s2w63,focus,
Thu Aug 27 2015 13:40:36 GMT+0800 (China Standard Time),,s2w64,focus,
Thu Aug 27 2015 13:40:36 GMT+0800 (China Standard Time),,s2w65,focus,
Thu Aug 27 2015 13:40:37 GMT+0800 (China Standard Time),,s2w66,focus,
Thu Aug 27 2015 13:40:37 GMT+0800 (China Standard Time),,s2w67,focus,
Thu Aug 27 2015 13:40:37 GMT+0800 (China Standard Time),,s2w68,focus,
Thu Aug 27 2015 13:40:37 GMT+0800 (China Standard Time),,s2w69,focus,
Thu Aug 27 2015 13:40:37 GMT+0800 (China Standard Time),,s2w70,focus,
Thu Aug 27 2015 13:40:38 GMT+0800 (China Standard Time),,s2w71,focus,
Thu Aug 27 2015 13:40:38 GMT+0800 (China Standard Time),,s2w72,focus,
Thu Aug 27 2015 13:40:38 GMT+0800 (China Standard Time),,s2w73,focus,
Thu Aug 27 2015 13:40:40 GMT+0800 (China Standard Time),,s2w74,focus,
Thu Aug 27 2015 13:40:41 GMT+0800 (China Standard Time),,s2w74,label,","
Thu Aug 27 2015 13:40:41 GMT+0800 (China Standard Time),,s2w75,focus,
Thu Aug 27 2015 13:40:42 GMT+0800 (China Standard Time),,s2w75,label,"G"
Thu Aug 27 2015 13:40:43 GMT+0800 (China Standard Time),,s2w76,focus,
Thu Aug 27 2015 13:40:45 GMT+0800 (China Standard Time),,s2w76,label,","
Thu Aug 27 2015 13:40:45 GMT+0800 (China Standard Time),,s2w77,focus,
Thu Aug 27 2015 13:40:49 GMT+0800 (China Standard Time),,s2w77,label,"G"
Thu Aug 27 2015 13:40:50 GMT+0800 (China Standard Time),,s2w78,focus,
Thu Aug 27 2015 13:40:51 GMT+0800 (China Standard Time),,s2w79,focus,
Thu Aug 27 2015 13:40:51 GMT+0800 (China Standard Time),,s2w80,focus,
Thu Aug 27 2015 13:40:51 GMT+0800 (China Standard Time),,s2w81,focus,
Thu Aug 27 2015 13:40:52 GMT+0800 (China Standard Time),,s2w82,focus,
Thu Aug 27 2015 13:40:53 GMT+0800 (China Standard Time),,s2w82,label,"^"
Thu Aug 27 2015 13:40:53 GMT+0800 (China Standard Time),,s2w83,focus,
Thu Aug 27 2015 13:40:54 GMT+0800 (China Standard Time),,s2w84,focus,
Thu Aug 27 2015 13:40:56 GMT+0800 (China Standard Time),,s2w84,label,","
Thu Aug 27 2015 13:40:57 GMT+0800 (China Standard Time),,s2w85,focus,
Thu Aug 27 2015 13:40:57 GMT+0800 (China Standard Time),,s2w86,focus,
Thu Aug 27 2015 13:40:57 GMT+0800 (China Standard Time),,s2w87,focus,
Thu Aug 27 2015 13:40:58 GMT+0800 (China Standard Time),,s2w88,focus,
Thu Aug 27 2015 13:40:58 GMT+0800 (China Standard Time),,s2w89,focus,
Thu Aug 27 2015 13:40:58 GMT+0800 (China Standard Time),,s2w90,focus,
Thu Aug 27 2015 13:40:59 GMT+0800 (China Standard Time),,s2w91,focus,
Thu Aug 27 2015 13:40:59 GMT+0800 (China Standard Time),,s2w92,focus,
Thu Aug 27 2015 13:40:59 GMT+0800 (China Standard Time),,s2w93,focus,
Thu Aug 27 2015 13:40:59 GMT+0800 (China Standard Time),,s2w94,focus,
Thu Aug 27 2015 13:41:00 GMT+0800 (China Standard Time),,s2w95,focus,
Thu Aug 27 2015 13:41:00 GMT+0800 (China Standard Time),,s2w96,focus,
Thu Aug 27 2015 13:41:00 GMT+0800 (China Standard Time),,s2w97,focus,
Thu Aug 27 2015 13:41:00 GMT+0800 (China Standard Time),,s2w98,focus,
Thu Aug 27 2015 13:41:01 GMT+0800 (China Standard Time),,s2w99,focus,
Thu Aug 27 2015 13:41:01 GMT+0800 (China Standard Time),,s2w100,focus,
Thu Aug 27 2015 13:41:01 GMT+0800 (China Standard Time),,s2w101,focus,
Thu Aug 27 2015 13:41:01 GMT+0800 (China Standard Time),,s2w102,focus,
Thu Aug 27 2015 13:41:02 GMT+0800 (China Standard Time),,s2w103,focus,
Thu Aug 27 2015 13:41:02 GMT+0800 (China Standard Time),,s2w104,focus,
Thu Aug 27 2015 13:41:02 GMT+0800 (China Standard Time),,s2w105,focus,
Thu Aug 27 2015 13:41:03 GMT+0800 (China Standard Time),,s2w106,focus,
Thu Aug 27 2015 13:41:03 GMT+0800 (China Standard Time),,s2w107,focus,
Thu Aug 27 2015 13:41:04 GMT+0800 (China Standard Time),,s2w108,focus,
Thu Aug 27 2015 13:41:04 GMT+0800 (China Standard Time),,s2w109,focus,
Thu Aug 27 2015 13:41:04 GMT+0800 (China Standard Time),,s2w110,focus,
Thu Aug 27 2015 13:41:05 GMT+0800 (China Standard Time),,s2w111,focus,
Thu Aug 27 2015 13:41:05 GMT+0800 (China Standard Time),,s2w112,focus,
Thu Aug 27 2015 13:41:05 GMT+0800 (China Standard Time),,s2w113,focus,
Thu Aug 27 2015 13:41:05 GMT+0800 (China Standard Time),,s2w114,focus,
Thu Aug 27 2015 13:41:05 GMT+0800 (China Standard Time),,s2w115,focus,
Thu Aug 27 2015 13:41:06 GMT+0800 (China Standard Time),,s2w116,focus,
Thu Aug 27 2015 13:41:06 GMT+0800 (China Standard Time),,s2w117,focus,
Thu Aug 27 2015 13:41:06 GMT+0800 (China Standard Time),,s2w118,focus,
Thu Aug 27 2015 13:41:06 GMT+0800 (China Standard Time),,s2w119,focus,
Thu Aug 27 2015 13:41:07 GMT+0800 (China Standard Time),,s2w120,focus,
Thu Aug 27 2015 13:41:07 GMT+0800 (China Standard Time),,s2w121,focus,
Thu Aug 27 2015 13:41:08 GMT+0800 (China Standard Time),,s2w120,focus,
Thu Aug 27 2015 13:41:08 GMT+0800 (China Standard Time),,s2w120,focus,
Thu Aug 27 2015 13:41:09 GMT+0800 (China Standard Time),,s2w120,label,"V"
Thu Aug 27 2015 13:41:10 GMT+0800 (China Standard Time),,s2w121,focus,
Thu Aug 27 2015 13:41:10 GMT+0800 (China Standard Time),,s2w122,focus,
Thu Aug 27 2015 13:41:10 GMT+0800 (China Standard Time),,s2w123,focus,
Thu Aug 27 2015 13:41:10 GMT+0800 (China Standard Time),,s2w124,focus,
Thu Aug 27 2015 13:41:11 GMT+0800 (China Standard Time),,s2w125,focus,
Thu Aug 27 2015 13:41:11 GMT+0800 (China Standard Time),,s2w126,focus,
Thu Aug 27 2015 13:41:11 GMT+0800 (China Standard Time),,s2w127,focus,
Thu Aug 27 2015 13:41:12 GMT+0800 (China Standard Time),,s2w128,focus,
Thu Aug 27 2015 13:41:12 GMT+0800 (China Standard Time),,s2w129,focus,
