Thu Aug 27 2015 13:51:00 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Thu Aug 27 2015 13:51:51 GMT+0800 (China Standard Time),,s1w48,focus,
Thu Aug 27 2015 13:51:51 GMT+0800 (China Standard Time),,s1w49,focus,
Thu Aug 27 2015 13:51:52 GMT+0800 (China Standard Time),,s1w50,focus,
Thu Aug 27 2015 13:51:52 GMT+0800 (China Standard Time),,s1w51,focus,
Thu Aug 27 2015 13:51:52 GMT+0800 (China Standard Time),,s1w52,focus,
Thu Aug 27 2015 13:51:52 GMT+0800 (China Standard Time),,s1w53,focus,
Thu Aug 27 2015 13:51:53 GMT+0800 (China Standard Time),,s1w54,focus,
Thu Aug 27 2015 13:51:53 GMT+0800 (China Standard Time),,s1w55,focus,
Thu Aug 27 2015 13:51:53 GMT+0800 (China Standard Time),,s1w56,focus,
Thu Aug 27 2015 13:51:53 GMT+0800 (China Standard Time),,s1w57,focus,
Thu Aug 27 2015 13:51:54 GMT+0800 (China Standard Time),,s1w58,focus,
Thu Aug 27 2015 13:51:54 GMT+0800 (China Standard Time),,s1w59,focus,
Thu Aug 27 2015 13:51:54 GMT+0800 (China Standard Time),,s1w60,focus,
Thu Aug 27 2015 13:51:55 GMT+0800 (China Standard Time),,s1w61,focus,
Thu Aug 27 2015 13:51:55 GMT+0800 (China Standard Time),,s1w62,focus,
Thu Aug 27 2015 13:51:55 GMT+0800 (China Standard Time),,s1w63,focus,
Thu Aug 27 2015 13:51:55 GMT+0800 (China Standard Time),,s1w64,focus,
Thu Aug 27 2015 13:51:56 GMT+0800 (China Standard Time),,s1w65,focus,
Thu Aug 27 2015 13:51:56 GMT+0800 (China Standard Time),,s1w66,focus,
Thu Aug 27 2015 13:51:57 GMT+0800 (China Standard Time),,s1w67,focus,
Thu Aug 27 2015 13:51:57 GMT+0800 (China Standard Time),,s1w68,focus,
Thu Aug 27 2015 13:51:57 GMT+0800 (China Standard Time),,s1w69,focus,
Thu Aug 27 2015 13:51:57 GMT+0800 (China Standard Time),,s1w70,focus,
Thu Aug 27 2015 13:51:58 GMT+0800 (China Standard Time),,s1w71,focus,
Thu Aug 27 2015 13:51:58 GMT+0800 (China Standard Time),,s1w72,focus,
Thu Aug 27 2015 13:51:58 GMT+0800 (China Standard Time),,s1w73,focus,
Thu Aug 27 2015 13:51:58 GMT+0800 (China Standard Time),,s1w74,focus,
Thu Aug 27 2015 13:51:59 GMT+0800 (China Standard Time),,s1w75,focus,
Thu Aug 27 2015 13:51:59 GMT+0800 (China Standard Time),,s1w76,focus,
Thu Aug 27 2015 13:52:00 GMT+0800 (China Standard Time),,s1w77,focus,
Thu Aug 27 2015 13:52:00 GMT+0800 (China Standard Time),,s1w78,focus,
Thu Aug 27 2015 13:52:01 GMT+0800 (China Standard Time),,s1w79,focus,
Thu Aug 27 2015 13:52:01 GMT+0800 (China Standard Time),,s1w80,focus,
Thu Aug 27 2015 13:52:01 GMT+0800 (China Standard Time),,s1w81,focus,
Thu Aug 27 2015 13:52:01 GMT+0800 (China Standard Time),,s1w82,focus,
Thu Aug 27 2015 13:52:01 GMT+0800 (China Standard Time),,s1w83,focus,
Thu Aug 27 2015 13:52:01 GMT+0800 (China Standard Time),,s1w84,focus,
Thu Aug 27 2015 13:52:01 GMT+0800 (China Standard Time),,s1w85,focus,
Thu Aug 27 2015 13:52:02 GMT+0800 (China Standard Time),,s1w86,focus,
Thu Aug 27 2015 13:52:02 GMT+0800 (China Standard Time),,s1w87,focus,
Thu Aug 27 2015 13:52:02 GMT+0800 (China Standard Time),,s1w88,focus,
Thu Aug 27 2015 13:52:02 GMT+0800 (China Standard Time),,s1w89,focus,
Thu Aug 27 2015 13:52:02 GMT+0800 (China Standard Time),,s1w90,focus,
Thu Aug 27 2015 13:52:02 GMT+0800 (China Standard Time),,s1w91,focus,
Thu Aug 27 2015 13:52:02 GMT+0800 (China Standard Time),,s1w92,focus,
Thu Aug 27 2015 13:52:03 GMT+0800 (China Standard Time),,s1w93,focus,
Thu Aug 27 2015 13:52:03 GMT+0800 (China Standard Time),,s1w94,focus,
Thu Aug 27 2015 13:52:03 GMT+0800 (China Standard Time),,s1w95,focus,
Thu Aug 27 2015 13:52:03 GMT+0800 (China Standard Time),,s1w96,focus,
Thu Aug 27 2015 13:52:03 GMT+0800 (China Standard Time),,s1w97,focus,
Thu Aug 27 2015 13:52:03 GMT+0800 (China Standard Time),,s1w98,focus,
Thu Aug 27 2015 13:52:04 GMT+0800 (China Standard Time),,s1w99,focus,
Thu Aug 27 2015 13:52:04 GMT+0800 (China Standard Time),,s1w100,focus,
Thu Aug 27 2015 13:52:05 GMT+0800 (China Standard Time),,s1w101,focus,
Thu Aug 27 2015 13:52:05 GMT+0800 (China Standard Time),,s1w102,focus,
Thu Aug 27 2015 13:52:05 GMT+0800 (China Standard Time),,s1w103,focus,
Thu Aug 27 2015 13:52:05 GMT+0800 (China Standard Time),,s1w104,focus,
Thu Aug 27 2015 13:52:05 GMT+0800 (China Standard Time),,s1w105,focus,
Thu Aug 27 2015 13:52:05 GMT+0800 (China Standard Time),,s1w106,focus,
Thu Aug 27 2015 13:52:05 GMT+0800 (China Standard Time),,s1w107,focus,
Thu Aug 27 2015 13:52:05 GMT+0800 (China Standard Time),,s1w108,focus,
Thu Aug 27 2015 13:52:05 GMT+0800 (China Standard Time),,s1w109,focus,
Thu Aug 27 2015 13:52:06 GMT+0800 (China Standard Time),,s1w110,focus,
Thu Aug 27 2015 13:52:06 GMT+0800 (China Standard Time),,s1w111,focus,
Thu Aug 27 2015 13:52:06 GMT+0800 (China Standard Time),,s1w112,focus,
Thu Aug 27 2015 13:52:06 GMT+0800 (China Standard Time),,s1w113,focus,
Thu Aug 27 2015 13:52:06 GMT+0800 (China Standard Time),,s1w114,focus,
Thu Aug 27 2015 13:52:07 GMT+0800 (China Standard Time),,s1w115,focus,
Thu Aug 27 2015 13:52:07 GMT+0800 (China Standard Time),,s1w116,focus,
Thu Aug 27 2015 13:52:08 GMT+0800 (China Standard Time),,s2w1,focus,
Thu Aug 27 2015 13:52:08 GMT+0800 (China Standard Time),,s2w2,focus,
Thu Aug 27 2015 13:52:08 GMT+0800 (China Standard Time),,s2w3,focus,
Thu Aug 27 2015 13:52:09 GMT+0800 (China Standard Time),,s2w4,focus,
Thu Aug 27 2015 13:52:09 GMT+0800 (China Standard Time),,s2w5,focus,
Thu Aug 27 2015 13:52:10 GMT+0800 (China Standard Time),,s2w6,focus,
Thu Aug 27 2015 13:52:10 GMT+0800 (China Standard Time),,s2w7,focus,
Thu Aug 27 2015 13:52:10 GMT+0800 (China Standard Time),,s2w8,focus,
Thu Aug 27 2015 13:52:10 GMT+0800 (China Standard Time),,s2w9,focus,
Thu Aug 27 2015 13:52:11 GMT+0800 (China Standard Time),,s2w10,focus,
Thu Aug 27 2015 13:52:11 GMT+0800 (China Standard Time),,s2w11,focus,
Thu Aug 27 2015 13:52:11 GMT+0800 (China Standard Time),,s2w12,focus,
Thu Aug 27 2015 13:52:11 GMT+0800 (China Standard Time),,s2w13,focus,
Thu Aug 27 2015 13:52:12 GMT+0800 (China Standard Time),,s2w14,focus,
Thu Aug 27 2015 13:52:12 GMT+0800 (China Standard Time),,s2w15,focus,
Thu Aug 27 2015 13:52:12 GMT+0800 (China Standard Time),,s2w16,focus,
Thu Aug 27 2015 13:52:13 GMT+0800 (China Standard Time),,s2w16,label,"^"
Thu Aug 27 2015 13:52:13 GMT+0800 (China Standard Time),,s2w17,focus,
Thu Aug 27 2015 13:52:13 GMT+0800 (China Standard Time),,s2w18,focus,
Thu Aug 27 2015 13:52:14 GMT+0800 (China Standard Time),,s2w19,focus,
Thu Aug 27 2015 13:52:15 GMT+0800 (China Standard Time),,s2w20,focus,
Thu Aug 27 2015 13:52:15 GMT+0800 (China Standard Time),,s2w21,focus,
Thu Aug 27 2015 13:52:15 GMT+0800 (China Standard Time),,s2w22,focus,
Thu Aug 27 2015 13:52:15 GMT+0800 (China Standard Time),,s2w23,focus,
Thu Aug 27 2015 13:52:16 GMT+0800 (China Standard Time),,s2w24,focus,
Thu Aug 27 2015 13:52:18 GMT+0800 (China Standard Time),,s2w24,label,"D"
Thu Aug 27 2015 13:52:18 GMT+0800 (China Standard Time),,s2w25,focus,
Thu Aug 27 2015 13:52:20 GMT+0800 (China Standard Time),,s2w26,focus,
Thu Aug 27 2015 13:52:22 GMT+0800 (China Standard Time),,s2w26,label,"G"
Thu Aug 27 2015 13:52:23 GMT+0800 (China Standard Time),,s2w27,focus,
Thu Aug 27 2015 13:52:24 GMT+0800 (China Standard Time),,s2w27,label,"^"
Thu Aug 27 2015 13:52:26 GMT+0800 (China Standard Time),,s2w28,focus,
Thu Aug 27 2015 13:52:28 GMT+0800 (China Standard Time),,s2w28,label,","
Thu Aug 27 2015 13:52:28 GMT+0800 (China Standard Time),,s2w29,focus,
Thu Aug 27 2015 13:52:32 GMT+0800 (China Standard Time),,s2w29,label,"^"
Thu Aug 27 2015 13:52:33 GMT+0800 (China Standard Time),,s2w30,focus,
Thu Aug 27 2015 13:52:34 GMT+0800 (China Standard Time),,s2w30,label,","
Thu Aug 27 2015 13:52:34 GMT+0800 (China Standard Time),,s2w31,focus,
Thu Aug 27 2015 13:52:36 GMT+0800 (China Standard Time),,s2w31,label,"G"
Thu Aug 27 2015 13:52:37 GMT+0800 (China Standard Time),,s2w32,focus,
Thu Aug 27 2015 13:52:38 GMT+0800 (China Standard Time),,s2w33,focus,
Thu Aug 27 2015 13:52:38 GMT+0800 (China Standard Time),,s2w34,focus,
Thu Aug 27 2015 13:52:38 GMT+0800 (China Standard Time),,s2w35,focus,
Thu Aug 27 2015 13:52:38 GMT+0800 (China Standard Time),,s2w36,focus,
Thu Aug 27 2015 13:52:39 GMT+0800 (China Standard Time),,s2w37,focus,
Thu Aug 27 2015 13:52:39 GMT+0800 (China Standard Time),,s2w38,focus,
Thu Aug 27 2015 13:52:39 GMT+0800 (China Standard Time),,s2w39,focus,
Thu Aug 27 2015 13:52:39 GMT+0800 (China Standard Time),,s2w40,focus,
Thu Aug 27 2015 13:52:40 GMT+0800 (China Standard Time),,s2w41,focus,
Thu Aug 27 2015 13:52:40 GMT+0800 (China Standard Time),,s2w42,focus,
Thu Aug 27 2015 13:52:41 GMT+0800 (China Standard Time),,s2w42,label,"^"
Thu Aug 27 2015 13:52:41 GMT+0800 (China Standard Time),,s2w43,focus,
Thu Aug 27 2015 13:52:42 GMT+0800 (China Standard Time),,s2w44,focus,
Thu Aug 27 2015 13:52:42 GMT+0800 (China Standard Time),,s2w45,focus,
Thu Aug 27 2015 13:52:42 GMT+0800 (China Standard Time),,s2w46,focus,
Thu Aug 27 2015 13:52:43 GMT+0800 (China Standard Time),,s2w47,focus,
Thu Aug 27 2015 13:52:43 GMT+0800 (China Standard Time),,s2w48,focus,
Thu Aug 27 2015 13:52:43 GMT+0800 (China Standard Time),,s2w49,focus,
Thu Aug 27 2015 13:52:44 GMT+0800 (China Standard Time),,s2w50,focus,
Thu Aug 27 2015 13:52:44 GMT+0800 (China Standard Time),,s2w51,focus,
Thu Aug 27 2015 13:52:44 GMT+0800 (China Standard Time),,s2w52,focus,
Thu Aug 27 2015 13:52:44 GMT+0800 (China Standard Time),,s2w53,focus,
Thu Aug 27 2015 13:52:45 GMT+0800 (China Standard Time),,s2w54,focus,
Thu Aug 27 2015 13:52:45 GMT+0800 (China Standard Time),,s2w55,focus,
Thu Aug 27 2015 13:52:46 GMT+0800 (China Standard Time),,s2w56,focus,
Thu Aug 27 2015 13:52:46 GMT+0800 (China Standard Time),,s2w57,focus,
Thu Aug 27 2015 13:52:46 GMT+0800 (China Standard Time),,s2w58,focus,
Thu Aug 27 2015 13:52:47 GMT+0800 (China Standard Time),,s2w59,focus,
Thu Aug 27 2015 13:52:47 GMT+0800 (China Standard Time),,s2w60,focus,
Thu Aug 27 2015 13:52:50 GMT+0800 (China Standard Time),,s2w61,focus,
Thu Aug 27 2015 13:52:50 GMT+0800 (China Standard Time),,s2w62,focus,
Thu Aug 27 2015 13:52:51 GMT+0800 (China Standard Time),,s2w63,focus,
Thu Aug 27 2015 13:52:51 GMT+0800 (China Standard Time),,s2w64,focus,
Thu Aug 27 2015 13:52:52 GMT+0800 (China Standard Time),,s2w64,label,"^"
Thu Aug 27 2015 13:52:53 GMT+0800 (China Standard Time),,s2w65,focus,
Thu Aug 27 2015 13:52:54 GMT+0800 (China Standard Time),,s2w65,label,","
Thu Aug 27 2015 13:52:54 GMT+0800 (China Standard Time),,s2w66,focus,
Thu Aug 27 2015 13:52:56 GMT+0800 (China Standard Time),,s2w66,label,"="
Thu Aug 27 2015 13:52:56 GMT+0800 (China Standard Time),,s2w67,focus,
Thu Aug 27 2015 13:52:58 GMT+0800 (China Standard Time),,s2w67,label,","
Thu Aug 27 2015 13:52:58 GMT+0800 (China Standard Time),,s2w68,focus,
Thu Aug 27 2015 13:52:59 GMT+0800 (China Standard Time),,s2w69,focus,
Thu Aug 27 2015 13:52:59 GMT+0800 (China Standard Time),,s2w70,focus,
Thu Aug 27 2015 13:53:00 GMT+0800 (China Standard Time),,s2w71,focus,
Thu Aug 27 2015 13:53:00 GMT+0800 (China Standard Time),,s2w72,focus,
Thu Aug 27 2015 13:53:00 GMT+0800 (China Standard Time),,s2w73,focus,
Thu Aug 27 2015 13:53:01 GMT+0800 (China Standard Time),,s2w74,focus,
Thu Aug 27 2015 13:53:01 GMT+0800 (China Standard Time),,s2w75,focus,
Thu Aug 27 2015 13:53:01 GMT+0800 (China Standard Time),,s2w76,focus,
Thu Aug 27 2015 13:53:01 GMT+0800 (China Standard Time),,s2w77,focus,
Thu Aug 27 2015 13:53:02 GMT+0800 (China Standard Time),,s2w78,focus,
Thu Aug 27 2015 13:53:02 GMT+0800 (China Standard Time),,s2w79,focus,
Thu Aug 27 2015 13:53:02 GMT+0800 (China Standard Time),,s2w80,focus,
Thu Aug 27 2015 13:53:02 GMT+0800 (China Standard Time),,s2w81,focus,
Thu Aug 27 2015 13:53:03 GMT+0800 (China Standard Time),,s2w82,focus,
Thu Aug 27 2015 13:53:03 GMT+0800 (China Standard Time),,s2w83,focus,
Thu Aug 27 2015 13:53:03 GMT+0800 (China Standard Time),,s2w84,focus,
Thu Aug 27 2015 13:53:03 GMT+0800 (China Standard Time),,s2w85,focus,
Thu Aug 27 2015 13:53:04 GMT+0800 (China Standard Time),,s2w86,focus,
Thu Aug 27 2015 13:53:04 GMT+0800 (China Standard Time),,s2w87,focus,
Thu Aug 27 2015 13:53:05 GMT+0800 (China Standard Time),,s2w88,focus,
Thu Aug 27 2015 13:53:06 GMT+0800 (China Standard Time),,s2w89,focus,
Thu Aug 27 2015 13:53:06 GMT+0800 (China Standard Time),,s2w90,focus,
Thu Aug 27 2015 13:53:06 GMT+0800 (China Standard Time),,s2w91,focus,
Thu Aug 27 2015 13:53:06 GMT+0800 (China Standard Time),,s2w92,focus,
Thu Aug 27 2015 13:53:07 GMT+0800 (China Standard Time),,s2w93,focus,
Thu Aug 27 2015 13:53:07 GMT+0800 (China Standard Time),,s2w94,focus,
Thu Aug 27 2015 13:53:07 GMT+0800 (China Standard Time),,s2w95,focus,
Thu Aug 27 2015 13:53:07 GMT+0800 (China Standard Time),,s2w96,focus,
Thu Aug 27 2015 13:53:08 GMT+0800 (China Standard Time),,s2w97,focus,
Thu Aug 27 2015 13:53:08 GMT+0800 (China Standard Time),,s2w98,focus,
Thu Aug 27 2015 13:53:08 GMT+0800 (China Standard Time),,s2w99,focus,
Thu Aug 27 2015 13:53:08 GMT+0800 (China Standard Time),,s2w100,focus,
Thu Aug 27 2015 13:53:09 GMT+0800 (China Standard Time),,s2w101,focus,
Thu Aug 27 2015 13:53:09 GMT+0800 (China Standard Time),,s2w102,focus,
Thu Aug 27 2015 13:53:09 GMT+0800 (China Standard Time),,s2w103,focus,
Thu Aug 27 2015 13:53:09 GMT+0800 (China Standard Time),,s2w104,focus,
Thu Aug 27 2015 13:53:10 GMT+0800 (China Standard Time),,s2w105,focus,
Thu Aug 27 2015 13:53:10 GMT+0800 (China Standard Time),,s2w106,focus,
Thu Aug 27 2015 13:53:10 GMT+0800 (China Standard Time),,s2w107,focus,
Thu Aug 27 2015 13:53:10 GMT+0800 (China Standard Time),,s2w108,focus,
Thu Aug 27 2015 13:53:11 GMT+0800 (China Standard Time),,s2w109,focus,
Thu Aug 27 2015 13:53:11 GMT+0800 (China Standard Time),,s2w110,focus,
Thu Aug 27 2015 13:53:11 GMT+0800 (China Standard Time),,s2w111,focus,
Thu Aug 27 2015 13:53:12 GMT+0800 (China Standard Time),,s2w112,focus,
Thu Aug 27 2015 13:53:12 GMT+0800 (China Standard Time),,s2w113,focus,
Thu Aug 27 2015 13:53:12 GMT+0800 (China Standard Time),,s2w114,focus,
Thu Aug 27 2015 13:53:12 GMT+0800 (China Standard Time),,s2w115,focus,
Thu Aug 27 2015 13:53:13 GMT+0800 (China Standard Time),,s2w116,focus,
Thu Aug 27 2015 13:53:13 GMT+0800 (China Standard Time),,s2w117,focus,
Thu Aug 27 2015 13:53:14 GMT+0800 (China Standard Time),,s2w118,focus,
Thu Aug 27 2015 13:53:14 GMT+0800 (China Standard Time),,s2w119,focus,
Thu Aug 27 2015 13:53:14 GMT+0800 (China Standard Time),,s2w120,focus,
Thu Aug 27 2015 13:53:15 GMT+0800 (China Standard Time),,s2w121,focus,
Thu Aug 27 2015 13:53:15 GMT+0800 (China Standard Time),,s2w122,focus,
Thu Aug 27 2015 13:53:15 GMT+0800 (China Standard Time),,s2w123,focus,
Thu Aug 27 2015 13:53:15 GMT+0800 (China Standard Time),,s2w124,focus,
Thu Aug 27 2015 13:53:15 GMT+0800 (China Standard Time),,s2w125,focus,
Thu Aug 27 2015 13:53:16 GMT+0800 (China Standard Time),,s2w126,focus,
Thu Aug 27 2015 13:53:23 GMT+0800 (China Standard Time),,s2w126,label,"V"
Thu Aug 27 2015 13:53:23 GMT+0800 (China Standard Time),,s2w127,focus,
Thu Aug 27 2015 13:53:24 GMT+0800 (China Standard Time),,s2w128,focus,
Thu Aug 27 2015 13:53:25 GMT+0800 (China Standard Time),,s2w129,focus,
Thu Aug 27 2015 13:53:25 GMT+0800 (China Standard Time),,s2w130,focus,
Thu Aug 27 2015 13:53:26 GMT+0800 (China Standard Time),,s2w131,focus,
Thu Aug 27 2015 13:53:26 GMT+0800 (China Standard Time),,s2w132,focus,
Thu Aug 27 2015 13:53:26 GMT+0800 (China Standard Time),,s2w133,focus,
Thu Aug 27 2015 13:53:27 GMT+0800 (China Standard Time),,s2w134,focus,
Thu Aug 27 2015 13:53:27 GMT+0800 (China Standard Time),,s2w135,focus,
Thu Aug 27 2015 13:53:27 GMT+0800 (China Standard Time),,s2w136,focus,
Thu Aug 27 2015 13:53:28 GMT+0800 (China Standard Time),,s2w137,focus,
Thu Aug 27 2015 13:53:28 GMT+0800 (China Standard Time),,s2w138,focus,
Thu Aug 27 2015 13:53:28 GMT+0800 (China Standard Time),,s2w139,focus,
Thu Aug 27 2015 13:53:30 GMT+0800 (China Standard Time),,s2w140,focus,
Thu Aug 27 2015 13:53:31 GMT+0800 (China Standard Time),,s2w141,focus,
Thu Aug 27 2015 13:53:31 GMT+0800 (China Standard Time),,s2w142,focus,
Thu Aug 27 2015 13:53:32 GMT+0800 (China Standard Time),,s2w143,focus,
Thu Aug 27 2015 13:53:32 GMT+0800 (China Standard Time),,s2w144,focus,
Thu Aug 27 2015 13:53:32 GMT+0800 (China Standard Time),,s2w145,focus,
Thu Aug 27 2015 13:53:33 GMT+0800 (China Standard Time),,s2w146,focus,
Thu Aug 27 2015 13:53:34 GMT+0800 (China Standard Time),,s2w147,focus,
Thu Aug 27 2015 13:53:34 GMT+0800 (China Standard Time),,s2w148,focus,
Thu Aug 27 2015 13:53:34 GMT+0800 (China Standard Time),,s2w149,focus,
Thu Aug 27 2015 13:53:35 GMT+0800 (China Standard Time),,s2w150,focus,
