Wed Aug 26 2015 21:09:39 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Wed Aug 26 2015 21:10:24 GMT+0800 (China Standard Time),,s2w31,focus,
Wed Aug 26 2015 21:10:25 GMT+0800 (China Standard Time),,s3w1,focus,
Wed Aug 26 2015 21:10:25 GMT+0800 (China Standard Time),,s3w2,focus,
Wed Aug 26 2015 21:10:25 GMT+0800 (China Standard Time),,s3w3,focus,
Wed Aug 26 2015 21:10:26 GMT+0800 (China Standard Time),,s3w4,focus,
Wed Aug 26 2015 21:10:26 GMT+0800 (China Standard Time),,s3w5,focus,
Wed Aug 26 2015 21:10:26 GMT+0800 (China Standard Time),,s3w6,focus,
Wed Aug 26 2015 21:10:27 GMT+0800 (China Standard Time),,s3w7,focus,
Wed Aug 26 2015 21:10:27 GMT+0800 (China Standard Time),,s3w8,focus,
Wed Aug 26 2015 21:10:27 GMT+0800 (China Standard Time),,s3w9,focus,
Wed Aug 26 2015 21:10:28 GMT+0800 (China Standard Time),,s3w10,focus,
Wed Aug 26 2015 21:10:29 GMT+0800 (China Standard Time),,s4w1,focus,
Wed Aug 26 2015 21:10:29 GMT+0800 (China Standard Time),,s4w2,focus,
Wed Aug 26 2015 21:10:30 GMT+0800 (China Standard Time),,s4w3,focus,
Wed Aug 26 2015 21:10:30 GMT+0800 (China Standard Time),,s4w4,focus,
Wed Aug 26 2015 21:10:30 GMT+0800 (China Standard Time),,s4w5,focus,
Wed Aug 26 2015 21:10:31 GMT+0800 (China Standard Time),,s4w6,focus,
Wed Aug 26 2015 21:10:31 GMT+0800 (China Standard Time),,s4w7,focus,
Wed Aug 26 2015 21:10:32 GMT+0800 (China Standard Time),,s4w8,focus,
Wed Aug 26 2015 21:10:32 GMT+0800 (China Standard Time),,s4w9,focus,
Wed Aug 26 2015 21:10:32 GMT+0800 (China Standard Time),,s4w10,focus,
Wed Aug 26 2015 21:10:33 GMT+0800 (China Standard Time),,s4w11,focus,
Wed Aug 26 2015 21:10:33 GMT+0800 (China Standard Time),,s4w12,focus,
Wed Aug 26 2015 21:10:34 GMT+0800 (China Standard Time),,s4w13,focus,
Wed Aug 26 2015 21:10:34 GMT+0800 (China Standard Time),,s4w14,focus,
Wed Aug 26 2015 21:10:34 GMT+0800 (China Standard Time),,s4w15,focus,
Wed Aug 26 2015 21:10:35 GMT+0800 (China Standard Time),,s4w16,focus,
Wed Aug 26 2015 21:10:35 GMT+0800 (China Standard Time),,s4w17,focus,
Wed Aug 26 2015 21:10:35 GMT+0800 (China Standard Time),,s4w18,focus,
Wed Aug 26 2015 21:10:35 GMT+0800 (China Standard Time),,s4w19,focus,
Wed Aug 26 2015 21:10:36 GMT+0800 (China Standard Time),,s4w20,focus,
Wed Aug 26 2015 21:10:36 GMT+0800 (China Standard Time),,s4w21,focus,
Wed Aug 26 2015 21:10:36 GMT+0800 (China Standard Time),,s4w22,focus,
Wed Aug 26 2015 21:10:36 GMT+0800 (China Standard Time),,s4w23,focus,
Wed Aug 26 2015 21:10:37 GMT+0800 (China Standard Time),,s4w24,focus,
Wed Aug 26 2015 21:10:37 GMT+0800 (China Standard Time),,s4w25,focus,
Wed Aug 26 2015 21:10:37 GMT+0800 (China Standard Time),,s4w26,focus,
Wed Aug 26 2015 21:10:37 GMT+0800 (China Standard Time),,s4w27,focus,
Wed Aug 26 2015 21:10:38 GMT+0800 (China Standard Time),,s4w28,focus,
Wed Aug 26 2015 21:10:38 GMT+0800 (China Standard Time),,s4w29,focus,
Wed Aug 26 2015 21:10:38 GMT+0800 (China Standard Time),,s4w30,focus,
Wed Aug 26 2015 21:10:39 GMT+0800 (China Standard Time),,s4w31,focus,
Wed Aug 26 2015 21:10:39 GMT+0800 (China Standard Time),,s4w32,focus,
Wed Aug 26 2015 21:10:39 GMT+0800 (China Standard Time),,s4w33,focus,
Wed Aug 26 2015 21:10:39 GMT+0800 (China Standard Time),,s4w34,focus,
Wed Aug 26 2015 21:10:40 GMT+0800 (China Standard Time),,s4w35,focus,
Wed Aug 26 2015 21:10:40 GMT+0800 (China Standard Time),,s4w36,focus,
Wed Aug 26 2015 21:10:40 GMT+0800 (China Standard Time),,s4w37,focus,
Wed Aug 26 2015 21:10:41 GMT+0800 (China Standard Time),,s4w38,focus,
Wed Aug 26 2015 21:10:41 GMT+0800 (China Standard Time),,s4w39,focus,
Wed Aug 26 2015 21:10:41 GMT+0800 (China Standard Time),,s4w40,focus,
Wed Aug 26 2015 21:10:42 GMT+0800 (China Standard Time),,s4w41,focus,
Wed Aug 26 2015 21:10:43 GMT+0800 (China Standard Time),,s4w42,focus,
Wed Aug 26 2015 21:10:43 GMT+0800 (China Standard Time),,s4w43,focus,
Wed Aug 26 2015 21:10:43 GMT+0800 (China Standard Time),,s4w44,focus,
Wed Aug 26 2015 21:10:44 GMT+0800 (China Standard Time),,s4w45,focus,
Wed Aug 26 2015 21:10:44 GMT+0800 (China Standard Time),,s4w46,focus,
Wed Aug 26 2015 21:10:44 GMT+0800 (China Standard Time),,s4w47,focus,
Wed Aug 26 2015 21:10:44 GMT+0800 (China Standard Time),,s4w48,focus,
Wed Aug 26 2015 21:10:45 GMT+0800 (China Standard Time),,s4w49,focus,
Wed Aug 26 2015 21:10:45 GMT+0800 (China Standard Time),,s4w50,focus,
Wed Aug 26 2015 21:10:45 GMT+0800 (China Standard Time),,s4w51,focus,
Wed Aug 26 2015 21:10:45 GMT+0800 (China Standard Time),,s4w52,focus,
Wed Aug 26 2015 21:10:46 GMT+0800 (China Standard Time),,s4w53,focus,
Wed Aug 26 2015 21:10:46 GMT+0800 (China Standard Time),,s4w54,focus,
Wed Aug 26 2015 21:10:47 GMT+0800 (China Standard Time),,s4w55,focus,
Wed Aug 26 2015 21:10:47 GMT+0800 (China Standard Time),,s4w56,focus,
Wed Aug 26 2015 21:10:48 GMT+0800 (China Standard Time),,s4w57,focus,
Wed Aug 26 2015 21:10:48 GMT+0800 (China Standard Time),,s4w58,focus,
Wed Aug 26 2015 21:10:50 GMT+0800 (China Standard Time),,s4w58,label,"^"
Wed Aug 26 2015 21:10:51 GMT+0800 (China Standard Time),,s4w59,focus,
Wed Aug 26 2015 21:10:52 GMT+0800 (China Standard Time),,s4w60,focus,
Wed Aug 26 2015 21:10:53 GMT+0800 (China Standard Time),,s4w61,focus,
Wed Aug 26 2015 21:10:53 GMT+0800 (China Standard Time),,s4w62,focus,
Wed Aug 26 2015 21:10:53 GMT+0800 (China Standard Time),,s4w63,focus,
Wed Aug 26 2015 21:10:54 GMT+0800 (China Standard Time),,s4w64,focus,
Wed Aug 26 2015 21:10:54 GMT+0800 (China Standard Time),,s4w65,focus,
Wed Aug 26 2015 21:10:54 GMT+0800 (China Standard Time),,s4w66,focus,
Wed Aug 26 2015 21:10:55 GMT+0800 (China Standard Time),,s4w67,focus,
Wed Aug 26 2015 21:10:55 GMT+0800 (China Standard Time),,s4w68,focus,
Wed Aug 26 2015 21:10:56 GMT+0800 (China Standard Time),,s4w69,focus,
Wed Aug 26 2015 21:10:56 GMT+0800 (China Standard Time),,s4w70,focus,
Wed Aug 26 2015 21:10:57 GMT+0800 (China Standard Time),,s4w71,focus,
Wed Aug 26 2015 21:10:57 GMT+0800 (China Standard Time),,s4w72,focus,
Wed Aug 26 2015 21:10:57 GMT+0800 (China Standard Time),,s4w73,focus,
Wed Aug 26 2015 21:10:57 GMT+0800 (China Standard Time),,s4w74,focus,
Wed Aug 26 2015 21:10:58 GMT+0800 (China Standard Time),,s4w75,focus,
Wed Aug 26 2015 21:10:59 GMT+0800 (China Standard Time),,s4w76,focus,
Wed Aug 26 2015 21:10:59 GMT+0800 (China Standard Time),,s4w77,focus,
Wed Aug 26 2015 21:10:59 GMT+0800 (China Standard Time),,s4w78,focus,
Wed Aug 26 2015 21:11:00 GMT+0800 (China Standard Time),,s4w79,focus,
Wed Aug 26 2015 21:11:00 GMT+0800 (China Standard Time),,s4w80,focus,
Wed Aug 26 2015 21:11:00 GMT+0800 (China Standard Time),,s4w81,focus,
Wed Aug 26 2015 21:11:02 GMT+0800 (China Standard Time),,s4w82,focus,
Wed Aug 26 2015 21:11:04 GMT+0800 (China Standard Time),,s4w83,focus,
Wed Aug 26 2015 21:11:04 GMT+0800 (China Standard Time),,s4w84,focus,
Wed Aug 26 2015 21:11:04 GMT+0800 (China Standard Time),,s4w85,focus,
Wed Aug 26 2015 21:11:05 GMT+0800 (China Standard Time),,s4w86,focus,
Wed Aug 26 2015 21:11:05 GMT+0800 (China Standard Time),,s4w87,focus,
Wed Aug 26 2015 21:11:05 GMT+0800 (China Standard Time),,s4w88,focus,
Wed Aug 26 2015 21:11:05 GMT+0800 (China Standard Time),,s4w89,focus,
Wed Aug 26 2015 21:11:06 GMT+0800 (China Standard Time),,s4w90,focus,
Wed Aug 26 2015 21:11:06 GMT+0800 (China Standard Time),,s4w91,focus,
Wed Aug 26 2015 21:11:06 GMT+0800 (China Standard Time),,s4w92,focus,
Wed Aug 26 2015 21:11:07 GMT+0800 (China Standard Time),,s4w93,focus,
Wed Aug 26 2015 21:11:07 GMT+0800 (China Standard Time),,s4w94,focus,
Wed Aug 26 2015 21:11:07 GMT+0800 (China Standard Time),,s4w95,focus,
Wed Aug 26 2015 21:11:08 GMT+0800 (China Standard Time),,s4w96,focus,
Wed Aug 26 2015 21:11:08 GMT+0800 (China Standard Time),,s4w97,focus,
Wed Aug 26 2015 21:11:08 GMT+0800 (China Standard Time),,s4w98,focus,
Wed Aug 26 2015 21:11:08 GMT+0800 (China Standard Time),,s4w99,focus,
Wed Aug 26 2015 21:11:09 GMT+0800 (China Standard Time),,s4w100,focus,
Wed Aug 26 2015 21:11:09 GMT+0800 (China Standard Time),,s4w101,focus,
Wed Aug 26 2015 21:11:10 GMT+0800 (China Standard Time),,s5w1,focus,
Wed Aug 26 2015 21:11:10 GMT+0800 (China Standard Time),,s5w2,focus,
Wed Aug 26 2015 21:11:11 GMT+0800 (China Standard Time),,s5w3,focus,
Wed Aug 26 2015 21:11:11 GMT+0800 (China Standard Time),,s5w4,focus,
Wed Aug 26 2015 21:11:12 GMT+0800 (China Standard Time),,s5w5,focus,
Wed Aug 26 2015 21:11:12 GMT+0800 (China Standard Time),,s5w6,focus,
Wed Aug 26 2015 21:11:12 GMT+0800 (China Standard Time),,s5w7,focus,
Wed Aug 26 2015 21:11:12 GMT+0800 (China Standard Time),,s5w8,focus,
Wed Aug 26 2015 21:11:13 GMT+0800 (China Standard Time),,s5w9,focus,
Wed Aug 26 2015 21:11:13 GMT+0800 (China Standard Time),,s5w10,focus,
Wed Aug 26 2015 21:11:13 GMT+0800 (China Standard Time),,s5w11,focus,
Wed Aug 26 2015 21:11:13 GMT+0800 (China Standard Time),,s5w12,focus,
Wed Aug 26 2015 21:11:14 GMT+0800 (China Standard Time),,s5w13,focus,
Wed Aug 26 2015 21:11:14 GMT+0800 (China Standard Time),,s5w14,focus,
Wed Aug 26 2015 21:11:14 GMT+0800 (China Standard Time),,s5w15,focus,
Wed Aug 26 2015 21:11:15 GMT+0800 (China Standard Time),,s5w16,focus,
Wed Aug 26 2015 21:11:15 GMT+0800 (China Standard Time),,s5w17,focus,
Wed Aug 26 2015 21:11:15 GMT+0800 (China Standard Time),,s5w18,focus,
Wed Aug 26 2015 21:11:16 GMT+0800 (China Standard Time),,s5w19,focus,
Wed Aug 26 2015 21:11:16 GMT+0800 (China Standard Time),,s5w20,focus,
Wed Aug 26 2015 21:11:16 GMT+0800 (China Standard Time),,s5w21,focus,
Wed Aug 26 2015 21:11:16 GMT+0800 (China Standard Time),,s5w22,focus,
Wed Aug 26 2015 21:11:17 GMT+0800 (China Standard Time),,s5w23,focus,
Wed Aug 26 2015 21:11:17 GMT+0800 (China Standard Time),,s6w1,focus,
Wed Aug 26 2015 21:11:18 GMT+0800 (China Standard Time),,s6w2,focus,
Wed Aug 26 2015 21:11:19 GMT+0800 (China Standard Time),,s6w3,focus,
Wed Aug 26 2015 21:11:19 GMT+0800 (China Standard Time),,s6w4,focus,
Wed Aug 26 2015 21:11:20 GMT+0800 (China Standard Time),,s6w5,focus,
Wed Aug 26 2015 21:11:20 GMT+0800 (China Standard Time),,s6w6,focus,
Wed Aug 26 2015 21:11:21 GMT+0800 (China Standard Time),,s6w7,focus,
Wed Aug 26 2015 21:11:22 GMT+0800 (China Standard Time),,s6w8,focus,
Wed Aug 26 2015 21:11:23 GMT+0800 (China Standard Time),,s6w9,focus,
Wed Aug 26 2015 21:11:24 GMT+0800 (China Standard Time),,s6w10,focus,
Wed Aug 26 2015 21:11:25 GMT+0800 (China Standard Time),,s6w11,focus,
Wed Aug 26 2015 21:11:25 GMT+0800 (China Standard Time),,s6w12,focus,
Wed Aug 26 2015 21:11:26 GMT+0800 (China Standard Time),,s6w13,focus,
Wed Aug 26 2015 21:11:26 GMT+0800 (China Standard Time),,s6w14,focus,
Wed Aug 26 2015 21:11:27 GMT+0800 (China Standard Time),,s6w15,focus,
Wed Aug 26 2015 21:11:27 GMT+0800 (China Standard Time),,s6w16,focus,
Wed Aug 26 2015 21:11:28 GMT+0800 (China Standard Time),,s6w17,focus,
Wed Aug 26 2015 21:11:28 GMT+0800 (China Standard Time),,s6w18,focus,
Wed Aug 26 2015 21:11:29 GMT+0800 (China Standard Time),,s6w19,focus,
Wed Aug 26 2015 21:11:29 GMT+0800 (China Standard Time),,s6w20,focus,
Wed Aug 26 2015 21:11:30 GMT+0800 (China Standard Time),,s6w21,focus,
Wed Aug 26 2015 21:11:30 GMT+0800 (China Standard Time),,s6w22,focus,
Wed Aug 26 2015 21:11:30 GMT+0800 (China Standard Time),,s6w23,focus,
Wed Aug 26 2015 21:11:31 GMT+0800 (China Standard Time),,s6w24,focus,
Wed Aug 26 2015 21:11:34 GMT+0800 (China Standard Time),,s6w25,focus,
Wed Aug 26 2015 21:11:35 GMT+0800 (China Standard Time),,s6w26,focus,
Wed Aug 26 2015 21:11:35 GMT+0800 (China Standard Time),,s6w27,focus,
Wed Aug 26 2015 21:11:39 GMT+0800 (China Standard Time),,s6w27,label,"A"
Wed Aug 26 2015 21:11:41 GMT+0800 (China Standard Time),,s6w28,focus,
Wed Aug 26 2015 21:11:42 GMT+0800 (China Standard Time),,s6w29,focus,
Wed Aug 26 2015 21:11:42 GMT+0800 (China Standard Time),,s6w30,focus,
Wed Aug 26 2015 21:11:42 GMT+0800 (China Standard Time),,s6w31,focus,
Wed Aug 26 2015 21:11:43 GMT+0800 (China Standard Time),,s6w32,focus,
Wed Aug 26 2015 21:11:43 GMT+0800 (China Standard Time),,s6w33,focus,
Wed Aug 26 2015 21:11:43 GMT+0800 (China Standard Time),,s6w34,focus,
Wed Aug 26 2015 21:11:44 GMT+0800 (China Standard Time),,s6w35,focus,
Wed Aug 26 2015 21:11:44 GMT+0800 (China Standard Time),,s6w36,focus,
Wed Aug 26 2015 21:11:44 GMT+0800 (China Standard Time),,s6w37,focus,
Wed Aug 26 2015 21:11:45 GMT+0800 (China Standard Time),,s6w38,focus,
Wed Aug 26 2015 21:11:45 GMT+0800 (China Standard Time),,s6w39,focus,
Wed Aug 26 2015 21:11:46 GMT+0800 (China Standard Time),,s6w40,focus,
Wed Aug 26 2015 21:11:46 GMT+0800 (China Standard Time),,s6w41,focus,
Wed Aug 26 2015 21:11:46 GMT+0800 (China Standard Time),,s6w42,focus,
Wed Aug 26 2015 21:11:46 GMT+0800 (China Standard Time),,s6w43,focus,
Wed Aug 26 2015 21:11:47 GMT+0800 (China Standard Time),,s6w44,focus,
Wed Aug 26 2015 21:11:47 GMT+0800 (China Standard Time),,s6w45,focus,
Wed Aug 26 2015 21:11:47 GMT+0800 (China Standard Time),,s6w46,focus,
Wed Aug 26 2015 21:11:47 GMT+0800 (China Standard Time),,s6w47,focus,
Wed Aug 26 2015 21:11:48 GMT+0800 (China Standard Time),,s6w48,focus,
Wed Aug 26 2015 21:11:48 GMT+0800 (China Standard Time),,s7w1,focus,
Wed Aug 26 2015 21:11:57 GMT+0800 (China Standard Time),,s7w2,focus,
Wed Aug 26 2015 21:11:58 GMT+0800 (China Standard Time),,s7w3,focus,
Wed Aug 26 2015 21:11:58 GMT+0800 (China Standard Time),,s7w4,focus,
Wed Aug 26 2015 21:11:58 GMT+0800 (China Standard Time),,s7w5,focus,
Wed Aug 26 2015 21:12:00 GMT+0800 (China Standard Time),,s7w5,label,"^"
Wed Aug 26 2015 21:12:00 GMT+0800 (China Standard Time),,s7w6,focus,
Wed Aug 26 2015 21:12:01 GMT+0800 (China Standard Time),,s7w7,focus,
Wed Aug 26 2015 21:12:01 GMT+0800 (China Standard Time),,s7w8,focus,
Wed Aug 26 2015 21:12:02 GMT+0800 (China Standard Time),,s7w9,focus,
Wed Aug 26 2015 21:12:03 GMT+0800 (China Standard Time),,s7w9,label,"^"
Wed Aug 26 2015 21:12:03 GMT+0800 (China Standard Time),,s7w10,focus,
Wed Aug 26 2015 21:12:04 GMT+0800 (China Standard Time),,s7w11,focus,
Wed Aug 26 2015 21:12:04 GMT+0800 (China Standard Time),,s7w12,focus,
Wed Aug 26 2015 21:12:05 GMT+0800 (China Standard Time),,s7w13,focus,
Wed Aug 26 2015 21:12:06 GMT+0800 (China Standard Time),,s7w14,focus,
Wed Aug 26 2015 21:12:06 GMT+0800 (China Standard Time),,s7w15,focus,
Wed Aug 26 2015 21:12:06 GMT+0800 (China Standard Time),,s7w16,focus,
Wed Aug 26 2015 21:12:07 GMT+0800 (China Standard Time),,s7w17,focus,
Wed Aug 26 2015 21:12:07 GMT+0800 (China Standard Time),,s7w18,focus,
Wed Aug 26 2015 21:12:07 GMT+0800 (China Standard Time),,s7w19,focus,
Wed Aug 26 2015 21:12:07 GMT+0800 (China Standard Time),,s7w20,focus,
Wed Aug 26 2015 21:12:08 GMT+0800 (China Standard Time),,s7w21,focus,
Wed Aug 26 2015 21:12:08 GMT+0800 (China Standard Time),,s7w22,focus,
Wed Aug 26 2015 21:12:08 GMT+0800 (China Standard Time),,s7w23,focus,
Wed Aug 26 2015 21:12:09 GMT+0800 (China Standard Time),,s7w24,focus,
Wed Aug 26 2015 21:12:09 GMT+0800 (China Standard Time),,s7w25,focus,
Wed Aug 26 2015 21:12:09 GMT+0800 (China Standard Time),,s7w26,focus,
Wed Aug 26 2015 21:12:09 GMT+0800 (China Standard Time),,s7w27,focus,
Wed Aug 26 2015 21:12:10 GMT+0800 (China Standard Time),,s7w28,focus,
Wed Aug 26 2015 21:12:10 GMT+0800 (China Standard Time),,s7w29,focus,
Wed Aug 26 2015 21:12:10 GMT+0800 (China Standard Time),,s7w30,focus,
Wed Aug 26 2015 21:12:10 GMT+0800 (China Standard Time),,s7w31,focus,
Wed Aug 26 2015 21:12:11 GMT+0800 (China Standard Time),,s7w32,focus,
Wed Aug 26 2015 21:12:11 GMT+0800 (China Standard Time),,s7w33,focus,
Wed Aug 26 2015 21:12:11 GMT+0800 (China Standard Time),,s7w34,focus,
Wed Aug 26 2015 21:12:12 GMT+0800 (China Standard Time),,s7w35,focus,
Wed Aug 26 2015 21:12:12 GMT+0800 (China Standard Time),,s7w36,focus,
Wed Aug 26 2015 21:12:14 GMT+0800 (China Standard Time),,s7w37,focus,
Wed Aug 26 2015 21:12:15 GMT+0800 (China Standard Time),,s7w37,label,"^"
Wed Aug 26 2015 21:12:15 GMT+0800 (China Standard Time),,s7w38,focus,
Wed Aug 26 2015 21:12:16 GMT+0800 (China Standard Time),,s7w39,focus,
Wed Aug 26 2015 21:12:16 GMT+0800 (China Standard Time),,s7w40,focus,
Wed Aug 26 2015 21:12:17 GMT+0800 (China Standard Time),,s7w41,focus,
Wed Aug 26 2015 21:12:19 GMT+0800 (China Standard Time),,s8w1,focus,
Wed Aug 26 2015 21:12:20 GMT+0800 (China Standard Time),,s8w2,focus,
Wed Aug 26 2015 21:12:20 GMT+0800 (China Standard Time),,s8w3,focus,
Wed Aug 26 2015 21:12:20 GMT+0800 (China Standard Time),,s8w4,focus,
Wed Aug 26 2015 21:12:21 GMT+0800 (China Standard Time),,s8w5,focus,
Wed Aug 26 2015 21:12:21 GMT+0800 (China Standard Time),,s8w6,focus,
Wed Aug 26 2015 21:12:21 GMT+0800 (China Standard Time),,s8w7,focus,
Wed Aug 26 2015 21:12:22 GMT+0800 (China Standard Time),,s8w8,focus,
Wed Aug 26 2015 21:12:22 GMT+0800 (China Standard Time),,s8w9,focus,
Wed Aug 26 2015 21:12:22 GMT+0800 (China Standard Time),,s8w10,focus,
Wed Aug 26 2015 21:12:22 GMT+0800 (China Standard Time),,s8w11,focus,
