TextMate equivalent to gVim Ctrl+P	^ V P ^ G
I've worked with both JSP and PHP . Even if I prefer PHP , I still work with JSP from time to time depending on my requirements . There is not really a better choice . It always , ** always ** depends on your requirements .	L V P D ^ & ^ , R P O V ^ , O R V P ^ P N P N V P D N , X V R R D A N , O R , , R , V P D N ,
JSP isn't a language - it's just a view / presentation technology - so it's only to build a web Frontend - while the main programming happens somewhere else - in the Java Language , as a so-called Java Servlet . I personally like Java more , but PHP is okay , and if you only know PHP ( which I must assume from the questions :) ) you're better off doing it in PHP now - you can learn Java later ... Apart from that , the others asking for more background info are right - you need to see what technology meets your requirements best ...	^ V D N , L R D N , N N , & L A P V D N N , P D N N V R R , P D ^ ^ , P D A ^ ^ , O R P ^ R , & N V ! , & P O R V ^ , D O V V P D N E , L R T V O P ^ R , O V V ^ R , R P O , D N V P A N N V A , O V P V D N V D N R ,
People refer to JSP the same way as ASP.NET is referred to . It is a framework .	N V P ^ D A N P ^ V V P , O V D N ,
Which is incorrect , and therefore I point out how it really is :) No , really , maybe people not doing Java development themselves do that . Java folks neither say they build something in JSP instead of PHP , because JSP isn't a language , nor do they refer to JSP as a framework ( because it does not deliver a complete stack of functionalities ) - frameworks are things like struts , gwt , webwork , sitemesh - and even those only deliver the view part - a full stack web framework helps you with a lot more things than just the view .	O V A , & R O V T R O R V E ! , R , R N R V ^ N O V O , ^ N & V O V N P ^ R P ^ , P ^ V D N , & V O V P ^ P D N , P O V R V D A N P N , , N V N P ^ , ^ , ^ , ^ , & R O R V D N N , D A N N N V O P D N A N P R D N ,
If you know both well then choose any . But if facing difficulty then PHP is better to stay with . Reasons : fundamentally easy large no . of developer libraries are available . Easy to integrate with other scripting languages But structural syntax becomes a problem as they are so many in cumbersome manner . Use PHP tag library for that works just like JSTL . " Choosing language is not the problem but efficient implementation of code is the only hurdle . "	P O V D R R V D , & P V N R ^ V R P V P , N , R A A ! , P N N V A , A P V P A N N & A N V D N P O V R A P A N , V ^ N N P O V R P ^ , , V N V R D N & A N P N V D A N , ,
java equivalent of swfobject	^ N P ^
looking for a javascript class like swfobject to embed java and have a simple fallback if the user doesn't have java or refuses the security prompt . thanks , Josh	V P D ^ N P ^ P D ^ & V D A N P D N V V ^ & V D N N , N , O
appletobject may work , but I have not used it .	N V V , & O V R V O ,
You could build one pretty easily . Have something like a div set up like this : Then add Java Plugin Detection ( builder ) to your JavaScript . Then if that returns true , then do something like :	O V V $ R R , V N P D N V T P D , R V ^ N N , N , P D ^ , R P O V N , R V N P ,
Just embed the applet like you normally do and insert the fallback inside or insert a javascript snippet to remove the object : Besides param , you can add other elements , e.g. paragraphs with text or javascript calling some function to replace the object .	R V D N P O R V & V D N P & V D ^ N P V D N , P N , O V V A N , G N P N & ^ V A N P V D N ,
This helps ! I got a very strange problem while using applet to do batch file downloading from the server side . The Ajax request seems conflict with applet request , the applet file downloading interrupted with some socket exception . The applet works fine under JRE5.0 , it might be caused by our recent upgrade to JRE6.0 . div id= " java-applet " / div script var t ; function startApplet() { var attributes = { codebase : ' %= request.getContextPath() % ' , code : ' %=appletClass% ' , archive:'applet / SignedApplet.jar ' , width : 0 , height : 0 } ; var parameters = { para1:'value1 ' , para2:'value2 ' , java_arguments : ' -Xms64m -Xmx512m ' } ; var version = ' 1.6 ' ; var buildAppletTag = function() { var tag = ' applet ' ; for ( var attribute in attributes ) { tag += ( ' ' + attribute + ' = "' + attributes[attribute ] + '"') ; } tag += " " ; for ( var parameter in parameters ) { tag += ' param name= "' + parameter + '" value= "' + parameters[parameter ] + '" / ' ; } tag += ' / applet ' ; return tag ; } ; document.getElementById ( " java-applet ") . innerHTML = buildAppletTag ( attributes , parameters , version ); clearTimeout ( t ); } t = setTimeout ( " startApplet() " , 1000 ); // delayed / script	D V , O V D R A N P V N P V N N V P D N N , D ^ N V V P N N , D N N V V P A N N , D N V R P ^ , O V V V P D A N P ^ , ^ G , N , , ^ N G G , N ^ , G N = , N , , G ^ G , , N , , G , , G , ^ , , N , $ , N , $ , , G N = , G , , G , , ^ , , G G , , , G N = , $ , , G ^ = ^ , G N = , N , , P , G N P N , , N = , , , = N = , = , = G , = , , , N = , , , P , G N P N , , N = , N N , = N , , N , = G , = , , , , , N = , , N , , V N , , , ^ , , N , , N = ^ , N , N , N , ^ , G , , G = ^ , , ^ , , $ , , A , N
Any function / method in Java to implement a " freeze panes " -like sheet ?	A N , N P ^ P V D , V N , G N ,
We are using Java and Javascript to try to display a huge sheet with freeze panes , but it is being very difficult . Does someone know about a library , method , script or something , either free or commercial , to do this ? Thanks .	O V V ^ & ^ P V P V D A N P N N , & O V V R A , V O V P D N , N , N & N , R A & A , P V D , N ,
Not totally sure I understand what a sheet with freeze panes means - could you expand on this ?	R R A O V O D N P V N V , V O V P D ,
It means to be able to display a huge sheet , keeping the first row and column freeze . The idea is to be able to scroll through the sheet without losing the view of the first columns or rows which usually contain the column or row titles .	O V P V A P V D A N , V D A N & N N , D N V P V A P V P D N P V D N P D A N & N D R V D N & N N ,
After looking at http://blogs.zoho.com/general/freeze-panes-in-zoho-sheet , I assume you are looking for similar functionality in tables ? One way to do this would be to have two tables , one that was " frozen " rows ( or columns ) that grew or shrunk in size based on how many frozen you had , and the other was the dynamic table that grew or fell in size based on how many unfrozen there were .	P V P U , O V O V V P A N P N , $ N P V D V V P V $ N , $ O V , A , N , & N , O V & V P N V P R A N O V , & D N V D A N P V & V P N V P R A N R V ,
Closing popups on session expiry	V N P N N
Here is the thing : my webapp has loads of popups and my boss wants ' em closed on session expiry , coz when session expires and an user presses refresh on a popup , he is being shown the logon page -> user logs on -> user is directed to the dashboard . Now , a dashboard screen in a popup is totally uncool . Here is where google got me : Have javascript to close popup onload . Generate this onload script into the response if session has expired ( checking session expiry from jsp and including onload script conditionally ) . Do you think this is a good way to it ? What is the best practice for this scenario ? P.S : I am not allowed to use AJAX	R V D N , D N V N P ^ & D N V , G V P N N , & R N V & D N V V P D N , O V V V D N N G N V P G N V V P D N , R , D N N P D N V R A , R V R ^ V O , V ^ P V N N , V D N N P D N P N V V , V N N P ^ & V N N R , , V O V D V D A N P O , O V D A N P D N , G , O V R V P V ^
The best practice is to not use " loads of popups " . That aside , when you talk about closing popup in " onload " event what would really happen is user would refresh the popup and it would close ( which would be REALLY weird from user's standpoint ) OR user would get a prompt from the browser ( close this window ? yes / no ) which is equally weird .	D A N V P R V , N P N , , O R , R O V P V N P , N , N O V R V V N V V D N & O V V , O V V R A P Z N , & N V V D N P D N , V D N , ! , ! , O V R A ,
@ChssPly76 - yes , from an user standpoint , it's probably weird . But , designing data-oriented applications without pop-ups is one heck of a challenge .	@ ~ ! , P D N N , L R A , & , V A N P N V $ N P D N ,
I'm ok with popups as long as I don't need any of the information behind it . If I do , I get pissed at them and curse the designers .	L A P N R A P O V V D P D N P O , P O V , O V V P O & V D N ,
The _only_ possible excuse for using popup windows is a requirement for application to function without javascript because then you can at least do some stuff via `	D R A N P V N N V D N P N P N P ^ P R O V P R V D N P ,
The best way would be an XMLHTTP request to check login and close them if required - do this periodically . Astute readers ( meaning everyone ) will notice that this is an AJAX request , but if you phrase it that way it might get accepted as whoever dictated that you ' aren't allowed to use AJAX ' is clearly an idiot .	D A N V V D ^ N P V V & V O P V , V D R , A N , N N , V V P D V D ^ N , & P O V O D N O V V V P O V P O , V V P V ^ , V R D N ,
@Luke the corporate IT teams of non-IT core companies are loaded with idiots who would tell you not to use AJAX :-) : And my boss is one of ' em !	@ D A O N P A A N V V P N O V V O R P V ^ E , & D N V $ P , G ,
Won't the periodic HTTP request keep the session alive ?	V D A N N V D N A ,
then they are screwed . and so are you if your boss reads that you just called him an idiot ...	R O V V , & R V O P D N V P O R V O D N ,
@matt b : not if you keep record of the last user activity .	@ G , R P O V N P D A N N ,
@matt b - George said what I was going to say :)	@ G , ^ V O O V V P V E
In a past life , I made a popup manager object that maintained what windows were open . You should probably make one of these if not already done . Then , you can use setTimeout to call a function after so many minutes ( or whatever time you want ) have gone by . This will check for recent activity ( probably via AJAX ) and close the popup if you determine that the session has expired . If not , call setTimeout again with your new time , properly adjusted for most recent activity . ^^before the AJAX edit . Well , since you can't use AJAX , can you put something in the url that will tell you it's a popup ? Then you'll know not to show the login screen when the user hits reload .	P D A N , O V D A N N O V D N V A , O V R V $ P O P R R A , R , O V V ^ P V D N P R A N , & D N O V , V V P , D V V P A N , R P ^ , & V D N P O V P D N V V , P R , V ^ R P D A N , R V P R A N , G D ^ V , ! , & O V V ^ , V O V N P D N O V V O L D N , R L V R P V D N N R D N V N ,
If your boss is asking you to achieve this , without using AJAX , then you're in trouble . He should understand that the only connection a browser has to the server ( without refreshing the page ) is javascript ( what he understands to be ajax ) . The best way to do this is to setup a script on the pages to ask the server if the user is still logged in every 30 seconds or so . This script assumes you're using the jQuery framework for rapid development of javascript solutions . This also uses JSON ( Javascript Object-notation ) to test a return-value from the loggedin.php file . Bottom line , you need to use AJAX . Tell your boss there is no other way . If he still doesn't get it , ask him to balance his checkbook without using math .	P D N V V O P V D , P V ^ , R L P N , O V V P D A N D N V P D N , P V D N , V ^ , O O V P V ^ , , D A N P V D V P V D N P D N P V D N P D N V R A P A $ N & R , D N V L V D ^ N P A N P ^ N , D R V ^ , ^ ^ , P N D N P D N N , A N , O V P V ^ , V D N R V D A N , P O R V V O , V O P V D N P V N ,
Or just tell your boss that you're brilliant and figured out a way to do it with Javascript instead of AJAX	& R V D N P L A & V T D N P V O P ^ R P ^
Well , the J in AJAX is javascript . If its not async ( A ) and not xml ( X ) based , then he can build a case saying that he's not using AJAX , unfortunately , the example uses JQuery and underneath the hood , it is using the A , J and X of AJAX .	! , D G P ^ V ^ , P L R A , G , & R ^ , G , V , R O V V D N V P L R V ^ , R , D N V ^ & P D N , O V V D G , G & G P ^ ,
An alternative way to implement modal dialogs in a web application is to : Model the dialog in a DIV , default styled to display : none ; On desired action , inject / append the Modal dialog DIV into the page source Reset the CSS display so the modal dialog DIV is visible , overlaid on top of the page by setting the CSS z-index property Make the modal dialog disappear upon either successful execution or the user cancelling out Because the modal dialog is part of the page source , the dialog will disappear when the session times out . This approach doesn't spawn supporting windows that can be orphaned as the poster is attempting to address . And it fits the requirement of not using AJAX . You can code these by hand , but I don't really recommend it because of having to support various browser . I suggest looking at the Yahoo User Interface . You can tailor it to suit your needs ( IE : only modal dialogs ) , and it would support AJAX if requirements change down the road . Beware of spawning modal dialogs from modal dialogs .	D A N P V A N P D N N V P , V D N P D ^ , A V P V , N , R A N , V , V D A N ^ P D N N V D ^ V P D A N ^ V A , V P N P D N P V D ^ ^ N V D A N V P D A N & D N V T P D A N V N P D N N , D N V V R D N V T , D N V V V N O V V V P D N V V P N , & O V D N P R V ^ , O V V O P N , & O V R V O P P V P V A N , O V V P D ^ N N , O V V O P V D V , ^ , R A N , , & O V V ^ P N V T D N , V P V A N P A N ,
In theory , you could avoid AJAX by using a hidden flash widget ... But more practically , AJAX is the ' right ' solution , and I think you will have to talk to your boss , determine where this ' no AJAX ' rule came from , and convince him that AJAX is the best way to solve this problem . Does he think AJAX would be take too much time to implement ? If so , you should prove him wrong . Does he think it will be hard to maintain ? If so , show how simple the code to do this will be , and how widely used the common AJAX libraries are . If your boss is reasonable , then his goal is to what is best for the product , and you should be able to reason with him .	P N , O V V ^ P V D A N N , & R R , ^ V D , A , N , & O V O V V P V P D N , V R D , D ^ , N V P , & V O D ^ V D A N P V D N , V O V ^ V V V R A N P V , P R , O V V O A , V O V O V V R P V , P R , N R A D N P V D V V , & R R A D N ^ N V , P D N V A , R D N V P O V A P D N , & O V V A P N P O ,
using google map after logging	V ^ N P V
I have a project witch is using googleMap , when I used localhost googleMap works correctly and anythings is OK , but when I deploy it on the other computer the site can not work(don't show google map !!! ) . I got a valid key but stil this problem exists ! please help me !	O V D N N V V ^ , R O V ^ ^ V R & N V A , & R O V O P D A N D N V R G V ^ N , , , O V D A N & P D N V , ! V O ,
when you say " other computer " do you mean you are deploying it to google app engine ?	R O V , A N , V O V O V V O P ^ N N ,
Might it be a cross-site scripting issue ? There's an option in the GoogleMaps preferences that allows you to turn off security . As an experiment , try turning it off to see if it makes any difference . ( And don't forget to turn it back on when you are done ! )	V O V D A N N , L D N P D ^ N O V O P V T N , P D N , V V O T P V P O V D N , , & V V P V O R P R O V V , ,
Do you manage correctly the errors from Google Map API in your code , in order to see if there is a given error returned by one of the google map function you use Also , did you inspect the page when deployed on the other computer , with a tool like firebug / web inspector , to see if there are some errors linked to the problem	V O V R D N P ^ N ^ P D N , P N P V P X V D V N V P $ P D ^ N N O V R , V O V D N R V P D A N , P D N P N , N N , P V P X V A N V P D N
This really sounds like an API key problem . Make sure that you used the right domain to get your key . If you use " example.com " to get your key , all of the sub-directories on example.com will be valid . If that's not it , you definitely need to use Firebug to find out what the error is .	D R V P D ^ A N , V A P O V D A N P V D A , P O V , G , P V D N , X P D N P G V V A , P L R O , O R V P V N P V T O D N V ,
is it free to get key ?	V O A P V N ,
It is definitely free . http://code.google.com/apis/maps/signup.html	O V R A , U
Read Browser / Client time from Http Servlet request header	V N , N N P ^ N N N
Is it possible to read the Browser ( Client machine ) time when a request is made to the servlet ?	V O A P V D N , N N , N R D N V V P D N ,
I don't believe so . Unfortunately the HTTP Date header is only sent for PUT or POST messages , and even then it's optional : Clients SHOULD only send a Date header field in messages that include an entity-body , as in the case of the PUT and POST requests , and even then it is optional . A client without a clock MUST NOT send a Date header field in a request . If you have control of the client , you could ( perhaps ) encode it as a separate experimental HTTP header . Or add it as a GET parameter etc .	O V V R , R D N N N V R V P V & V N , & R R L A , N V R V D N N N P N O V D N , R P D N P D V & V N , & R R O V A , D N P D N V R V D N N N P D N , P O V N P D N , O V , R , E O P D A A N N , & V O P D V N G ,
You can use javascript and append the time to every request . Provided that javascript is enabled , you can add the following to your links : You can do something similar , if you need timezone information . This question may help .	O V V ^ & V D N P A N , V D ^ V V , O V V D N P D N , O V V O A , P O V N N , D N V V ,
JAAS tomcat login module possible method to pass ip address	^ ^ V N A N P V ^ N
I've been looking into a way of passing the client ip as well as the userid and password from a JAAS login page to the JAAS login module implementation in my web code . JAAS only allows the user id and password to be passed to the login module . My idea is to have a java script code to append the ip address to the user id and then call the form submit . I just don't have the right java script code to do this . Can you help ? The web page has two input fields , j_userid and j_password , which the JAAS code knows to look it . So what javaScript code can I use to add the ip address to the j_userid field before the form submit . I was thinking of ' ip-address #userid ' and then in my login module I'd take the ip address off the userid .	L V V P D N P V D N ^ P R P D ^ & N P D ^ V N P D ^ V N N P D N N , ^ R V D N N & N P V V P D N N , D N V P V D ^ N N P V D N N P D N N & R V D N V , O R V V D A ^ N N P V D , V O V , D N N V $ N N , G & G , O D ^ N V P V O , P D ^ N V O V P V D N N P D G N P D N V , O V V P , N # , & R P D N ^ L V D N N T D N ,
Sorry , I don't think there is a way to obtain the ip on the client side , in plain Javascript . Testing the remote ip on the server side is probably not a solution if you don't control the infrastructure between the client and the server ( load-balancers , proxies ... ) . If you're confident the remote ip is the ip of the client , you should be able to hack a tomcat Valve or a servlet filter .	A , O V V R V D N P V D N P D N N , P A ^ , V D A N P D N N V R R D N P O V N D N P D N & D N , N , N , , , P L A D A N V D N P D N , O V V A P V D ^ N & D N N ,
I can get the ip address onto the page in a hidden field using a JSF bean . The problem is passing it through to the JAAS login module .	O V V D N N P D N P D A N V D ^ N , D N V V O P P D ^ V N ,
I created these two javaScript functions . addIpSubmit is called from a login button . You can see I have a bean to put the ip address into a hidden field . The j_username JAAS field is also hidden and is filled in by the addIpSubmit() function . It mungs the ip to the user name and calls the JAAS submit functions . Then in the login module I get the ip address and user name out . Just remember that the FacesContext.getCurrentInstance() . getExternalContext() . getRemoteUser() now has the ip #userid in it .	O V D $ ^ N , G V V P D N N , O V V O V D N P V D N N P D A N , D N ^ N V R A & V V P P D ? N , O V D N P D N N & V D ^ V N , R P D N P O V D N N & N N T , R V P D ^ , ^ , ^ R V D N # P O ,
How to get custom value from text field in JSP ?	R P V N N P N N P ^ ,
I'm working in a very simple and small web application , it is a jsp that handles a shopping cart . What I do at this point is to iterate through all the products that are stored in the car and add them one by one to the jsp with each iteration . This is the code that adds a row to the jsp in each iteration : As you can see I add to the end of each row a submit type control with a custom method for handling Click events , the use of this control is to remove from the car the respective product . The problem that I have is that when I click in the delete button of a product , the id that is passed to the CustomSubmit ( ... ) method is not the id of the product that I'm trying to remove but the id of the last product added to the jsp . So , my question is how can I get the correct id from the item that I'm trying to remove ?	L V P D R A & A N N , O V D ^ O V D N N , O O V P D N V P N P X D N P V V P D N & V O $ P $ P D ^ P D N , D V D N P V D N P D ^ P D N , P O V V O V P D N P D N N V N N P D A N P V ^ N , D V P D N V P V P D N D A N , D N P O V V O R O V P D V N P D N , D N O V V P D N , ~ , N V R D ^ P D N P L V P V & D N P D A N V P D ^ , P , D N V R V O V D A N P D N P L V P V ,
How are you iterating over each item in the cart ?	R V O V P D N P D N ,
I got them in an ArrayList() that is contained in a Java Bean that is located in the session scope .	O V O P D ^ O V V P D ^ ^ O V V P D N N ,
The way i use to do it is as follows : Replace add the deleteIt javascript function , in the function you fill a hidden input field with the id . Then submit the page and the correct id gets passed to your page Little sidenote its always prudent to escape all your Strings maybe like	D N G V P V O V P V , ^ V D N A N , P D N O V D A N N P D ^ , R V D N & D A L V V P D N A N L R A P V X D ^ R P
Thanks for the sidenote , I will do it , now about what you suggest , I understand the javascript function part , but how do you do to get ' yourid ' variable , because I{m adding rows dynamically , and I don t know which is the id from the product that the user wants to remove , the id is contained in a column of the row , but I don't know how to get it ...	N P D N , O V V O , R P O O V , O V D ^ N N , & R V O V P V , N , N , P G V N R , & O G G V O V D N P D N P D N V P V , D N V V P D N P D N , & O V V R P V O ,
I assume your cart is a list of objects , each having the attributes id and quantity . So I would expect you code to look something like this ( noting Peter's answer about using a ' button ') : I'm not entirely sure what you are trying to do with the ' request ' parameter in your original code but if this is the HTTP request all you will get when you try to write it to the JSP is the result of the request.toString method .	O V D N V D N P N , O V D N N & N , P O V V O N P V N P D , V Z N P V D , N , , L R R A O O V V P V P D , N , N P D A N & P D V D ^ V X O V V R O V P V O P D ^ V D N P D ^ N ,
well , actually you can just ignore the request parameter , is not important at this moment ; and it is just as you say , that is exactly how I'm working , but the problem is that when the event is fired and this code " CustomSubmit ( ' < %= cartItem.id % > ')" is executed , I don't get the " cartItem.id " from the item that I want to remove , I get the " cartItem.id " from the last item added to the jsp . One solution could be try to get the " cartItem " from the list but in order to do so I will need to know the row number of the item that I want to delete and I don't know either how to get the row number	! , R O V R V D N N , V R A P D N , & O V R P O V , O V R R L V , & D N V O R D N V V & D N , G , , , , N , , , V V , O V V D , ^ , P D N P O V P V , O V D , ^ , P D A N V P D ^ , $ N V V V P V D , N , P D N & P N P V P O V V P V D N N P D N P O V P V & O V V R R P V D N N
When you look at the page source in the browser does each row in the table have the same id ? If so the problem isn't with this code , it's with either the iteration logic or the cart item object . If not then there's something up with your JavaScript and it's time to crack out Firebug and take a look at what's going on .	R O V P D N N P D N V D N P D N V D A N , P P D N V P D N , L P X D N N & D N N N , P R R S N T P D ^ & L N P V T N & V D N P L V P ,
javascript injection in wicket	A N P N
I have J2EE project which uses wicket framework . I want to know how can I prevent from javascript injection in wicket ?	O V ^ N O V N N , O V P V R V O V P ^ N P N ,
